Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-11-21,451.05,623.8,451.05,594.0,592.55,11598927.0,68587.79
2006-11-22,615.0,615.0,550.0,586.65,586.55,5039857.0,29331.73
2006-11-23,594.0,628.0,592.1,615.0,614.1,4652534.0,28455.49
2006-11-24,620.0,620.25,575.25,581.0,583.7,2099368.0,12517.27
2006-11-27,584.8,613.75,565.0,602.35,602.35,2856682.0,17068.69
2006-11-28,590.0,602.0,580.0,601.0,596.6,1444453.0,8562.16
2006-11-29,605.0,633.0,604.3,616.0,619.15,3441902.0,21347.88
2006-11-30,622.0,643.5,612.0,628.1,630.95,2373149.0,14942.25
2006-12-01,633.0,647.0,629.0,634.2,634.2,1078554.0,6883.75
2006-12-04,630.0,638.0,598.0,600.0,602.65,625401.0,3840.93
2006-12-05,605.0,615.9,592.3,598.0,598.25,945684.0,5711.05
2006-12-06,602.45,614.85,586.25,593.1,591.8,784331.0,4711.74
2006-12-07,595.0,606.95,586.05,597.1,599.9,827189.0,4943.05
2006-12-08,604.4,604.75,578.15,580.35,583.05,438401.0,2592.83
2006-12-11,586.55,586.55,531.35,561.5,560.85,528699.0,2961.92
2006-12-12,560.05,567.85,505.05,546.0,535.4,586208.0,3198.2
2006-12-13,544.0,549.9,508.0,534.0,531.6,410244.0,2190.15
2006-12-14,541.3,549.4,535.0,542.0,542.75,220211.0,1195.17
2006-12-15,549.0,583.0,546.5,580.35,577.7,667825.0,3790.93
2006-12-18,584.0,584.0,547.0,561.1,565.55,651818.0,3687.49
2006-12-19,560.0,567.75,550.25,559.1,561.75,277289.0,1556.82
2006-12-20,566.75,591.9,557.05,571.0,577.7,521029.0,3009.72
2006-12-21,573.0,604.5,561.55,589.95,588.75,716818.0,4219.87
2006-12-22,588.0,618.0,588.0,593.8,595.65,639080.0,3877.23
2006-12-26,599.75,612.75,590.7,595.1,593.4,266382.0,1601.63
2006-12-27,599.0,605.0,585.05,590.0,588.4,175074.0,1040.95
2006-12-28,594.3,594.4,566.5,573.9,572.05,192980.0,1115.73
2006-12-29,583.3,586.7,574.8,582.0,580.35,165940.0,965.74
2007-01-02,582.1,595.0,577.0,592.05,589.8,125064.0,736.76
2007-01-03,592.8,629.8,592.8,616.9,616.05,1313494.0,8093.93
2007-01-04,620.0,681.8,618.3,659.0,659.6,3009330.0,19875.57
2007-01-05,661.5,701.7,658.7,696.0,687.75,1871500.0,12840.9
2007-01-08,700.1,734.9,685.0,734.0,723.6,1756991.0,12568.64
2007-01-09,736.0,750.0,675.0,679.0,682.3,1285839.0,9048.66
2007-01-10,678.0,689.05,658.5,688.0,679.3,724086.0,4880.97
2007-01-11,684.0,700.0,672.6,699.8,698.35,492882.0,3401.76
2007-01-12,700.0,700.0,671.3,676.0,676.9,239916.0,1649.84
2007-01-15,682.8,687.0,672.1,675.35,676.1,184178.0,1250.67
2007-01-16,680.0,722.0,673.45,696.0,695.85,507549.0,3565.95
2007-01-17,700.0,703.7,687.1,693.5,691.2,279563.0,1947.91
2007-01-18,697.0,719.8,692.0,699.0,696.5,406875.0,2872.21
2007-01-19,703.9,704.0,677.0,685.6,685.4,218035.0,1499.87
2007-01-22,689.95,711.0,677.0,710.9,701.65,159391.0,1104.72
2007-01-23,707.7,724.95,705.0,709.0,710.55,328998.0,2355.55
2007-01-24,716.9,734.0,708.5,732.0,727.2,260188.0,1873.66
2007-01-25,734.5,755.0,724.25,731.0,733.2,405158.0,3008.89
2007-01-29,736.7,755.0,715.0,755.0,742.1,209270.0,1535.26
2007-01-31,758.0,760.0,688.0,697.0,696.1,183711.0,1306.46
2007-02-01,704.25,704.25,682.0,682.35,684.15,98956.0,682.84
2007-02-02,692.0,739.0,686.0,724.0,731.05,323417.0,2333.5
2007-02-05,730.0,732.0,716.0,722.45,720.85,115061.0,830.83
2007-02-06,722.0,738.0,720.0,721.25,723.5,140271.0,1022.03
2007-02-07,736.0,736.0,695.15,701.5,702.6,46094.0,329.92
2007-02-08,708.0,744.9,704.3,738.05,739.9,214717.0,1569.87
2007-02-09,746.0,747.4,691.0,697.0,702.15,85430.0,611.93
2007-02-12,705.0,705.0,635.0,655.0,652.3,74220.0,489.64
2007-02-13,655.0,678.0,636.15,640.0,644.75,74563.0,492.72
2007-02-14,622.8,646.0,610.6,635.0,635.25,41235.0,261.6
2007-02-15,644.4,668.0,644.4,650.4,655.5,81788.0,537.21
