Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-10-17,25.25,26.85,21.5,25.9,25.4,58816.0,14.5
2011-10-18,25.5,25.5,22.85,22.85,22.85,11152.0,2.6
2011-10-19,22.5,22.9,20.5,21.0,21.1,15337.0,3.25
2011-10-20,20.15,21.3,19.25,20.25,20.65,17147.0,3.5
2011-10-21,20.0,21.0,19.5,21.0,20.7,12259.0,2.47
2011-10-24,20.05,20.35,19.65,20.0,20.1,8425.0,1.69
2011-10-25,20.05,20.05,19.1,19.3,19.4,5330.0,1.05
2011-10-26,19.5,20.15,19.05,20.15,19.9,4992.0,0.99
2011-10-28,18.2,20.45,18.2,19.9,20.05,10613.0,2.11
2011-10-31,20.4,21.0,19.5,21.0,20.8,31470.0,6.46
2011-11-01,20.0,21.05,20.0,20.65,20.65,8001.0,1.64
2011-11-02,21.0,21.0,20.1,21.0,21.0,3654.0,0.76
2011-11-03,21.0,21.2,20.2,20.65,20.5,17324.0,3.56
2011-11-04,19.55,20.5,19.55,19.95,20.05,23141.0,4.67
2011-11-08,19.75,20.75,19.7,19.7,19.95,22502.0,4.53
2011-11-09,19.3,20.15,19.15,20.0,19.9,30735.0,6.15
2011-11-11,19.05,21.15,19.05,21.15,20.75,25951.0,5.18
2011-11-14,20.75,20.8,19.5,19.65,19.65,38214.0,7.77
2011-11-15,19.75,20.15,19.0,19.0,19.15,61741.0,12.03
2011-11-16,18.05,19.3,18.05,18.45,18.5,41341.0,7.78
2011-11-17,18.3,18.7,18.0,18.25,18.15,27635.0,5.12
2011-11-18,17.5,17.5,14.7,16.4,16.65,24976.0,4.14
2011-11-21,16.15,16.4,15.5,15.7,15.6,24398.0,3.88
2011-11-22,15.55,18.7,14.75,18.7,17.6,31721.0,5.29
2011-11-23,17.0,18.2,16.6,17.65,17.8,29058.0,4.95
2011-11-24,17.0,17.8,17.0,17.4,17.4,14710.0,2.55
2011-11-25,17.1,18.0,17.0,17.55,17.55,24369.0,4.28
2011-11-28,17.75,17.95,17.2,17.8,17.8,22833.0,4.05
2011-11-29,16.7,17.9,16.7,17.3,17.35,12087.0,2.09
2011-11-30,17.0,17.5,16.75,16.9,16.9,18031.0,3.05
2011-12-01,17.0,17.35,16.5,17.2,16.8,23961.0,4.12
2011-12-02,17.4,17.4,16.1,16.8,16.6,18497.0,3.12
2011-12-05,17.0,18.7,16.5,18.7,18.2,34626.0,6.01
2011-12-07,17.25,18.5,17.25,18.05,18.0,29538.0,5.35
2011-12-08,18.2,18.4,16.7,18.25,18.1,34792.0,6.03
2011-12-09,17.25,18.3,17.25,17.5,17.65,13056.0,2.3
2011-12-12,17.0,17.95,17.0,17.3,17.55,9670.0,1.7
2011-12-13,16.65,17.8,16.65,17.6,17.45,21718.0,3.81
2011-12-14,17.0,17.7,17.0,17.4,17.15,16043.0,2.78
2011-12-15,16.6,17.8,16.5,17.6,17.65,18525.0,3.17
2011-12-16,17.9,17.9,16.75,17.0,17.2,8311.0,1.43
2011-12-19,17.0,17.1,15.55,16.05,16.4,29483.0,4.78
2011-12-20,16.05,17.0,15.4,16.75,16.7,34269.0,5.51
2011-12-21,16.5,17.2,16.05,16.9,16.45,26086.0,4.3
2011-12-22,16.05,16.75,16.05,16.7,16.45,20258.0,3.33
2011-12-23,16.05,16.45,15.8,15.8,16.0,26078.0,4.26
2011-12-26,15.55,17.45,15.55,17.45,17.35,14867.0,2.49
2011-12-27,16.5,17.95,16.5,17.95,17.5,19590.0,3.39
2011-12-28,17.35,18.3,15.35,18.3,17.55,32839.0,5.6
2011-12-29,17.15,18.7,17.15,18.5,18.2,16412.0,2.9
2011-12-30,17.5,18.95,17.1,18.0,18.0,12701.0,2.25
2012-01-02,17.0,18.85,17.0,18.35,18.0,20365.0,3.65
2012-01-03,17.15,18.4,17.15,18.35,18.25,8590.0,1.53
2012-01-04,17.7,18.45,17.7,18.4,18.2,8266.0,1.49
2012-01-05,17.65,18.65,17.0,17.95,18.0,13292.0,2.41
2012-01-06,17.5,18.2,17.3,18.1,18.0,9129.0,1.63
2012-01-07,17.55,17.7,17.5,17.7,17.7,2022.0,0.36
2012-01-09,17.45,18.15,17.45,18.15,18.05,19589.0,3.53
2012-01-10,17.8,18.2,17.8,18.05,18.0,17256.0,3.11
2012-01-11,18.45,18.45,17.8,18.3,18.1,22731.0,4.11
2012-01-12,17.8,18.3,17.8,18.15,18.05,18216.0,3.29
2012-01-13,17.8,18.5,17.8,18.2,18.1,26034.0,4.72
2012-01-16,17.8,18.25,17.7,18.1,18.0,7755.0,1.41
2012-01-17,17.8,18.4,17.8,18.2,18.05,11706.0,2.12
2012-01-18,17.9,18.3,17.8,18.15,18.2,19897.0,3.62
2012-01-19,18.45,18.45,17.8,18.2,17.9,12899.0,2.33
2012-01-20,18.0,18.45,17.85,17.85,17.85,7083.0,1.27
2012-01-23,17.8,18.1,17.7,17.75,17.9,20207.0,3.62
2012-01-24,17.8,18.1,17.45,17.45,17.55,25400.0,4.54
2012-01-25,17.2,18.45,17.2,17.6,17.9,35719.0,6.41
2012-01-27,17.7,18.7,17.7,17.7,17.95,57761.0,10.57
2012-01-30,18.2,18.35,17.55,17.7,17.85,26053.0,4.66
2012-01-31,17.75,18.2,17.7,17.8,17.75,17253.0,3.09
2012-02-01,18.45,18.45,17.5,17.75,17.65,23755.0,4.22
