Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,30.65,30.8,29.45,,,,
1998-03-24,29.75,30.7,28.25,28.25,28.25,2200.0,0.65
1998-03-25,30.0,30.8,30.0,30.0,30.0,600.0,0.18
1998-03-26,32.0,33.0,31.5,32.0,32.0,2400.0,0.78
1998-03-27,33.4,33.45,32.45,33.45,33.4,800.0,0.26
1998-03-30,33.75,33.75,33.0,33.25,33.35,2000.0,0.67
1998-03-31,32.45,33.0,31.75,32.5,32.25,2600.0,0.84
1998-04-01,35.0,35.5,34.0,35.5,35.5,2600.0,0.91
1998-04-02,34.5,35.0,34.0,34.0,34.0,2300.0,0.8
1998-04-03,34.95,35.0,34.25,34.25,34.25,500.0,0.17
1998-04-06,32.25,33.5,32.25,33.0,33.0,1900.0,0.63
1998-04-07,32.0,33.5,32.0,33.0,33.0,1000.0,0.33
1998-04-09,36.0,36.05,35.0,35.5,35.5,1800.0,0.64
1998-04-10,38.0,38.0,36.05,36.05,36.05,500.0,0.18
1998-04-13,34.3,37.0,34.3,35.2,35.4,2800.0,1.0
1998-04-15,36.0,38.95,36.0,38.95,38.95,8300.0,3.21
1998-04-16,39.05,42.85,39.05,42.85,42.85,9400.0,4.0
1998-04-17,42.0,43.0,40.0,41.2,41.2,4100.0,1.71
1998-04-20,38.6,39.5,38.4,39.0,39.05,2300.0,0.89
1998-04-21,38.0,40.0,36.4,39.0,39.4,7500.0,2.83
1998-04-22,41.9,42.0,39.5,40.0,39.85,5700.0,2.32
1998-04-23,39.0,39.0,37.55,37.55,37.85,1700.0,0.65
1998-04-24,34.6,36.0,34.5,36.0,35.5,1500.0,0.52
1998-04-27,36.5,36.5,33.5,33.5,33.5,2500.0,0.89
1998-04-28,34.0,36.0,34.0,34.05,34.05,3200.0,1.13
1998-04-29,34.55,34.9,34.0,34.0,34.0,900.0,0.31
1998-04-30,34.0,36.0,34.0,36.0,36.0,400.0,0.14
1998-05-04,36.9,36.9,35.15,36.9,36.9,700.0,0.25
1998-05-05,37.0,37.0,35.0,36.0,35.95,1700.0,0.61
1998-05-06,36.0,36.0,33.0,33.0,33.0,200.0,0.07
1998-05-08,35.0,36.3,33.1,36.3,36.3,1700.0,0.61
1998-05-11,36.05,36.05,35.95,35.95,35.95,400.0,0.14
1998-05-12,33.1,34.0,33.0,34.0,34.0,1000.0,0.34
1998-05-13,34.0,34.0,33.0,33.0,33.0,1700.0,0.56
1998-05-14,34.0,34.0,33.0,34.0,34.0,500.0,0.17
1998-05-15,35.05,35.05,35.05,35.05,35.05,100.0,0.04
1998-05-18,34.05,35.4,33.0,35.4,34.35,1000.0,0.35
1998-05-19,37.7,37.75,35.05,35.9,35.5,2100.0,0.76
1998-05-20,36.9,39.0,36.6,38.2,37.95,3000.0,1.13
1998-05-21,39.0,39.0,37.0,37.0,37.0,2000.0,0.76
1998-05-22,37.25,37.25,36.6,36.75,36.75,500.0,0.18
1998-05-25,37.45,37.55,36.55,36.6,36.6,2300.0,0.85
1998-05-26,36.25,36.25,34.05,34.55,34.7,3100.0,1.08
1998-05-27,36.0,36.7,36.0,36.0,36.0,1800.0,0.65
1998-05-28,35.0,36.75,35.0,36.75,36.3,3000.0,1.09
1998-05-29,35.0,35.1,34.7,35.1,35.1,700.0,0.24
1998-06-01,34.0,36.2,34.0,36.0,36.0,1500.0,0.53
1998-06-02,34.0,35.25,33.5,34.0,34.0,1300.0,0.45
1998-06-03,31.5,31.5,31.5,31.5,31.5,100.0,0.03
1998-06-04,31.4,31.5,31.25,31.25,31.35,1000.0,0.31
1998-06-05,29.2,29.2,29.1,29.1,29.1,200.0,0.06
1998-06-09,27.5,29.0,27.5,28.5,28.55,1400.0,0.4
1998-06-11,27.6,29.0,27.6,29.0,29.0,500.0,0.14
1998-06-12,27.75,28.0,27.75,27.75,27.75,300.0,0.08
1998-06-15,25.05,25.2,25.0,25.0,25.05,600.0,0.15
1998-06-16,23.05,24.95,22.7,22.7,22.9,1000.0,0.24
1998-06-17,24.25,24.25,24.25,24.25,24.25,100.0,0.02
1998-06-18,26.7,26.7,26.7,26.7,26.7,100.0,0.03
1998-06-19,26.75,28.6,26.75,28.6,28.6,200.0,0.06
1998-06-22,26.5,26.5,26.5,26.5,26.5,500.0,0.13
1998-06-23,25.0,25.5,23.95,25.0,25.0,600.0,0.15
1998-06-24,25.0,27.0,25.0,27.0,27.0,200.0,0.05
1998-06-25,25.8,27.0,25.8,27.0,27.0,600.0,0.16
1998-06-26,27.0,27.25,27.0,27.0,27.0,1200.0,0.32
1998-06-30,26.05,26.5,25.0,25.0,25.0,600.0,0.15
1998-07-01,25.0,25.0,25.0,25.0,25.0,100.0,0.02
1998-07-02,25.15,26.9,25.15,26.9,26.9,800.0,0.21
1998-07-03,26.0,26.0,25.35,25.35,25.35,1000.0,0.26
1998-07-06,25.5,26.5,25.5,26.5,26.35,1600.0,0.42
1998-07-07,26.35,26.7,26.3,26.7,26.4,700.0,0.18
1998-07-08,27.85,27.85,27.85,27.85,27.85,100.0,0.03
1998-07-09,26.9,28.95,26.9,28.5,28.5,1100.0,0.31
1998-07-10,28.25,28.5,27.9,28.5,28.5,1400.0,0.39
1998-07-13,28.8,28.8,28.8,28.8,28.8,100.0,0.03
1998-07-14,28.0,29.7,28.0,29.7,29.7,1200.0,0.34
1998-07-15,28.65,28.8,28.65,28.8,28.8,200.0,0.06
1998-07-16,29.5,31.0,29.5,31.0,31.0,1400.0,0.42
1998-07-17,30.15,32.0,30.1,31.95,31.95,3900.0,1.23
1998-07-20,31.5,34.5,31.5,34.5,34.5,2700.0,0.93
1998-07-21,36.4,37.3,35.0,35.5,35.5,5100.0,1.88
1998-07-22,36.25,38.0,36.0,37.45,37.15,4900.0,1.82
1998-07-23,36.8,36.8,34.6,34.65,34.75,5100.0,1.84
1998-07-24,35.5,35.5,32.0,32.0,32.0,4100.0,1.36
1998-07-27,32.75,32.75,29.5,29.5,29.5,2000.0,0.62
1998-07-28,29.0,30.0,28.15,30.0,29.05,2400.0,0.7
1998-07-29,30.0,31.4,30.0,31.4,31.4,1600.0,0.49
1998-07-30,30.7,32.7,30.7,32.45,32.45,1900.0,0.61
1998-07-31,32.25,34.5,32.25,34.5,33.6,900.0,0.3
1998-08-03,32.0,32.95,32.0,32.0,32.0,1000.0,0.32
1998-08-04,32.0,32.1,32.0,32.0,32.0,600.0,0.19
1998-08-05,30.9,33.25,30.0,33.25,33.05,2000.0,0.64
1998-08-06,34.0,35.0,34.0,34.0,34.0,4600.0,1.58
1998-08-07,34.0,34.45,33.0,34.25,34.35,2400.0,0.82
1998-08-10,34.0,35.2,34.0,34.45,34.45,4100.0,1.42
1998-08-11,34.0,35.2,34.0,34.15,34.95,2900.0,1.01
1998-08-12,34.5,35.5,34.1,35.0,35.0,1200.0,0.42
1998-08-13,33.5,34.75,33.4,34.75,34.5,1400.0,0.48
1998-08-14,34.75,35.0,34.15,34.2,34.2,1300.0,0.45
1998-08-17,34.0,35.0,34.0,34.5,34.5,3400.0,1.17
1998-08-18,34.0,35.0,32.5,32.5,32.75,1400.0,0.48
1998-08-19,33.85,33.85,33.25,33.25,33.25,400.0,0.13
1998-08-20,33.5,34.9,33.5,34.9,34.5,1800.0,0.62
1998-08-21,34.1,34.95,34.0,34.05,34.25,3900.0,1.34
1998-08-24,33.0,34.75,33.0,34.75,34.6,3000.0,1.03
1998-08-25,35.75,36.0,34.9,35.6,35.4,6400.0,2.27
1998-08-27,38.25,38.25,38.25,38.25,38.25,200.0,0.08
1998-08-28,40.0,41.25,40.0,41.25,41.25,4100.0,1.68
1998-08-31,42.0,44.55,42.0,44.55,44.55,8300.0,3.63
1998-09-01,43.0,46.8,43.0,45.9,46.15,13200.0,6.01
1998-09-02,49.8,49.85,47.5,49.85,49.85,20900.0,10.29
1998-09-03,53.5,53.85,53.5,53.85,53.85,7500.0,4.04
1998-09-04,58.15,58.2,58.15,58.2,58.2,8100.0,4.71
1998-09-07,61.8,62.9,61.8,62.9,62.9,7800.0,4.9
1998-09-08,67.85,67.95,57.9,57.9,57.9,23100.0,14.59
1998-09-09,53.3,53.3,53.3,53.3,53.3,3800.0,2.03
1998-09-10,49.05,49.05,49.05,49.05,49.05,3200.0,1.57
1998-09-11,45.15,45.15,45.15,45.15,45.15,2500.0,1.13
1998-09-14,41.65,48.8,41.55,48.8,48.8,28500.0,13.18
1998-09-15,49.9,52.45,47.5,52.45,51.8,19000.0,9.63
1998-09-16,52.25,53.75,50.0,50.0,50.3,14400.0,7.51
1998-09-17,49.25,50.0,46.3,46.3,46.3,8700.0,4.11
1998-09-18,42.7,46.0,42.6,43.95,44.3,14400.0,6.29
1998-09-21,46.5,47.8,45.0,46.65,47.3,9000.0,4.19
1998-09-22,46.5,46.5,44.1,44.1,44.55,8500.0,3.84
1998-09-23,43.5,48.15,43.5,46.5,46.5,4400.0,2.03
1998-09-24,47.0,47.95,46.25,47.25,47.25,1200.0,0.57
1998-09-25,46.0,46.4,45.5,45.95,45.9,2100.0,0.97
1998-09-28,46.8,46.8,45.25,46.45,46.45,2300.0,1.06
