Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-05-14,8250.0,8250.0,8250.0,8250.0,8250.0,1.0,0.08
2015-05-19,8260.0,8398.0,8260.0,8398.0,8398.0,2.0,0.17
2015-05-20,9860.0,9860.0,8000.0,8449.0,8448.57,15023.0,1269.24
2015-05-21,8425.0,8425.0,8425.0,8425.0,8425.0,25.0,2.11
2015-05-22,8460.0,8460.0,8000.42,8300.0,8136.55,36.0,3.01
2015-05-25,8380.0,8385.0,8380.0,8385.0,8385.0,25.0,2.1
2015-05-26,8408.0,8408.0,8250.0,8250.0,8250.0,39.0,3.26
2015-05-27,8300.0,8312.0,8300.0,8312.0,8312.0,25.0,2.08
2015-05-28,8287.0,8287.0,8287.0,8287.0,8287.0,25.0,2.07
2015-05-29,8375.0,8395.0,8375.0,8395.0,8395.0,25.0,2.09
2015-06-01,8450.0,8450.0,8450.0,8450.0,8450.0,25.0,2.11
2015-06-09,8102.0,8450.0,8102.0,8450.0,8450.0,20.0,1.67
2015-06-24,8450.0,8450.0,8450.0,8450.0,8450.0,1.0,0.08
2015-07-07,8500.0,8500.0,8480.0,8480.0,8480.0,40.0,3.4
2015-07-09,8300.0,8450.0,8300.0,8450.0,8375.0,2.0,0.17
2015-07-10,8300.0,8300.0,8300.0,8300.0,8300.0,2.0,0.17
2015-07-16,8683.0,8683.0,7800.0,8500.0,8500.0,4.0,0.33
2015-07-17,8670.0,8688.0,8670.0,8688.0,8688.0,5.0,0.43
2015-07-21,8600.0,8600.0,8600.0,8600.0,8600.0,1.0,0.09
2015-07-22,7907.0,8600.0,7907.0,8600.0,8533.11,12.0,0.99
2015-08-10,8600.0,8600.0,8600.0,8600.0,8600.0,2.0,0.17
2015-08-24,8003.0,8003.0,8003.0,8003.0,8003.0,6.0,0.48
2015-08-25,7900.0,8000.0,7900.0,8000.0,8000.0,22.0,1.74
2015-08-28,8031.0,8031.0,8031.0,8031.0,8031.0,10.0,0.8
2015-08-31,8721.25,8721.25,8100.0,8100.0,8100.0,4.0,0.33
