Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2004-08-16,154.9,177.0,132.55,160.1,162.15,1603537.0,2587.5
2004-08-17,163.0,164.7,155.75,157.0,157.35,530339.0,849.49
2004-08-18,158.0,158.0,150.0,150.55,152.55,283113.0,439.06
2004-08-19,153.7,155.7,152.0,153.2,153.0,217434.0,334.2
2004-08-20,153.0,154.5,152.5,154.0,153.85,216682.0,333.42
2004-08-23,153.5,154.6,153.0,153.4,153.6,116732.0,179.63
2004-08-24,152.0,155.0,152.0,154.9,154.4,92839.0,142.89
2004-08-25,155.0,156.0,153.0,153.0,153.55,88510.0,136.09
2004-08-26,153.5,159.85,153.5,157.0,157.6,103540.0,162.21
2004-08-27,159.7,160.0,157.35,158.6,158.8,48315.0,76.57
2004-08-30,160.0,168.95,155.0,155.65,156.45,256441.0,408.37
2004-08-31,156.25,157.0,153.25,155.15,155.9,111183.0,172.84
2004-09-01,155.15,157.45,155.15,155.5,155.85,78140.0,122.07
2004-09-02,157.0,159.8,155.5,158.0,157.6,144004.0,227.84
2004-09-03,162.0,162.0,157.2,157.55,158.15,75293.0,119.27
2004-09-06,159.0,161.3,157.5,161.2,160.4,75083.0,120.04
2004-09-07,161.0,162.15,158.75,161.0,161.1,67937.0,108.72
2004-09-08,161.0,161.55,160.0,161.0,160.45,52782.0,84.88
2004-09-09,161.0,162.95,158.65,162.0,161.95,49628.0,79.62
2004-09-10,161.0,163.0,160.6,161.25,161.55,48080.0,77.82
2004-09-13,161.0,177.0,161.0,169.2,169.25,272306.0,457.19
2004-09-14,172.5,172.5,164.2,167.5,168.5,66012.0,110.76
2004-09-15,165.0,169.45,161.4,162.6,163.7,50797.0,84.21
2004-09-16,161.5,167.2,161.5,165.0,164.55,47849.0,79.44
2004-09-17,173.0,173.5,165.0,167.0,165.9,26353.0,43.94
2004-09-20,168.0,168.0,161.25,162.65,162.4,34342.0,56.42
2004-09-21,162.5,165.0,162.05,163.25,162.6,15604.0,25.48
2004-09-22,164.0,164.3,161.5,163.25,162.3,25447.0,41.49
2004-09-23,162.35,163.75,158.1,158.5,159.3,32956.0,53.23
2004-09-24,161.0,161.25,155.9,157.0,156.45,33950.0,53.82
2004-09-27,155.55,158.0,151.5,152.2,152.85,35822.0,55.57
2004-09-28,154.0,156.95,152.1,152.8,153.0,29349.0,45.26
2004-09-29,154.0,155.25,153.15,154.15,154.05,17777.0,27.45
2004-09-30,156.5,159.7,154.5,156.15,156.5,26355.0,41.39
2004-10-01,155.8,158.5,154.2,156.55,156.55,15566.0,24.34
2004-10-04,156.55,159.0,156.0,158.0,157.55,33134.0,52.19
2004-10-05,159.4,159.5,155.1,155.9,156.3,41863.0,65.91
2004-10-06,155.0,160.8,154.0,156.75,155.8,70388.0,110.87
2004-10-07,157.4,158.0,156.0,157.3,157.4,43389.0,68.19
2004-10-08,157.5,162.9,157.0,159.0,159.35,60455.0,96.98
2004-10-09,156.6,159.85,156.6,158.1,158.4,2730.0,4.33
2004-10-11,159.9,163.0,156.85,158.0,157.4,20884.0,32.97
2004-10-12,158.0,159.75,156.1,159.75,157.95,21905.0,34.47
2004-10-14,159.75,163.0,157.2,163.0,161.3,56147.0,90.15
2004-10-15,162.5,166.05,160.0,160.7,160.95,59682.0,97.57
2004-10-18,161.9,161.9,159.0,160.15,160.95,20704.0,33.28
2004-10-19,161.1,161.7,159.1,159.55,159.7,16675.0,26.7
2004-10-20,157.05,160.2,157.0,159.7,157.55,12209.0,19.38
2004-10-21,159.4,159.8,157.25,157.3,158.0,10647.0,16.84
2004-10-25,156.55,159.6,156.0,156.0,157.55,24469.0,38.7
2004-10-26,158.95,158.95,127.1,152.6,153.65,25389.0,38.92
2004-10-27,151.9,155.8,149.0,154.5,154.3,29828.0,45.87
2004-10-28,158.45,166.0,158.0,159.0,159.0,79979.0,129.12
2004-10-29,161.8,162.0,158.3,159.5,159.1,17079.0,27.38
2004-11-01,156.15,158.65,154.05,155.5,155.25,11436.0,17.92
2004-11-02,155.5,158.0,155.45,157.25,157.5,9616.0,15.12
2004-11-03,152.8,162.85,152.8,162.85,161.25,20743.0,33.32
2004-11-04,162.5,164.0,160.0,161.0,161.4,19227.0,30.99
2004-11-05,163.0,164.95,160.0,160.0,160.1,11198.0,18.07
2004-11-08,160.1,161.7,158.1,158.5,158.45,23659.0,37.82
2004-11-09,161.95,161.95,157.0,157.0,157.9,6647.0,10.55
2004-11-10,158.0,159.4,156.25,156.55,156.8,7628.0,11.99
2004-11-11,157.0,166.0,155.0,155.0,155.5,53428.0,84.84
2004-11-12,158.45,158.75,157.0,158.45,157.9,4889.0,7.72
2004-11-16,153.1,161.7,153.1,156.8,157.4,22062.0,34.54
2004-11-17,156.5,157.0,155.0,155.35,155.55,10837.0,16.93
2004-11-18,156.0,156.0,153.5,153.5,154.05,25270.0,39.04
2004-11-19,150.1,156.4,150.1,153.25,153.65,16187.0,25.09
2004-11-22,155.4,160.35,154.2,155.15,155.7,38978.0,61.27
2004-11-23,156.0,158.0,153.1,153.15,154.1,30791.0,47.85
2004-11-24,154.5,156.0,152.0,152.5,153.0,39432.0,60.79
2004-11-25,153.0,155.5,152.0,152.0,152.45,23391.0,35.98
2004-11-29,154.1,155.0,151.1,151.6,152.15,39204.0,59.95
