Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-05-13,54.0,58.0,48.4,51.2,51.4,22625458.0,11644.49
2010-05-14,50.5,50.8,44.0,44.75,45.8,2782874.0,1344.47
2010-05-17,45.0,45.1,41.7,42.85,42.65,1823712.0,781.96
2010-05-18,42.05,44.35,41.65,42.0,42.15,923431.0,393.43
2010-05-19,41.1,42.4,39.5,39.75,40.05,541976.0,222.47
2010-05-20,40.0,41.7,39.2,39.5,39.6,216587.0,86.36
2010-05-21,38.0,38.9,35.4,38.9,37.95,419778.0,157.82
2010-05-24,39.5,41.0,37.8,38.0,38.35,336581.0,132.81
2010-05-25,36.1,43.3,36.1,42.65,42.15,740454.0,301.21
2010-05-26,42.5,44.5,40.35,44.05,43.5,530924.0,226.1
2010-05-27,44.0,46.05,42.6,45.2,45.45,370710.0,165.68
2010-05-28,46.0,46.4,43.25,43.7,43.55,265294.0,119.28
2010-05-31,43.5,44.15,40.6,40.9,41.2,137050.0,57.65
2010-06-01,40.7,42.65,39.55,39.6,39.7,165351.0,67.45
2010-06-02,40.0,41.55,40.0,40.15,40.4,129341.0,52.65
2010-06-03,41.5,41.7,40.5,40.5,40.65,58902.0,24.11
2010-06-04,40.0,41.3,39.05,40.0,39.75,94007.0,37.51
2010-06-07,39.0,39.5,36.1,39.0,38.85,58243.0,22.68
2010-06-08,40.0,41.9,37.5,37.8,37.5,414769.0,158.14
2010-06-09,37.6,38.9,36.5,37.5,37.15,408026.0,154.85
2010-06-10,37.05,38.5,37.05,38.0,37.95,111639.0,42.48
2010-06-11,38.2,38.8,37.55,37.6,37.65,89549.0,34.06
2010-06-14,37.85,38.65,37.1,37.4,37.4,180530.0,68.16
2010-06-15,38.2,38.2,36.85,37.05,37.05,128430.0,47.91
2010-06-16,37.6,37.75,36.85,37.0,37.0,78705.0,29.29
2010-06-17,37.0,38.4,36.7,36.7,36.85,213825.0,79.88
2010-06-18,37.8,37.8,35.15,35.5,35.45,822318.0,294.3
2010-06-21,35.8,39.7,35.8,38.7,38.65,653568.0,251.61
2010-06-22,39.0,39.5,37.9,38.3,38.15,189108.0,72.93
2010-06-23,38.1,38.1,37.65,38.0,37.95,67385.0,25.52
2010-06-24,37.9,38.35,37.4,37.4,37.5,95187.0,35.99
2010-06-25,37.9,37.9,36.6,36.65,36.8,92433.0,34.12
2010-06-28,37.45,37.9,36.0,36.7,36.9,72562.0,26.87
2010-06-29,38.0,39.9,37.0,38.2,38.25,483641.0,187.68
2010-06-30,37.15,39.15,37.15,39.15,38.8,116851.0,44.85
2010-07-01,38.5,38.5,36.5,37.35,37.25,334971.0,125.03
2010-07-02,37.5,39.05,37.05,37.85,38.05,193037.0,74.26
2010-07-05,37.85,38.5,36.9,37.05,37.15,101995.0,38.13
2010-07-06,37.05,37.95,37.05,37.45,37.35,66419.0,24.92
2010-07-07,37.2,38.75,37.2,37.85,37.95,114470.0,43.69
2010-07-08,38.8,38.8,37.6,37.7,37.85,119425.0,45.3
2010-07-09,38.0,40.0,37.95,39.9,39.7,430575.0,169.67
2010-07-12,40.5,41.45,39.85,40.25,40.3,274476.0,111.43
2010-07-13,40.2,45.2,40.2,43.7,43.9,851790.0,368.19
2010-07-14,44.9,45.75,40.8,41.2,41.55,922450.0,403.24
2010-07-15,41.9,42.4,39.25,39.85,39.6,294298.0,119.16
2010-07-16,39.6,41.65,39.6,40.1,40.15,403244.0,164.55
2010-07-19,39.6,40.65,39.25,40.05,40.1,355423.0,141.55
2010-07-20,40.0,41.45,39.05,39.85,39.75,293779.0,118.66
2010-07-21,40.45,40.8,39.55,39.8,39.75,151028.0,60.61
2010-07-22,39.95,40.15,38.8,39.7,39.6,237399.0,93.5
2010-07-23,40.05,40.35,38.4,38.7,38.65,187072.0,73.59
2010-07-26,38.15,39.4,37.7,37.7,37.9,112292.0,43.1
2010-07-27,38.4,39.3,37.6,39.25,39.05,315633.0,121.13
2010-07-28,38.8,39.6,38.4,39.2,39.1,171411.0,66.76
2010-07-29,39.0,39.3,38.5,39.0,38.8,49201.0,19.12
2010-07-30,38.15,39.2,38.1,38.1,38.35,74298.0,28.68
2010-08-02,38.5,39.6,38.15,38.15,38.65,125264.0,48.65
2010-08-03,39.0,39.45,37.8,38.8,38.85,158875.0,61.44
2010-08-04,38.5,39.45,38.5,38.95,38.95,142943.0,55.73
2010-08-05,39.05,39.8,38.85,39.0,39.0,247608.0,97.14
2010-08-06,39.1,39.9,39.05,39.25,39.2,142980.0,56.45
2010-08-09,39.9,41.0,39.4,40.8,40.6,498990.0,200.09
2010-08-10,40.1,43.2,40.1,40.7,40.65,642015.0,268.24
2010-08-11,40.95,41.6,38.9,38.95,39.05,264841.0,106.59
2010-08-12,39.45,42.3,38.55,39.95,39.8,724295.0,295.22
2010-08-13,39.9,41.5,39.4,40.75,40.7,448588.0,181.75
2010-08-16,40.8,41.35,39.4,40.55,39.85,297346.0,120.48
2010-08-17,40.7,45.8,40.35,45.2,45.15,1943905.0,851.34
2010-08-18,45.75,46.45,43.3,46.25,46.15,1255293.0,570.45
2010-08-19,45.5,47.0,44.65,45.0,45.05,656463.0,300.94
2010-08-20,45.0,46.5,44.5,44.8,44.95,454320.0,206.63
2010-08-23,44.95,45.85,43.8,44.55,44.2,235092.0,105.71
2010-08-24,44.5,45.5,44.25,44.5,44.95,305936.0,137.46
2010-08-25,44.3,44.85,42.55,42.8,43.2,168564.0,73.39
2010-08-26,43.25,44.3,42.55,42.65,42.7,144734.0,62.98
2010-08-27,43.9,43.9,41.55,42.25,41.8,161292.0,68.47
2010-08-30,42.0,43.7,42.0,42.85,42.85,156365.0,67.22
2010-08-31,42.9,43.0,41.05,41.2,41.55,224109.0,93.47
2010-09-01,41.7,42.8,41.7,42.35,42.05,97877.0,41.18
2010-09-02,42.15,42.9,41.6,41.9,41.8,83493.0,35.15
2010-09-03,41.5,42.6,41.5,41.75,41.9,75451.0,31.68
2010-09-06,42.0,43.5,41.95,42.6,42.55,109287.0,46.6
2010-09-07,42.65,43.85,41.7,42.3,41.95,226554.0,96.45
2010-09-08,42.05,44.85,41.8,44.15,43.9,223873.0,97.91
2010-09-09,43.55,45.25,43.55,43.75,43.8,163890.0,72.44
2010-09-13,44.3,44.45,42.7,42.7,43.1,133401.0,57.87
2010-09-14,43.2,44.0,41.5,41.65,41.8,183926.0,78.19
2010-09-15,42.3,42.95,40.75,40.8,40.95,418288.0,175.44
2010-09-16,41.3,42.2,40.8,41.25,41.1,145776.0,60.31
2010-09-17,41.8,42.5,40.9,42.1,42.1,782970.0,323.75
2010-09-20,43.1,43.9,41.55,41.85,41.9,509912.0,218.44
2010-09-21,42.3,43.8,41.85,42.35,42.3,317398.0,135.55
2010-09-22,42.6,42.6,40.65,41.1,40.9,196969.0,81.34
2010-09-23,41.3,42.4,40.7,42.0,42.05,391950.0,163.37
2010-09-24,41.8,44.9,41.5,43.65,44.0,469314.0,205.03
2010-09-27,44.6,44.85,43.2,44.6,44.2,253874.0,111.92
2010-09-28,44.65,45.95,44.15,44.4,44.35,602247.0,271.31
2010-09-29,44.45,44.9,43.55,43.75,43.95,155856.0,68.69
2010-09-30,43.95,46.5,43.3,44.5,44.4,1030310.0,465.02
2010-10-01,44.7,49.3,44.7,48.3,48.15,1932634.0,927.68
2010-10-04,49.05,50.45,46.55,47.4,47.3,1226346.0,597.93
2010-10-05,47.5,47.8,45.65,46.35,46.1,206035.0,96.52
2010-10-06,46.5,49.5,46.15,48.5,48.6,477168.0,228.97
2010-10-07,49.1,50.9,46.3,46.95,46.75,1391001.0,685.41
2010-10-08,47.3,47.85,45.45,46.25,46.05,378610.0,176.6
2010-10-11,47.05,47.2,46.0,46.05,46.35,229742.0,106.96
2010-10-12,46.25,46.8,45.0,45.8,45.4,178281.0,81.3
2010-10-13,45.55,47.0,45.4,45.95,45.85,279865.0,128.79
2010-10-14,46.0,46.25,44.25,44.5,44.5,204777.0,92.65
2010-10-15,44.8,46.4,44.2,44.5,44.4,386272.0,174.49
2010-10-18,44.1,44.8,43.35,44.45,44.35,112646.0,49.79
