Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,39.2,42.25,37.5,,,,
1998-03-23,42.8,42.8,41.55,41.9,41.9,133250.0,56.71
1998-03-24,42.8,42.8,38.75,40.0,39.55,374200.0,151.41
1998-03-25,41.0,41.5,40.2,40.85,41.25,98850.0,40.38
1998-03-26,40.6,41.4,38.0,38.0,38.1,91050.0,36.0
1998-03-27,36.6,38.8,36.0,38.0,38.1,81050.0,30.79
1998-03-30,38.45,39.0,37.4,37.55,37.55,50650.0,19.46
1998-03-31,36.75,37.65,35.35,36.75,36.0,98500.0,35.79
1998-04-01,37.8,38.5,37.7,37.7,37.8,45750.0,17.37
1998-04-02,37.5,38.15,37.0,37.0,37.2,26750.0,10.07
1998-04-03,37.05,38.0,36.0,38.0,37.55,35650.0,13.13
1998-04-06,38.0,38.95,37.1,38.1,38.1,95000.0,36.25
1998-04-07,38.1,39.5,37.55,38.1,38.2,86650.0,33.41
1998-04-09,39.75,42.05,39.1,42.05,42.05,158300.0,64.76
1998-04-10,43.0,45.0,40.5,42.8,43.05,343100.0,149.28
1998-04-13,42.75,42.95,40.15,40.8,40.6,261600.0,108.26
1998-04-15,43.4,44.5,43.0,43.95,43.75,146200.0,63.86
1998-04-16,44.4,44.5,41.3,41.5,41.75,94400.0,40.13
1998-04-17,41.5,41.75,39.0,41.0,40.85,60350.0,24.6
1998-04-20,40.05,41.6,40.05,40.15,40.45,67200.0,27.51
1998-04-21,41.4,44.5,39.9,44.5,44.5,194350.0,82.68
1998-04-22,47.1,48.9,42.75,43.45,43.3,411750.0,190.39
1998-04-23,43.4,47.65,42.0,47.25,47.1,622000.0,289.6
1998-04-24,47.95,49.5,42.75,48.6,48.35,595600.0,279.62
1998-04-27,51.0,53.2,49.5,53.2,52.8,946800.0,490.72
1998-04-28,55.6,55.6,51.05,52.0,51.4,643200.0,337.86
1998-04-29,50.1,50.9,46.3,46.3,46.3,426150.0,203.87
1998-04-30,43.4,50.95,42.0,50.0,49.9,734800.0,343.88
1998-05-04,51.8,51.8,48.55,50.0,50.0,517300.0,259.99
1998-05-05,49.25,50.3,47.65,48.5,48.3,300150.0,145.82
1998-05-06,50.25,50.25,47.5,48.2,47.75,150450.0,73.38
1998-05-08,47.0,47.7,46.1,46.25,46.4,133400.0,62.52
1998-05-11,49.5,51.05,49.0,51.05,51.05,452150.0,230.25
1998-05-12,55.0,55.0,45.95,46.55,46.65,353400.0,166.21
1998-05-13,42.5,47.0,42.5,43.0,42.95,155750.0,70.09
