Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2000-11-21,17.5,17.5,17.5,17.5,17.5,50.0,0.01
2000-11-24,20.0,20.0,20.0,20.0,20.0,1000.0,0.2
2000-11-27,19.6,21.0,19.6,21.0,21.0,400.0,0.08
2000-11-28,20.95,20.95,20.0,20.0,20.0,200.0,0.04
2000-12-04,21.6,21.6,21.6,21.6,21.6,25000.0,5.4
2000-12-06,21.95,21.95,21.95,21.95,21.95,25000.0,5.49
2000-12-07,22.45,22.45,22.45,22.45,22.45,15000.0,3.37
2000-12-08,20.95,22.0,20.95,22.0,22.0,20100.0,4.21
2000-12-11,22.1,23.0,22.1,23.0,23.0,500.0,0.11
2000-12-12,23.0,23.0,23.0,23.0,23.0,300.0,0.07
2000-12-18,22.0,22.0,22.0,22.0,22.0,100.0,0.02
2000-12-19,22.05,22.05,21.5,21.5,21.5,8800.0,1.89
2000-12-20,22.5,22.5,22.5,22.5,22.5,150.0,0.03
2000-12-22,21.5,22.0,21.5,21.55,21.55,950.0,0.21
2000-12-26,21.5,21.5,21.5,21.5,21.5,250.0,0.05
2001-01-01,23.0,23.0,23.0,23.0,23.0,100.0,0.02
2001-01-02,23.0,23.0,23.0,23.0,23.0,200.0,0.05
2001-01-03,24.5,24.5,21.5,21.5,21.5,14150.0,3.13
2001-01-08,22.0,22.0,21.5,21.5,21.5,10050.0,2.16
2001-01-09,21.5,21.5,21.5,21.5,21.5,400.0,0.09
2001-01-10,22.0,22.0,21.5,21.5,21.5,1100.0,0.24
2001-01-11,21.5,21.5,21.5,21.5,21.5,200.0,0.04
2001-01-12,23.0,23.0,21.75,21.75,21.75,200.0,0.04
2001-01-15,21.5,21.5,21.5,21.5,21.5,100.0,0.02
2001-01-16,21.55,21.55,21.5,21.5,21.5,8000.0,1.72
2001-01-17,21.5,22.95,21.5,22.95,22.95,9600.0,2.09
2001-01-18,21.5,21.55,21.4,21.4,21.4,8100.0,1.74
