Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2004-09-15,395.0,395.0,395.0,395.0,395.0,1.0,0.0
2004-09-17,365.0,380.0,365.0,372.0,372.0,155.0,0.57
2004-09-20,379.0,379.0,379.0,379.0,379.0,1.0,0.0
2004-09-21,375.05,379.0,370.5,379.0,379.0,4.0,0.01
2004-09-22,382.0,416.0,380.0,380.0,380.0,26.0,0.1
2004-09-23,366.0,396.0,366.0,395.0,395.0,227.0,0.9
2004-09-24,395.0,395.0,392.0,392.0,392.0,60.0,0.24
2004-09-27,394.9,395.0,390.0,390.0,390.0,382.0,1.5
2004-09-28,380.0,392.5,377.1,379.1,379.1,267.0,1.03
2004-09-29,371.0,371.0,371.0,371.0,371.0,9.0,0.03
2004-09-30,389.95,389.95,385.0,389.95,389.95,177.0,0.68
2004-10-01,389.0,390.0,389.0,390.0,390.0,98.0,0.38
2004-10-04,380.0,415.9,375.0,394.5,393.5,2238.0,8.64
2004-10-05,391.0,398.55,381.0,387.0,387.0,745.0,2.89
2004-10-06,400.0,400.0,381.0,381.0,382.1,1857.0,7.21
2004-10-07,385.0,400.0,385.0,400.0,398.1,569.0,2.23
2004-10-08,386.0,415.0,386.0,410.0,413.45,1166.0,4.74
2004-10-09,415.0,454.45,415.0,441.0,446.5,1326.0,5.88
2004-10-11,459.8,459.8,431.0,440.0,437.85,680.0,3.04
2004-10-12,435.0,435.0,420.0,421.0,422.55,577.0,2.47
2004-10-14,402.0,439.9,402.0,426.0,427.8,710.0,3.03
2004-10-15,410.0,425.0,387.25,395.0,394.4,2255.0,9.07
2004-10-18,401.5,405.5,380.0,392.0,388.3,866.0,3.4
2004-10-19,405.0,410.0,384.25,384.25,391.3,435.0,1.72
2004-10-20,398.9,398.9,384.0,389.0,387.0,232.0,0.9
2004-10-21,383.55,388.5,360.0,360.0,371.35,5290.0,20.51
2004-10-25,370.0,370.0,337.0,342.0,343.3,858.0,2.97
2004-10-26,345.0,360.0,340.0,347.7,346.95,5640.0,19.62
2004-10-27,344.0,358.0,342.5,358.0,350.75,2727.0,9.41
2004-10-28,356.0,356.0,342.0,342.0,342.75,2010.0,7.0
2004-10-29,344.0,350.0,344.0,349.0,348.35,3190.0,11.11
2004-11-01,349.0,360.0,346.1,346.1,351.45,3175.0,11.12
2004-11-02,332.0,366.9,332.0,355.05,360.0,2328.0,8.34
2004-11-03,360.0,368.0,360.0,366.0,365.45,4738.0,17.24
2004-11-04,366.0,368.0,356.05,356.05,356.05,3046.0,11.05
2004-11-05,355.0,355.0,349.1,353.0,351.05,298.0,1.05
2004-11-08,355.0,355.0,349.05,350.0,350.0,100.0,0.35
2004-11-09,350.0,351.0,345.05,345.05,345.05,180.0,0.63
2004-11-10,350.0,365.0,350.0,357.0,357.0,267.0,0.95
2004-11-11,362.35,367.0,360.0,360.0,360.95,1015.0,3.67
2004-11-12,365.0,374.0,365.0,374.0,369.3,173.0,0.64
2004-11-16,356.15,360.9,343.0,348.4,346.75,2229.0,7.74
2004-11-17,359.5,360.0,350.0,360.0,359.05,1200.0,4.25
2004-11-18,389.0,389.0,350.0,353.05,358.55,1673.0,5.97
2004-11-19,360.0,360.05,358.0,358.0,358.0,1195.0,4.29
2004-11-22,350.0,359.0,347.25,359.0,359.0,664.0,2.35
2004-11-23,354.0,365.0,345.1,356.0,356.05,348.0,1.25
2004-11-24,361.0,385.0,361.0,377.2,381.0,1246.0,4.72
2004-11-25,371.35,371.35,355.0,371.1,371.1,468.0,1.7
2004-11-29,373.5,385.0,373.5,373.5,373.5,161.0,0.6
2004-11-30,378.0,378.0,361.55,369.7,369.7,295.0,1.08
2004-12-01,360.0,368.0,350.0,360.0,358.35,858.0,3.07
2004-12-02,375.0,375.0,351.4,351.4,359.95,381.0,1.39
2004-12-03,356.35,365.0,356.0,361.25,361.4,404.0,1.46
2004-12-06,355.15,376.35,355.15,365.0,364.55,312.0,1.16
2004-12-07,357.0,362.0,356.0,362.0,362.0,170.0,0.61
2004-12-08,357.0,375.0,357.0,365.0,365.0,1795.0,6.57
2004-12-09,360.15,368.5,355.15,363.0,360.85,1390.0,5.02
2004-12-10,360.1,365.0,360.1,365.0,364.7,263.0,0.95
2004-12-13,369.9,375.0,356.3,375.0,373.7,963.0,3.55
2004-12-14,375.0,384.9,375.0,380.0,380.6,320.0,1.22
2004-12-15,371.0,384.5,370.0,380.0,380.05,2084.0,7.91
2004-12-16,375.0,390.0,375.0,390.0,389.7,1038.0,3.96
2004-12-17,387.0,388.35,383.5,385.0,385.15,614.0,2.37
2004-12-20,400.0,400.0,391.0,392.0,392.0,876.0,3.45
2004-12-21,395.0,409.0,395.0,409.0,407.8,1509.0,6.11
2004-12-22,419.95,425.0,392.0,400.0,399.85,1382.0,5.54
2004-12-23,472.05,472.05,400.0,401.0,400.45,2225.0,9.04
2004-12-24,405.0,405.0,396.0,396.0,398.0,763.0,3.07
2004-12-27,365.0,404.45,365.0,404.45,401.9,305.0,1.21
2004-12-28,407.0,410.0,401.0,405.0,408.25,2581.0,10.46
2004-12-29,419.0,419.0,400.0,402.0,404.9,561.0,2.28
2004-12-30,400.0,409.9,395.0,400.0,397.95,1440.0,5.79
2004-12-31,405.0,410.0,399.0,407.8,405.9,2145.0,8.67
2005-01-03,410.0,430.0,410.0,427.95,426.1,1795.0,7.59
2005-01-04,424.0,437.0,419.0,437.0,431.6,1782.0,7.64
2005-01-05,440.0,440.0,400.0,409.0,409.0,1515.0,6.48
2005-01-06,400.0,420.0,391.5,410.0,399.45,1506.0,6.04
2005-01-07,415.0,415.0,402.7,403.55,403.55,17.0,0.07
2005-01-10,404.55,422.0,404.0,410.0,410.25,1028.0,4.29
2005-01-11,418.55,420.0,407.2,409.0,410.05,460.0,1.89
2005-01-12,415.0,415.0,390.0,390.0,393.15,845.0,3.43
2005-01-13,410.0,410.0,396.15,396.2,397.7,230.0,0.91
2005-01-14,397.25,408.0,397.1,397.2,397.4,112.0,0.45
2005-01-17,405.0,405.0,386.0,402.0,402.0,303.0,1.21
2005-01-18,410.0,410.0,401.0,401.0,401.0,132.0,0.53
2005-01-19,409.55,413.95,397.0,409.5,403.35,986.0,3.98
2005-01-20,399.0,415.1,399.0,406.2,406.2,1293.0,5.31
2005-01-24,392.35,399.4,383.0,383.0,386.2,155.0,0.6
2005-01-25,380.0,380.0,372.25,372.25,372.25,12.0,0.04
2005-01-28,390.0,395.0,387.3,388.25,394.75,200.0,0.79
2005-01-31,390.0,399.0,390.0,399.0,398.65,347.0,1.37
2005-02-01,399.0,399.0,395.0,395.0,395.0,150.0,0.59
2005-02-02,395.0,395.0,382.0,382.0,382.3,998.0,3.88
2005-02-03,373.05,413.5,373.05,403.0,399.1,3404.0,13.65
2005-02-04,400.0,413.9,399.0,407.0,406.65,1293.0,5.24
2005-02-07,404.05,409.95,401.5,401.5,403.1,917.0,3.7
2005-02-08,392.1,399.95,392.1,399.95,399.95,102.0,0.41
2005-02-09,383.1,404.0,383.1,400.0,400.0,560.0,2.23
2005-02-10,433.75,440.0,384.0,440.0,440.0,243250.0,941.85
2005-02-11,484.0,484.0,471.0,484.0,484.0,8252.0,39.89
2005-02-14,529.0,530.0,497.05,501.0,501.25,7806.0,39.64
2005-02-15,501.75,501.75,476.5,487.95,486.35,4846.0,23.49
2005-02-16,480.0,506.5,466.0,502.0,499.5,7321.0,36.43
2005-02-17,485.0,499.95,480.0,490.0,490.15,1908.0,9.38
2005-02-18,490.0,498.0,475.0,482.0,478.85,3626.0,17.85
2005-02-21,465.0,479.9,465.0,467.0,469.5,792.0,3.71
2005-02-22,456.15,456.15,446.1,446.1,446.1,1425.0,6.37
2005-02-23,450.0,450.0,440.05,450.0,448.8,1815.0,8.12
2005-02-24,451.0,464.0,446.15,455.0,455.25,1778.0,8.16
2005-02-25,447.15,452.0,446.0,446.0,447.9,1413.0,6.36
2005-02-28,432.15,447.0,432.15,436.5,439.85,607.0,2.67
2005-03-01,433.1,449.0,433.0,449.0,449.0,2050.0,9.14
2005-03-02,449.0,452.7,440.3,440.3,446.95,576.0,2.57
2005-03-03,450.25,455.0,450.0,451.55,451.55,1200.0,5.41
2005-03-04,468.0,474.15,460.0,474.15,474.15,2802.0,13.17
2005-03-07,456.2,497.9,456.2,497.9,497.9,1623.0,8.02
2005-03-08,519.0,522.8,516.2,522.8,522.8,2193.0,11.43
2005-03-09,525.0,540.0,512.2,525.0,524.95,8642.0,45.7
2005-03-10,525.9,551.2,525.9,551.2,551.2,3272.0,17.8
2005-03-11,552.0,578.8,552.0,578.8,578.8,1779.0,10.28
2005-03-14,604.0,607.75,604.0,607.75,607.75,1365.0,8.29
2005-03-15,638.15,638.15,638.15,638.15,638.15,1865.0,11.9
2005-03-16,670.05,670.05,670.05,670.05,670.05,754.0,5.05
2005-03-17,703.55,703.55,648.05,667.0,668.15,22166.0,153.0
2005-03-18,670.0,676.0,634.75,634.75,634.75,842.0,5.37
2005-03-21,605.0,629.55,603.25,603.25,613.9,2069.0,12.72
2005-03-22,605.0,605.0,584.2,584.2,584.2,533.0,3.15
2005-03-23,575.0,585.0,555.0,555.0,555.8,447.0,2.54
2005-03-24,545.0,568.0,535.0,535.0,537.7,3331.0,18.46
