Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,30.0,30.5,29.1,,,,
1998-03-23,32.0,32.0,32.0,32.0,32.0,100.0,0.03
1998-03-24,33.0,35.0,31.55,35.0,35.0,2400.0,0.81
1998-03-25,37.25,38.4,37.0,37.75,37.75,8500.0,3.19
1998-03-26,37.55,41.0,36.5,36.5,36.5,5500.0,2.11
1998-03-27,37.5,38.0,37.0,38.0,37.95,1200.0,0.45
1998-03-30,37.1,37.3,36.55,36.55,36.95,1700.0,0.63
1998-03-31,37.0,37.0,34.05,36.5,36.25,3400.0,1.22
1998-04-01,36.7,39.0,36.7,37.55,37.55,900.0,0.34
1998-04-02,38.0,38.0,36.0,37.8,37.8,800.0,0.3
1998-04-03,35.1,36.0,35.1,35.1,35.1,1200.0,0.42
1998-04-06,37.1,37.1,36.15,36.15,36.15,800.0,0.29
1998-04-07,37.0,38.5,36.0,38.5,38.45,2000.0,0.73
1998-04-09,41.9,42.3,41.05,42.25,42.25,3000.0,1.26
1998-04-10,43.9,46.5,43.9,45.75,45.75,4900.0,2.23
1998-04-13,44.5,45.5,43.0,44.7,44.55,2800.0,1.25
1998-04-15,49.0,49.0,47.0,48.75,48.75,2900.0,1.4
1998-04-16,50.0,50.0,45.0,45.25,45.25,1800.0,0.84
1998-04-17,43.25,45.75,43.25,45.75,44.7,1400.0,0.62
1998-04-20,43.5,44.0,43.5,43.5,43.55,1400.0,0.61
1998-04-21,44.0,44.1,41.0,41.0,41.1,1500.0,0.63
1998-04-22,43.25,45.0,40.0,40.0,40.0,2700.0,1.16
1998-04-23,40.15,40.15,40.0,40.0,40.0,500.0,0.2
1998-04-24,38.0,39.0,38.0,39.0,39.0,200.0,0.08
1998-04-27,37.5,37.5,35.5,35.5,35.5,200.0,0.07
1998-04-28,35.5,36.5,35.5,35.5,35.9,1600.0,0.57
1998-04-29,37.0,37.0,33.0,33.0,33.0,1600.0,0.55
1998-04-30,33.1,35.5,33.1,35.5,35.5,900.0,0.31
1998-05-04,35.25,35.5,34.0,34.0,34.0,1200.0,0.42
1998-05-05,33.85,37.0,33.85,37.0,36.9,2700.0,0.94
1998-05-06,40.0,40.0,37.25,38.75,38.75,1200.0,0.45
1998-05-08,37.1,37.1,36.5,36.5,36.5,700.0,0.26
1998-05-11,37.0,37.0,36.85,37.0,37.0,400.0,0.15
1998-05-12,35.0,37.0,34.0,35.5,35.5,3300.0,1.16
1998-05-13,34.2,34.2,33.5,33.5,33.8,600.0,0.2
1998-05-14,33.0,37.0,33.0,36.5,36.5,900.0,0.31
1998-05-15,40.0,40.0,40.0,40.0,40.0,100.0,0.04
1998-05-18,36.0,36.0,36.0,36.0,36.0,100.0,0.04
1998-05-19,35.95,35.95,33.0,33.0,33.0,1000.0,0.35
1998-05-20,31.65,36.25,31.65,35.25,35.9,1100.0,0.39
1998-05-21,33.0,38.0,33.0,37.95,37.95,2400.0,0.9
1998-05-22,37.1,37.5,36.0,36.0,36.0,1900.0,0.7
1998-05-25,34.05,36.95,33.5,35.25,35.25,700.0,0.25
1998-05-26,34.0,35.9,33.2,35.9,35.9,1400.0,0.48
1998-05-27,36.0,36.0,33.5,34.8,34.8,500.0,0.18
1998-05-28,35.3,36.0,35.3,36.0,36.0,1300.0,0.46
1998-05-29,35.5,37.45,35.5,37.45,37.45,1500.0,0.54
1998-06-01,37.75,41.0,37.75,41.0,40.65,4400.0,1.79
1998-06-02,43.95,44.5,41.5,44.1,44.15,9200.0,4.03
1998-06-03,46.0,48.4,44.15,45.0,45.0,4100.0,1.89
1998-06-04,45.05,46.3,43.8,44.6,44.6,5800.0,2.58
1998-06-05,42.05,44.0,41.0,41.0,41.0,1600.0,0.68
1998-06-08,41.0,41.25,37.25,37.25,37.25,1900.0,0.76
1998-06-09,37.45,37.5,35.1,36.5,36.5,2300.0,0.85
1998-06-10,35.5,36.0,35.5,36.0,36.0,1100.0,0.4
1998-06-12,36.9,37.75,36.9,37.75,37.75,700.0,0.26
1998-06-15,34.15,34.25,34.15,34.15,34.15,500.0,0.17
1998-06-16,32.0,32.0,31.0,31.0,31.0,700.0,0.22
1998-06-17,31.5,33.0,31.0,31.0,31.0,1500.0,0.47
1998-06-18,33.0,33.0,31.0,31.5,31.5,1100.0,0.35
1998-06-19,30.5,30.5,30.0,30.0,30.0,400.0,0.12
1998-06-22,29.9,30.0,29.9,30.0,30.0,700.0,0.21
1998-06-23,27.15,27.95,27.05,27.05,27.05,700.0,0.19
1998-06-24,29.75,29.75,29.75,29.75,29.75,100.0,0.03
1998-06-25,32.75,32.75,32.75,32.75,32.75,300.0,0.1
1998-06-29,30.75,30.75,30.75,30.75,30.75,100.0,0.03
