Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-03-12,28.0,28.0,27.15,27.15,27.15,35555.0,9.67
2012-03-13,25.8,25.8,25.8,25.8,25.8,9826.0,2.54
2012-03-14,24.55,25.05,24.55,24.55,24.55,275827.0,67.79
2012-03-15,24.5,25.75,23.4,25.75,25.6,62456.0,15.73
2012-03-16,26.0,26.85,26.0,26.85,26.85,41181.0,10.86
2012-03-19,27.85,28.15,26.35,28.15,28.1,59458.0,16.65
2012-03-20,28.2,28.7,27.4,28.05,27.85,68930.0,19.24
2012-03-21,28.1,28.1,27.1,27.1,27.15,17192.0,4.73
2012-03-22,26.9,27.0,25.85,25.9,26.15,23211.0,6.18
2012-03-23,26.75,26.8,25.8,26.75,26.55,18774.0,4.96
2012-03-26,26.9,27.25,26.5,26.6,26.9,39970.0,10.72
2012-03-27,26.95,26.95,25.75,26.95,26.8,3399.0,0.91
2012-03-28,26.05,27.0,23.8,24.75,25.0,36510.0,9.27
2012-03-29,25.0,25.95,25.0,25.0,25.1,40451.0,10.17
2012-03-30,25.95,26.5,25.65,26.0,26.0,12830.0,3.34
2012-04-02,24.55,26.8,24.55,25.5,25.6,20090.0,5.21
2012-04-03,25.55,26.05,25.45,25.45,25.45,16017.0,4.12
2012-04-04,23.5,25.25,23.5,25.0,24.95,12305.0,3.05
2012-04-09,24.0,24.85,24.0,24.8,24.15,20148.0,4.91
2012-04-10,24.05,24.25,23.6,24.0,24.05,141705.0,34.03
2012-04-11,23.8,24.45,23.8,24.45,24.45,3258.0,0.8
2012-04-12,24.5,24.5,24.0,24.0,24.0,14584.0,3.52
2012-04-13,23.3,24.0,22.85,23.0,23.2,54734.0,12.65
2012-04-16,23.0,23.9,23.0,23.25,23.3,31065.0,7.33
2012-04-17,25.55,26.5,23.05,26.0,25.8,64532.0,16.24
2012-04-18,26.0,28.0,26.0,27.25,27.55,69878.0,19.0
2012-04-19,28.1,33.05,26.85,33.05,32.9,463632.0,148.01
2012-04-20,33.25,36.0,31.05,32.1,32.8,641183.0,219.5
2012-04-23,32.95,34.2,31.2,33.3,33.15,101786.0,33.64
2012-04-24,30.5,34.65,30.5,33.0,32.9,49651.0,16.51
2012-04-25,32.35,32.75,29.65,31.15,31.3,54601.0,17.01
2012-04-26,31.4,32.5,30.6,31.25,31.45,52193.0,16.45
2012-04-27,31.0,32.8,30.6,32.45,32.5,78710.0,25.39
2012-04-28,32.0,33.0,32.0,32.9,32.85,9851.0,3.22
2012-04-30,32.05,34.2,32.0,33.75,33.7,71472.0,23.98
2012-05-02,33.0,35.9,33.0,34.4,34.75,212939.0,74.3
2012-05-03,34.3,35.0,34.0,34.5,34.45,75842.0,26.1
2012-05-04,33.0,34.55,32.55,32.7,32.95,121812.0,40.46
2012-05-07,36.2,36.2,33.65,34.4,34.1,749327.0,267.67
2012-05-08,33.25,34.9,32.85,34.5,34.5,115386.0,39.64
2012-05-09,35.15,36.15,33.75,34.05,34.4,86486.0,30.09
2012-05-10,34.05,35.8,34.0,35.05,35.0,100880.0,35.3
2012-05-11,35.5,35.55,34.7,35.0,35.05,35595.0,12.49
2012-05-14,35.6,35.6,34.3,34.4,34.85,59301.0,20.83
2012-05-15,34.15,34.7,34.0,34.3,34.05,11032.0,3.76
2012-05-16,34.0,34.95,33.55,33.6,33.95,15341.0,5.24
2012-05-17,33.75,34.4,33.0,33.0,33.0,70941.0,23.56
2012-05-18,32.3,33.5,32.3,32.8,32.9,67353.0,22.23
2012-05-21,33.9,34.1,32.35,32.35,32.45,18793.0,6.18
2012-05-22,32.15,33.4,32.15,32.85,32.8,27018.0,8.83
2012-05-23,33.25,33.25,32.0,32.1,32.3,75726.0,24.62
2012-05-24,32.5,32.55,32.0,32.0,32.0,71190.0,23.1
2012-05-25,32.0,32.0,31.5,32.0,31.75,35001.0,11.14
2012-05-28,33.5,33.6,32.25,33.6,33.4,51792.0,17.13
2012-05-29,33.55,33.6,32.55,32.65,32.55,18591.0,6.14
2012-05-30,32.0,32.5,31.0,31.8,31.3,22655.0,7.13
2012-05-31,31.05,32.7,31.0,31.5,31.3,17283.0,5.41
2012-06-01,33.7,33.7,31.0,31.8,32.2,56347.0,18.14
2012-06-04,30.7,34.0,30.7,34.0,33.55,87775.0,28.66
2012-06-05,33.0,33.9,32.4,32.6,32.65,22352.0,7.32
2012-06-06,33.0,34.5,32.6,33.1,33.4,37682.0,12.73
2012-06-07,33.75,33.75,32.0,33.5,33.5,56031.0,18.69
2012-06-08,36.0,36.4,33.0,36.2,36.0,108848.0,38.79
2012-06-11,36.1,38.3,36.1,37.5,37.55,153037.0,57.96
2012-06-12,36.5,38.4,36.5,38.0,38.0,82542.0,31.36
2012-06-13,36.5,37.75,36.5,36.8,36.75,17373.0,6.44
2012-06-14,38.0,38.4,36.8,38.2,38.0,110829.0,41.85
2012-06-15,37.5,38.45,37.5,38.45,38.1,66695.0,25.37
2012-06-18,38.6,38.6,37.75,38.25,38.15,23979.0,9.13
2012-06-19,38.95,39.5,37.55,39.0,38.6,72501.0,27.87
2012-06-20,40.0,40.0,37.8,38.0,38.0,209913.0,81.47
2012-06-21,38.0,39.0,37.6,38.1,38.35,49414.0,18.87
2012-06-22,36.5,38.55,36.0,37.65,37.9,33302.0,12.67
2012-06-25,37.65,37.9,36.75,36.8,36.95,17256.0,6.42
2012-06-26,36.65,37.3,36.65,37.05,37.05,10000.0,3.7
2012-06-27,38.7,38.7,36.45,36.95,37.0,12934.0,4.78
2012-06-28,37.25,37.25,36.75,36.8,36.8,23987.0,8.87
2012-06-29,37.0,37.45,36.6,36.7,36.7,14702.0,5.42
2012-07-02,35.85,37.35,35.7,35.95,35.75,52837.0,19.0
2012-07-03,35.6,35.9,34.0,34.6,34.5,96153.0,33.67
2012-07-04,33.75,34.4,32.7,33.8,33.8,131774.0,44.7
2012-07-05,33.05,34.5,33.05,34.25,34.15,30351.0,10.34
2012-07-06,34.15,36.2,34.1,35.0,35.25,62702.0,22.11
2012-07-09,33.0,34.0,32.2,32.55,32.65,116877.0,38.54
2012-07-10,33.0,35.05,32.55,33.0,33.0,186380.0,63.86
2012-07-11,32.75,33.5,32.6,32.8,32.85,22103.0,7.29
2012-07-12,32.4,33.25,32.4,32.8,32.85,26373.0,8.68
2012-07-13,33.0,33.0,32.35,32.6,32.6,29657.0,9.72
2012-07-16,32.5,32.85,32.05,32.45,32.15,19730.0,6.35
2012-07-17,31.6,33.5,31.6,31.65,31.9,31305.0,10.1
2012-07-18,32.7,32.7,31.5,32.0,31.95,7185.0,2.28
2012-07-19,32.4,32.4,31.7,31.7,31.95,43407.0,13.89
2012-07-20,32.0,32.15,31.7,31.95,32.0,33980.0,10.87
2012-07-23,31.9,32.0,31.25,31.25,31.35,2922.0,0.93
2012-07-24,31.15,32.0,31.1,31.3,31.55,8107.0,2.57
2012-07-25,31.1,31.75,30.65,31.05,31.1,9733.0,3.04
2012-07-26,31.95,31.95,30.25,31.35,31.35,42187.0,13.06
2012-07-27,32.65,32.65,31.0,31.0,31.0,5977.0,1.86
2012-07-30,31.0,31.5,29.5,30.95,29.6,56113.0,16.86
2012-07-31,29.25,30.05,29.0,30.0,29.95,30389.0,8.98
2012-08-01,29.3,31.9,29.3,30.95,30.6,11629.0,3.54
2012-08-02,30.0,31.6,30.0,31.6,31.45,4527.0,1.4
