Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-12-14,54.7,54.7,41.0,54.7,53.7,420.0,0.23
2010-12-16,56.4,56.4,56.4,56.4,56.4,120.0,0.07
2010-12-20,59.25,59.25,59.25,59.25,59.25,411.0,0.24
2010-12-21,62.25,62.25,62.25,62.25,62.25,1.0,0.0
2010-12-22,65.4,65.4,65.4,65.4,65.4,1151.0,0.75
2010-12-23,68.7,68.7,68.7,68.7,68.7,1.0,0.0
2010-12-24,72.15,72.15,72.15,72.15,72.15,301.0,0.22
2010-12-27,75.8,75.8,75.8,75.8,75.8,501.0,0.38
2010-12-28,79.6,79.6,79.6,79.6,79.6,950.0,0.76
2010-12-29,85.75,87.6,80.0,87.6,87.1,1710.0,1.45
2010-12-30,87.6,95.85,87.6,93.2,94.15,486.0,0.46
2010-12-31,99.5,100.0,90.15,100.0,100.0,485.0,0.47
2011-01-03,106.0,109.65,99.0,109.65,106.55,555.0,0.58
2011-01-04,111.8,111.9,104.5,111.9,111.9,492.0,0.54
2011-01-05,117.45,117.5,109.0,117.5,117.5,455.0,0.53
2011-01-06,123.4,123.4,123.4,123.4,123.4,224.0,0.28
2011-01-07,129.6,129.6,118.0,119.0,119.2,1045.0,1.28
2011-01-10,125.15,125.2,113.25,121.0,121.0,154.0,0.18
2011-01-11,127.05,127.05,125.9,125.9,125.9,225.0,0.29
2011-01-14,119.6,119.6,119.6,119.6,119.6,105.0,0.13
2011-01-17,113.65,113.65,113.65,113.65,113.65,13.0,0.01
2011-01-25,108.0,108.0,108.0,108.0,108.0,1.0,0.0
2011-01-27,102.6,102.6,102.6,102.6,102.6,4.0,0.0
2011-02-07,97.5,97.5,97.5,97.5,97.5,5.0,0.0
2011-02-17,92.65,92.65,92.65,92.65,92.65,1.0,0.0
2011-02-18,88.05,88.05,88.05,88.05,88.05,2.0,0.0
2011-03-03,83.65,83.65,83.65,83.65,83.65,1.0,0.0
2011-03-04,79.5,79.5,79.5,79.5,79.5,1.0,0.0
2011-03-11,75.55,75.55,75.55,75.55,75.55,1.0,0.0
2011-03-14,71.8,71.8,71.8,71.8,71.8,50.0,0.04
2011-03-16,68.25,68.25,68.25,68.25,68.25,100.0,0.07
2011-03-17,64.85,64.85,64.85,64.85,64.85,1.0,0.0
2011-03-21,61.65,61.65,61.65,61.65,61.65,1.0,0.0
2011-03-23,61.65,61.65,58.6,58.6,58.6,1050.0,0.62
2011-03-25,55.7,55.7,55.7,55.7,55.7,1.0,0.0
2011-03-28,52.95,52.95,52.95,52.95,52.95,1.0,0.0
2011-03-29,50.3,50.3,50.3,50.3,50.3,11.0,0.01
2011-03-30,47.8,47.8,47.8,47.8,47.8,12.0,0.01
2011-03-31,45.45,45.45,45.45,45.45,45.45,411.0,0.19
2011-04-01,43.2,43.2,43.2,43.2,43.2,1129.0,0.49
2011-04-04,41.05,42.0,41.05,42.0,41.15,2390.0,0.98
2011-04-05,39.3,40.75,39.1,40.75,40.75,1113.0,0.44
2011-04-06,40.0,41.9,38.75,41.6,41.5,1370.0,0.56
2011-04-07,39.9,39.9,39.45,39.9,39.9,150.0,0.06
2011-04-08,37.9,37.9,37.9,37.9,37.9,833.0,0.32
2011-04-11,37.9,37.9,36.8,37.8,37.8,192.0,0.07
2011-04-13,37.8,37.8,37.8,37.8,37.8,50.0,0.02
2011-04-15,35.95,39.6,35.95,39.6,39.6,216.0,0.08
2011-04-18,41.6,41.6,37.8,37.8,37.8,228.0,0.09
2011-04-19,37.8,38.0,37.8,38.0,38.0,108.0,0.04
2011-04-20,36.3,39.9,36.3,36.45,36.45,180.0,0.07
