Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,41.1,41.2,41.1,,,,
1998-03-25,45.3,45.3,45.3,45.3,45.3,100.0,0.05
1998-03-26,46.5,46.5,42.1,42.1,42.1,400.0,0.18
1998-03-27,40.1,40.1,40.0,40.0,40.0,200.0,0.08
1998-03-30,40.0,40.0,38.0,38.0,38.0,300.0,0.12
1998-03-31,39.0,39.0,39.0,39.0,39.0,200.0,0.08
1998-04-07,35.25,35.25,35.1,35.1,35.1,200.0,0.07
1998-04-09,38.5,38.5,38.5,38.5,38.5,600.0,0.23
1998-04-10,40.0,42.35,40.0,42.35,42.35,800.0,0.33
1998-04-13,43.85,43.85,43.85,43.85,43.85,900.0,0.39
1998-04-15,48.25,48.25,48.25,48.25,48.25,800.0,0.39
1998-04-16,53.1,53.1,53.1,53.1,53.1,1100.0,0.58
1998-04-17,53.1,53.1,51.8,53.1,52.4,2100.0,1.1
1998-04-20,53.0,53.0,51.15,51.9,51.9,1400.0,0.73
1998-04-21,52.9,53.95,51.05,53.95,53.3,2500.0,1.32
1998-04-22,58.65,58.65,58.65,58.65,58.65,300.0,0.18
1998-04-23,60.05,64.55,60.05,64.55,64.55,6600.0,4.22
1998-04-24,65.0,65.85,61.0,65.85,63.1,4800.0,3.01
1998-04-27,64.0,64.0,62.25,63.15,63.15,1500.0,0.95
1998-04-28,62.5,62.95,60.0,61.0,61.0,3200.0,1.97
1998-04-29,61.0,61.5,58.0,58.0,58.0,3200.0,1.89
1998-04-30,55.0,55.75,54.0,54.0,54.4,2800.0,1.53
1998-05-04,55.5,56.0,51.4,52.9,52.9,2500.0,1.33
1998-05-05,53.5,53.7,53.5,53.7,53.7,300.0,0.16
1998-05-06,52.05,54.0,52.05,53.9,53.45,1600.0,0.85
1998-05-08,52.25,52.75,52.25,52.75,52.75,300.0,0.16
1998-05-11,51.5,51.5,50.3,50.3,50.3,800.0,0.41
1998-05-12,50.0,50.0,46.15,47.25,47.25,1000.0,0.47
1998-05-13,45.25,46.5,45.25,45.25,45.25,700.0,0.32
1998-05-14,46.75,46.9,43.1,46.9,45.95,21300.0,9.58
1998-05-15,48.5,50.45,48.15,50.45,50.45,1000.0,0.5
1998-05-18,54.0,55.45,52.7,55.45,55.45,3600.0,1.95
1998-05-19,58.25,59.05,50.75,59.05,58.7,6700.0,3.85
