Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-10-25,17.0,17.0,17.0,17.0,17.0,5000.0,0.85
2011-10-31,17.1,17.1,17.1,17.1,17.1,350.0,0.06
2011-12-02,17.0,17.0,17.0,17.0,17.0,30.0,0.01
2012-01-25,17.0,17.0,17.0,17.0,17.0,100.0,0.02
2012-02-21,17.0,17.0,17.0,17.0,17.0,100.0,0.02
2012-03-05,17.0,17.0,17.0,17.0,17.0,5.0,0.0
2012-04-09,17.0,17.0,17.0,17.0,17.0,1.0,0.0
2012-07-20,17.0,17.0,17.0,17.0,17.0,25.0,0.0
2012-10-03,17.0,17.0,17.0,17.0,17.0,100.0,0.02
2012-11-09,23.15,24.3,23.15,24.3,24.3,200.0,0.05
2012-11-15,23.5,23.5,23.5,23.5,23.5,100.0,0.02
2012-11-19,23.0,23.0,23.0,23.0,23.0,10.0,0.0
2012-11-20,22.0,22.0,22.0,22.0,22.0,50.0,0.01
2012-11-30,21.3,23.0,20.9,23.0,21.95,66.0,0.01
2013-01-29,24.65,24.65,24.65,24.65,24.65,1000.0,0.25
2013-02-01,24.8,24.8,24.05,24.5,24.5,12001.0,2.96
2013-02-04,25.0,25.0,25.0,25.0,25.0,1.0,0.0
2014-02-25,22.35,24.65,22.35,24.65,24.65,400.0,0.09
2014-02-26,23.45,25.7,23.45,23.55,23.55,620.0,0.15
2014-02-28,22.4,24.7,22.4,22.4,22.4,1010.0,0.24
2014-03-06,23.5,23.5,23.5,23.5,23.5,10.0,0.0
2014-03-07,22.4,24.45,22.4,24.45,24.45,6000.0,1.41
2014-04-03,23.5,24.5,23.5,24.5,24.5,700.0,0.17
2014-05-16,24.5,24.5,24.5,24.5,24.5,200.0,0.05
2014-05-22,25.7,25.7,25.7,25.7,25.7,700.0,0.18
2014-06-02,25.85,25.85,25.85,25.85,25.85,5.0,0.0
2014-06-10,25.85,25.85,25.85,25.85,25.85,20.0,0.01
2014-06-20,24.6,24.6,24.6,24.6,24.6,10.0,0.0
2014-07-08,23.4,23.4,23.4,23.4,23.4,10.0,0.0
2014-07-16,22.25,22.25,22.25,22.25,22.25,101.0,0.02
2014-07-21,21.3,22.0,21.15,22.0,21.7,230.0,0.05
2014-07-22,21.0,21.0,20.7,20.85,20.85,1090.0,0.23
2014-07-23,20.05,21.8,20.05,21.8,21.8,260.0,0.06
2014-07-24,22.7,22.7,22.5,22.7,22.7,2000.0,0.45
2014-07-25,23.75,23.75,23.75,23.75,23.75,200.0,0.05
2014-07-30,22.95,22.95,22.95,22.95,22.95,250.0,0.06
2014-08-01,21.85,24.05,21.85,24.05,22.75,523.0,0.12
2014-08-05,24.0,24.0,24.0,24.0,24.0,11.0,0.0
2014-08-11,26.4,26.4,21.65,22.95,22.95,740.0,0.18
2014-08-12,23.0,24.95,22.0,24.8,24.8,113.0,0.02
2014-08-13,23.0,23.95,22.35,23.95,23.95,168.0,0.04
2014-08-14,26.3,26.3,26.3,26.3,26.3,1.0,0.0
2014-08-18,24.9,24.9,24.9,24.9,24.9,250.0,0.06
2014-08-19,22.5,24.75,22.5,24.6,24.6,351.0,0.08
2014-08-20,22.15,23.8,22.15,23.4,22.15,1071.0,0.24
2014-08-21,23.25,23.25,20.2,20.8,21.2,1765.0,0.38
2014-08-22,19.15,22.8,19.15,19.55,19.7,1497.0,0.3
2014-08-25,19.8,20.65,19.8,20.65,20.65,321.0,0.06
2014-08-26,21.65,21.65,21.65,21.65,21.65,54.0,0.01
2014-08-27,22.7,22.7,22.6,22.7,22.7,300.0,0.07
2014-08-28,23.8,23.8,21.7,23.6,23.6,310.0,0.07
2014-09-01,23.6,24.75,23.6,24.75,24.75,1260.0,0.31
2014-09-02,25.95,25.95,23.7,23.8,23.8,460.0,0.11
2014-09-03,22.65,24.95,22.65,24.95,24.95,245.0,0.06
2014-09-04,24.95,26.1,24.95,26.1,26.1,400.0,0.1
2014-09-08,26.45,27.4,25.2,27.4,27.4,2171.0,0.56
2014-09-09,27.4,28.75,27.4,28.75,28.75,1241.0,0.36
2014-09-10,28.75,30.15,28.75,28.75,28.75,252.0,0.08
2014-09-12,27.4,27.4,27.4,27.4,27.4,92.0,0.03
2014-09-15,28.75,28.75,28.75,28.75,28.75,685.0,0.2
2014-09-16,30.15,30.15,30.15,30.15,30.15,30.0,0.01
2014-09-17,31.65,31.65,31.65,31.65,31.65,285.0,0.09
2014-09-18,33.2,33.2,33.2,33.2,33.2,105.0,0.03
2014-09-19,33.2,33.7,31.6,33.0,33.0,948.0,0.31
2014-09-22,34.6,34.6,34.0,34.0,34.0,162.0,0.06
2014-09-23,32.4,32.4,32.4,32.4,32.4,100.0,0.03
2014-09-24,30.95,31.0,30.95,31.0,31.0,256.0,0.08
2014-09-26,31.0,31.0,31.0,31.0,31.0,45.0,0.01
2014-09-30,29.45,30.0,29.45,29.45,29.45,501.0,0.15
2014-10-07,30.9,30.9,30.9,30.9,30.9,100.0,0.03
2014-10-10,33.5,33.5,27.85,27.85,27.85,700.0,0.22
2014-10-13,25.4,25.4,25.4,25.4,25.4,200.0,0.05
2014-10-14,27.9,27.9,27.9,27.9,27.9,200.0,0.06
2014-10-16,30.65,30.65,30.65,30.65,30.65,100.0,0.03
2014-10-20,28.0,28.0,28.0,28.0,28.0,5.0,0.0
2014-10-21,27.0,30.7,27.0,30.7,30.65,1320.0,0.37
2014-10-22,32.95,32.95,32.95,32.95,32.95,50.0,0.02
2014-10-27,36.2,36.2,32.0,33.95,33.95,111.0,0.04
2014-10-28,33.45,33.5,33.45,33.5,33.5,200.0,0.07
2014-10-29,33.5,33.5,33.5,33.5,33.5,1000.0,0.34
2014-10-30,33.0,33.0,33.0,33.0,33.0,100.0,0.03
2014-11-03,31.75,33.75,31.75,33.75,33.75,3.0,0.0
