Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-11-30,456.7,575.65,456.7,524.8,526.4,47828017.0,260584.4
2006-12-01,548.0,548.0,506.15,508.8,510.65,9475815.0,49431.93
2006-12-04,512.8,517.0,480.05,494.0,495.4,12087484.0,60104.23
2006-12-05,508.9,525.0,496.0,524.0,522.05,10636317.0,54835.93
2006-12-06,525.0,545.4,518.15,519.35,520.95,9342990.0,49672.6
2006-12-07,520.4,524.0,514.0,517.8,518.45,3432183.0,17798.95
2006-12-08,518.45,521.0,499.0,500.1,502.35,3896819.0,19847.51
2006-12-11,511.0,511.0,466.35,467.1,473.4,3343147.0,16169.48
2006-12-12,469.0,478.5,389.0,426.1,419.65,6320293.0,27580.52
2006-12-13,427.0,451.5,406.1,450.0,444.65,6335196.0,27219.03
2006-12-14,454.7,472.8,448.0,472.0,468.95,5254386.0,24221.06
2006-12-15,475.0,476.85,458.55,459.0,460.9,3559486.0,16644.6
2006-12-18,461.5,462.8,439.5,444.0,444.65,3369214.0,15062.43
2006-12-19,444.0,459.4,433.15,434.8,437.5,3840635.0,17141.91
2006-12-20,441.0,449.9,418.5,420.15,424.25,3272229.0,14227.99
2006-12-21,424.55,430.75,415.15,424.55,423.85,2896583.0,12280.44
2006-12-22,424.05,439.9,423.3,435.75,437.7,2442164.0,10576.07
2006-12-26,438.0,439.9,431.1,433.5,433.4,1488415.0,6475.75
2006-12-27,438.0,438.9,428.0,429.0,431.15,1001992.0,4357.63
2006-12-28,422.0,444.0,422.0,441.75,436.15,2889945.0,12442.07
2006-12-29,448.85,463.7,441.6,461.5,459.15,3832887.0,17349.48
2007-01-02,462.0,470.0,457.5,462.0,462.85,1781389.0,8281.32
2007-01-03,462.0,475.0,445.8,468.5,468.45,2557365.0,11966.8
2007-01-04,472.85,473.8,453.2,454.9,456.4,1622547.0,7490.72
2007-01-05,456.0,462.0,444.3,447.0,446.8,1687423.0,7642.19
2007-01-08,445.9,445.9,434.6,438.5,440.8,1411922.0,6211.27
2007-01-09,434.4,448.9,430.2,432.5,432.75,1098902.0,4811.85
2007-01-10,432.0,434.0,415.0,415.5,417.6,1105072.0,4686.59
