Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-02-24,136.0,136.0,129.05,129.05,130.15,2842.0,3.77
2005-02-25,130.0,133.75,125.5,125.5,127.1,7268.0,9.4
2005-02-28,131.95,132.0,128.55,130.25,130.3,646.0,0.84
2005-03-01,134.9,134.95,128.75,130.5,129.6,2140.0,2.78
2005-03-02,130.25,130.7,127.5,130.7,129.5,1655.0,2.12
2005-03-03,133.4,136.0,131.0,136.0,136.0,7222.0,9.78
2005-03-04,138.0,142.8,138.0,142.8,142.8,7534.0,10.72
2005-03-07,149.95,149.95,149.0,149.95,149.95,13010.0,19.51
2005-03-08,157.45,157.45,157.4,157.45,157.45,8616.0,13.57
2005-03-09,165.35,165.35,165.35,165.35,165.35,2960.0,4.89
2005-03-10,173.65,173.65,173.65,173.65,173.65,5258.0,9.13
2005-03-11,182.35,182.35,182.35,182.35,182.35,7750.0,14.13
2005-03-14,191.5,191.5,191.5,191.5,191.5,4765.0,9.12
2005-03-15,201.1,201.1,193.1,201.1,201.1,126937.0,254.65
2005-03-16,210.0,211.2,209.0,211.2,211.2,32771.0,69.12
2005-03-17,218.9,221.8,218.9,221.8,221.8,49516.0,109.61
2005-03-18,229.8,232.9,211.0,218.0,217.75,132891.0,297.03
2005-03-21,228.65,228.65,207.2,207.2,211.35,40001.0,88.47
2005-03-22,210.0,211.05,200.9,201.45,201.0,29027.0,59.0
2005-03-23,196.0,200.0,190.95,191.5,191.15,19679.0,37.8
2005-03-24,189.0,193.95,181.6,185.0,188.8,16833.0,31.39
2005-03-28,190.05,198.25,190.0,196.5,198.1,22171.0,43.66
2005-03-29,201.0,201.9,188.25,190.0,189.9,16591.0,32.15
2005-03-30,190.0,199.4,188.05,199.4,199.4,32262.0,64.19
2005-03-31,208.7,209.4,207.0,209.4,209.4,13003.0,27.2
2005-04-01,218.8,219.9,215.0,219.9,219.9,45000.0,98.35
2005-04-04,228.0,230.9,221.0,223.0,224.9,88436.0,200.79
2005-04-05,229.8,229.8,216.0,216.05,217.7,26954.0,60.21
2005-04-06,222.0,227.9,217.4,218.0,219.25,24457.0,54.05
2005-04-07,224.85,228.9,217.0,217.3,218.55,30099.0,67.34
2005-04-08,224.45,224.45,211.05,214.05,214.2,15313.0,33.01
2005-04-11,213.0,213.0,203.5,203.5,205.7,10783.0,22.28
2005-04-12,207.95,208.0,198.15,201.75,200.2,18048.0,36.73
2005-04-13,204.9,210.25,201.15,210.25,210.25,10420.0,21.61
2005-04-15,209.0,210.7,199.75,200.0,200.25,27208.0,55.72
2005-04-18,192.2,203.9,191.0,195.0,193.3,15457.0,30.23
2005-04-19,197.9,203.0,183.65,186.0,187.05,49295.0,96.31
2005-04-20,191.0,194.0,183.0,183.0,184.5,25392.0,47.79
2005-04-21,188.0,188.0,181.05,182.9,182.5,33617.0,61.87
2005-04-22,187.0,188.1,183.0,183.0,185.35,20203.0,37.68
2005-04-25,187.9,187.9,179.0,180.0,180.55,12919.0,23.46
2005-04-26,183.9,183.9,176.6,180.0,179.85,7180.0,12.98
2005-04-27,182.0,182.0,177.0,181.0,179.75,6880.0,12.35
2005-04-28,178.5,179.85,171.0,172.25,172.95,6802.0,11.87
2005-04-29,174.0,177.75,165.0,165.1,166.1,20847.0,35.58
2005-05-02,173.75,173.75,158.3,159.95,159.45,9440.0,15.19
2005-05-03,162.5,167.45,159.4,160.0,160.6,40947.0,67.68
2005-05-04,162.1,165.35,161.0,161.15,162.6,17650.0,28.83
2005-05-05,162.4,168.95,157.0,158.55,158.9,22883.0,37.25
2005-05-06,161.85,161.85,156.45,158.6,158.85,15123.0,24.02
2005-05-09,160.0,166.8,160.0,166.8,166.8,18007.0,29.89
2005-05-10,175.15,175.15,175.15,175.15,175.15,3609.0,6.32
2005-05-11,183.95,183.95,183.95,183.95,183.95,4306.0,7.92
2005-05-12,193.15,193.15,178.0,185.0,184.6,82316.0,152.93
2005-05-13,186.8,193.15,182.0,187.35,187.6,53947.0,102.05
2005-05-16,188.7,197.0,188.6,197.0,197.0,82498.0,161.95
2005-05-17,201.4,204.35,195.0,199.0,197.2,79848.0,159.32
2005-05-18,196.5,198.0,190.0,194.0,193.65,23057.0,44.82
2005-05-19,198.0,200.0,195.0,195.0,197.05,21679.0,42.94
2005-05-20,197.5,197.95,194.0,194.0,195.05,16488.0,32.27
2005-05-23,196.0,197.95,195.0,195.0,195.15,12316.0,24.15
2005-05-24,196.1,198.95,190.2,192.0,191.1,6531.0,12.64
2005-05-25,193.5,194.95,190.55,191.9,191.3,11073.0,21.23
2005-05-26,194.0,194.0,187.0,188.0,188.5,7820.0,14.94
2005-05-27,189.0,189.1,180.1,183.0,183.4,12655.0,23.39
2005-05-30,183.1,183.1,179.0,179.5,180.35,12474.0,22.55
2005-05-31,178.2,183.0,178.0,178.5,179.5,10399.0,18.8
2005-06-01,184.9,184.9,179.55,182.0,182.05,7706.0,14.05
2005-06-02,183.0,184.0,175.0,182.15,182.15,11255.0,20.47
2005-06-03,181.1,191.3,181.05,191.3,191.3,15550.0,29.27
2005-06-04,192.0,200.9,192.0,200.9,200.9,24563.0,48.97
2005-06-06,200.9,207.9,191.9,192.9,193.95,27066.0,53.8
2005-06-07,194.0,195.1,188.0,191.25,189.05,9280.0,17.66
2005-06-08,194.85,195.0,189.0,191.25,192.9,30243.0,58.02
2005-06-09,191.0,193.95,189.0,189.5,190.55,8975.0,17.22
2005-06-10,190.1,192.0,187.05,188.0,188.15,5981.0,11.32
2005-06-13,190.1,190.4,184.0,186.0,185.05,13428.0,24.95
2005-06-14,184.5,188.7,182.0,183.5,183.2,8520.0,15.68
2005-06-15,185.0,185.0,182.25,182.25,182.55,12027.0,22.03
2005-06-16,184.35,184.4,180.0,181.0,180.1,6025.0,10.93
2005-06-17,181.0,185.0,174.0,175.25,176.0,7660.0,13.57
2005-06-20,175.05,178.5,165.0,170.0,168.3,7590.0,12.88
2005-06-21,170.1,171.5,167.0,171.0,169.25,10964.0,18.55
2005-06-22,171.85,179.5,170.0,170.5,170.75,5785.0,9.98
2005-06-23,172.95,172.95,171.0,172.25,171.55,2938.0,5.05
2005-06-24,170.0,179.0,170.0,172.75,173.7,10199.0,17.83
2005-06-27,172.05,178.0,172.0,174.8,174.7,6526.0,11.45
2005-06-28,174.0,175.0,171.0,172.1,172.55,4062.0,7.01
2005-06-29,171.0,189.85,170.05,189.85,189.85,51448.0,96.25
2005-06-30,199.0,208.0,190.1,190.1,192.45,166447.0,333.61
2005-07-01,194.6,199.25,186.4,198.8,195.25,32169.0,61.68
2005-07-04,199.5,214.8,198.5,214.8,214.65,213261.0,445.54
2005-07-05,216.0,225.4,208.0,213.5,213.5,237100.0,523.02
2005-07-06,215.15,224.2,214.0,216.25,216.25,140573.0,309.99
2005-07-07,218.5,218.5,206.5,207.5,208.15,79468.0,166.75
2005-07-08,208.8,218.55,208.8,216.0,215.6,37115.0,80.19
