Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,5.0,5.0,4.9,,,,
1998-03-23,5.0,5.0,5.0,5.0,5.0,2200.0,0.11
1998-03-24,5.0,5.0,4.75,4.9,4.9,19100.0,0.94
1998-03-25,5.0,5.1,4.5,4.75,4.75,26100.0,1.26
1998-03-26,4.85,5.45,4.7,4.7,4.75,51200.0,2.61
1998-03-27,5.25,5.5,4.95,5.0,5.0,19900.0,1.02
1998-03-30,5.0,5.25,5.0,5.0,5.0,14300.0,0.73
1998-03-31,4.9,5.0,4.65,4.65,4.65,6900.0,0.33
1998-04-01,5.2,5.2,4.8,5.2,5.2,3200.0,0.17
1998-04-02,5.3,5.5,5.25,5.45,5.45,7500.0,0.4
1998-04-03,5.25,5.4,5.0,5.25,5.25,3200.0,0.17
1998-04-06,5.35,5.4,5.0,5.15,5.15,5900.0,0.31
1998-04-07,5.1,5.8,5.1,5.8,5.8,12800.0,0.71
1998-04-09,5.5,6.0,5.5,6.0,6.0,17100.0,1.0
1998-04-10,6.0,6.8,6.0,6.8,6.75,23600.0,1.52
1998-04-13,6.5,7.55,6.5,7.5,7.4,26600.0,1.88
1998-04-15,8.2,8.55,8.0,8.55,8.55,17200.0,1.41
1998-04-16,9.35,9.45,7.4,7.4,8.4,46900.0,4.25
1998-04-17,7.55,8.1,7.3,8.1,8.05,27000.0,2.06
1998-04-20,7.8,7.8,6.9,6.9,6.9,16200.0,1.16
1998-04-21,7.2,7.2,6.55,7.0,6.9,11800.0,0.81
1998-04-22,7.6,7.6,6.55,6.6,6.65,9500.0,0.65
1998-04-23,7.0,7.0,6.25,6.3,6.3,3200.0,0.21
1998-04-24,6.0,6.25,5.5,6.25,6.2,9900.0,0.58
1998-04-27,6.0,6.45,5.6,5.6,5.7,5500.0,0.32
1998-04-28,5.7,6.0,5.5,5.95,5.95,4200.0,0.24
1998-04-29,6.0,6.5,6.0,6.0,6.0,2900.0,0.18
1998-04-30,6.0,6.0,5.8,5.8,5.8,1400.0,0.08
1998-05-04,6.1,6.1,5.75,6.0,6.0,2700.0,0.16
1998-05-05,5.85,6.0,5.75,5.75,5.75,9300.0,0.54
1998-05-06,5.8,5.8,5.5,5.5,5.5,2600.0,0.15
1998-05-08,5.4,5.75,5.4,5.75,5.75,1500.0,0.08
1998-05-11,5.7,6.0,5.7,5.75,5.75,2500.0,0.14
1998-05-12,5.5,5.95,5.25,5.5,5.5,6500.0,0.36
1998-05-13,5.5,5.5,5.25,5.35,5.35,2200.0,0.12
1998-05-14,5.15,5.35,5.1,5.35,5.35,2800.0,0.15
1998-05-15,5.5,5.5,5.5,5.5,5.5,600.0,0.03
1998-05-18,5.1,5.6,5.1,5.6,5.6,1300.0,0.07
1998-05-19,5.5,5.55,5.35,5.5,5.5,7200.0,0.4
1998-05-20,5.9,6.0,5.8,5.95,5.85,4200.0,0.25
1998-05-21,6.0,6.0,5.55,5.6,5.6,3700.0,0.22
1998-05-22,5.6,5.9,5.6,5.75,5.75,1500.0,0.09
1998-05-25,5.95,5.95,5.3,5.65,5.65,3200.0,0.18
1998-05-26,5.65,5.65,5.0,5.0,5.05,2600.0,0.14
1998-05-27,5.35,5.8,5.35,5.4,5.4,3700.0,0.2
1998-05-28,5.15,5.3,5.15,5.3,5.3,1900.0,0.1
1998-05-29,5.25,5.5,5.15,5.45,5.45,2900.0,0.15
1998-06-01,5.5,5.85,5.15,5.2,5.2,2900.0,0.16
1998-06-02,5.05,5.3,4.75,5.0,5.0,8800.0,0.44
1998-06-03,5.2,5.3,5.0,5.0,5.0,1100.0,0.06
1998-06-04,5.5,5.5,5.1,5.2,5.2,2000.0,0.1
1998-06-05,5.1,5.6,5.1,5.1,5.1,2800.0,0.15
1998-06-08,4.75,5.0,4.55,4.55,4.55,4200.0,0.2
1998-06-09,4.25,4.4,4.1,4.15,4.15,5000.0,0.21
1998-06-10,4.2,4.2,4.2,4.2,4.2,500.0,0.02
1998-06-11,4.6,4.75,4.0,4.0,4.0,12800.0,0.52
1998-06-12,4.1,4.4,3.95,4.0,4.0,2900.0,0.12
1998-06-15,4.0,4.0,3.8,3.8,3.8,1200.0,0.05
1998-06-16,3.75,3.9,3.6,3.6,3.6,600.0,0.02
1998-06-17,4.25,4.25,4.05,4.05,4.05,1100.0,0.04
1998-06-18,4.35,4.35,4.0,4.0,4.0,1200.0,0.05
1998-06-19,2.5,3.55,2.5,3.55,3.55,1100.0,0.03
1998-06-22,3.25,4.0,3.2,3.5,3.5,2600.0,0.08
1998-06-23,4.25,4.5,4.25,4.5,4.5,1200.0,0.05
1998-06-24,3.75,3.75,3.75,3.75,3.75,100.0,0.0
1998-06-25,3.8,4.0,3.8,4.0,4.0,300.0,0.01
1998-06-26,3.4,3.95,3.4,3.85,3.85,1400.0,0.05
1998-06-30,3.8,3.8,3.5,3.55,3.55,6300.0,0.23
1998-07-01,3.85,3.85,3.85,3.85,3.85,200.0,0.01
