Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2004-03-26,17.0,17.0,12.0,14.65,14.65,16018474.0,2424.86
2004-03-29,14.75,14.95,14.5,14.65,14.65,5636059.0,827.03
2004-03-30,14.65,15.15,14.6,14.75,14.75,4607081.0,685.85
2004-03-31,14.75,15.0,14.65,14.75,14.7,2937356.0,434.53
2004-04-01,14.85,15.4,14.75,15.4,15.3,4630374.0,702.17
2004-04-02,15.5,17.25,15.3,17.0,17.0,18985344.0,3134.84
2004-04-05,17.35,20.15,17.0,19.1,19.1,48930279.0,9152.0
2004-04-06,19.5,20.7,18.95,19.85,19.75,33317046.0,6559.5
2004-04-07,19.95,20.35,19.4,19.9,20.0,20577175.0,4084.01
2004-04-08,20.1,20.1,19.4,19.7,19.7,12590516.0,2482.44
2004-04-12,19.9,22.1,19.75,21.1,21.1,28632420.0,6059.08
2004-04-13,21.4,21.45,20.15,20.85,20.8,13831626.0,2880.28
2004-04-15,21.0,21.6,20.65,21.25,21.15,12755570.0,2699.92
2004-04-16,21.25,22.15,21.0,21.9,21.9,15619155.0,3394.86
2004-04-17,22.0,25.15,22.0,24.9,24.8,20497964.0,4951.59
2004-04-19,25.0,26.8,24.95,25.9,25.8,35238860.0,9090.11
2004-04-20,25.95,26.4,24.4,24.6,24.85,21020026.0,5247.13
2004-04-21,24.6,25.5,24.25,25.1,25.25,13402100.0,3361.96
2004-04-22,25.35,25.45,24.75,24.95,24.95,8609547.0,2166.07
2004-04-23,25.0,25.55,24.05,24.4,24.3,9807034.0,2420.56
2004-04-27,24.35,24.45,21.05,22.1,22.15,11221186.0,2533.58
2004-04-28,22.0,23.35,21.55,23.2,23.05,13579621.0,3058.6
2004-04-29,23.0,24.05,23.0,23.6,23.55,10386028.0,2451.47
2004-04-30,23.2,24.05,23.0,23.15,23.15,8819136.0,2077.2
2004-05-03,23.15,23.25,21.7,22.25,22.3,8968077.0,2000.25
2004-05-04,22.5,23.6,22.5,23.45,23.3,6659151.0,1546.36
2004-05-05,23.6,23.85,23.2,23.65,23.65,5980683.0,1410.44
2004-05-06,24.5,24.65,24.0,24.4,24.3,6354915.0,1542.96
2004-05-07,24.7,24.7,23.55,23.85,24.05,7541079.0,1806.49
2004-05-10,23.6,24.0,22.5,23.9,23.9,5325152.0,1255.83
2004-05-11,23.25,23.45,22.5,22.55,22.6,5432367.0,1246.24
2004-05-12,23.0,23.5,22.15,23.15,23.2,8533895.0,1959.78
2004-05-13,22.55,24.2,21.35,23.3,23.2,10410393.0,2420.92
2004-05-14,23.5,23.5,20.55,21.15,21.1,9825664.0,2142.41
2004-05-17,20.5,20.6,16.9,20.2,20.1,9870079.0,1907.81
2004-05-18,20.0,22.1,19.3,21.9,21.85,6925063.0,1484.44
2004-05-19,22.15,23.7,22.15,23.65,23.55,9617625.0,2227.03
2004-05-20,23.75,26.5,23.5,23.6,23.6,6224376.0,1481.09
2004-05-21,23.5,24.55,22.5,23.65,23.65,9122803.0,2168.7
2004-05-24,23.95,24.25,23.6,23.6,23.65,3637424.0,866.56
2004-05-25,23.5,23.95,21.15,23.6,23.7,3582733.0,848.05
2004-05-26,24.0,24.2,23.6,23.6,23.6,2259274.0,534.82
2004-05-27,23.6,24.2,23.6,23.7,23.6,4742194.0,1130.93
2004-05-28,24.0,24.0,22.9,23.3,23.25,4606513.0,1079.39
2004-05-31,23.5,23.5,22.2,23.1,22.9,4831723.0,1099.02
2004-06-01,22.9,23.85,22.9,23.7,23.65,4697220.0,1108.66
2004-06-02,23.65,23.9,23.6,23.65,23.65,2098885.0,496.72
2004-06-03,23.9,23.9,22.75,23.0,23.0,3398988.0,786.43
2004-06-04,21.15,23.2,21.15,23.0,22.95,1510988.0,346.54
2004-06-07,23.1,23.15,22.7,22.9,22.95,1507845.0,346.44
2004-06-08,23.05,23.25,22.6,22.75,22.7,1012415.0,230.59
2004-06-09,22.75,22.9,22.5,22.55,22.55,952473.0,216.17
2004-06-10,22.6,22.75,22.4,22.5,22.55,843762.0,190.52
2004-06-11,22.7,22.7,22.0,22.15,22.15,1594133.0,354.45
2004-06-14,22.25,22.25,21.4,22.05,21.9,1535147.0,335.72
2004-06-15,22.0,22.3,21.6,21.7,21.65,943097.0,206.01
2004-06-16,22.4,22.4,21.15,21.3,21.3,1194323.0,257.69
2004-06-17,21.25,21.5,21.0,21.2,21.1,983141.0,207.35
