Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-10-25,1911.0,2535.0,1911.0,2295.0,2280.35,10903.0,254.02
2011-10-26,2387.0,2394.4,2360.0,2394.4,2394.4,1835.0,43.92
2011-10-28,2514.15,2514.15,2450.0,2514.15,2514.15,4039.0,101.49
2011-10-31,2619.0,2619.0,2399.0,2410.0,2409.85,3627.0,90.37
2011-11-01,2530.0,2530.0,2289.4,2289.4,2289.4,1723.0,39.6
2011-11-02,2175.0,2309.0,2174.95,2174.95,2174.95,1698.0,37.03
2011-11-03,2084.2,2110.0,2066.2,2066.2,2066.2,1417.0,29.46
2011-11-04,2148.0,2148.0,2005.5,2064.0,2064.75,546.0,11.25
2011-11-08,2025.0,2100.0,2011.0,2050.0,2045.7,342.0,6.97
2011-11-09,2020.0,2070.9,2000.0,2006.0,2004.1,293.0,5.92
2011-11-11,2049.9,2049.9,1928.0,1928.0,1931.8,324.0,6.38
2011-11-14,1950.0,2000.0,1900.0,1938.9,1919.7,197.0,3.87
2011-11-15,1832.0,1956.5,1823.75,1823.75,1825.3,755.0,13.94
2011-11-16,1743.0,1794.0,1734.05,1740.9,1739.8,299.0,5.21
2011-11-17,1664.0,1733.0,1652.85,1653.0,1653.4,492.0,8.18
2011-11-18,1585.0,1683.5,1570.75,1572.0,1572.0,405.0,6.39
2011-11-21,1615.0,1615.0,1570.0,1570.0,1590.25,59.0,0.94
2011-11-22,1600.0,1622.0,1599.0,1621.9,1620.65,140.0,2.25
2011-11-23,1615.0,1615.0,1550.0,1573.0,1559.2,296.0,4.69
2011-11-24,1598.0,1598.0,1565.0,1565.0,1573.15,64.0,1.01
2011-11-25,1616.0,1616.0,1560.0,1560.0,1560.15,136.0,2.15
2011-11-28,1561.0,1601.0,1545.65,1570.0,1581.55,163.0,2.59
2011-11-29,1590.0,1594.0,1550.0,1575.0,1575.0,115.0,1.82
2011-11-30,1528.0,1568.0,1510.0,1538.0,1527.6,96.0,1.47
2011-12-01,1551.25,1593.0,1550.0,1555.0,1555.0,75.0,1.18
2011-12-02,1525.0,1583.0,1500.0,1580.0,1578.65,117.0,1.83
2011-12-05,1600.0,1610.0,1595.5,1600.0,1600.0,181.0,2.9
2011-12-07,1664.0,1664.0,1603.0,1603.0,1612.55,50.0,0.82
2011-12-08,1601.0,1601.0,1583.0,1585.0,1583.95,58.0,0.92
2011-12-09,1536.0,1600.0,1536.0,1600.0,1593.65,35.0,0.55
2011-12-12,1600.0,1608.95,1514.0,1524.95,1521.5,195.0,3.06
2011-12-13,1524.0,1524.0,1485.1,1500.0,1485.75,1036.0,15.44
2011-12-14,1461.25,1525.0,1461.25,1500.0,1500.0,70.0,1.05
2011-12-15,1480.0,1500.0,1450.25,1500.0,1500.0,74.0,1.1
2011-12-16,1490.5,1510.0,1470.1,1500.0,1492.55,322.0,4.81
2011-12-19,1475.05,1500.0,1472.0,1480.0,1479.45,332.0,4.9
2011-12-20,1476.0,1500.0,1451.0,1490.0,1471.5,1453.0,21.7
2011-12-21,1475.0,1498.95,1451.0,1490.0,1489.2,67.0,0.99
2011-12-22,1426.0,1520.0,1426.0,1500.0,1504.5,246.0,3.68
2011-12-23,1510.0,1510.0,1500.0,1510.0,1508.35,111.0,1.67
2011-12-26,1500.5,1516.95,1500.0,1500.0,1502.4,189.0,2.84
2011-12-27,1499.0,1505.0,1499.0,1500.0,1502.0,167.0,2.51
2011-12-28,1500.0,1505.0,1500.0,1505.0,1505.0,60.0,0.9
2011-12-29,1520.0,1525.0,1490.0,1490.0,1495.65,78.0,1.17
2011-12-30,1513.0,1516.95,1487.0,1490.0,1490.05,272.0,4.06
2012-01-02,1452.0,1499.0,1452.0,1489.95,1491.65,49.0,0.73
2012-01-03,1515.0,1520.0,1480.0,1485.0,1485.0,90.0,1.35
2012-01-04,1489.0,1490.0,1465.0,1465.0,1479.2,117.0,1.73
2012-01-05,1498.0,1499.0,1490.0,1490.0,1492.95,63.0,0.94
2012-01-06,1490.0,1490.0,1460.0,1469.0,1474.5,32.0,0.46
2012-01-07,1437.0,1500.0,1437.0,1475.0,1475.0,115.0,1.72
2012-01-09,1500.9,1500.9,1480.1,1500.0,1499.95,22.0,0.33
2012-01-10,1500.0,1512.0,1480.0,1512.0,1512.0,100.0,1.49
2012-01-11,1499.65,1518.0,1483.0,1495.0,1494.15,119.0,1.8
2012-01-12,1550.0,1550.0,1496.0,1496.0,1498.65,214.0,3.24
2012-01-13,1510.0,1525.0,1480.1,1492.0,1493.55,213.0,3.21
2012-01-16,1500.0,1500.0,1480.15,1480.15,1480.15,81.0,1.2
2012-01-17,1512.0,1512.0,1484.05,1512.0,1512.0,38.0,0.57
2012-01-18,1506.0,1506.0,1506.0,1506.0,1506.0,2.0,0.03
2012-01-19,1569.0,1569.0,1488.0,1500.0,1500.0,1630.0,24.45
2012-01-20,1502.0,1524.0,1502.0,1506.0,1506.0,50.0,0.76
2012-01-23,1501.0,1501.55,1500.0,1500.0,1500.0,88.0,1.32
2012-01-24,1520.0,1520.0,1450.1,1508.0,1490.8,180.0,2.69
2012-01-25,1500.0,1515.0,1500.0,1514.95,1514.95,17.0,0.25
2012-01-27,1500.0,1500.0,1483.0,1500.0,1500.0,125.0,1.87
2012-01-30,1500.0,1500.0,1500.0,1500.0,1500.0,12.0,0.18
2012-01-31,1491.0,1524.0,1490.0,1510.0,1510.0,258.0,3.91
2012-02-01,1508.0,1515.0,1503.05,1515.0,1515.0,196.0,2.97
2012-02-02,1509.0,1524.0,1505.0,1524.0,1524.0,19.0,0.29
2012-02-03,1544.95,1544.95,1510.0,1537.0,1537.0,78.0,1.2
2012-02-06,1549.95,1613.85,1530.0,1613.85,1613.85,514.0,8.2
2012-02-07,1684.0,1694.5,1661.0,1694.5,1694.5,802.0,13.58
2012-02-08,1700.5,1779.2,1700.5,1779.2,1779.2,1236.0,21.97
2012-02-09,1800.0,1868.15,1800.0,1868.15,1867.2,1285.0,23.87
2012-02-10,1890.0,1959.9,1800.0,1912.0,1901.6,981.0,18.5
2012-02-13,1950.0,1953.0,1895.25,1933.5,1933.5,319.0,6.16
2012-02-14,1920.0,1947.0,1881.0,1925.0,1924.6,178.0,3.41
2012-02-15,1885.0,1935.5,1840.0,1840.0,1843.25,111.0,2.05
2012-02-16,1860.0,1896.95,1760.0,1770.0,1765.0,663.0,11.95
2012-02-17,1850.0,1853.0,1700.0,1756.0,1829.05,684.0,12.54
2012-02-21,1770.05,1824.0,1770.0,1824.0,1812.75,21.0,0.38
2012-02-22,1802.0,1815.0,1760.0,1760.0,1761.8,189.0,3.37
2012-02-23,1750.0,1800.0,1725.0,1740.05,1740.05,88.0,1.56
2012-02-24,1799.95,1799.95,1655.0,1656.05,1667.55,223.0,3.77
2012-02-27,1689.95,1689.95,1584.2,1584.2,1584.2,229.0,3.69
2012-02-28,1550.2,1601.0,1505.0,1580.0,1576.85,556.0,8.49
2012-02-29,1609.0,1620.0,1600.0,1620.0,1612.25,89.0,1.43
2012-03-01,1540.5,1649.95,1540.5,1610.05,1610.05,19.0,0.31
2012-03-02,1631.2,1633.0,1600.0,1610.0,1609.95,104.0,1.67
2012-03-03,1635.0,1635.0,1552.1,1560.0,1552.8,16.0,0.25
2012-03-05,1615.0,1617.0,1600.0,1600.0,1614.75,49.0,0.79
2012-03-06,1551.5,1653.9,1551.5,1562.15,1562.2,34.0,0.53
2012-03-07,1535.1,1627.95,1530.0,1540.0,1540.0,192.0,2.97
2012-03-09,1611.0,1611.0,1570.0,1595.3,1594.95,17.0,0.27
2012-03-12,1557.0,1557.0,1556.9,1556.9,1556.9,11.0,0.17
2012-03-13,1525.0,1599.0,1487.0,1599.0,1599.0,7.0,0.11
2012-03-14,1616.0,1660.0,1615.0,1635.05,1637.6,149.0,2.43
2012-03-15,1572.5,1639.0,1572.0,1629.0,1629.0,55.0,0.88
2012-03-16,1649.95,1649.95,1600.0,1600.0,1600.0,115.0,1.86
2012-03-19,1552.05,1595.0,1552.05,1576.6,1579.3,50.0,0.79
2012-03-20,1600.0,1600.0,1578.0,1578.0,1578.0,40.0,0.64
2012-03-21,1597.0,1630.0,1597.0,1620.0,1620.0,133.0,2.15
2012-03-22,1630.0,1630.0,1561.05,1561.05,1583.5,89.0,1.44
2012-03-23,1615.0,1615.0,1555.0,1555.0,1557.25,31.0,0.49
2012-03-26,1550.0,1550.0,1524.0,1524.0,1533.35,31.0,0.48
2012-03-27,1560.0,1565.0,1499.0,1505.1,1525.85,121.0,1.85
2012-03-28,1530.05,1568.9,1500.0,1500.0,1502.2,117.0,1.77
2012-03-29,1530.0,1535.0,1510.0,1510.0,1519.6,289.0,4.4
2012-03-30,1502.0,1525.0,1502.0,1510.15,1516.3,126.0,1.91
2012-04-02,1530.0,1566.5,1500.0,1566.5,1511.95,144.0,2.19
2012-04-03,1466.0,1587.5,1466.0,1587.5,1587.5,250.0,3.93
2012-04-04,1580.0,1640.0,1580.0,1600.2,1610.1,129.0,2.1
2012-04-09,1600.0,1607.0,1600.0,1600.0,1601.3,309.0,4.94
2012-04-10,1529.0,1647.9,1529.0,1620.0,1620.0,60.0,0.97
2012-04-11,1610.0,1619.0,1600.0,1600.0,1600.55,31.0,0.49
2012-04-12,1600.05,1600.05,1600.0,1600.05,1600.05,102.0,1.63
2012-04-13,1611.0,1611.0,1600.0,1600.0,1600.0,108.0,1.73
2012-04-16,1600.0,1600.0,1600.0,1600.0,1600.0,20.0,0.32
2012-04-17,1600.05,1609.95,1600.0,1600.0,1600.0,155.0,2.48
2012-04-18,1600.05,1609.0,1600.0,1600.0,1600.0,187.0,2.99
2012-04-19,1600.05,1620.0,1600.0,1612.95,1612.95,1489.0,23.86
2012-04-20,1611.0,1615.0,1600.0,1600.0,1600.0,503.0,8.07
2012-04-23,1630.0,1640.0,1580.0,1580.0,1580.0,393.0,6.27
2012-04-24,1570.0,1570.0,1550.0,1550.0,1552.5,74.0,1.16
2012-04-25,1592.95,1593.0,1592.95,1593.0,1593.0,35.0,0.56
2012-04-26,1590.0,1620.0,1550.0,1550.0,1590.85,37.0,0.59
2012-04-27,1561.0,1561.0,1560.0,1560.0,1560.65,15.0,0.23
2012-04-28,1600.0,1600.0,1600.0,1600.0,1600.0,500.0,8.0
2012-04-30,1565.0,1565.0,1550.05,1550.05,1550.05,5.0,0.08
2012-05-02,1590.0,1590.0,1540.0,1540.0,1540.25,225.0,3.48
2012-05-03,1540.0,1560.0,1540.0,1545.0,1547.0,37.0,0.57
2012-05-04,1510.0,1542.0,1500.2,1541.0,1541.0,258.0,3.98
2012-05-07,1569.95,1569.95,1540.0,1542.0,1542.0,134.0,2.07
2012-05-08,1549.95,1550.0,1540.0,1540.0,1540.6,198.0,3.05
2012-05-09,1540.1,1540.1,1540.0,1540.0,1540.0,426.0,6.56
2012-05-10,1540.0,1560.0,1540.0,1540.0,1540.0,88.0,1.36
2012-05-11,1540.0,1540.0,1540.0,1540.0,1540.0,1.0,0.02
2012-05-14,1500.5,1540.0,1500.5,1508.75,1508.75,16.0,0.24
2012-05-15,1502.5,1502.5,1502.4,1502.4,1502.4,2.0,0.03
2012-05-16,1500.0,1510.0,1500.0,1503.0,1502.15,358.0,5.37
2012-05-17,1435.0,1510.0,1435.0,1510.0,1500.7,335.0,5.03
2012-05-18,1538.0,1538.0,1500.0,1500.0,1500.0,437.0,6.56
2012-05-21,1500.0,1510.0,1500.0,1500.0,1500.0,211.0,3.17
2012-05-22,1500.0,1500.0,1500.0,1500.0,1500.0,600.0,9.0
2012-05-23,1500.0,1500.0,1426.05,1500.0,1489.0,351.0,5.11
2012-05-24,1500.0,1500.0,1494.0,1494.0,1494.0,8.0,0.11
2012-05-25,1510.0,1510.0,1456.0,1456.0,1456.0,3.0,0.04
2012-05-28,1495.0,1500.0,1456.0,1500.0,1500.0,69.0,1.03
2012-05-29,1500.0,1500.0,1450.0,1490.0,1478.55,523.0,7.68
2012-05-30,1510.0,1520.0,1475.0,1500.0,1489.7,50.0,0.75
2012-05-31,1499.9,1500.0,1498.0,1500.0,1500.0,5.0,0.07
2012-06-01,1432.0,1500.0,1432.0,1470.0,1472.65,42.0,0.62
2012-06-04,1499.9,1499.9,1450.1,1490.0,1489.95,16.0,0.24
2012-06-05,1495.0,1495.0,1489.95,1489.95,1489.95,6.0,0.09
2012-06-06,1471.0,1494.0,1450.0,1493.75,1490.9,180.0,2.63
2012-06-07,1499.9,1499.9,1495.0,1499.9,1499.9,28.0,0.42
2012-06-08,1499.9,1499.9,1472.0,1475.0,1487.9,49.0,0.73
2012-06-11,1499.95,1499.95,1485.0,1495.0,1494.5,31.0,0.46
2012-06-12,1495.0,1495.0,1460.1,1495.0,1489.1,44.0,0.65
2012-06-13,1494.0,1495.0,1490.0,1495.0,1495.0,126.0,1.88
2012-06-14,1515.0,1515.0,1450.0,1480.0,1480.0,269.0,3.93
2012-06-15,1529.0,1529.0,1421.0,1480.0,1479.95,314.0,4.65
2012-06-18,1499.95,1499.95,1475.0,1475.0,1475.0,26.0,0.38
2012-06-19,1498.95,1498.95,1489.9,1489.9,1489.9,11.0,0.16
2012-06-20,1480.0,1480.0,1452.0,1480.0,1475.7,62.0,0.92
2012-06-21,1479.9,1480.0,1455.0,1480.0,1480.0,56.0,0.82
2012-06-22,1505.0,1505.0,1450.0,1475.0,1469.0,430.0,6.32
2012-06-25,1505.0,1505.0,1460.0,1460.0,1471.2,297.0,4.36
2012-06-26,1500.0,1500.0,1450.0,1480.0,1474.95,239.0,3.51
2012-06-27,1470.0,1500.0,1451.1,1475.0,1480.9,239.0,3.54
2012-06-28,1500.0,1500.0,1441.5,1480.0,1470.85,1234.0,18.04
2012-06-29,1475.0,1475.0,1475.0,1475.0,1475.0,1.0,0.01
2012-07-02,1479.9,1479.9,1451.1,1479.0,1472.1,536.0,7.86
2012-07-03,1455.1,1479.0,1455.1,1475.0,1465.3,1041.0,15.25
2012-07-04,1489.9,1490.0,1460.0,1490.0,1484.7,83.0,1.23
2012-07-05,1527.0,1527.0,1460.0,1488.75,1488.75,29.0,0.43
2012-07-06,1485.0,1485.0,1485.0,1485.0,1485.0,26.0,0.39
2012-07-09,1475.0,1475.0,1475.0,1475.0,1475.0,5.0,0.07
2012-07-10,1465.0,1480.0,1450.0,1465.0,1472.25,270.0,3.95
2012-07-11,1470.0,1475.0,1470.0,1475.0,1475.0,65.0,0.96
2012-07-12,1465.0,1475.0,1465.0,1475.0,1473.8,31.0,0.46
2012-07-13,1484.9,1485.0,1445.0,1480.0,1474.45,32.0,0.47
2012-07-16,1465.0,1480.0,1465.0,1475.0,1475.7,21.0,0.31
2012-07-17,1461.0,1482.0,1451.0,1479.8,1480.15,26.0,0.38
2012-07-18,1470.0,1489.9,1461.0,1489.9,1487.45,118.0,1.75
2012-07-19,1472.05,1485.0,1470.0,1485.0,1475.15,15.0,0.22
2012-07-20,1484.0,1490.0,1484.0,1490.0,1489.65,20.0,0.3
2012-07-24,1480.0,1480.0,1474.0,1480.0,1475.15,134.0,1.98
2012-07-25,1465.0,1475.0,1445.0,1475.0,1471.3,330.0,4.85
2012-07-26,1429.05,1475.0,1425.0,1475.0,1472.35,391.0,5.68
2012-07-27,1435.0,1475.0,1430.0,1475.0,1470.85,202.0,2.93
2012-07-30,1410.0,1480.0,1410.0,1475.0,1470.8,219.0,3.21
2012-07-31,1465.0,1475.0,1465.0,1475.0,1472.5,55.0,0.81
2012-08-01,1450.1,1475.0,1450.0,1475.0,1470.85,330.0,4.83
2012-08-02,1473.95,1474.95,1440.65,1474.95,1473.3,149.0,2.18
2012-08-03,1460.0,1500.0,1425.0,1479.0,1469.75,1280.0,18.71
2012-08-06,1450.1,1473.0,1450.0,1473.0,1472.9,66.0,0.97
2012-08-07,1460.0,1473.0,1425.0,1473.0,1470.1,1981.0,28.77
2012-08-08,1474.7,1474.7,1456.5,1472.35,1471.8,83.0,1.22
2012-08-09,1420.1,1473.2,1420.1,1470.0,1470.0,205.0,3.0
2012-08-10,1465.0,1475.0,1455.0,1470.0,1469.75,361.0,5.31
2012-08-13,1450.0,1470.0,1450.0,1460.0,1468.05,251.0,3.67
2012-08-14,1465.0,1480.0,1460.0,1469.95,1470.55,454.0,6.67
2012-08-16,1470.0,1470.0,1470.0,1470.0,1470.0,17.0,0.25
2012-08-17,1485.0,1485.0,1447.0,1470.0,1470.0,527.0,7.75
2012-08-21,1469.0,1469.0,1469.0,1469.0,1469.0,100.0,1.47
2012-08-22,1465.0,1470.0,1460.0,1469.0,1469.0,213.0,3.12
2012-08-23,1470.0,1470.0,1468.9,1469.0,1468.95,150.0,2.2
2012-08-24,1470.0,1470.0,1450.0,1469.0,1469.0,220.0,3.21
2012-08-27,1460.0,1469.0,1460.0,1469.0,1468.8,277.0,4.06
2012-08-28,1450.05,1470.0,1450.05,1469.9,1468.0,193.0,2.83
2012-08-29,1438.55,1470.0,1438.55,1465.0,1466.65,303.0,4.44
2012-08-30,1460.0,1468.9,1460.0,1468.9,1468.9,7.0,0.1
2012-08-31,1460.0,1468.8,1452.0,1466.0,1463.8,208.0,3.04
2012-09-03,1455.0,1464.0,1450.0,1464.0,1463.0,153.0,2.22
2012-09-04,1430.1,1469.0,1430.0,1460.0,1460.25,616.0,8.96
2012-09-05,1435.05,1465.0,1435.0,1460.0,1464.6,475.0,6.91
2012-09-06,1483.85,1483.85,1460.05,1460.05,1460.05,45.0,0.66
2012-09-07,1460.0,1470.0,1448.1,1460.0,1462.85,42.0,0.61
2012-09-08,1479.95,1479.95,1479.95,1479.95,1479.95,18.0,0.27
2012-09-10,1446.0,1474.0,1446.0,1460.0,1460.0,61.0,0.89
2012-09-11,1446.1,1470.0,1446.1,1468.0,1469.0,65.0,0.95
2012-09-12,1470.0,1470.0,1470.0,1470.0,1470.0,5.0,0.07
2012-09-13,1469.5,1470.0,1450.1,1468.95,1468.95,114.0,1.67
2012-09-14,1460.05,1470.0,1460.0,1470.0,1470.0,245.0,3.6
2012-09-17,1446.0,1470.0,1446.0,1460.0,1462.85,19.0,0.28
2012-09-18,1462.0,1462.0,1460.0,1460.0,1460.2,11.0,0.16
2012-09-20,1450.1,1480.0,1450.1,1480.0,1480.0,8.0,0.12
2012-09-21,1490.0,1490.0,1460.0,1470.0,1470.0,628.0,9.31
2012-09-24,1485.0,1490.0,1485.0,1490.0,1490.0,12.0,0.18
2012-09-25,1485.05,1485.05,1465.0,1466.1,1466.1,97.0,1.43
2012-09-26,1475.0,1503.75,1465.0,1503.75,1503.75,34.0,0.5
