Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-05-26,387.0,387.0,346.4,361.0,360.5,3467507.0,12998.78
2015-05-27,357.8,419.85,350.0,397.3,402.8,1470476.0,5700.27
2015-05-28,398.5,413.9,389.85,406.9,405.4,323122.0,1304.83
2015-05-29,404.0,408.3,385.6,397.3,399.75,136349.0,542.31
2015-06-01,385.5,411.0,385.5,407.5,403.6,290320.0,1151.85
2015-06-02,406.9,409.0,383.05,394.0,394.85,478192.0,1911.56
2015-06-03,397.8,400.0,351.5,385.0,385.5,104628.0,407.91
2015-06-04,390.05,393.8,382.3,382.3,384.8,31444.0,121.35
2015-06-05,384.8,385.1,367.25,384.0,379.45,73484.0,277.8
2015-06-08,370.0,383.95,360.15,380.0,378.55,44644.0,166.45
2015-06-09,373.55,381.95,369.6,374.0,379.35,19976.0,75.48
2015-06-10,384.95,384.95,375.0,375.0,381.2,48007.0,183.14
2015-06-11,383.95,387.0,362.0,380.0,374.6,23656.0,88.33
2015-06-12,375.0,379.5,371.6,372.5,376.05,90091.0,337.11
2015-06-15,374.3,382.5,372.55,376.0,379.9,13535.0,51.19
2015-06-16,376.25,380.35,373.5,379.8,379.45,16509.0,62.25
2015-06-17,375.15,384.0,373.55,376.6,379.95,9828.0,37.23
2015-06-18,376.0,392.75,376.0,389.0,388.05,14570.0,56.4
2015-06-19,375.0,388.7,375.0,376.6,378.05,5384.0,20.48
2015-06-22,380.85,380.85,370.1,372.0,378.85,70250.0,266.74
2015-06-23,378.0,387.05,375.0,376.3,380.45,21007.0,80.03
2015-06-24,383.9,383.9,371.05,380.0,379.2,15398.0,58.51
2015-06-25,375.0,397.0,375.0,390.0,390.35,15795.0,61.08
2015-06-26,393.0,409.0,386.3,398.9,399.6,93918.0,375.79
2015-06-29,397.0,397.0,375.0,384.5,384.85,82590.0,317.9
2015-06-30,389.75,394.6,386.3,390.0,389.4,5034.0,19.64
2015-07-01,397.9,401.0,383.0,395.05,399.4,11639.0,46.23
2015-07-02,392.0,401.0,390.0,390.0,394.95,8896.0,35.49
2015-07-03,403.95,443.0,396.5,410.0,410.2,330813.0,1365.39
2015-07-06,410.9,424.1,402.15,408.0,407.2,166301.0,683.29
2015-07-07,411.0,422.0,408.15,414.85,413.95,430990.0,1782.39
2015-07-08,414.7,414.7,391.25,398.7,401.35,156284.0,626.12
2015-07-09,396.0,410.0,396.0,404.0,405.3,125800.0,508.85
2015-07-10,406.0,409.45,398.0,403.1,406.55,24662.0,99.76
2015-07-13,405.15,409.95,403.15,407.0,408.3,25035.0,102.04
2015-07-14,405.05,410.0,402.8,408.8,408.3,42885.0,175.2
2015-07-15,405.0,423.4,401.0,411.5,415.3,251832.0,1037.98
2015-07-16,408.05,419.9,408.05,415.0,417.8,30969.0,128.5
2015-07-17,414.0,425.5,414.0,420.0,422.8,37739.0,158.95
2015-07-20,416.25,428.7,415.1,428.0,424.9,27066.0,114.41
2015-07-21,423.1,429.0,412.0,420.0,419.4,29083.0,122.58
2015-07-22,418.0,421.75,403.0,409.95,408.6,45227.0,186.22
2015-07-23,421.8,423.0,408.0,422.15,417.5,34083.0,141.58
2015-07-24,422.2,440.0,412.5,433.0,431.05,68919.0,294.78
2015-07-27,412.6,433.9,412.6,426.0,428.0,26816.0,113.76
2015-07-28,424.0,440.0,418.0,435.25,436.1,82651.0,356.72
2015-07-29,441.0,480.0,441.0,473.0,475.9,283523.0,1307.71
2015-07-30,475.0,477.0,460.5,467.45,465.6,59030.0,276.97
2015-07-31,479.95,479.95,465.5,470.75,470.0,102173.0,480.27
2015-08-03,474.7,484.0,461.2,470.0,469.05,19668.0,93.15
2015-08-04,470.5,475.0,456.0,461.6,463.95,15433.0,71.86
2015-08-05,455.0,466.0,450.1,453.05,456.9,36798.0,167.88
2015-08-06,453.0,474.95,453.0,474.7,464.2,13949.0,64.34
2015-08-07,460.0,486.0,451.55,472.5,481.4,32724.0,155.91
2015-08-10,460.0,483.0,460.0,463.9,469.45,101458.0,475.74
2015-08-11,481.0,481.0,455.0,469.0,466.05,13478.0,62.51
2015-08-12,460.0,460.0,435.15,448.0,446.5,25425.0,113.87
2015-08-13,454.2,454.2,434.0,443.0,445.2,19487.0,87.27
2015-08-14,440.0,490.0,437.1,477.0,476.9,216665.0,996.2
2015-08-17,483.5,490.0,471.3,478.0,478.95,21426.0,103.42
2015-08-18,482.0,533.7,482.0,520.0,525.55,180203.0,926.06
2015-08-19,520.0,524.0,510.1,518.0,517.95,126337.0,653.53
2015-08-20,507.25,520.0,485.15,504.2,509.3,91551.0,462.72
2015-08-21,488.6,497.7,482.6,486.0,488.55,43677.0,213.98
2015-08-24,445.1,478.0,428.0,450.0,433.4,68531.0,307.16
2015-08-25,445.0,453.0,408.0,449.0,440.95,93408.0,403.67
2015-08-26,448.55,459.4,429.5,459.0,455.25,69284.0,314.12
2015-08-27,459.0,487.95,445.1,485.0,483.35,44690.0,210.69
2015-08-28,495.0,498.95,480.3,490.0,490.3,32040.0,156.89
2015-08-31,494.95,503.95,475.0,490.0,500.05,11807.0,58.24
