Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-02-09,45.1,63.7,35.55,46.5,49.65,49660429.0,27401.59
2007-02-12,48.45,48.45,40.05,43.0,44.0,10863915.0,4705.85
2007-02-13,44.1,46.6,41.65,43.0,43.05,5453480.0,2442.66
2007-02-14,42.5,44.0,40.05,40.7,40.85,1698578.0,710.67
2007-02-15,40.9,49.0,40.9,47.35,47.45,7047061.0,3193.74
2007-02-19,48.2,52.2,44.75,46.9,47.4,10200381.0,5071.03
2007-02-20,47.0,50.2,46.1,46.6,46.6,6159267.0,2991.22
2007-02-21,47.1,48.15,45.4,46.05,46.05,2365257.0,1111.41
2007-02-22,46.8,47.25,41.5,42.0,42.15,4117374.0,1821.64
2007-02-23,42.5,43.3,37.0,37.4,37.45,2313045.0,913.69
2007-02-26,37.9,38.45,30.3,34.75,34.7,1537870.0,546.46
2007-02-27,35.0,37.5,33.05,35.75,35.65,1569249.0,562.86
2007-02-28,33.0,34.0,30.0,32.75,32.7,950703.0,315.83
2007-03-01,32.5,34.25,31.5,32.45,32.55,590246.0,194.39
2007-03-02,32.9,35.3,31.5,32.4,32.35,1302862.0,441.16
2007-03-05,31.3,31.75,28.35,29.6,29.1,804770.0,241.95
2007-03-06,30.9,32.9,27.7,28.45,28.3,770342.0,225.86
2007-03-07,29.4,29.4,25.25,25.5,25.6,665181.0,177.95
2007-03-08,26.5,26.7,23.1,25.6,25.25,936209.0,228.24
2007-03-09,29.65,29.65,24.15,25.7,25.5,645085.0,164.87
2007-03-12,25.75,25.9,24.75,25.0,25.0,303576.0,76.64
2007-03-13,24.8,27.2,24.7,26.2,26.2,645620.0,168.98
2007-03-14,24.7,25.5,24.5,25.0,25.15,233504.0,58.45
2007-03-15,25.9,27.5,25.3,26.0,25.9,866463.0,229.41
2007-03-16,26.1,26.3,24.85,25.0,25.0,209749.0,53.25
2007-03-19,25.25,25.5,24.35,25.3,25.1,200079.0,49.7
2007-03-20,25.55,25.75,24.2,24.35,24.5,163241.0,40.77
2007-03-21,24.95,24.95,24.15,24.4,24.3,109796.0,26.79
2007-03-22,24.8,25.15,24.5,24.75,24.7,180157.0,44.65
2007-03-23,24.8,26.55,24.25,25.15,25.3,627010.0,161.05
