Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,11.0,11.3,11.0,,,,
1998-03-23,11.0,11.0,11.0,11.0,11.0,300.0,0.03
1998-03-24,11.0,11.0,10.65,10.7,10.75,12200.0,1.32
1998-03-25,11.0,11.2,10.5,11.2,11.2,4200.0,0.46
1998-03-26,11.0,11.5,11.0,11.1,11.1,6200.0,0.69
1998-03-27,10.75,10.95,10.5,10.85,10.85,4300.0,0.46
1998-03-30,10.45,11.35,10.45,10.75,10.75,3700.0,0.4
1998-03-31,10.95,11.0,10.6,10.6,10.75,3200.0,0.34
1998-04-01,11.0,11.0,10.5,10.9,10.8,1000.0,0.11
1998-04-02,10.65,11.1,10.6,11.1,11.1,6300.0,0.69
1998-04-03,11.0,11.0,10.55,10.8,10.7,2600.0,0.28
1998-04-06,10.3,10.8,10.3,10.6,10.6,3800.0,0.4
1998-04-07,11.05,11.25,10.7,11.25,11.25,11800.0,1.3
1998-04-09,11.8,12.3,11.55,12.15,12.25,23500.0,2.86
1998-04-10,12.15,13.3,12.15,12.5,12.75,38300.0,4.96
1998-04-13,12.8,13.25,12.55,13.05,13.2,65400.0,8.5
1998-04-15,14.25,14.55,14.05,14.55,14.55,34300.0,4.97
1998-04-16,16.0,16.0,14.75,14.8,15.0,55200.0,8.47
1998-04-17,14.5,14.5,13.55,14.0,14.1,22100.0,3.12
1998-04-20,14.35,14.7,13.5,14.0,14.1,63500.0,9.19
1998-04-21,14.0,14.15,13.25,13.5,13.5,17100.0,2.35
1998-04-22,13.5,14.7,13.5,13.5,13.5,14800.0,2.05
1998-04-23,13.05,13.1,12.4,12.55,12.5,13200.0,1.66
1998-04-24,13.0,13.0,11.5,11.5,11.5,5400.0,0.65
1998-04-27,11.9,11.9,11.05,11.4,11.35,6400.0,0.74
1998-04-28,11.0,11.5,10.7,11.5,11.5,8600.0,0.94
1998-04-29,12.6,12.6,11.5,11.5,11.55,7300.0,0.86
1998-04-30,10.85,11.25,10.5,11.1,11.1,5200.0,0.56
1998-05-04,10.9,10.9,10.65,10.9,10.9,5600.0,0.61
1998-05-05,11.0,11.45,10.6,10.7,10.85,10400.0,1.13
1998-05-06,11.0,11.3,10.75,10.9,10.95,6900.0,0.76
1998-05-08,11.0,11.1,10.75,11.0,11.0,7700.0,0.85
1998-05-11,10.8,10.9,10.75,10.8,10.75,2200.0,0.24
1998-05-12,10.5,10.5,10.0,10.0,10.0,8100.0,0.82
1998-05-13,10.5,10.5,9.6,9.6,9.6,3000.0,0.31
1998-05-14,9.5,10.15,9.5,10.15,10.15,2100.0,0.21
1998-05-15,10.0,10.25,10.0,10.25,10.25,1800.0,0.18
1998-05-18,10.1,10.4,10.1,10.4,10.4,3700.0,0.38
1998-05-19,10.5,10.6,10.1,10.2,10.2,5300.0,0.54
1998-05-20,10.95,11.2,10.8,11.2,11.2,16100.0,1.76
1998-05-21,11.2,11.4,10.55,10.6,10.6,3500.0,0.39
1998-05-22,11.1,11.1,10.4,10.75,10.7,2400.0,0.25
1998-05-25,10.75,10.85,10.4,10.4,10.4,3300.0,0.36
1998-05-26,10.25,10.65,10.25,10.4,10.45,7600.0,0.79
1998-05-27,10.4,10.9,10.4,10.55,10.55,1700.0,0.18
1998-05-28,11.4,11.4,10.0,10.0,10.0,1000.0,0.1
1998-05-29,9.4,10.45,9.4,10.45,10.45,2400.0,0.24
1998-06-01,10.5,10.8,10.25,10.5,10.5,1800.0,0.19
1998-06-02,9.5,9.9,9.5,9.6,9.6,2500.0,0.24
1998-06-03,9.15,9.5,9.15,9.45,9.45,3600.0,0.34
1998-06-04,10.0,10.0,9.75,9.95,9.95,2700.0,0.27
1998-06-05,9.75,9.75,9.5,9.5,9.5,1300.0,0.13
1998-06-08,9.25,9.25,8.5,8.95,8.95,2800.0,0.25
1998-06-09,8.8,9.05,8.8,9.0,9.0,4200.0,0.37
1998-06-10,8.9,9.0,8.75,8.9,8.9,2000.0,0.18
1998-06-11,8.75,8.9,8.75,8.9,8.9,3700.0,0.33
1998-06-12,9.25,9.3,8.75,9.0,9.0,4600.0,0.41
1998-06-15,8.6,8.9,8.0,8.0,8.0,5200.0,0.44
1998-06-16,8.25,8.75,8.25,8.25,8.4,6100.0,0.51
1998-06-17,8.25,8.25,8.25,8.25,8.25,100.0,0.01
1998-06-18,9.0,9.0,8.55,8.55,8.55,1500.0,0.13
1998-06-19,8.0,8.75,8.0,8.75,8.75,300.0,0.02
1998-06-22,8.1,8.1,7.9,8.0,8.0,1300.0,0.1
1998-06-23,7.9,8.75,7.25,8.1,8.1,2100.0,0.17
1998-06-24,8.6,8.6,8.6,8.6,8.6,100.0,0.01
1998-06-25,9.6,9.6,8.5,8.7,8.7,2100.0,0.18
1998-06-26,8.6,8.6,8.5,8.5,8.55,2000.0,0.17
1998-06-29,8.3,8.5,8.0,8.5,8.5,3400.0,0.28
1998-06-30,8.5,8.5,8.5,8.5,8.5,500.0,0.04
1998-07-01,8.2,8.4,8.2,8.4,8.4,2400.0,0.2
1998-07-02,8.4,9.0,8.4,8.5,8.6,18300.0,1.58
1998-07-03,8.5,8.85,8.5,8.85,8.85,700.0,0.06
1998-07-06,8.8,8.85,8.8,8.8,8.85,9900.0,0.88
1998-07-07,8.25,8.8,8.0,8.75,8.75,5300.0,0.44
1998-07-08,8.6,9.0,8.5,9.0,8.8,10900.0,0.95
1998-07-09,9.0,9.2,8.7,8.9,8.9,3800.0,0.34
1998-07-10,8.95,9.0,8.8,9.0,8.85,2500.0,0.22
1998-07-13,9.25,9.25,8.85,9.15,9.15,5700.0,0.52
1998-07-14,9.0,9.3,8.75,9.0,9.0,4600.0,0.41
1998-07-15,8.6,9.1,8.6,8.9,8.9,4300.0,0.39
1998-07-16,8.7,9.0,8.7,8.85,8.85,102300.0,9.07
