Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-01-11,165.0,175.0,132.0,133.35,136.1,5917784.0,8449.97
2008-01-14,134.0,156.5,133.5,140.4,142.0,4126049.0,6096.16
2008-01-15,143.7,146.4,137.35,138.5,138.85,1083437.0,1542.05
2008-01-16,138.0,142.0,132.0,135.0,134.7,488342.0,672.27
2008-01-17,136.0,141.95,134.0,135.0,136.1,547074.0,759.18
2008-01-18,135.0,138.4,120.7,122.0,122.9,357510.0,475.3
2008-01-21,122.0,122.0,98.35,102.05,102.0,185496.0,205.77
2008-01-22,94.0,118.0,81.6,86.35,87.1,53630.0,46.22
2008-01-23,97.0,98.9,87.25,91.55,91.65,102271.0,94.16
2008-01-24,96.0,97.65,87.0,91.75,90.8,71350.0,66.25
2008-01-25,95.0,95.0,90.0,94.9,93.75,40896.0,37.75
2008-01-28,90.25,94.95,89.0,91.1,91.8,29147.0,26.59
2008-01-29,94.85,97.0,92.7,92.7,93.2,30197.0,28.4
2008-01-30,92.0,106.5,91.6,98.0,99.85,295263.0,299.49
2008-01-31,96.25,103.4,95.05,96.25,96.85,89822.0,88.89
2008-02-01,97.25,99.5,95.0,96.95,96.65,24360.0,23.58
2008-02-04,98.1,102.0,97.5,98.8,98.85,43744.0,43.64
2008-02-05,97.0,99.25,97.0,97.4,97.8,22185.0,21.75
2008-02-06,92.2,104.8,92.2,98.0,98.6,92287.0,92.24
2008-02-07,100.0,104.4,94.6,95.25,95.75,77509.0,77.87
2008-02-08,95.55,97.95,92.6,94.0,94.05,38283.0,36.24
2008-02-11,90.5,94.0,84.0,84.9,84.65,25191.0,22.32
2008-02-12,85.0,85.1,76.2,77.2,78.6,51171.0,41.27
2008-02-13,79.55,81.0,78.2,80.0,79.25,35099.0,27.81
2008-02-14,94.4,94.4,79.5,79.6,80.5,28421.0,22.92
2008-02-15,80.0,82.0,78.4,80.75,80.85,38562.0,31.07
2008-02-18,81.05,82.95,78.95,78.95,79.45,56749.0,45.67
2008-02-19,81.2,82.65,79.0,79.35,79.3,42633.0,34.28
2008-02-20,77.2,80.45,77.05,78.25,78.0,39780.0,31.0
2008-02-21,80.0,80.0,76.7,77.0,77.0,69479.0,54.29
2008-02-22,77.0,78.5,75.1,76.7,75.8,48382.0,37.01
2008-02-25,75.6,75.8,69.0,70.0,70.65,91062.0,65.7
2008-02-26,78.0,83.6,70.75,79.7,79.95,264455.0,205.51
2008-02-27,83.0,84.7,78.2,78.2,79.0,77141.0,62.27
2008-02-28,77.05,80.0,76.75,77.6,77.75,29238.0,22.7
2008-02-29,77.1,82.0,76.5,77.45,77.5,41980.0,33.29
2008-03-03,74.0,76.6,74.0,75.8,75.25,23488.0,17.75
2008-03-04,79.0,79.0,72.05,75.5,75.2,31756.0,23.62
2008-03-05,71.6,75.45,71.35,71.95,71.8,24397.0,17.72
2008-03-07,65.3,71.0,65.3,69.4,69.15,47082.0,32.54
2008-03-10,60.25,69.75,60.25,69.2,69.0,39298.0,26.34
2008-03-11,66.35,74.0,66.35,71.5,71.3,57407.0,40.98
2008-03-12,73.95,74.0,68.5,69.4,68.85,39292.0,27.99
2008-03-13,69.0,69.4,66.3,69.4,68.45,28162.0,19.06
2008-03-14,67.75,68.5,66.0,67.15,67.4,18328.0,12.32
2008-03-17,60.2,66.4,60.2,64.0,63.3,34212.0,21.85
2008-03-18,64.0,64.25,62.0,63.5,63.7,20757.0,13.17
2008-03-19,68.85,68.85,64.0,64.0,64.2,18715.0,12.03
2008-03-24,62.5,63.5,60.0,61.1,61.15,25244.0,15.7
2008-03-25,61.25,66.0,61.25,65.5,65.45,36184.0,23.18
2008-03-26,64.5,75.0,64.25,72.3,71.85,27962.0,19.26
2008-03-27,70.0,74.9,69.3,72.0,72.6,56492.0,41.07
2008-03-28,68.2,76.5,62.1,75.0,75.4,26608.0,19.69
2008-03-31,74.8,75.55,65.6,66.0,67.45,174442.0,120.72
2008-04-01,71.75,71.75,67.05,71.1,71.05,14686.0,10.3
2008-04-02,73.0,73.45,68.2,69.6,69.05,66008.0,47.1
2008-04-03,72.0,72.0,68.05,69.75,69.7,37112.0,25.92
2008-04-04,71.0,73.35,69.1,69.75,70.05,68383.0,48.72
2008-04-07,70.0,70.55,69.0,69.1,69.95,22052.0,15.39
2008-04-08,76.0,76.0,68.2,71.5,71.25,78757.0,56.67
2008-04-09,69.5,75.0,69.25,74.0,74.1,38804.0,28.58
2008-04-10,74.9,77.5,73.35,76.2,76.15,37414.0,28.52
2008-04-11,76.0,79.85,75.9,78.6,78.45,49443.0,38.76
2008-04-15,75.0,85.9,75.0,84.15,83.65,80464.0,66.82
2008-04-16,84.65,93.8,82.05,88.45,88.2,176232.0,159.01
2008-04-17,89.9,92.0,87.55,91.2,90.5,60721.0,54.7
2008-04-21,91.9,94.8,90.1,90.3,91.3,45899.0,42.33
2008-04-22,91.0,92.9,88.7,91.0,91.4,45392.0,41.12
2008-04-23,96.5,96.5,92.0,93.0,92.85,54510.0,51.19
2008-04-24,93.9,98.7,93.1,93.35,94.0,169577.0,163.05
2008-04-25,95.0,95.9,91.0,94.0,94.3,58310.0,54.91
2008-04-28,92.0,94.5,92.0,93.1,92.95,20648.0,19.2
2008-04-29,89.0,93.85,89.0,92.5,92.85,17041.0,15.82
2008-04-30,92.9,96.6,92.5,93.0,92.8,42987.0,40.66
2008-05-02,94.0,95.4,90.15,92.0,92.4,46962.0,43.79
2008-05-05,90.5,93.3,90.5,91.85,91.15,12324.0,11.34
2008-05-06,90.5,91.9,90.0,90.95,90.6,11053.0,10.02
2008-05-07,89.1,91.3,89.1,90.2,90.25,16196.0,14.6
2008-05-08,86.4,91.0,86.15,90.0,90.15,16319.0,14.65
2008-05-09,89.2,90.5,83.1,87.45,86.4,14410.0,12.79
2008-05-12,94.8,94.8,81.2,83.0,83.4,10863.0,8.99
2008-05-13,85.0,88.35,84.5,84.6,85.0,12763.0,11.01
2008-05-14,84.0,87.7,84.0,86.75,87.25,6930.0,5.98
2008-05-15,88.0,91.7,86.0,89.8,89.35,28331.0,25.39
2008-05-16,88.5,93.0,88.5,90.15,90.45,14831.0,13.49
2008-05-20,89.5,90.85,87.6,89.95,89.85,9641.0,8.66
2008-05-21,88.5,94.0,88.45,92.5,92.8,34821.0,32.17
2008-05-22,90.7,105.6,90.65,96.85,95.15,205267.0,204.78
2008-05-23,97.75,97.95,89.5,91.75,90.55,46403.0,43.55
2008-05-26,89.4,89.4,86.2,88.2,88.0,18606.0,16.36
2008-05-27,90.0,90.7,85.1,87.2,86.8,12478.0,11.02
2008-05-28,87.0,87.95,85.0,86.35,86.4,16029.0,13.9
2008-05-29,88.0,90.0,85.3,87.5,85.9,15816.0,13.74
2008-05-30,85.0,86.8,83.65,85.45,84.85,15887.0,13.5
2008-06-02,84.05,86.75,81.2,81.25,81.5,10983.0,9.1
2008-06-03,84.0,84.0,76.0,80.9,80.35,13319.0,10.53
2008-06-04,81.75,81.75,78.1,80.05,80.6,12722.0,10.24
2008-06-05,82.0,82.0,78.3,82.0,81.25,47545.0,38.29
2008-06-06,82.75,82.75,79.75,81.2,80.55,14151.0,11.38
2008-06-09,80.0,80.0,73.0,74.55,75.0,12909.0,9.66
2008-06-10,74.2,76.5,73.0,75.0,74.7,13940.0,10.41
2008-06-11,74.15,84.8,74.15,84.75,82.55,15963.0,12.54
2008-06-12,78.25,83.15,78.25,81.65,81.9,6539.0,5.32
2008-06-13,80.55,83.9,80.2,82.75,81.0,6131.0,5.02
2008-06-16,78.0,85.0,78.0,83.45,82.9,5295.0,4.42
2008-06-17,82.0,83.25,81.05,82.0,82.65,1708.0,1.41
2008-06-18,81.0,85.75,80.5,84.75,84.55,11212.0,9.42
2008-06-19,83.0,83.0,81.0,81.9,81.4,2530.0,2.07
2008-06-20,81.5,81.8,78.05,79.0,79.0,11168.0,8.87
2008-06-23,74.55,79.0,72.55,75.8,74.3,7853.0,5.82
2008-06-24,73.1,76.8,73.0,76.0,74.15,9508.0,7.03
2008-06-25,70.25,76.5,70.25,76.0,75.35,10479.0,7.64
2008-06-26,78.8,81.5,75.05,81.5,80.1,19988.0,15.81
2008-06-27,76.35,80.0,76.35,80.0,77.45,3876.0,3.0
2008-06-30,78.0,78.0,73.0,75.05,74.95,17432.0,13.13
2008-07-01,79.0,79.0,72.55,73.05,73.5,11995.0,8.93
2008-07-02,72.0,73.85,68.55,72.65,73.3,9407.0,6.73
2008-07-03,70.1,73.5,70.1,73.5,73.2,9818.0,7.1
2008-07-04,71.05,75.0,71.05,74.95,74.35,9813.0,7.15
2008-07-07,72.1,74.9,72.1,72.65,72.7,1264.0,0.93
2008-07-08,73.9,77.0,71.6,75.7,75.1,3615.0,2.65
2008-07-09,76.9,77.9,75.1,76.85,76.5,5990.0,4.56
2008-07-10,76.0,76.7,74.1,76.7,76.0,1909.0,1.44
2008-07-11,75.2,82.9,75.2,78.75,79.2,40259.0,31.85
2008-07-14,76.05,77.95,76.0,77.0,77.2,2781.0,2.14
2008-07-15,75.05,76.9,75.05,75.55,75.7,1881.0,1.42
2008-07-16,74.9,78.4,74.9,76.2,76.8,31115.0,24.11
2008-07-17,88.0,88.0,75.0,75.2,75.2,4966.0,3.77
2008-07-18,75.0,76.9,73.1,73.2,74.55,16051.0,12.02
2008-07-21,75.0,75.0,73.55,74.0,74.15,3411.0,2.54
2008-07-22,74.1,74.4,72.5,73.55,73.55,19001.0,13.91
2008-07-23,76.0,77.45,75.5,75.6,75.95,6492.0,4.95
2008-07-24,75.65,76.0,70.25,72.3,72.35,29192.0,21.21
2008-07-25,72.0,72.5,70.65,71.3,71.65,6146.0,4.4
2008-07-28,74.0,78.7,71.25,76.9,75.8,6993.0,5.17
2008-07-29,72.5,76.0,72.5,74.6,74.3,5667.0,4.22
2008-07-30,73.5,75.3,73.5,74.6,74.6,4994.0,3.73
2008-07-31,73.9,74.5,72.6,74.0,73.95,1724.0,1.27
2008-08-01,72.05,75.5,72.0,74.05,74.25,4758.0,3.51
2008-08-04,75.0,75.0,72.55,72.95,73.05,6393.0,4.7
2008-08-05,74.5,74.5,72.55,73.35,73.05,5169.0,3.79
2008-08-06,74.0,74.9,72.75,72.75,72.9,8921.0,6.57
2008-08-07,74.7,74.7,72.8,73.1,73.2,5061.0,3.74
2008-08-08,74.0,74.0,72.9,73.0,73.25,4782.0,3.5
2008-08-11,74.0,74.5,73.0,73.2,73.25,3056.0,2.25
2008-08-12,73.0,73.9,72.25,72.9,72.85,2565.0,1.87
2008-08-13,73.0,73.0,71.2,71.2,71.9,4033.0,2.91
2008-08-14,71.5,73.0,71.05,71.15,71.2,2295.0,1.65
2008-08-18,70.55,71.6,70.05,70.25,70.3,1828.0,1.29
2008-08-19,70.5,71.2,69.6,70.4,69.95,1399.0,0.98
2008-08-20,71.45,71.8,69.55,70.95,70.5,1232.0,0.87
2008-08-21,70.75,71.45,56.5,67.3,67.35,12356.0,8.31
2008-08-22,67.3,70.0,67.3,69.9,68.25,1834.0,1.25
2008-08-25,70.0,70.0,67.05,67.7,67.7,1678.0,1.14
2008-08-26,66.35,68.95,66.35,68.0,68.0,3765.0,2.55
2008-08-27,71.9,72.0,68.0,68.0,68.0,1860.0,1.29
2008-08-28,67.2,69.0,67.15,67.85,68.15,2298.0,1.56
2008-08-29,69.0,69.0,64.0,65.7,64.8,21147.0,13.88
2008-09-01,66.75,66.75,65.0,66.0,66.1,2454.0,1.61
2008-09-02,67.75,67.75,66.2,66.85,67.0,2055.0,1.38
2008-09-04,66.1,67.45,66.1,67.4,67.4,2115.0,1.41
2008-09-05,65.1,67.45,65.1,67.45,67.05,1586.0,1.05
2008-09-08,67.45,67.95,66.0,66.6,66.7,4225.0,2.83
2008-09-09,65.65,67.6,65.55,67.1,67.2,1911.0,1.28
2008-09-10,67.4,68.0,67.0,67.2,67.45,3731.0,2.52
2008-09-11,66.05,67.6,66.0,67.0,66.7,1684.0,1.12
2008-09-12,67.0,70.95,66.35,68.6,70.1,5659.0,3.91
2008-09-15,65.05,69.0,65.05,66.95,66.8,5499.0,3.67
2008-09-16,64.25,65.8,62.1,63.45,63.05,8776.0,5.57
2008-09-17,62.05,64.95,62.0,64.0,63.3,5725.0,3.62
2008-09-18,60.0,62.0,58.4,60.5,61.1,8473.0,5.07
2008-09-19,61.0,64.8,60.0,61.5,61.25,4975.0,3.05
2008-09-22,61.0,61.7,60.0,60.05,60.2,4209.0,2.54
2008-09-23,58.25,60.8,56.25,58.0,58.15,2865.0,1.67
2008-09-24,56.25,60.0,56.25,58.25,58.8,2083.0,1.21
2008-09-25,59.8,59.8,57.0,58.55,57.9,2852.0,1.65
2008-09-26,58.0,58.0,56.5,56.5,56.5,2461.0,1.4
2008-09-29,54.25,54.25,49.5,51.05,51.25,17539.0,9.0
2008-09-30,45.55,53.0,45.05,49.0,50.15,13108.0,6.36
2008-10-01,52.9,52.9,50.0,51.8,51.15,1857.0,0.94
2008-10-03,49.0,54.2,49.0,50.55,50.55,1374.0,0.7
2008-10-06,48.2,54.85,47.25,47.55,48.05,5143.0,2.51
2008-10-07,47.7,47.7,44.9,44.9,44.95,4216.0,1.94
2008-10-08,45.0,45.7,39.0,40.0,39.75,12608.0,5.21
2008-10-10,37.8,42.0,33.0,37.55,38.45,17839.0,6.63
2008-10-13,42.0,42.0,36.1,37.7,38.1,25979.0,9.53
2008-10-14,39.0,42.0,39.0,41.0,40.85,5746.0,2.36
2008-10-15,40.5,41.7,37.0,40.0,39.7,18217.0,7.29
2008-10-16,37.0,38.95,36.0,37.55,37.95,30023.0,11.12
2008-10-17,37.1,40.0,36.5,37.0,37.45,3968.0,1.49
2008-10-20,39.7,39.7,33.05,35.4,34.65,7986.0,2.85
2008-10-21,35.0,36.35,33.7,34.55,34.95,6155.0,2.16
2008-10-22,34.0,34.5,31.15,32.05,31.85,15656.0,5.15
2008-10-23,30.5,34.0,30.1,33.5,33.75,5179.0,1.71
2008-10-24,30.6,32.8,30.1,32.45,30.95,8156.0,2.55
2008-10-27,30.0,31.85,29.0,30.3,30.5,5559.0,1.69
2008-10-28,30.75,33.5,30.75,32.1,32.75,2106.0,0.68
2008-10-29,31.0,34.0,31.0,33.1,33.1,3303.0,1.09
2008-10-31,31.6,34.5,31.2,34.25,33.85,2281.0,0.77
2008-11-03,34.5,36.65,34.5,36.65,36.2,4026.0,1.45
2008-11-04,34.05,37.6,34.05,37.0,37.0,2984.0,1.1
2008-11-05,36.0,39.0,34.5,34.5,34.95,5658.0,2.03
2008-11-06,33.0,34.75,33.0,33.25,33.25,1722.0,0.58
2008-11-07,32.55,34.0,32.1,34.0,33.85,1474.0,0.49
2008-11-10,33.1,36.8,33.1,36.5,36.35,2481.0,0.88
2008-11-11,36.5,36.5,32.05,33.65,34.35,9012.0,3.08
2008-11-12,33.0,35.7,33.0,34.5,34.35,2221.0,0.77
2008-11-14,34.0,35.55,33.4,33.65,33.65,1704.0,0.57
2008-11-17,34.0,34.0,32.55,32.6,32.6,1892.0,0.62
2008-11-18,33.0,34.25,32.5,33.2,32.8,6683.0,2.18
2008-11-19,31.2,33.5,31.2,32.9,32.5,1237.0,0.4
2008-11-20,31.1,32.35,30.1,31.55,31.5,1821.0,0.57
2008-11-21,30.2,32.0,30.05,30.6,31.25,2283.0,0.7
2008-11-24,30.05,32.5,30.0,30.5,30.6,1898.0,0.58
2008-11-25,30.5,32.0,30.05,30.05,30.1,3151.0,0.96
2008-11-26,28.15,31.55,28.15,29.4,29.5,2591.0,0.76
2008-11-28,31.0,31.0,28.4,29.85,29.85,2303.0,0.68
2008-12-01,29.4,30.5,28.55,29.15,29.45,1008.0,0.3
2008-12-02,28.0,30.0,28.0,29.4,29.4,1512.0,0.44
2008-12-03,28.3,31.9,28.3,29.0,29.0,2436.0,0.71
2008-12-04,29.05,30.0,29.05,29.5,29.5,675.0,0.2
2008-12-05,29.5,30.8,29.1,30.0,30.25,803.0,0.24
2008-12-08,31.9,32.0,30.3,30.7,30.75,842.0,0.26
2008-12-10,30.0,31.9,30.0,31.0,31.1,1442.0,0.45
2008-12-11,32.0,32.0,30.6,31.1,31.4,1232.0,0.38
2008-12-12,31.8,32.85,31.8,32.0,32.05,6921.0,2.22
2008-12-15,32.55,33.45,32.55,33.45,33.2,580.0,0.19
2008-12-16,33.45,34.0,32.25,34.0,33.4,2231.0,0.75
2008-12-17,33.0,34.0,32.6,33.5,33.7,2608.0,0.87
2008-12-18,32.15,33.5,31.1,31.1,32.45,3430.0,1.12
2008-12-19,31.05,33.8,31.05,32.0,32.25,5412.0,1.76
2008-12-22,31.5,32.85,30.55,31.0,31.05,16413.0,5.16
2008-12-23,30.65,31.25,28.2,28.55,28.6,10635.0,3.15
2008-12-24,29.0,29.05,27.2,27.5,27.6,8433.0,2.34
2008-12-26,28.5,29.75,28.5,28.8,28.8,3237.0,0.94
2008-12-29,28.9,29.6,27.6,28.1,28.05,3041.0,0.86
2008-12-30,28.55,29.8,28.55,29.0,29.2,7425.0,2.16
2008-12-31,28.8,31.45,28.8,31.0,31.1,5006.0,1.51
2009-01-01,30.0,32.45,30.0,31.95,31.95,867.0,0.27
2009-01-02,32.0,33.5,31.15,33.0,33.2,4116.0,1.36
2009-01-05,33.95,34.95,32.0,34.6,34.45,6720.0,2.25
2009-01-06,33.3,34.65,33.3,34.45,34.45,3402.0,1.16
2009-01-07,33.5,35.0,30.55,31.0,31.15,4228.0,1.37
2009-01-09,28.5,31.0,28.1,30.25,30.2,3607.0,1.06
2009-01-12,27.25,31.95,27.25,31.35,30.5,3014.0,0.92
2009-01-13,29.0,31.0,29.0,30.35,30.45,1031.0,0.31
2009-01-14,29.25,31.0,29.25,30.4,30.4,1681.0,0.51
2009-01-15,29.0,31.05,28.5,30.3,30.3,963.0,0.29
2009-01-16,30.05,31.6,30.05,31.25,30.85,1036.0,0.32
2009-01-19,29.5,32.7,29.5,30.75,30.75,988.0,0.31
2009-01-20,29.15,31.2,29.15,30.25,30.25,5838.0,1.78
2009-01-21,29.0,31.75,28.55,30.6,31.1,1493.0,0.45
2009-01-22,30.0,30.8,29.0,29.8,30.15,2025.0,0.59
2009-01-23,29.0,30.95,27.05,29.45,28.75,3160.0,0.89
2009-01-27,28.5,29.0,27.65,28.25,28.25,1033.0,0.29
2009-01-28,28.0,29.45,27.45,29.0,29.05,612.0,0.18
2009-01-29,29.25,30.85,29.25,30.0,30.0,2625.0,0.79
2009-01-30,29.25,30.6,29.25,29.7,29.7,1544.0,0.46
