Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-06-14,34.7,36.0,34.7,35.2,35.45,20118.0,7.11
2005-06-15,36.9,36.9,33.4,33.4,34.1,49795.0,17.13
2005-06-16,35.35,35.35,34.0,34.75,34.5,55017.0,19.0
2005-06-17,34.2,34.5,33.15,33.85,33.6,25899.0,8.76
2005-06-20,32.8,33.0,31.0,32.2,32.05,27209.0,8.63
2005-06-21,32.5,33.25,31.8,32.65,32.65,35822.0,11.69
2005-06-22,32.0,33.15,32.0,32.7,32.85,17631.0,5.78
2005-06-23,32.55,35.0,32.5,35.0,34.6,66684.0,22.61
2005-06-24,32.6,34.75,32.6,34.0,33.8,29377.0,10.05
2005-06-27,34.0,35.25,33.65,34.5,34.55,23376.0,8.07
2005-06-28,32.0,34.5,32.0,34.5,34.25,23818.0,8.06
2005-06-29,35.95,36.0,34.95,35.25,35.45,81418.0,28.9
2005-06-30,36.45,36.7,35.2,35.7,35.5,45184.0,16.22
2005-07-01,35.0,35.7,34.8,34.9,35.0,16047.0,5.65
2005-07-04,35.5,36.45,34.7,35.8,35.65,22603.0,8.07
2005-07-05,34.5,36.0,34.5,35.0,35.1,29062.0,10.28
2005-07-06,34.85,36.0,34.85,35.55,35.7,28100.0,10.01
2005-07-07,36.25,36.5,35.0,35.45,35.25,28082.0,10.02
2005-07-08,36.5,39.5,36.0,38.6,38.95,220801.0,84.09
2005-07-11,39.85,41.4,39.4,40.2,40.05,288415.0,116.52
2005-07-12,42.25,42.25,38.35,39.75,39.2,159486.0,63.2
2005-07-13,39.4,40.4,39.1,39.8,39.95,100582.0,40.1
2005-07-14,40.2,44.35,39.95,43.5,43.8,287287.0,121.42
2005-07-15,45.7,46.9,44.6,46.35,46.1,360500.0,164.63
2005-07-18,46.5,47.35,44.25,44.8,44.6,181403.0,83.47
2005-07-19,45.0,46.45,44.25,45.3,45.6,195797.0,87.93
2005-07-20,46.05,49.0,46.05,48.9,48.35,294001.0,139.91
2005-07-21,49.95,52.85,48.55,49.7,49.45,431128.0,217.75
2005-07-22,49.95,50.8,48.9,50.0,49.7,198104.0,98.82
2005-07-25,50.0,51.0,47.25,47.5,47.55,106441.0,51.43
2005-07-26,46.7,47.75,44.0,45.05,44.5,154827.0,69.82
2005-07-27,45.5,46.0,44.25,44.3,44.4,52633.0,23.58
2005-07-29,46.0,46.0,43.0,43.3,43.3,88080.0,38.52
2005-08-01,44.65,45.75,43.75,45.25,45.55,90854.0,40.6
2005-08-02,46.35,46.85,45.3,46.55,46.35,101097.0,46.8
