Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-09-11,12.65,12.65,12.45,12.45,12.45,34648.0,4.37
2013-09-12,12.4,12.65,12.4,12.6,12.65,800.0,0.1
2013-09-13,12.5,13.1,12.5,13.1,13.05,37617.0,4.87
2013-09-16,12.85,13.45,12.5,12.75,12.75,49805.0,6.4
2013-09-17,12.45,13.1,12.45,13.1,13.1,700.0,0.09
2013-09-18,12.55,12.85,12.5,12.85,12.85,1535.0,0.19
2013-09-19,12.5,12.7,12.3,12.7,12.6,2530.0,0.32
2013-09-20,12.75,12.75,12.1,12.45,12.35,3489.0,0.43
2013-09-23,12.7,12.7,12.55,12.55,12.55,20450.0,2.59
2013-09-25,12.2,12.7,12.2,12.6,12.6,23900.0,3.01
2013-09-26,12.25,12.75,12.2,12.75,12.7,14900.0,1.83
2013-09-27,12.5,12.75,12.5,12.75,12.75,2650.0,0.33
2013-09-30,12.15,12.25,12.15,12.15,12.15,900.0,0.11
2013-10-01,12.4,12.75,11.55,12.0,12.1,8499.0,1.05
2013-10-03,12.3,12.5,12.3,12.5,12.5,100.0,0.01
2013-10-04,13.1,13.1,12.8,13.1,13.1,7880.0,1.03
2013-10-07,13.75,13.75,13.75,13.75,13.75,600.0,0.08
2013-10-08,14.4,14.4,14.4,14.4,14.4,375.0,0.05
2013-10-09,15.1,15.1,15.1,15.1,15.1,18911.0,2.86
2013-10-10,15.85,15.85,15.85,15.85,15.85,1917.0,0.3
2013-10-11,16.6,16.6,16.6,16.6,16.6,3925.0,0.65
2013-10-14,17.4,17.4,16.25,16.65,16.65,29080.0,4.96
2013-10-15,17.45,17.45,16.1,16.9,16.95,9610.0,1.64
2013-10-17,17.1,17.75,16.6,17.75,17.75,13547.0,2.36
2013-10-18,18.6,18.6,18.6,18.6,18.6,42551.0,7.91
2013-10-21,19.5,19.5,19.5,19.5,19.5,8891.0,1.73
2013-10-22,20.45,20.45,20.45,20.45,20.45,6122.0,1.25
2013-10-23,21.45,21.45,21.45,21.45,21.45,1795.0,0.39
2013-10-24,22.5,22.5,22.5,22.5,22.5,2195.0,0.49
2013-10-25,23.6,23.6,21.4,23.6,23.6,253438.0,58.39
2013-10-28,24.45,24.75,23.75,24.75,24.6,73162.0,17.99
2013-10-29,25.7,25.8,23.55,25.8,25.8,96373.0,24.67
2013-10-30,27.05,27.05,26.95,27.05,27.05,31597.0,8.55
2013-10-31,28.4,28.4,28.4,28.4,28.4,10206.0,2.9
2013-11-01,29.25,29.8,27.2,27.5,28.55,138547.0,40.25
2013-11-03,29.5,29.95,28.0,29.95,29.8,16487.0,4.9
2013-11-05,30.05,31.0,28.35,28.35,28.35,21793.0,6.38
2013-11-06,27.0,27.05,26.95,26.95,26.95,4002.0,1.08
2013-11-07,25.65,25.65,25.65,25.65,25.65,260.0,0.07
2013-11-08,24.4,26.8,24.4,25.95,24.6,55752.0,13.67
2013-11-11,24.1,25.45,23.4,25.0,24.0,9368.0,2.23
2013-11-12,22.8,24.8,22.8,23.9,23.05,4065.0,0.94
2013-11-13,23.95,24.2,21.9,24.2,24.2,15443.0,3.52
2013-11-14,25.0,25.4,24.65,25.4,25.4,8779.0,2.23
2013-11-18,26.0,26.65,24.25,26.65,26.65,10744.0,2.84
2013-11-19,27.8,27.85,25.8,26.65,26.35,11196.0,3.03
2013-11-20,25.05,27.4,25.05,27.4,27.0,13750.0,3.63
2013-11-21,26.0,28.0,25.65,26.8,26.8,12580.0,3.38
2013-11-22,27.9,27.9,25.5,25.5,25.55,12943.0,3.41
2013-11-25,26.7,26.7,24.3,25.45,24.6,12464.0,3.05
2013-11-26,25.8,25.8,24.0,25.5,24.85,10665.0,2.64
2013-11-27,25.95,26.05,24.0,26.05,25.75,7244.0,1.85
2013-11-28,27.0,27.0,24.6,27.0,26.75,12602.0,3.33
2013-11-29,28.0,28.05,27.0,28.0,27.85,10932.0,3.04
2013-12-02,29.0,29.0,26.7,28.6,28.45,6687.0,1.89
2013-12-03,28.95,28.95,27.05,27.05,27.05,1903.0,0.52
2013-12-04,25.7,26.75,25.7,25.7,25.7,4038.0,1.05
2013-12-05,24.45,26.45,24.45,24.5,24.5,6816.0,1.72
2013-12-06,23.4,25.55,23.4,24.85,24.75,7299.0,1.81
2013-12-09,25.0,25.75,23.55,24.0,23.6,6604.0,1.58
2013-12-10,24.4,24.4,22.45,22.9,22.55,8714.0,1.99
2013-12-11,23.45,23.65,21.8,22.0,22.5,3168.0,0.72
2013-12-12,23.3,23.3,21.75,22.95,22.75,5908.0,1.35
2013-12-13,23.3,23.4,22.8,23.3,23.3,15215.0,3.54
2013-12-16,23.5,24.45,23.1,24.45,24.45,43655.0,10.53
2013-12-17,24.95,25.5,23.7,24.95,24.95,23724.0,5.91
2013-12-18,25.5,25.7,24.8,25.35,25.3,13048.0,3.31
2013-12-19,25.5,26.45,25.0,25.9,25.4,17159.0,4.43
2013-12-20,25.9,26.1,24.2,26.1,25.85,13927.0,3.48
2013-12-23,25.8,26.8,24.8,26.4,26.4,16056.0,4.23
2013-12-24,26.85,26.9,25.1,25.1,25.1,17765.0,4.54
2013-12-26,23.9,25.0,23.9,24.0,24.05,11976.0,2.91
2013-12-27,23.95,24.65,22.85,22.85,22.85,11914.0,2.74
2013-12-30,22.5,23.95,22.5,23.95,23.95,1871.0,0.45
2013-12-31,25.0,25.1,23.8,23.95,24.2,6179.0,1.52
2014-01-01,24.0,25.2,24.0,25.2,25.1,3935.0,0.99
2014-01-02,24.05,24.05,23.9,23.9,23.9,500.0,0.12
2014-01-03,22.8,23.9,22.8,23.0,23.0,3092.0,0.72
2014-01-06,22.75,23.5,22.6,22.6,22.7,2690.0,0.61
