Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-06-23,100.3,100.3,100.3,100.3,100.3,80.0,0.08
2008-06-24,99.85,100.0,95.3,98.7,98.7,2901.0,2.79
2008-06-25,95.0,103.0,94.15,100.85,99.8,5534.0,5.54
2008-06-26,99.0,104.75,99.0,101.0,101.0,1399.0,1.43
2008-06-27,98.0,103.45,98.0,103.45,101.1,2986.0,2.97
2008-06-30,100.0,103.9,100.0,100.0,100.0,825.0,0.83
2008-07-01,99.0,101.0,95.0,100.0,99.7,3451.0,3.41
2008-07-02,95.0,102.9,95.0,99.95,99.9,2857.0,2.85
2008-07-03,103.0,103.0,95.0,95.0,95.3,422.0,0.41
2008-07-04,92.0,96.85,91.55,92.2,93.3,237.0,0.22
2008-07-07,101.95,101.95,91.05,92.0,92.0,381.0,0.35
2008-07-08,92.0,95.0,84.0,95.0,95.0,975.0,0.89
2008-07-09,89.0,101.95,89.0,100.0,100.0,45093.0,45.05
2008-07-10,96.4,100.0,95.55,98.0,98.3,1218.0,1.19
2008-07-11,106.95,106.95,94.7,94.7,95.9,800.0,0.77
2008-07-14,100.0,101.9,99.95,100.0,100.0,53121.0,53.12
2008-07-15,100.0,101.75,96.15,100.0,100.0,50055.0,50.04
2008-07-16,100.0,100.0,98.05,99.05,100.0,50977.0,50.97
2008-07-17,100.0,100.0,99.05,99.15,100.0,51464.0,51.46
2008-07-18,100.0,100.0,91.1,98.5,98.45,1672.0,1.65
2008-07-21,99.95,99.95,93.15,93.15,93.2,508.0,0.48
2008-07-22,93.0,95.0,91.5,93.2,91.75,734.0,0.68
2008-07-23,95.0,99.7,91.15,95.0,93.2,2736.0,2.56
2008-07-24,95.0,95.0,91.5,93.0,93.0,2364.0,2.2
2008-07-25,89.0,92.9,87.6,89.3,89.3,726.0,0.65
2008-07-28,90.0,91.0,89.05,90.0,90.0,2620.0,2.36
2008-07-29,89.1,90.9,87.1,90.0,90.0,31626.0,28.46
2008-07-30,90.0,99.0,86.15,88.0,89.55,69768.0,62.71
2008-07-31,89.95,90.0,84.0,89.3,86.75,3414.0,2.99
2008-08-01,83.15,85.95,80.0,81.7,83.55,2219.0,1.86
2008-08-04,82.55,86.0,82.55,85.0,84.9,3598.0,3.02
2008-08-05,84.05,87.9,84.05,85.0,85.95,1683.0,1.43
2008-08-06,87.95,87.95,85.25,86.0,85.5,649.0,0.56
2008-08-07,87.5,88.0,84.0,85.0,84.85,4599.0,3.92
2008-08-08,84.05,87.9,84.05,85.0,85.45,3718.0,3.17
2008-08-11,86.9,86.9,84.25,85.5,85.9,2610.0,2.23
