Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-02-28,680.0,680.0,600.0,610.0,610.37,10921.0,67.82
2008-02-29,623.0,629.9,619.0,625.5,627.54,1526.0,9.55
2008-03-03,638.0,645.09,635.0,642.24,639.29,1767.0,11.33
2008-03-04,538.45,645.0,518.58,639.65,638.73,512.0,3.07
2008-03-05,645.0,650.0,610.0,632.9,632.9,180.0,1.14
2008-03-07,640.0,650.0,636.0,650.0,647.24,6698.0,43.36
2008-03-10,650.0,650.0,640.0,642.1,646.7,639.0,4.14
2008-03-11,645.0,647.0,638.05,647.0,645.63,600.0,3.86
2008-03-12,647.0,670.0,521.0,638.0,639.1,1197.0,7.7
2008-03-13,639.0,649.9,639.0,649.9,649.14,556.0,3.6
2008-03-14,650.01,654.0,641.1,653.45,653.2,461.0,3.0
2008-03-17,780.0,780.0,660.0,685.0,690.37,2115.0,14.55
2008-03-18,661.0,666.4,655.25,665.95,664.41,943.0,6.24
2008-03-19,651.0,655.0,640.0,648.0,654.84,2450.0,16.0
2008-03-24,630.0,640.0,603.1,611.4,607.85,1326.0,8.1
2008-03-25,601.0,629.0,491.0,610.45,603.07,555.0,3.37
2008-03-26,615.0,619.45,599.0,609.9,607.2,470.0,2.86
2008-03-27,624.0,624.0,614.0,614.0,614.0,1347.0,8.34
2008-03-28,625.0,625.0,610.0,618.9,616.42,441.0,2.71
2008-03-31,603.0,620.0,564.0,613.9,613.47,179.0,1.09
2008-04-01,600.0,600.0,583.0,589.49,589.27,1125.0,6.65
2008-04-02,589.09,590.0,575.0,584.0,582.06,2238.0,13.04
2008-04-03,575.0,597.95,575.0,595.85,595.85,265.0,1.57
2008-04-04,599.9,599.9,584.0,591.9,589.3,101.0,0.6
2008-04-07,625.0,625.0,595.0,598.5,598.5,566.0,3.38
2008-04-08,620.0,620.0,595.0,598.0,598.0,3480.0,20.85
2008-04-09,625.0,625.0,590.0,594.0,591.65,293.0,1.74
2008-04-10,601.05,606.97,597.05,605.9,605.84,80.0,0.48
2008-04-11,610.0,610.0,595.0,605.49,608.55,218.0,1.32
2008-04-15,605.49,625.0,601.0,612.5,612.5,1278.0,7.83
2008-04-16,610.0,610.0,602.0,609.7,609.68,1294.0,7.86
2008-04-17,643.88,643.88,591.0,614.9,609.27,149.0,0.91
2008-04-21,600.0,604.5,598.0,600.0,599.67,88.0,0.53
