Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-01-09,90.0,90.0,90.0,,,,
1998-05-08,90.0,90.0,90.0,90.0,90.0,100.0,0.09
1999-03-31,83.0,83.0,83.0,83.0,83.0,100.0,0.08
2000-04-06,82.5,82.5,82.5,82.5,82.5,100.0,0.08
2000-04-27,76.0,76.0,76.0,76.0,76.0,100.0,0.08
2000-05-05,72.0,72.0,72.0,72.0,72.0,100.0,0.07
2000-06-20,70.0,70.0,70.0,70.0,70.0,200.0,0.14
2000-11-15,70.0,70.0,70.0,70.0,70.0,1000.0,0.7
2000-11-22,64.5,64.5,64.5,64.5,64.5,100.0,0.06
2000-11-30,59.8,59.8,59.8,59.8,59.8,100.0,0.06
2000-12-01,55.9,55.9,55.9,55.9,55.9,100.0,0.06
2000-12-07,52.0,52.0,52.0,52.0,52.0,100.0,0.05
2006-01-09,46.5,46.7,46.5,46.7,46.7,594000.0,276.94
2006-03-14,62.0,62.0,58.0,62.0,62.0,246.0,0.15
2006-03-16,65.1,65.1,62.3,65.05,64.45,235.0,0.15
2006-03-17,66.4,66.95,61.25,61.25,61.25,239.0,0.15
2006-03-20,63.0,63.95,61.0,63.95,63.95,8.0,0.01
2006-03-21,63.0,63.95,61.0,63.9,63.9,109.0,0.07
2006-03-22,63.9,63.9,60.7,63.75,63.75,274.0,0.17
2006-03-23,66.95,66.95,60.6,60.6,60.6,31.0,0.02
2006-03-27,63.5,63.5,59.0,62.95,62.95,120.0,0.07
2006-03-29,66.0,66.0,61.95,61.95,61.95,20.0,0.01
2006-03-30,65.0,65.0,65.0,65.0,65.0,10.0,0.01
2006-03-31,68.25,68.25,68.25,68.25,68.25,5.0,0.0
2006-04-03,71.65,71.65,65.0,68.95,68.95,20.0,0.01
2006-04-04,70.95,70.95,70.95,70.95,70.95,5.0,0.0
2006-04-05,72.9,72.9,72.9,72.9,72.9,5.0,0.0
2006-04-10,75.95,75.95,69.25,69.25,69.25,48.0,0.03
2006-04-12,72.55,72.65,66.0,72.65,72.65,31.0,0.02
2006-04-13,75.95,75.95,73.25,73.25,73.25,25.0,0.02
2006-04-18,76.5,76.5,74.75,74.75,74.75,11.0,0.01
2006-04-20,78.5,78.5,71.05,71.05,71.05,2.0,0.0
2006-04-21,74.0,74.0,67.5,67.5,67.5,153.0,0.11
2006-04-25,65.45,65.45,65.45,65.45,65.45,1.0,0.0
2006-04-26,68.5,68.5,62.5,68.45,68.45,3.0,0.0
2006-04-27,71.5,71.5,71.5,71.5,71.5,1.0,0.0
2006-05-04,74.95,74.95,74.95,74.95,74.95,1.0,0.0
