Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-09-20,11.25,11.25,11.25,11.25,11.25,6041.0,0.68
2006-09-21,13.5,13.5,13.5,13.5,13.5,3842.0,0.52
2006-09-22,16.2,16.2,16.2,16.2,16.2,18179.0,2.94
2006-09-25,19.45,19.45,19.45,19.45,19.45,17253.0,3.36
2006-09-26,23.35,23.35,23.35,23.35,23.35,15722.0,3.67
2006-09-27,28.05,28.05,28.05,28.05,28.05,7732.0,2.17
2006-09-28,33.7,33.7,33.7,33.7,33.7,8929.0,3.01
2006-09-29,40.45,40.45,40.4,40.45,40.45,64593.0,26.13
2006-10-03,46.4,48.55,42.0,48.55,48.55,1216643.0,573.8
2006-10-04,51.0,58.3,50.0,55.25,56.4,7368856.0,3991.66
2006-10-05,53.5,58.2,51.6,53.15,53.05,3862327.0,2072.74
2006-10-06,53.0,53.0,48.65,48.95,49.15,1510261.0,751.44
2006-10-09,46.1,49.7,43.05,47.3,47.15,741162.0,348.76
2006-10-10,47.0,55.3,45.55,53.25,53.85,4054526.0,2151.16
2006-10-11,54.4,54.4,50.35,50.95,50.95,1125460.0,589.32
2006-10-12,51.5,52.5,50.75,52.05,51.9,557110.0,287.14
2006-10-13,52.5,53.0,51.25,51.5,51.5,662073.0,344.57
2006-10-16,52.5,53.5,50.3,50.45,50.6,508611.0,262.43
2006-10-17,48.05,50.0,47.9,48.7,48.35,268015.0,129.81
2006-10-18,48.65,48.65,46.0,46.3,46.55,271282.0,127.41
2006-10-19,46.3,47.5,46.0,46.6,46.35,172746.0,80.51
2006-10-20,47.0,47.35,46.3,46.4,46.45,70623.0,32.94
2006-10-21,46.9,47.2,46.55,46.6,46.75,29330.0,13.74
2006-10-23,46.0,46.7,45.05,45.5,45.4,91220.0,41.58
2006-10-26,45.9,46.95,45.25,45.8,45.85,81032.0,37.32
2006-10-27,45.9,46.0,45.1,45.55,45.4,74175.0,33.8
2006-10-30,45.0,46.2,44.05,45.4,45.75,103083.0,46.82
2006-10-31,46.9,46.9,44.7,45.6,45.15,112970.0,51.14
2006-11-01,46.0,47.0,44.3,45.7,45.65,81218.0,37.1
2006-11-02,45.35,46.45,45.0,45.5,45.45,61818.0,28.22
2006-11-03,44.8,46.3,44.8,45.4,45.45,101002.0,45.97
2006-11-06,45.45,45.95,45.0,45.2,45.05,46645.0,21.07
2006-11-07,45.1,46.75,44.5,44.95,44.95,119876.0,54.62
2006-11-08,44.1,45.4,43.75,44.15,44.0,58364.0,25.86
2006-11-09,43.75,44.8,43.75,44.15,44.0,44842.0,19.77
2006-11-10,43.8,44.4,42.25,43.5,43.55,70181.0,30.47
2006-11-13,44.0,44.5,43.15,43.5,43.4,76010.0,33.24
2006-11-14,35.05,44.0,35.05,42.9,42.7,39766.0,16.91
2006-11-15,42.15,42.7,42.0,42.25,42.25,66372.0,28.0
2006-11-16,42.3,44.0,41.1,42.5,42.3,73209.0,31.32
2006-11-17,41.55,42.9,40.75,41.4,41.2,54916.0,22.92
2006-11-20,42.0,42.0,39.45,40.3,40.45,40659.0,16.43
2006-11-21,33.25,41.5,33.25,40.6,40.75,46824.0,19.03
2006-11-22,40.7,44.0,40.6,41.55,41.8,103731.0,43.69
2006-11-23,41.7,42.5,41.5,41.95,41.85,45676.0,19.2
2006-11-24,42.8,42.8,41.25,42.5,42.2,35838.0,15.13
2006-11-27,42.55,43.55,41.75,43.0,43.05,88718.0,38.12
2006-11-28,42.9,44.7,41.3,42.5,42.7,102518.0,44.43
2006-11-29,43.7,43.9,42.25,42.4,42.65,59632.0,25.45
2006-11-30,42.05,42.5,41.8,41.8,41.9,38775.0,16.34
2006-12-01,42.65,43.8,40.8,41.95,42.15,96977.0,41.1
2006-12-04,41.7,42.4,41.25,41.25,41.45,35971.0,14.96
2006-12-05,41.9,42.25,41.2,41.5,41.45,50167.0,20.86
2006-12-06,41.2,41.75,40.5,40.55,40.65,47959.0,19.75
2006-12-07,40.65,41.65,40.05,41.0,40.5,39804.0,16.1
2006-12-08,40.5,40.85,40.05,40.4,40.25,38201.0,15.37
