Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-06-24,195.0,195.0,125.4,145.1,146.1,1678440.0,2375.16
2008-06-25,143.0,147.5,131.9,146.6,143.2,629611.0,883.28
2008-06-26,145.0,166.0,142.0,157.65,157.35,773427.0,1227.59
2008-06-27,147.0,153.75,143.0,146.4,147.85,130505.0,195.39
2008-06-30,149.0,156.0,126.0,128.1,134.9,52445.0,76.0
2008-07-01,134.9,142.0,117.25,122.55,120.0,45671.0,57.3
2008-07-02,124.8,130.0,97.05,110.6,112.8,55677.0,59.9
2008-07-03,103.0,106.0,99.0,101.05,102.55,14688.0,14.98
2008-07-04,102.0,106.85,96.0,98.0,98.8,9286.0,9.3
2008-07-07,109.0,109.0,100.05,103.0,103.15,5455.0,5.75
2008-07-08,100.0,103.95,98.0,101.0,101.25,2503.0,2.52
2008-07-09,102.45,104.95,99.0,103.0,103.15,1170.0,1.2
2008-07-10,105.0,105.0,101.0,104.0,103.5,625.0,0.65
2008-07-11,101.0,114.0,93.95,98.0,100.1,1200.0,1.22
2008-07-14,98.0,106.0,98.0,100.0,100.2,906.0,0.92
2008-07-15,95.45,100.0,90.8,97.05,99.1,2594.0,2.5
2008-07-16,97.0,101.5,94.45,100.0,99.35,1283.0,1.26
2008-07-17,98.0,100.0,95.0,100.0,99.3,819.0,0.81
2008-07-18,95.05,100.4,95.05,96.0,96.4,235.0,0.23
2008-07-21,94.0,99.0,93.7,93.7,93.7,325.0,0.31
2008-07-22,96.0,99.0,94.25,95.15,95.2,1190.0,1.14
2008-07-23,101.9,101.95,94.05,98.65,97.15,1200.0,1.16
2008-07-24,100.9,100.9,98.0,100.0,99.35,1004.0,0.99
2008-07-25,100.8,102.35,98.0,98.2,98.15,229.0,0.23
2008-07-28,104.85,104.9,81.5,100.0,99.15,498.0,0.49
2008-07-29,88.5,103.5,88.5,100.0,100.0,1008.0,1.0
2008-07-30,95.45,99.5,95.45,96.3,96.3,125.0,0.12
2008-07-31,98.0,99.5,95.4,99.5,98.95,564.0,0.54
2008-08-01,95.0,100.0,95.0,100.0,100.0,130.0,0.13
2008-08-04,100.5,100.5,98.0,98.0,98.6,1407.0,1.4
2008-08-05,97.2,100.0,96.3,100.0,99.95,2045.0,2.02
2008-08-06,87.1,99.0,87.1,98.15,98.2,650.0,0.64
2008-08-07,100.0,101.75,100.0,101.5,101.5,24.0,0.02
2008-08-08,99.0,100.0,99.0,100.0,99.55,2930.0,2.91
2008-08-11,102.0,102.0,98.1,99.25,99.25,675.0,0.68
2008-08-12,98.0,98.05,98.0,98.05,98.0,363.0,0.36
2008-08-13,95.4,96.65,95.4,96.65,96.65,36.0,0.03
2008-08-14,100.0,100.0,96.75,99.0,99.0,516.0,0.51
2008-08-18,86.35,99.9,86.35,96.0,96.1,67.0,0.06
2008-08-19,92.25,96.0,92.25,95.5,94.75,279.0,0.26
