Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-06-20,149.95,149.95,61.0,90.6,89.6,1607085.0,1588.8
2008-06-23,89.0,89.0,72.05,72.25,73.15,332868.0,258.97
2008-06-24,67.1,77.5,66.2,68.65,70.75,477627.0,340.49
2008-06-25,70.0,70.0,63.95,67.0,66.7,141298.0,93.89
2008-06-26,74.5,74.5,66.0,66.0,67.85,84330.0,58.81
2008-06-27,67.85,67.85,60.45,61.0,62.3,22939.0,14.62
2008-06-30,63.75,63.75,53.5,53.7,54.8,28675.0,16.7
2008-07-01,55.0,59.0,52.35,54.2,55.05,15201.0,8.12
2008-07-02,53.0,55.0,51.2,53.5,53.95,8871.0,4.65
2008-07-03,52.0,52.0,50.0,51.5,50.55,7383.0,3.74
2008-07-04,50.0,60.0,50.0,56.75,55.55,10683.0,5.77
2008-07-07,55.0,59.95,53.5,55.0,55.05,3025.0,1.69
2008-07-08,54.9,57.95,52.0,57.0,56.55,3192.0,1.77
2008-07-09,56.25,61.0,56.25,58.45,58.85,11758.0,6.9
2008-07-10,59.9,60.95,56.0,59.2,60.15,922.0,0.54
2008-07-11,63.0,63.0,57.5,58.0,57.65,1835.0,1.07
2008-07-14,55.15,65.2,55.1,60.7,61.4,4846.0,2.95
2008-07-15,58.1,60.4,57.15,57.15,58.45,916.0,0.54
2008-07-16,57.4,62.0,57.35,58.0,58.3,3665.0,2.16
2008-07-17,57.35,58.8,55.0,58.0,56.75,1537.0,0.88
2008-07-18,55.0,56.6,53.65,54.7,55.0,3047.0,1.68
2008-07-21,53.25,54.85,53.1,54.05,54.45,1192.0,0.65
2008-07-22,54.5,56.5,54.5,55.7,55.2,3063.0,1.69
2008-07-23,56.55,57.4,55.0,57.1,57.05,1461.0,0.82
2008-07-24,54.5,57.0,54.45,55.05,55.85,1843.0,1.02
2008-07-25,55.1,58.85,55.1,56.45,56.45,979.0,0.54
2008-07-28,54.25,56.5,54.15,55.95,54.75,8374.0,4.61
2008-07-29,54.15,55.95,53.0,54.5,54.35,2839.0,1.55
2008-07-30,55.25,57.75,53.1,57.5,56.15,1913.0,1.06
2008-07-31,51.8,56.95,51.8,56.75,56.75,1591.0,0.89
2008-08-01,56.1,58.5,56.1,56.95,57.0,581.0,0.33
2008-08-04,57.25,58.5,57.25,57.45,58.4,891.0,0.51
2008-08-05,56.0,60.3,56.0,57.1,57.35,2547.0,1.47
2008-08-06,58.0,59.45,56.5,56.5,57.05,3161.0,1.83
2008-08-07,57.25,59.0,57.25,58.55,58.55,854.0,0.5
2008-08-08,57.25,60.0,56.0,59.85,59.25,2540.0,1.48
2008-08-11,59.85,59.85,58.15,59.0,59.25,952.0,0.56
2008-08-12,59.25,61.65,58.8,59.0,59.15,1482.0,0.88
2008-08-13,59.0,61.9,59.0,61.9,59.25,981.0,0.58
2008-08-14,59.25,62.0,51.0,61.0,61.0,1677.0,1.0
2008-08-18,60.4,62.25,60.4,60.4,60.4,2365.0,1.43
