Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-11-25,600.0,725.0,334.0,525.0,480.65,126846.0,627.1
2008-11-26,499.8,515.0,401.35,490.0,490.85,33942.0,161.84
2008-11-28,450.0,548.0,440.0,537.8,535.7,12494.0,64.59
2008-12-01,550.0,600.0,495.0,535.0,527.3,33233.0,186.13
2008-12-02,500.0,553.7,475.0,540.0,544.1,14877.0,78.64
2008-12-03,550.0,585.0,525.0,560.0,546.05,9799.0,54.54
2008-12-04,540.05,624.0,540.05,561.3,573.0,19455.0,114.56
2008-12-05,587.9,620.0,560.0,620.0,601.2,7705.0,46.27
2008-12-08,629.0,647.9,610.25,624.5,617.5,4505.0,28.35
2008-12-10,634.0,700.0,620.0,699.8,687.5,6902.0,45.98
2008-12-11,690.0,709.4,625.65,625.65,641.45,12527.0,82.61
2008-12-12,620.1,664.95,620.0,631.0,640.35,5775.0,37.24
2008-12-15,649.0,653.0,618.1,620.0,631.35,1174.0,7.52
2008-12-16,604.05,757.65,604.05,710.5,714.15,25097.0,176.35
2008-12-17,784.0,784.0,655.05,670.0,669.1,10937.0,77.96
2008-12-18,697.0,747.0,642.0,700.0,699.55,20013.0,140.82
2008-12-19,710.0,720.0,660.1,666.9,671.35,13132.0,91.45
2008-12-22,671.35,734.8,662.0,709.9,696.85,11837.0,84.08
2008-12-23,695.0,709.85,675.0,679.0,685.8,10321.0,71.25
2008-12-24,689.9,724.65,680.15,711.1,712.65,5244.0,37.26
2008-12-26,700.0,730.0,682.4,695.0,694.5,6316.0,44.68
2008-12-29,676.0,692.0,668.0,670.0,674.45,2564.0,17.4
2008-12-30,680.0,705.0,630.1,679.5,688.85,17525.0,119.25
2008-12-31,685.0,700.0,666.2,690.6,695.35,2655.0,18.21
2009-01-01,680.1,715.0,672.0,699.5,698.7,2238.0,15.69
2009-01-02,699.95,699.95,666.0,674.1,682.2,8798.0,59.65
2009-01-05,777.5,777.5,687.0,699.0,704.1,2786.0,19.8
2009-01-06,700.5,710.0,615.05,664.0,641.6,25561.0,166.8
2009-01-07,640.0,659.9,607.0,650.0,632.6,8640.0,55.0
2009-01-09,596.0,635.1,589.95,605.0,619.65,9775.0,59.76
2009-01-12,595.0,613.7,570.0,574.0,586.6,2153.0,12.82
2009-01-13,581.0,587.0,551.05,551.05,555.85,1009.0,5.78
2009-01-14,568.0,635.0,553.4,635.0,624.6,4015.0,24.37
2009-01-15,572.0,629.85,572.0,624.9,625.95,1366.0,8.4
2009-01-16,604.2,639.6,580.2,620.0,617.55,19710.0,121.6
2009-01-19,619.9,647.5,601.0,612.5,615.8,593.0,3.69
2009-01-20,610.1,629.8,541.55,585.1,583.45,19380.0,111.54
2009-01-21,571.0,593.9,565.3,572.05,578.7,1197.0,6.95
2009-01-22,587.0,587.0,570.0,575.0,574.95,1771.0,10.18
2009-01-23,564.0,650.0,564.0,619.8,628.25,70040.0,424.3
2009-01-27,615.0,670.0,586.05,604.95,605.95,25378.0,154.52
2009-01-28,644.9,644.9,593.2,595.0,598.6,20417.0,122.34
2009-01-29,598.0,619.95,565.0,570.0,577.6,13654.0,80.68
2009-01-30,569.9,582.9,559.15,570.0,570.0,2533.0,14.47
2009-02-02,566.0,580.0,532.15,532.15,559.3,18095.0,101.64
2009-02-03,540.0,569.9,525.05,553.0,556.5,3423.0,18.79
2009-02-04,551.0,565.0,541.0,549.95,556.3,2943.0,16.42
2009-02-05,58.75,65.8,53.0,62.05,62.1,703927.0,434.75
2009-02-06,63.8,68.45,60.35,64.0,64.5,588481.0,382.2
2009-02-09,66.0,66.0,62.4,63.2,63.45,165079.0,105.17
2009-02-10,63.75,64.65,60.4,61.7,61.4,94162.0,58.83
2009-02-11,61.8,64.4,60.05,61.6,62.9,90991.0,56.31
2009-02-12,61.8,62.4,57.5,57.55,59.9,670642.0,409.32
2009-02-13,61.4,61.4,52.95,55.9,55.45,884972.0,497.14
2009-02-16,55.9,57.0,54.0,54.55,55.15,64462.0,35.69
2009-02-17,56.8,56.8,51.1,53.45,52.5,97529.0,51.21
2009-02-18,52.0,55.0,51.5,53.0,53.8,122478.0,65.14
2009-02-19,53.5,54.4,50.4,50.9,51.3,24937.0,12.95
2009-02-20,50.5,50.8,46.25,50.4,48.55,265045.0,128.54
2009-02-24,48.0,54.0,46.5,54.0,52.65,122717.0,62.37
2009-02-25,53.1,57.2,52.0,56.1,55.05,63222.0,34.59
2009-02-26,56.0,57.4,53.75,54.0,54.8,63784.0,35.41
2009-02-27,53.85,54.5,51.5,52.0,52.85,61487.0,32.52
2009-03-02,51.3,53.9,49.9,49.9,51.4,75302.0,38.96
2009-03-03,50.5,52.5,49.3,51.0,51.0,110979.0,56.18
2009-03-04,50.1,51.5,47.25,48.15,48.55,217678.0,106.02
2009-03-05,48.35,48.4,45.5,46.15,46.5,102690.0,47.88
2009-03-06,44.55,47.0,43.8,44.0,44.4,137362.0,62.28
2009-03-09,43.8,46.8,40.45,46.0,45.5,136390.0,60.67
2009-03-12,47.9,49.9,42.0,47.4,46.6,311325.0,141.79
2009-03-13,47.5,51.4,47.25,48.5,48.6,133787.0,66.54
2009-03-16,49.85,50.8,46.25,46.5,46.9,169796.0,82.31
2009-03-17,47.8,47.9,43.55,44.5,44.75,844213.0,391.44
2009-03-18,45.9,47.0,43.25,46.8,45.9,229278.0,103.34
2009-03-19,46.4,48.0,44.1,44.7,46.5,416627.0,192.64
2009-03-20,43.25,46.0,43.2,45.6,45.35,88728.0,39.33
2009-03-23,44.5,46.5,44.5,46.4,45.75,176241.0,80.84
2009-03-24,46.5,48.5,46.0,48.25,48.05,140666.0,67.12
2009-03-25,48.0,48.05,45.0,46.0,46.25,199775.0,91.72
2009-03-26,47.45,47.45,43.0,43.8,44.2,237998.0,106.76
2009-03-27,44.0,45.0,40.5,41.25,41.0,249910.0,104.63
2009-03-30,38.5,42.0,38.5,39.15,39.35,75269.0,30.31
2009-03-31,40.5,40.5,38.0,38.75,38.95,673302.0,262.23
2009-04-01,39.0,41.5,38.0,39.1,39.8,108440.0,42.97
2009-04-02,40.35,47.45,40.2,43.4,44.35,654881.0,289.46
2009-04-06,44.35,52.0,43.2,51.9,50.55,721048.0,344.36
2009-04-08,47.5,60.7,45.5,60.0,58.6,471252.0,262.83
2009-04-09,59.2,64.0,59.0,60.0,60.15,178207.0,109.84
2009-04-13,60.5,66.2,56.5,66.0,66.05,414303.0,260.62
2009-04-15,68.7,70.9,61.3,68.7,65.65,194222.0,130.69
2009-04-16,66.0,69.65,61.1,63.5,63.6,140218.0,90.41
2009-04-17,61.05,66.9,61.05,65.65,65.25,171428.0,110.73
2009-04-20,64.3,68.65,62.0,62.35,62.8,152400.0,99.65
2009-04-21,60.0,64.9,59.25,61.6,62.15,240970.0,150.5
2009-04-22,62.6,63.2,60.5,60.55,60.7,225033.0,139.26
2009-04-23,61.35,64.45,59.0,61.85,62.35,225696.0,140.95
2009-04-24,63.55,63.55,60.55,60.6,61.85,43498.0,27.11
2009-04-27,61.9,62.45,58.1,58.5,59.35,1085807.0,651.71
2009-04-28,60.0,61.75,58.5,60.3,60.35,93863.0,56.82
2009-04-29,59.7,62.5,58.5,61.4,60.3,1486014.0,891.96
2009-05-04,62.0,62.0,59.6,60.0,60.35,24512.0,14.89
2009-05-05,61.0,63.3,58.65,63.15,62.65,1250080.0,750.98
2009-05-06,62.45,63.45,57.4,60.0,59.4,220475.0,134.5
2009-05-07,60.3,60.95,58.55,60.1,60.15,15998.0,9.58
2009-05-08,60.1,61.0,58.6,60.5,60.5,45208.0,27.29
2009-05-11,61.4,61.45,57.65,58.0,58.45,22212.0,13.08
2009-05-12,58.6,58.8,56.6,57.0,57.15,20484.0,11.77
2009-05-13,57.15,58.8,53.5,54.0,54.05,319003.0,177.3
2009-05-14,54.0,54.0,52.05,52.85,52.75,46047.0,24.62
2009-05-15,54.4,63.3,53.45,61.35,62.5,565795.0,335.58
2009-05-19,70.0,73.7,62.5,63.55,63.9,215619.0,140.21
2009-05-20,64.8,74.9,64.8,70.55,71.0,512947.0,360.82
2009-05-21,72.5,76.75,68.0,70.8,69.5,343507.0,252.5
2009-05-22,71.0,72.5,68.05,70.0,70.05,320134.0,226.52
2009-05-25,71.65,79.5,71.0,76.9,75.45,287221.0,218.02
2009-05-26,78.05,84.9,78.05,80.0,79.9,382108.0,313.33
2009-05-27,82.05,84.7,81.0,82.5,82.8,478296.0,396.07
2009-05-28,82.5,92.0,81.4,88.85,89.05,862137.0,758.79
2009-05-29,93.4,93.4,85.4,85.45,88.2,1180036.0,1056.27
2009-06-01,88.45,103.75,88.45,101.0,100.95,1371740.0,1359.54
2009-06-02,102.8,102.8,95.2,96.15,96.45,336629.0,328.57
2009-06-03,98.25,102.5,97.0,97.5,97.85,257083.0,256.08
2009-06-04,98.7,102.1,97.0,101.9,101.1,360336.0,360.7
2009-06-05,102.5,102.5,96.1,98.0,98.0,342082.0,337.52
2009-06-08,100.45,100.9,90.0,91.0,90.45,223157.0,208.58
