Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-03-28,55.5,55.6,44.24,50.09,54.44,3459.0,1.85
2013-04-01,54.6,54.6,54.55,54.55,54.55,853.0,0.47
2013-04-02,54.46,54.46,54.3,54.4,54.31,1230.0,0.67
2013-04-03,55.03,55.03,54.75,54.8,54.78,6188.0,3.4
2013-04-04,54.0,54.0,54.0,54.0,54.0,90.0,0.05
2013-04-05,54.3,54.3,54.3,54.3,54.3,920.0,0.5
2013-04-08,54.35,54.85,53.1,53.1,53.1,796.0,0.43
2013-04-09,53.1,53.9,53.0,53.9,53.32,5881.0,3.13
2013-04-10,52.88,53.99,52.87,52.87,52.9,120.0,0.06
2013-04-11,53.49,53.49,53.4,53.4,53.4,1090.0,0.58
2013-04-12,52.9,54.0,52.88,54.0,53.28,230.0,0.12
2013-04-16,54.0,54.1,53.99,54.1,54.1,37261.0,20.16
2013-04-17,54.25,54.75,53.3,54.45,54.47,21537.0,11.76
2013-04-18,54.56,54.56,54.52,54.52,54.52,1000.0,0.55
2013-04-22,54.9,55.85,53.6,53.6,53.6,52780.0,29.45
2013-04-23,55.99,55.99,55.8,55.99,55.99,85385.0,47.78
2013-04-25,56.06,58.99,54.0,58.5,56.53,72492.0,40.8
2013-04-26,52.52,55.5,52.52,55.5,55.5,734.0,0.4
2013-04-29,55.0,55.25,53.5,55.25,55.25,1292.0,0.7
2013-04-30,56.3,56.9,56.3,56.6,56.6,20318.0,11.49
2013-05-02,56.83,57.69,56.8,57.68,57.68,2418.0,1.39
2013-05-03,57.9,57.9,57.2,57.2,57.22,1811.0,1.04
2013-05-06,57.5,57.5,57.15,57.38,57.38,550.0,0.31
2013-05-07,58.0,59.05,57.55,57.81,57.81,1131.0,0.66
2013-05-08,58.4,58.4,58.0,58.06,58.06,1969.0,1.14
2013-05-09,60.0,60.0,58.2,58.21,58.24,1332.0,0.78
2013-05-10,58.31,58.43,58.18,58.42,58.4,1571.0,0.92
2013-05-11,59.99,59.99,58.5,58.5,58.5,200.0,0.12
2013-05-13,58.36,58.98,58.0,58.07,58.07,676.0,0.4
2013-05-14,57.65,57.65,57.56,57.56,57.58,797.0,0.46
2013-05-15,58.5,59.0,58.0,58.85,58.85,1190.0,0.7
2013-05-16,59.33,59.33,59.0,59.14,59.14,247.0,0.15
2013-05-17,59.25,59.4,59.21,59.21,59.21,1058.0,0.63
2013-05-20,59.81,59.81,59.68,59.68,59.68,1379.0,0.82
2013-05-21,59.17,59.17,59.13,59.13,59.13,1000.0,0.59
2013-05-22,58.78,58.78,58.78,58.78,58.78,100.0,0.06
2013-05-23,58.0,58.0,57.28,57.28,57.28,610.0,0.35
2013-05-24,57.42,57.42,57.24,57.24,57.24,758.0,0.43
2013-05-27,57.61,57.99,55.5,55.5,55.5,1412.0,0.81
2013-05-28,59.38,59.38,59.38,59.38,59.38,10.0,0.01
2013-05-29,59.0,59.2,59.0,59.2,59.2,2.0,0.0
2013-05-30,58.2,58.3,58.0,58.3,58.15,124.0,0.07
2013-05-31,58.1,58.1,58.1,58.1,58.1,290.0,0.17
2013-06-03,57.4,57.4,57.39,57.39,57.39,25.0,0.01
2013-06-04,57.15,58.0,57.1,58.0,58.0,101.0,0.06
2013-06-05,57.0,57.0,56.68,56.68,56.68,67.0,0.04
2013-06-06,59.73,59.73,58.95,59.7,59.24,72.0,0.04
2013-06-10,56.9,56.9,56.83,56.84,56.84,180.0,0.1
2013-06-12,57.97,57.99,57.97,57.99,57.99,2.0,0.0
2013-06-13,57.5,57.55,57.0,57.55,57.31,14.0,0.01
2013-06-14,57.85,57.85,57.0,57.0,57.0,10.0,0.01
2013-06-17,55.42,55.42,55.42,55.42,55.42,100.0,0.06
2013-06-18,58.9,58.9,55.7,55.7,55.7,177.0,0.1
2013-06-19,58.5,58.5,58.5,58.5,58.5,1.0,0.0
2013-06-21,57.37,57.37,54.28,54.28,54.28,93.0,0.05
2013-06-24,54.2,54.2,53.93,53.93,53.93,300.0,0.16
2013-06-26,56.94,56.94,56.0,56.1,56.1,13.0,0.01
2013-06-27,57.19,57.19,57.19,57.19,57.19,20.0,0.01
2013-06-28,54.0,54.0,54.0,54.0,54.0,2.0,0.0
2013-07-01,56.72,56.72,56.72,56.72,56.72,1.0,0.0
2013-07-02,56.51,56.51,56.51,56.51,56.51,445.0,0.25
2013-07-04,55.15,55.15,55.03,55.03,55.03,90.0,0.05
2013-07-05,56.46,56.46,56.43,56.44,56.43,1218.0,0.69
2013-07-08,55.81,55.81,55.81,55.81,55.81,380.0,0.21
2013-07-09,57.75,57.75,56.23,56.23,56.23,183.0,0.1
2013-07-10,56.46,56.46,56.46,56.46,56.46,70.0,0.04
2013-07-11,56.76,56.76,56.72,56.74,56.74,1080.0,0.61
2013-07-12,57.49,58.0,51.4,54.16,55.3,10173.0,5.81
2013-07-15,57.42,60.69,57.41,57.41,57.41,850.0,0.5
2013-07-16,58.0,58.0,56.92,56.92,57.02,105.0,0.06
2013-07-17,57.4,57.4,57.4,57.4,57.4,180.0,0.1
2013-07-18,57.31,60.57,55.01,58.0,57.19,12782.0,7.31
2013-07-19,57.96,57.96,57.96,57.96,57.96,360.0,0.21
2013-07-23,58.8,58.8,58.15,58.15,58.15,271.0,0.16
2013-07-25,60.45,60.45,57.19,60.0,60.0,181.0,0.11
2013-07-26,59.0,59.0,59.0,59.0,59.0,7.0,0.0
2013-07-29,59.4,59.4,59.4,59.4,59.4,1.0,0.0
2013-07-30,55.82,55.82,55.81,55.81,55.81,90.0,0.05
2013-07-31,54.6,54.6,54.56,54.56,54.56,180.0,0.1
2013-08-01,55.45,55.45,55.45,55.45,55.45,130.0,0.07
2013-08-02,57.86,57.86,57.86,57.86,57.86,1.0,0.0
2013-08-07,55.9,55.9,55.9,55.9,55.9,2.0,0.0
2013-08-08,52.95,55.8,52.95,55.35,55.35,190.0,0.1
2013-08-12,55.94,56.56,55.94,56.56,56.25,3.0,0.0
2013-08-13,56.8,56.81,56.8,56.81,56.81,2.0,0.0
2013-08-14,57.88,57.89,55.0,57.89,57.89,92.0,0.05
2013-08-16,54.63,54.63,54.63,54.63,54.63,41.0,0.02
2013-08-19,59.99,60.0,57.19,57.19,57.19,585.0,0.35
2013-08-20,58.56,58.56,58.56,58.56,58.56,1.0,0.0
2013-08-21,57.0,57.0,57.0,57.0,57.0,90.0,0.05
2013-08-22,57.0,57.0,57.0,57.0,57.0,280.0,0.16
2013-08-23,59.41,59.42,59.41,59.42,59.42,7.0,0.0
2013-08-26,59.99,60.0,59.5,59.9,59.9,216.0,0.13
2013-08-27,60.0,62.7,51.57,52.12,52.12,195.0,0.1
2013-08-28,54.32,54.32,54.32,54.32,54.32,83.0,0.05
2013-08-29,56.0,62.0,56.0,62.0,58.0,270.0,0.16
2013-08-30,56.0,56.0,55.99,55.99,55.99,270.0,0.15
2013-09-02,59.99,60.0,57.06,57.06,57.06,632.0,0.36
2013-09-03,62.0,62.0,57.06,57.06,57.06,1401.0,0.81
2013-09-04,55.5,58.66,55.46,56.51,56.86,1121.0,0.63
2013-09-05,58.16,58.16,57.78,57.78,57.78,50.0,0.03
2013-09-06,57.96,58.44,52.0,52.0,52.09,2558.0,1.43
2013-09-10,58.26,58.26,55.12,55.12,55.12,433.0,0.24
2013-09-12,53.53,56.0,53.52,53.52,53.52,202.0,0.11
2013-09-13,56.01,56.01,53.0,53.0,53.19,2087.0,1.15
2013-09-16,57.0,57.0,57.0,57.0,57.0,6.0,0.0
2013-09-17,53.32,56.36,53.32,53.33,53.33,7.0,0.0
2013-09-18,55.75,55.75,55.75,55.75,55.75,149.0,0.08
2013-09-19,57.16,58.7,57.15,57.15,57.15,1953.0,1.12
2013-09-20,58.8,58.8,58.8,58.8,58.8,1.0,0.0
2013-09-23,57.86,57.86,57.86,57.86,57.86,49.0,0.03
2013-09-26,56.3,60.0,56.3,60.0,59.66,100.0,0.06
2013-09-27,58.65,58.65,56.44,56.44,56.46,1800.0,1.03
2013-09-30,58.73,58.73,58.73,58.73,58.73,1.0,0.0
2013-10-03,59.45,59.45,56.5,56.5,56.5,1008.0,0.58
2013-10-04,56.57,56.57,56.57,56.57,56.57,90.0,0.05
2013-10-07,56.26,59.45,56.26,58.5,58.5,2200.0,1.27
2013-10-08,60.42,60.42,57.17,57.17,57.17,32.0,0.02
2013-10-09,56.69,56.69,56.65,56.65,56.65,901.0,0.51
2013-10-15,58.71,58.71,58.7,58.7,58.7,270.0,0.16
2013-10-18,58.15,59.5,58.15,59.5,59.5,4180.0,2.46
2013-10-21,58.6,58.6,58.52,58.52,58.52,367.0,0.21
2013-10-22,61.0,61.0,59.1,59.1,59.1,448.0,0.27
2013-10-23,59.2,59.2,58.82,59.2,59.2,728.0,0.43
2013-10-24,60.5,60.5,60.49,60.5,60.5,490.0,0.3
2013-10-25,59.83,61.0,59.83,59.83,59.83,7044.0,4.26
2013-10-28,59.7,59.7,59.57,59.57,59.57,108.0,0.06
2013-10-30,63.0,63.0,60.4,60.52,60.52,822.0,0.5
2013-10-31,60.52,64.0,60.5,60.55,62.61,1353.0,0.84
2013-11-01,61.3,62.44,61.09,61.09,61.09,180.0,0.11
2013-11-03,64.9,64.9,64.9,64.9,64.9,5.0,0.0
2013-11-05,60.98,63.52,60.98,63.52,63.52,2.0,0.0
2013-11-06,74.3,74.3,61.0,63.0,62.92,84.0,0.05
2013-11-07,60.5,60.85,60.5,60.85,60.85,140.0,0.09
