Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-03-22,1844.4,1844.4,1660.1,1660.5,1660.5,101.0,1.72
2010-03-23,1660.0,1665.0,1625.0,1642.0,1645.32,67.0,1.1
2010-03-25,1642.0,1680.0,1615.0,1680.0,1629.06,99.0,1.62
2010-03-26,1678.99,1678.99,1632.5,1660.0,1642.52,23.0,0.38
2010-03-29,1660.0,1660.0,1622.14,1630.0,1630.0,64.0,1.05
2010-03-30,1650.0,1650.0,1630.0,1641.0,1640.98,32.0,0.52
2010-03-31,1630.06,1655.0,1630.0,1632.0,1649.44,31.0,0.51
2010-04-01,1621.64,1654.1,1620.0,1639.1,1640.46,96.0,1.56
2010-04-05,1639.0,1660.0,1639.0,1660.0,1660.0,63.0,1.04
2010-04-06,1677.99,1677.99,1650.0,1659.99,1658.99,40.0,0.66
2010-04-07,1669.99,1670.0,1621.18,1670.0,1661.28,63.0,1.04
2010-04-08,1670.0,1684.0,1670.0,1676.0,1676.0,25.0,0.42
2010-04-09,1676.0,1698.0,1676.0,1698.0,1692.06,165.0,2.78
2010-04-12,1675.06,1698.0,1675.0,1685.0,1685.0,156.0,2.64
2010-04-13,1670.14,1699.94,1670.14,1694.0,1688.0,79.0,1.33
2010-04-15,1680.0,1690.64,1630.24,1679.81,1661.6,84.0,1.4
2010-04-16,1660.5,1705.0,1660.0,1660.0,1661.59,32.0,0.53
2010-04-19,1660.0,1665.0,1650.0,1650.0,1650.0,39.0,0.65
2010-04-20,1680.0,1690.0,1670.0,1690.0,1684.4,23.0,0.39
2010-04-21,1690.0,1690.0,1660.0,1684.0,1684.0,114.0,1.92
2010-04-22,1660.12,1680.0,1660.0,1660.0,1660.0,45.0,0.75
2010-04-23,1660.0,1689.0,1644.06,1655.0,1655.0,19.0,0.32
2010-04-26,1650.0,1689.95,1650.0,1688.0,1688.0,48.0,0.8
2010-04-27,1651.12,1684.95,1650.0,1684.95,1684.83,86.0,1.44
2010-04-28,1685.0,1710.0,1684.0,1701.1,1699.3,289.0,4.91
2010-04-29,1670.0,1709.35,1667.05,1694.0,1696.1,184.0,3.12
2010-04-30,1695.6,1708.25,1690.5,1708.25,1708.25,95.0,1.61
2010-05-03,1698.0,1725.0,1698.0,1720.0,1717.45,1014.0,17.39
2010-05-04,1701.0,1750.0,1701.0,1739.0,1735.5,198.0,3.41
2010-05-05,1710.0,1725.0,1710.0,1723.0,1722.6,229.0,3.94
2010-05-06,1775.0,1775.0,1722.9,1726.0,1732.15,144.0,2.5
2010-05-07,1760.0,1790.0,1751.0,1785.0,1783.95,916.0,16.32
2010-05-10,1765.5,1790.0,1700.0,1740.0,1738.0,240.0,4.2
2010-05-11,1800.0,1800.0,1760.0,1790.0,1788.75,227.0,4.04
2010-05-12,1795.0,1839.9,1790.0,1815.05,1815.05,1918.0,34.84
2010-05-13,1790.05,1839.95,1790.05,1822.0,1825.2,506.0,9.23
2010-05-14,1850.0,1863.0,1819.0,1842.0,1840.3,498.0,9.14
2010-05-16,1845.0,1870.0,1812.0,1812.0,1830.2,19922.0,368.6
2010-05-17,1560.0,1853.8,1560.0,1853.8,1849.0,2662.0,48.86
2010-05-18,1753.0,1839.0,1753.0,1816.0,1809.0,1495.0,27.08
2010-05-19,1790.0,1845.0,1790.0,1833.0,1834.8,1022.0,18.67
2010-05-20,1810.2,1825.5,1810.1,1816.3,1823.55,601.0,10.96
2010-05-21,1790.0,1819.5,1785.0,1818.75,1810.0,784.0,14.15
2010-05-24,1800.1,1822.85,1795.5,1817.4,1819.65,257.0,4.66
2010-05-25,1830.05,1850.0,1827.0,1840.0,1834.55,521.0,9.58
2010-05-26,1834.0,1861.0,1834.0,1858.0,1857.95,939.0,17.44
2010-05-27,1860.0,1865.0,1846.0,1846.1,1851.7,277.0,5.15
2010-05-28,1834.0,1849.9,1830.0,1841.0,1838.2,412.0,7.56
2010-05-31,1835.0,1850.0,1834.0,1850.0,1850.0,111.0,2.04
2010-06-01,1938.0,1938.0,1847.0,1888.0,1881.65,451.0,8.42
2010-06-02,1899.95,1899.95,1850.0,1881.0,1881.0,345.0,6.48
2010-06-03,1882.0,1882.95,1840.0,1861.0,1864.0,171.0,3.2
2010-06-04,1825.4,1851.0,1825.4,1841.1,1838.85,357.0,6.58
2010-06-07,1845.0,1880.0,1845.0,1865.5,1865.5,2336.0,43.73
2010-06-08,1870.1,1905.0,1870.0,1902.0,1902.4,3505.0,66.01
2010-06-09,1880.0,1899.0,1880.0,1889.0,1888.05,1164.0,22.03
2010-06-10,1888.0,1888.0,1860.0,1870.0,1869.85,1525.0,28.58
2010-06-11,1866.0,1872.5,1855.0,1865.0,1864.15,1282.0,23.91
2010-06-14,1863.0,1880.0,1863.0,1869.9,1877.2,564.0,10.57
2010-06-15,1844.3,1888.0,1844.3,1864.0,1864.35,373.0,6.97
2010-06-16,1867.1,1892.2,1860.0,1860.0,1867.3,365.0,6.84
2010-06-17,1861.0,1880.0,1861.0,1869.0,1868.1,321.0,6.0
2010-06-18,1876.2,1879.0,1830.25,1856.3,1863.6,1068.0,19.87
2010-06-21,1882.0,1899.75,1855.6,1871.0,1872.75,1445.0,27.06
2010-06-22,1850.0,1874.5,1850.0,1867.75,1864.4,376.0,7.01
2010-06-23,1867.0,1874.95,1866.2,1870.0,1870.0,1492.0,27.9
2010-06-24,1869.95,1892.0,1861.0,1874.55,1871.35,869.0,16.29
2010-06-25,1852.0,1889.8,1852.0,1889.8,1887.1,2408.0,45.35
2010-06-28,1880.75,1924.9,1871.0,1882.1,1903.4,4813.0,91.43
2010-06-29,1871.0,1915.0,1858.25,1871.05,1871.05,415.0,7.77
2010-06-30,1875.0,1894.0,1875.0,1894.0,1894.0,580.0,10.94
2010-07-01,1909.0,1909.0,1883.0,1885.0,1885.95,63.0,1.19
2010-07-02,1861.0,1870.0,1849.0,1864.0,1858.8,373.0,6.92
2010-07-05,1850.0,1874.0,1850.0,1861.0,1863.9,289.0,5.39
2010-07-06,1850.1,1860.0,1840.25,1843.5,1844.45,707.0,13.08
2010-07-07,1843.5,1844.75,1835.0,1840.0,1840.3,85.0,1.56
2010-07-08,1875.0,1875.0,1835.0,1863.15,1840.9,457.0,8.48
2010-07-09,1850.0,1850.0,1831.05,1838.5,1838.5,152.0,2.8
2010-07-12,1763.0,1880.0,1763.0,1834.5,1834.5,30.0,0.55
2010-07-13,1834.0,1874.0,1832.3,1834.7,1835.45,101.0,1.86
2010-07-14,1850.0,1855.0,1840.15,1849.9,1849.3,174.0,3.22
2010-07-15,1835.1,1854.9,1835.1,1854.25,1852.1,173.0,3.19
2010-07-16,1840.0,1850.0,1833.85,1842.15,1837.95,164.0,3.02
2010-07-19,1845.0,1845.0,1806.1,1836.9,1835.8,108.0,1.98
2010-07-20,1830.0,1840.0,1830.0,1830.0,1831.1,121.0,2.22
2010-07-21,1812.0,1860.0,1811.7,1860.0,1848.65,150.0,2.74
2010-07-22,1832.0,1850.0,1832.0,1832.0,1832.85,19.0,0.35
2010-07-23,1860.0,1860.0,1816.6,1835.0,1837.2,928.0,16.95
2010-07-26,1837.2,1839.7,1820.0,1824.0,1825.75,128.0,2.34
