Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-05-16,1478.45,1478.45,1438.1,1456.35,1462.95,931435.0,13602.27
2008-05-20,1449.0,1451.0,1380.55,1392.1,1392.4,1410954.0,19835.02
2008-05-21,1380.0,1386.0,1355.0,1381.0,1377.35,2615126.0,35943.14
2008-05-22,1390.0,1390.0,1301.2,1322.2,1323.75,1596771.0,21259.38
2008-05-23,1333.0,1355.0,1280.2,1293.75,1290.4,1654737.0,21749.12
2008-05-26,1270.0,1270.0,1230.0,1259.0,1246.15,1202960.0,14982.88
2008-05-27,1270.0,1295.8,1251.0,1257.1,1259.9,1778754.0,22659.27
2008-05-28,1270.0,1277.85,1225.0,1269.75,1272.3,1321562.0,16516.36
2008-05-29,1287.8,1297.0,1210.65,1227.0,1240.1,1518666.0,19156.64
2008-05-30,1247.85,1270.0,1206.35,1232.0,1230.25,1621448.0,20034.67
2008-06-02,1232.0,1250.0,1165.0,1165.85,1170.95,1794846.0,21562.01
2008-06-03,1167.7,1167.7,1085.5,1126.6,1126.8,2001430.0,22315.2
2008-06-04,1134.0,1134.0,1061.1,1066.0,1070.45,1820509.0,19947.41
2008-06-05,1067.0,1154.7,1011.05,1128.0,1128.45,2596462.0,27875.54
2008-06-06,1150.0,1165.0,1083.0,1105.0,1099.65,2375035.0,26787.43
2008-06-09,1041.0,1080.0,1005.0,1043.5,1036.45,2458771.0,25332.37
2008-06-10,1043.75,1059.0,976.35,1013.0,1008.75,2901721.0,29349.89
2008-06-11,1055.55,1067.0,1010.1,1030.0,1021.8,1289043.0,13266.42
2008-06-12,1010.0,1054.7,980.0,1048.9,1048.25,1662578.0,17019.07
2008-06-13,1050.0,1069.0,1007.0,1009.0,1021.9,1354737.0,13918.2
2008-06-16,1055.0,1076.7,1020.0,1056.0,1061.6,1703613.0,18059.24
2008-06-17,1069.5,1112.0,1045.5,1106.9,1103.95,1773546.0,19262.75
2008-06-18,1082.55,1126.0,1065.35,1069.9,1074.55,1349919.0,14861.05
2008-06-19,1059.05,1059.05,1008.0,1013.8,1013.35,1287814.0,13280.83
2008-06-20,1020.0,1020.0,942.4,973.4,959.85,2280245.0,22251.31
2008-06-23,950.05,955.0,901.4,910.2,917.5,2036550.0,18903.84
2008-06-24,911.0,938.0,895.6,905.0,909.3,2023813.0,18540.21
2008-06-25,899.35,955.0,871.6,935.9,946.65,1680817.0,15510.46
2008-06-26,962.0,972.0,930.45,967.0,961.15,2880675.0,27501.85
2008-06-27,932.0,940.0,874.55,883.0,886.55,2148844.0,19384.19
2008-06-30,870.0,903.0,751.55,792.55,783.55,3364022.0,27663.13
2008-07-01,800.0,805.5,688.25,691.5,701.35,3850338.0,28870.27
2008-07-02,682.0,805.4,660.25,778.2,786.55,6650213.0,47623.64
2008-07-03,818.85,818.85,695.0,714.65,723.55,5806414.0,42233.97
2008-07-04,728.8,793.65,703.4,771.0,771.8,5032626.0,38352.4
2008-07-07,778.0,839.9,762.8,773.0,779.45,3726549.0,30331.31
2008-07-08,755.0,780.0,706.35,756.9,755.3,6359569.0,47069.36
2008-07-09,794.9,844.95,785.0,836.9,835.75,6049159.0,49686.34
2008-07-10,824.0,862.0,810.1,857.3,856.15,5337035.0,44795.26
2008-07-11,875.0,879.0,791.2,798.2,801.25,4600690.0,38108.04
2008-07-14,791.0,844.7,781.35,823.0,818.05,3859191.0,31579.57
2008-07-15,785.0,799.95,752.35,756.0,768.45,2522274.0,19704.26
2008-07-16,779.0,802.6,743.0,786.6,766.85,3586631.0,27811.43
2008-07-17,802.15,822.0,771.0,802.5,807.3,4166544.0,33284.02
2008-07-18,810.0,864.95,801.1,852.0,856.05,3831805.0,32087.82
2008-07-21,872.5,880.0,827.0,859.0,859.9,3533092.0,30295.8
2008-07-22,879.0,934.45,840.0,934.0,919.6,5638241.0,50822.35
2008-07-23,961.65,1069.9,961.65,1014.0,1016.7,5186996.0,52583.06
2008-07-24,1001.55,1064.9,996.1,1021.0,1029.0,5121080.0,53031.79
2008-07-25,1007.0,1016.0,962.0,993.0,983.8,3746768.0,37100.4
2008-07-28,995.05,1025.7,975.0,981.25,986.5,3513450.0,35142.79
2008-07-29,969.6,975.0,900.0,901.0,909.1,3385259.0,31585.06
2008-07-30,944.8,978.95,906.65,968.6,971.2,2662575.0,25464.74
2008-07-31,969.0,995.7,955.0,960.8,965.1,3591115.0,34984.1
2008-08-01,940.0,1019.0,924.0,1015.0,1010.25,4242557.0,41776.02
2008-08-04,1001.25,1035.0,991.85,998.8,1002.95,3291489.0,33281.41
2008-08-05,999.9,1050.0,995.0,1049.4,1046.35,3165684.0,32482.89
2008-08-06,1075.0,1093.65,1005.5,1010.0,1012.25,3325541.0,34859.46
2008-08-07,1011.0,1049.8,1000.0,1019.0,1024.75,2663926.0,27420.11
2008-08-08,1015.0,1039.0,996.0,1032.0,1032.0,2494774.0,25430.32
2008-08-11,1074.5,1112.9,1045.0,1110.25,1101.65,3274190.0,35292.71
2008-08-12,1115.0,1121.0,1073.55,1086.5,1095.85,3576823.0,39283.03
2008-08-13,1080.0,1105.0,1058.0,1061.9,1066.2,2548757.0,27574.42
2008-08-14,1060.0,1066.0,980.5,991.3,986.15,3049068.0,30757.73
2008-08-18,985.05,1005.0,963.15,970.3,972.4,2288440.0,22390.64
2008-08-19,960.0,1003.7,951.0,1002.0,993.15,2528816.0,24615.23
2008-08-20,995.0,1024.0,995.0,1008.1,1009.85,2240731.0,22668.49
2008-08-21,1000.0,1008.8,947.1,949.8,955.35,2056768.0,20109.04
2008-08-22,938.8,988.5,930.4,982.9,980.45,2670454.0,25870.35
2008-08-25,1000.0,1020.0,979.65,981.0,985.85,1962906.0,19602.75
2008-08-26,971.0,1004.9,965.0,1002.6,1001.9,1828531.0,18070.63
2008-08-27,1010.1,1013.05,960.5,967.0,965.7,1949165.0,19186.41
2008-08-28,965.9,989.0,923.7,941.0,932.95,2693035.0,25482.52
2008-08-29,965.0,998.0,951.0,986.95,991.75,2810136.0,27638.4
2008-09-01,984.0,989.35,953.2,988.0,983.05,2169062.0,21085.3
2008-09-02,1005.0,1049.85,986.5,1041.1,1043.0,3333410.0,33997.73
2008-09-04,1025.0,1042.0,997.5,1016.0,1017.55,2634488.0,26886.16
2008-09-05,999.65,1029.9,975.0,1015.15,1017.0,2906699.0,29283.0
2008-09-08,1053.0,1109.0,1051.1,1059.05,1058.55,2863342.0,30926.96
2008-09-09,1040.05,1087.8,1026.55,1070.0,1071.0,2947419.0,31504.0
2008-09-10,1060.0,1083.0,1017.95,1038.1,1034.95,2581527.0,27093.76
2008-09-11,1025.0,1026.9,985.0,990.0,992.55,2461137.0,24584.88
2008-09-12,1020.0,1020.0,918.1,919.55,929.7,4064190.0,39197.14
2008-09-15,905.0,905.0,816.25,840.4,839.45,3716304.0,31213.83
2008-09-16,800.0,850.9,775.0,845.95,843.35,4506783.0,36928.94
2008-09-17,853.85,853.85,822.0,824.0,830.45,3788673.0,31689.18
2008-09-18,710.25,860.0,702.65,847.7,848.4,4032820.0,32948.9
2008-09-19,899.0,907.0,864.0,890.25,892.05,3495829.0,30978.62
2008-09-22,902.0,915.0,871.05,872.5,878.9,3299425.0,29499.13
2008-09-23,860.0,888.7,851.0,862.0,863.6,2774940.0,24203.68
2008-09-24,867.0,900.0,867.0,891.05,888.35,3014038.0,26668.75
2008-09-25,888.0,897.25,861.0,880.4,876.25,2322584.0,20324.1
2008-09-26,851.65,889.8,841.1,852.65,849.55,2493118.0,21399.72
2008-09-29,859.0,859.0,772.6,795.0,793.7,3468614.0,28069.25
2008-09-30,769.0,819.0,761.0,789.1,790.25,4632608.0,36936.63
2008-10-01,800.0,818.7,761.1,777.0,780.6,3081429.0,24282.88
2008-10-03,731.0,785.0,730.0,735.1,740.65,2801535.0,21237.68
2008-10-06,728.6,728.7,626.0,632.0,636.3,3495673.0,23526.4
2008-10-07,655.0,673.8,622.2,654.0,649.85,3184761.0,20762.31
2008-10-08,629.0,645.0,578.4,644.0,638.55,3139570.0,19111.77
2008-10-10,610.0,610.0,501.0,512.85,513.85,4946818.0,27265.4
2008-10-13,525.0,612.95,520.5,604.0,599.4,3384740.0,19555.54
2008-10-14,660.0,660.0,625.0,633.0,633.0,3546327.0,22699.66
2008-10-15,610.05,620.0,538.1,560.0,555.45,3516489.0,20137.02
2008-10-16,529.0,566.7,496.0,559.0,557.8,5690706.0,30152.6
2008-10-17,560.0,582.0,480.0,485.0,491.0,4480214.0,23471.2
2008-10-20,499.0,521.9,467.35,483.5,479.4,4551298.0,22568.29
2008-10-21,485.0,524.8,483.0,506.0,505.0,4528647.0,23075.22
2008-10-22,489.9,511.0,470.0,473.45,471.9,3878275.0,18979.33
2008-10-23,459.0,488.0,441.25,451.0,447.45,4118370.0,18901.29
2008-10-24,412.65,447.6,371.8,374.5,382.6,3148617.0,12771.09
2008-10-27,372.0,403.0,352.75,400.9,396.45,3355613.0,12683.88
2008-10-28,405.0,444.65,405.0,437.5,437.8,854571.0,3716.9
2008-10-29,458.7,462.6,420.25,421.4,428.8,3355985.0,14741.52
2008-10-31,444.0,465.35,432.0,465.0,457.5,2788013.0,12454.86
2008-11-03,452.65,552.0,452.65,546.0,534.4,3983483.0,20413.67
2008-11-04,541.9,549.4,502.0,542.05,543.25,4986523.0,26133.57
2008-11-05,588.8,588.8,511.3,525.0,520.7,4219207.0,22749.08
2008-11-06,496.0,530.0,491.0,507.1,505.55,4795061.0,24288.86
2008-11-07,506.0,572.0,502.35,566.0,559.25,4026696.0,21714.14
2008-11-10,571.0,627.9,561.15,627.05,623.2,4748951.0,28469.79
2008-11-11,604.5,624.0,565.65,570.0,578.45,5502945.0,33057.92
