Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-10-31,315.0,315.0,257.0,260.65,260.3,4981651.0,13600.02
2005-11-01,267.0,275.0,256.1,268.0,269.95,805619.0,2154.05
2005-11-02,265.0,273.0,260.1,266.3,264.0,1097073.0,2917.71
2005-11-07,266.0,269.8,261.25,261.25,263.1,177665.0,470.75
2005-11-08,264.7,269.0,261.5,266.5,267.0,192727.0,511.78
2005-11-09,267.0,272.0,263.5,265.1,266.4,122504.0,327.29
2005-11-10,268.5,315.5,265.15,305.0,302.05,2645918.0,7919.24
2005-11-11,304.9,319.0,290.65,296.1,296.5,1749323.0,5310.14
2005-11-14,295.0,298.8,271.0,278.5,281.4,237003.0,675.32
2005-11-16,281.4,296.7,277.65,289.0,288.0,340422.0,985.09
2005-11-17,290.0,303.5,287.0,295.0,294.3,540264.0,1604.54
2005-11-18,297.0,300.0,290.1,292.0,292.15,162423.0,480.38
2005-11-21,293.5,295.85,282.2,282.2,285.6,71143.0,206.8
2005-11-22,288.6,312.5,286.25,303.8,308.2,673294.0,2042.48
2005-11-23,305.0,325.0,305.0,325.0,321.0,1355906.0,4283.05
2005-11-24,323.0,324.0,302.1,302.5,304.85,486728.0,1531.66
2005-11-25,305.0,330.0,303.85,327.25,325.2,506914.0,1612.47
2005-11-26,325.0,332.0,316.65,325.5,328.6,227207.0,738.07
2005-11-28,329.9,329.9,312.5,315.7,316.15,208338.0,671.44
2005-11-29,317.8,346.4,311.0,339.45,340.65,1139493.0,3847.92
2005-11-30,339.6,378.85,339.6,367.5,373.0,1516313.0,5543.48
2005-12-01,371.9,395.0,370.05,394.1,391.0,1951178.0,7542.2
2005-12-02,396.0,401.9,370.25,371.0,372.6,677306.0,2610.72
2005-12-05,373.35,375.9,358.6,365.0,366.75,426277.0,1565.05
2005-12-06,367.0,377.8,362.0,367.5,367.95,346283.0,1288.28
2005-12-07,369.0,376.0,366.15,370.05,370.8,130280.0,484.76
2005-12-08,373.0,379.4,372.55,375.0,374.05,175893.0,660.73
2005-12-09,376.0,404.2,375.0,388.5,388.25,404315.0,1580.57
2005-12-12,389.0,394.6,380.2,386.0,385.8,198244.0,767.65
2005-12-13,388.65,434.9,386.05,433.0,430.3,928386.0,3890.01
2005-12-14,430.05,435.0,412.0,412.8,413.9,334866.0,1402.65
2005-12-15,416.0,467.7,415.0,448.3,454.35,1253396.0,5595.45
2005-12-16,460.0,480.0,450.05,474.0,476.1,1196025.0,5607.98
2005-12-19,480.0,567.7,475.0,541.5,545.0,2951498.0,15778.35
2005-12-20,544.0,570.0,528.1,534.0,534.7,1563765.0,8550.95
2005-12-21,537.8,540.5,512.0,519.65,519.3,652493.0,3424.72
2005-12-22,518.0,526.0,495.0,511.0,505.45,681187.0,3459.25
2005-12-23,512.0,522.0,490.1,492.4,496.45,871061.0,4452.46
2005-12-26,496.0,496.45,460.0,474.0,469.4,446485.0,2106.95
2005-12-27,471.0,516.35,454.0,516.35,514.45,930949.0,4656.04
2005-12-28,525.15,550.0,525.15,532.65,533.05,1066164.0,5754.93
2005-12-29,533.0,539.75,521.2,521.65,522.75,356525.0,1885.22
2005-12-30,524.7,550.0,515.1,536.0,533.85,635721.0,3429.07
2006-01-02,537.3,547.7,528.0,532.75,534.65,291821.0,1572.66
2006-01-03,538.6,556.0,528.0,531.0,532.3,698814.0,3786.6
2006-01-04,537.95,541.7,524.3,526.0,528.0,167774.0,895.16
2006-01-05,529.0,535.8,522.0,531.5,527.65,228432.0,1207.74
2006-01-06,535.1,580.45,528.5,580.45,580.45,917078.0,5141.24
2006-01-09,591.3,638.5,591.3,638.5,638.5,1070134.0,6665.22
2006-01-10,642.0,702.35,642.0,702.35,702.35,1402030.0,9571.77
2006-01-12,706.0,737.5,667.5,671.2,684.05,3172788.0,22273.38
2006-01-13,678.8,718.25,674.0,718.25,707.6,1319537.0,9280.49
2006-01-16,721.5,743.0,718.75,743.0,742.2,793600.0,5822.41
2006-01-17,744.0,763.7,732.0,735.5,737.75,1016750.0,7612.47
2006-01-18,736.0,739.4,700.9,700.9,704.45,553885.0,3944.71
2006-01-19,701.0,739.7,699.9,739.7,736.3,561430.0,4078.88
2006-01-20,745.0,773.15,745.0,767.95,770.65,622925.0,4778.18
2006-01-23,760.0,809.2,750.1,799.8,800.3,632967.0,5054.9
2006-01-24,815.1,840.35,810.0,840.35,835.6,371361.0,3077.92
2006-01-25,850.55,871.9,793.85,796.1,800.05,864147.0,7175.93
2006-01-27,812.7,840.0,774.1,800.0,790.2,424397.0,3448.15
2006-01-30,802.0,825.0,781.55,810.0,802.25,440094.0,3540.09
2006-01-31,819.7,819.7,795.0,798.0,799.5,242461.0,1949.95
2006-02-01,810.0,810.0,778.7,791.5,787.7,223124.0,1771.06
2006-02-02,798.9,827.1,781.1,827.1,819.45,345665.0,2791.43
2006-02-03,830.0,860.45,826.0,860.45,860.45,398415.0,3383.07
2006-02-06,874.0,903.5,870.0,903.5,903.5,406263.0,3604.65
2006-02-07,904.0,948.7,904.0,948.7,947.4,721145.0,6791.08
2006-02-08,959.0,988.7,942.1,958.15,957.7,881946.0,8572.93
2006-02-10,967.0,1005.6,931.0,1005.6,1005.6,872764.0,8442.37
2006-02-13,1015.0,1055.9,1015.0,1055.9,1055.9,592561.0,6211.68
2006-02-14,1070.0,1098.0,1052.35,1056.5,1063.05,588315.0,6349.62
2006-02-15,1065.0,1083.3,1009.9,1009.9,1015.5,512682.0,5354.04
2006-02-16,1024.4,1055.0,995.0,1027.0,1016.05,419462.0,4297.0
2006-02-17,1024.7,1048.0,1012.25,1031.15,1029.95,281667.0,2893.32
2006-02-20,1048.0,1048.0,1002.3,1010.0,1010.45,147229.0,1503.21
2006-02-21,1021.9,1044.0,1015.1,1028.0,1029.15,224233.0,2308.51
2006-02-22,1035.0,1039.9,1010.0,1013.0,1017.5,137028.0,1404.39
2006-02-23,1026.95,1040.0,1001.25,1006.0,1010.5,80467.0,824.77
2006-02-24,1015.0,1028.9,1005.0,1013.0,1012.25,72451.0,737.72
2006-02-27,1019.0,1029.9,968.15,985.0,982.45,72360.0,724.55
2006-02-28,990.0,1031.6,975.0,1031.6,1020.15,172436.0,1717.67
2006-03-01,1041.0,1047.9,969.15,969.15,969.15,173836.0,1745.37
2006-03-02,969.0,1017.0,969.0,1005.1,1008.3,128400.0,1279.68
2006-03-03,1007.0,1007.85,988.25,1002.1,997.5,79259.0,789.69
2006-03-06,980.15,1047.0,980.0,1041.35,1041.85,91712.0,940.51
2006-03-07,1049.8,1049.8,991.0,1000.0,1003.7,97583.0,993.95
2006-03-08,1004.9,1019.0,985.2,1007.0,1007.25,80426.0,807.87
2006-03-09,1000.5,1029.9,990.0,1020.55,1023.3,52914.0,535.79
2006-03-10,1021.0,1039.9,1021.0,1033.0,1033.3,31019.0,319.91
2006-03-13,1040.0,1085.0,1006.0,1085.0,1085.0,175184.0,1831.03
2006-03-14,1091.0,1139.0,1042.3,1051.1,1065.1,195678.0,2158.6
2006-03-16,1074.0,1095.0,1042.5,1055.0,1049.9,67226.0,718.75
2006-03-17,1054.0,1069.0,1011.55,1026.0,1022.25,35130.0,366.36
2006-03-20,1025.0,1073.4,1025.0,1073.4,1073.4,41716.0,443.87
2006-03-21,1087.8,1127.1,1081.0,1127.1,1127.1,49463.0,552.9
2006-03-22,1149.9,1183.5,1130.0,1183.5,1183.5,70307.0,824.22
2006-03-23,1234.3,1242.7,1183.0,1232.0,1230.4,168467.0,2048.05
2006-03-24,1235.0,1270.0,1220.0,1228.0,1232.0,98542.0,1221.9
2006-03-27,1244.0,1293.6,1219.0,1293.6,1293.6,45231.0,574.55
2006-03-28,1345.0,1358.3,1335.0,1358.3,1358.3,87681.0,1185.93
2006-03-29,1390.3,1426.25,1390.3,1426.25,1426.25,34304.0,487.92
2006-03-30,1488.7,1497.6,1455.1,1497.6,1497.6,106772.0,1590.19
2006-03-31,1525.0,1567.0,1475.0,1488.7,1514.3,159852.0,2446.89
2006-04-03,1520.0,1525.0,1471.55,1497.8,1494.4,80821.0,1209.33
2006-04-04,1499.95,1569.15,1466.55,1569.15,1569.15,92103.0,1405.12
2006-04-05,1590.0,1646.0,1585.0,1586.5,1598.35,109148.0,1763.56
2006-04-07,1609.8,1657.15,1567.0,1573.0,1581.85,80669.0,1304.1
2006-04-10,1568.7,1640.0,1550.0,1610.0,1623.9,62519.0,1002.84
2006-04-12,1630.0,1665.0,1582.05,1593.0,1602.55,147039.0,2390.1
2006-04-13,1610.0,1624.4,1522.45,1522.45,1522.45,60109.0,933.96
2006-04-17,1500.0,1562.0,1477.05,1486.1,1487.05,43504.0,658.24
2006-04-18,1500.0,1536.0,1490.1,1495.0,1496.45,31519.0,476.53
2006-04-19,1500.0,1540.0,1460.0,1518.0,1518.25,39944.0,605.38
2006-04-20,1528.5,1594.2,1496.0,1525.0,1529.35,84633.0,1324.35
2006-04-21,1543.4,1564.0,1512.3,1525.0,1524.2,42119.0,645.97
2006-04-24,1560.0,1590.0,1505.05,1505.05,1520.2,27512.0,424.74
2006-04-25,1521.0,1536.4,1444.2,1444.2,1444.7,21943.0,327.53
2006-04-26,1442.0,1468.7,1375.05,1393.1,1391.6,33200.0,472.57
2006-04-27,1410.0,1428.85,1350.0,1365.0,1369.15,24170.0,336.66
2006-04-28,1310.0,1433.0,1300.7,1430.0,1406.2,27062.0,365.37
2006-04-29,1450.0,1476.55,1450.0,1460.0,1465.7,11818.0,172.87
2006-05-02,1499.0,1504.9,1393.0,1398.05,1409.6,12412.0,180.64
2006-05-03,1465.0,1465.0,1351.0,1365.0,1363.8,17570.0,246.29
2006-05-04,1398.9,1430.0,1316.9,1364.95,1362.9,38744.0,537.92
2006-05-05,1419.0,1425.0,1360.05,1376.1,1378.65,13381.0,185.52
2006-05-08,1400.0,1400.0,1331.1,1339.8,1340.05,9528.0,129.73
2006-05-09,1390.0,1390.0,1311.0,1320.0,1328.85,30075.0,403.93
2006-05-10,1349.0,1395.3,1315.0,1395.3,1395.3,51389.0,702.74
2006-05-11,1425.0,1465.1,1345.0,1465.1,1465.1,42833.0,615.76
2006-05-12,1465.0,1529.95,1402.3,1420.0,1424.5,57150.0,850.89
2006-05-15,1420.0,1420.0,1353.3,1353.3,1353.3,15083.0,207.76
2006-05-16,1301.0,1349.0,1285.65,1300.0,1297.65,23051.0,298.35
2006-05-17,1339.0,1349.05,1301.05,1306.0,1312.25,9139.0,120.91
