Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-12-27,72.0,91.0,72.0,79.3,80.05,72966002.0,61597.45
2010-12-28,79.6,83.4,75.5,82.5,82.1,19053244.0,15301.8
2010-12-29,82.0,83.9,79.5,83.25,83.05,11402930.0,9359.05
2010-12-30,82.75,83.3,78.0,79.05,78.75,5030628.0,4039.36
2010-12-31,65.15,93.8,65.15,80.8,80.45,23986139.0,20482.03
2011-01-03,80.85,82.5,64.4,64.4,64.4,17664818.0,13049.95
2011-01-04,57.9,67.4,52.15,62.0,61.7,30265401.0,18424.06
2011-01-05,60.35,63.1,51.35,53.5,53.75,17889364.0,9831.9
2011-01-06,54.0,55.5,51.75,55.1,55.15,9175711.0,4967.57
2011-01-07,55.5,59.25,53.8,57.6,57.3,13032183.0,7458.97
2011-01-10,57.3,58.0,51.6,51.6,51.6,2390186.0,1293.43
2011-01-11,48.0,50.0,46.45,46.45,46.45,1082328.0,505.38
2011-01-12,47.0,47.0,41.8,41.8,41.8,691206.0,292.18
2011-01-13,39.75,40.9,39.75,40.2,40.05,1216777.0,486.33
2011-01-14,39.0,39.7,38.05,38.05,38.05,433300.0,166.78
2011-01-17,37.0,37.85,36.15,36.15,36.15,104423.0,37.94
2011-01-18,34.35,34.9,34.35,34.35,34.35,161856.0,55.68
2011-01-19,33.0,33.0,32.65,32.65,32.65,16711.0,5.46
2011-01-20,31.05,31.05,31.05,31.05,31.05,28414.0,8.82
2011-01-21,29.5,32.6,29.5,32.6,32.6,599322.0,193.66
2011-01-24,32.65,34.25,31.0,32.0,32.35,686098.0,229.14
2011-01-25,32.8,33.0,30.75,30.75,30.85,362558.0,114.35
2011-01-27,31.5,31.85,29.35,29.35,29.4,349609.0,105.52
2011-01-28,29.5,29.5,27.95,28.45,28.35,539929.0,152.54
2011-01-31,27.3,28.7,27.0,28.35,28.35,357577.0,99.86
2011-02-01,29.5,29.5,28.0,28.6,28.45,301247.0,85.78
2011-02-02,28.45,29.9,28.05,29.9,29.9,253841.0,74.52
2011-02-03,29.55,31.0,29.55,30.5,30.4,234571.0,72.01
2011-02-04,30.5,30.5,28.9,28.9,29.0,137293.0,40.42
2011-02-07,28.5,29.0,27.55,27.6,27.6,114551.0,31.91
2011-02-08,28.4,28.4,26.25,26.25,26.25,104694.0,27.9
2011-02-09,25.9,27.6,24.95,27.6,27.55,581066.0,157.39
2011-02-10,27.0,28.95,26.75,28.9,28.3,717945.0,203.02
2011-02-11,28.8,29.3,28.0,28.95,28.95,287265.0,82.79
2011-02-14,29.25,30.4,28.4,28.75,29.0,641290.0,188.27
2011-02-15,29.5,29.5,28.5,29.0,28.9,388828.0,112.44
2011-02-16,30.0,30.35,28.75,29.0,29.0,62246.0,18.06
2011-02-17,28.8,30.45,28.55,30.15,30.05,346474.0,104.19
2011-02-18,30.0,30.3,29.1,29.5,29.55,133585.0,39.81
2011-02-21,29.55,31.05,29.0,30.6,30.8,197575.0,59.87
2011-02-22,31.35,31.35,29.8,29.95,30.05,53998.0,16.29
2011-02-23,29.6,30.25,28.55,29.25,29.15,44822.0,13.2
2011-02-24,29.0,29.05,27.7,27.7,27.8,58459.0,16.57
2011-02-25,28.7,28.7,26.9,27.0,27.2,172218.0,47.26
2011-02-28,28.0,28.5,27.0,27.25,27.35,78316.0,21.65
2011-03-01,27.9,28.75,26.0,28.75,28.75,193058.0,54.46
2011-03-03,29.0,30.2,28.5,30.2,30.2,184102.0,54.7
2011-03-04,29.1,31.75,29.1,31.75,31.6,515917.0,162.13
2011-03-07,31.55,32.0,30.3,30.5,30.65,121925.0,37.87
2011-03-08,30.7,31.5,30.6,30.9,30.8,43896.0,13.59
2011-03-09,30.75,31.0,30.5,30.75,30.75,35413.0,10.89
2011-03-10,29.5,31.65,29.5,30.85,30.85,117030.0,36.3
2011-03-11,30.0,31.5,30.0,30.2,30.25,75459.0,23.15
2011-03-14,30.3,30.45,29.8,30.0,29.95,29044.0,8.72
2011-03-15,28.1,29.5,27.7,28.85,28.8,61795.0,17.88
2011-03-16,29.1,29.65,28.6,28.95,29.15,46984.0,13.69
2011-03-17,28.6,30.25,28.6,30.0,30.0,100778.0,29.89
2011-03-18,30.45,30.7,29.8,30.5,30.5,85316.0,25.91
2011-03-21,30.6,33.5,30.3,33.3,33.25,226362.0,73.33
2011-03-22,33.5,35.5,33.5,35.35,35.1,349973.0,121.89
2011-03-23,35.0,38.65,35.0,38.65,38.65,883137.0,333.65
2011-03-24,40.0,40.35,39.05,39.1,39.3,1034554.0,410.27
2011-03-25,39.45,39.5,38.55,38.75,38.6,1184625.0,461.35
2011-03-28,38.6,39.3,38.1,38.25,38.4,612561.0,235.24
2011-03-29,37.75,37.75,36.8,37.0,37.05,340156.0,126.53
2011-03-30,37.2,37.2,35.65,35.8,35.7,250541.0,91.11
2011-03-31,36.65,36.65,34.8,35.0,35.05,92352.0,32.45
2011-04-01,34.95,35.5,34.95,35.5,35.4,36176.0,12.74
2011-04-04,35.25,35.9,35.15,35.35,35.55,34406.0,12.24
2011-04-05,35.5,36.9,34.9,35.1,35.2,47971.0,16.89
2011-04-06,35.0,35.3,34.5,34.5,34.65,73374.0,25.63
2011-04-07,34.5,34.7,34.05,34.4,34.2,16496.0,5.67
2011-04-08,34.05,34.3,32.5,33.0,32.65,43887.0,14.58
2011-04-11,32.1,32.6,32.0,32.3,32.5,31035.0,10.0
2011-04-13,34.1,34.15,33.1,34.15,34.15,31092.0,10.6
2011-04-15,35.9,35.9,35.1,35.8,35.45,50999.0,18.2
2011-04-18,36.0,36.0,33.8,33.9,34.8,45789.0,15.94
2011-04-19,34.0,35.3,33.6,33.7,33.75,16274.0,5.55
2011-04-20,33.15,34.5,33.15,33.85,33.9,10560.0,3.59
2011-04-21,33.0,33.95,33.0,33.2,33.1,24471.0,8.16
2011-04-25,33.1,34.1,32.75,33.0,33.0,12951.0,4.29
2011-04-26,33.0,33.6,32.5,32.75,32.75,13893.0,4.57
2011-04-27,32.7,33.5,32.55,32.85,32.9,8663.0,2.86
2011-04-28,33.05,33.2,32.5,32.6,32.65,20411.0,6.68
2011-04-29,34.0,34.0,32.1,32.35,32.4,14531.0,4.74
2011-05-02,32.8,33.0,32.15,32.2,32.2,13718.0,4.44
2011-05-03,32.0,32.7,31.55,31.7,31.9,27908.0,8.96
2011-05-04,31.5,31.5,30.3,30.7,30.85,20447.0,6.33
2011-05-05,31.0,31.6,30.5,30.85,30.65,12704.0,3.92
2011-05-06,30.0,31.8,30.0,30.9,31.0,25353.0,7.81
2011-05-09,30.9,31.5,30.55,30.55,30.55,5019.0,1.55
2011-05-10,31.1,31.1,30.35,30.65,30.5,12269.0,3.75
2011-05-11,30.5,31.0,30.25,30.75,30.5,6514.0,1.99
2011-05-12,30.1,31.25,30.1,30.3,30.3,13901.0,4.22
2011-05-13,29.1,31.8,29.1,30.9,30.45,6354.0,1.94
2011-05-16,30.1,31.8,30.1,30.3,30.7,6419.0,1.97
2011-05-17,30.05,31.0,30.05,30.4,30.3,11911.0,3.63
2011-05-18,30.1,31.5,29.9,30.0,30.0,17783.0,5.36
2011-05-19,30.05,30.95,29.5,29.5,29.5,10415.0,3.1
2011-05-20,30.0,30.0,29.05,29.75,29.65,15029.0,4.44
2011-05-23,29.3,29.95,29.05,29.05,29.15,24394.0,7.12
2011-05-24,28.75,30.0,28.5,28.7,28.7,15341.0,4.41
2011-05-25,27.55,29.0,27.45,27.45,27.6,16780.0,4.7
2011-05-26,27.1,28.85,27.1,27.5,27.5,14555.0,4.04
2011-05-27,27.0,28.55,27.0,27.4,27.5,12652.0,3.49
2011-05-30,27.0,28.15,26.5,27.4,27.8,11752.0,3.24
2011-05-31,27.0,28.4,27.0,27.1,27.15,18226.0,5.01
2011-06-01,27.15,28.0,26.7,27.7,27.2,15838.0,4.33
2011-06-02,26.0,27.9,26.0,27.8,27.6,17495.0,4.77
2011-06-03,26.5,27.8,26.5,27.1,27.45,11426.0,3.12
2011-06-06,27.85,27.85,26.8,27.0,27.0,6832.0,1.84
2011-06-07,26.55,27.35,26.55,26.75,26.75,13182.0,3.55
2011-06-08,27.6,27.6,26.6,26.9,27.2,9154.0,2.47
2011-06-09,26.65,27.45,26.65,27.1,27.0,8321.0,2.23
2011-06-10,26.15,27.55,26.15,26.65,26.65,16544.0,4.43
2011-06-13,26.2,26.75,26.2,26.65,26.65,8839.0,2.35
2011-06-14,26.65,26.9,26.0,26.15,26.2,19190.0,5.05
2011-06-15,26.15,26.6,25.7,25.95,26.0,21872.0,5.69
2011-06-16,25.8,26.1,25.5,25.95,25.75,10224.0,2.65
2011-06-17,25.25,26.65,25.2,25.2,25.5,48239.0,12.62
2011-06-20,25.9,25.95,24.8,25.1,24.95,54348.0,13.67
2011-06-21,25.0,25.0,24.0,24.15,24.3,31994.0,7.83
2011-06-22,24.55,24.6,23.1,23.2,23.2,64717.0,15.12
2011-06-23,22.75,23.75,22.25,22.45,22.6,49880.0,11.33
2011-06-24,23.25,23.25,22.05,22.05,22.15,41462.0,9.27
2011-06-27,22.1,22.85,21.25,21.5,21.55,47206.0,10.36
2011-06-28,22.5,22.5,21.5,21.7,21.8,57181.0,12.48
2011-06-29,21.8,22.15,21.05,21.3,21.45,48466.0,10.43
2011-06-30,21.5,21.75,21.25,21.35,21.6,38472.0,8.27
2011-07-01,21.2,22.7,20.7,22.7,22.65,80132.0,17.85
2011-07-04,23.2,23.2,22.1,22.15,22.25,32651.0,7.39
2011-07-05,22.05,23.0,22.05,23.0,22.9,15036.0,3.39
2011-07-06,22.3,24.05,22.3,23.75,23.7,88583.0,20.84
2011-07-07,23.5,24.35,23.2,23.9,23.9,94053.0,22.49
2011-07-08,23.85,23.85,22.4,22.6,22.65,76170.0,17.56
2011-07-11,22.25,22.95,22.25,22.95,22.8,80343.0,18.23
2011-07-12,22.0,23.15,22.0,22.5,22.55,14678.0,3.33
2011-07-13,22.55,23.5,22.25,22.9,23.0,21536.0,4.96
2011-07-14,22.7,23.3,22.7,22.75,22.85,8722.0,2.0
2011-07-15,23.4,23.4,22.5,22.5,22.8,33358.0,7.68
2011-07-18,23.0,23.0,22.5,22.5,22.5,13983.0,3.16
2011-07-19,22.3,22.9,22.3,22.7,22.7,83152.0,18.78
2011-07-20,22.9,23.0,22.6,22.6,22.6,15589.0,3.53
2011-07-21,22.25,22.9,22.05,22.1,22.3,67347.0,15.06
2011-07-22,22.0,22.6,21.85,22.3,22.35,69579.0,15.51
2011-07-25,22.45,22.45,21.85,22.3,22.3,7735.0,1.72
2011-07-26,21.9,22.5,21.9,21.95,22.05,16592.0,3.67
2011-07-27,21.8,24.3,21.5,24.3,24.25,174458.0,41.47
2011-07-28,24.25,25.45,22.9,24.35,24.55,194199.0,48.46
2011-07-29,24.8,24.95,23.25,23.25,23.35,135913.0,32.43
2011-08-01,22.45,23.6,22.45,23.0,23.0,37609.0,8.74
2011-08-02,22.8,23.0,21.7,21.9,21.9,113116.0,25.42
2011-08-03,21.65,22.2,20.65,21.0,21.05,86045.0,18.08
2011-08-04,21.4,22.05,20.75,21.2,21.0,68509.0,14.58
2011-08-05,20.5,21.3,18.9,18.9,19.05,170466.0,32.74
2011-08-08,18.0,18.5,17.2,18.0,18.0,25956.0,4.65
2011-08-09,17.7,18.2,17.1,18.05,17.65,20374.0,3.59
2011-08-10,19.35,19.35,18.15,18.7,18.7,35826.0,6.71
2011-08-11,18.0,19.15,18.0,18.9,18.5,11270.0,2.08
2011-08-12,18.0,18.8,18.0,18.15,18.25,8385.0,1.55
2011-08-16,18.1,19.25,17.7,17.8,17.9,19155.0,3.47
2011-08-17,18.0,18.0,17.15,17.5,17.35,13891.0,2.43
2011-08-18,17.05,18.0,16.5,16.55,16.95,17731.0,3.0
2011-08-19,16.05,16.6,15.3,15.55,15.4,29540.0,4.67
2011-08-22,15.4,15.95,14.9,15.45,15.35,21485.0,3.26
2011-08-23,15.05,15.95,15.05,15.25,15.45,8943.0,1.4
2011-08-24,15.25,16.1,14.8,15.95,15.85,12555.0,1.99
2011-08-25,15.7,16.5,15.7,16.45,16.25,11411.0,1.85
2011-08-26,16.1,16.35,15.5,15.6,15.65,11542.0,1.82
2011-08-29,15.45,16.2,15.45,16.0,16.05,9486.0,1.52
2011-08-30,16.5,16.7,16.0,16.5,16.5,4394.0,0.72
2011-09-02,15.85,16.75,15.85,16.55,16.4,8244.0,1.36
2011-09-05,15.95,16.85,15.95,16.25,16.4,7603.0,1.23
2011-09-06,16.0,16.5,15.85,16.5,16.45,13763.0,2.22
2011-09-07,16.05,17.3,16.0,17.0,17.05,29705.0,5.0
2011-09-08,17.95,18.3,16.55,18.05,18.1,19859.0,3.52
2011-09-09,16.5,18.5,16.5,17.85,17.65,13839.0,2.47
2011-09-12,15.9,18.3,15.9,17.25,17.2,20259.0,3.51
2011-09-13,16.05,17.9,16.05,17.25,17.25,9134.0,1.59
2011-09-14,15.55,17.5,15.55,17.3,17.05,21576.0,3.66
2011-09-15,16.05,17.75,16.05,17.1,17.25,4980.0,0.85
2011-09-16,15.55,17.55,15.55,17.1,17.15,16454.0,2.84
2011-09-19,16.5,17.45,16.2,16.75,16.8,5250.0,0.89
2011-09-20,16.95,17.5,16.95,17.5,17.4,7197.0,1.24
2011-09-21,17.35,19.15,17.35,19.15,19.15,80418.0,15.1
2011-09-22,19.15,19.5,18.0,18.25,18.4,49356.0,9.17
2011-09-23,18.0,18.15,17.55,18.0,17.9,10077.0,1.79
2011-09-26,17.45,18.25,17.45,17.7,17.8,11294.0,2.01
2011-09-27,18.05,18.1,17.5,17.7,17.65,8277.0,1.47
2011-09-28,17.2,17.8,16.75,16.8,17.0,16536.0,2.86
2011-09-29,16.5,16.9,16.5,16.8,16.8,9701.0,1.62
2011-09-30,16.25,16.75,16.0,16.0,16.1,15913.0,2.6
2011-10-03,15.5,16.2,15.5,16.2,15.9,10344.0,1.64
2011-10-04,15.4,16.45,15.4,16.15,16.15,3959.0,0.63
2011-10-05,16.4,16.5,15.65,16.0,15.9,10648.0,1.7
2011-10-07,16.45,16.6,16.05,16.4,16.4,6390.0,1.05
2011-10-10,16.4,16.9,16.4,16.9,16.75,3791.0,0.63
2011-10-11,16.75,17.05,16.55,17.0,16.85,4535.0,0.77
2011-10-12,16.6,17.15,16.6,16.7,16.75,4934.0,0.83
2011-10-13,17.2,17.2,16.8,16.8,16.8,6387.0,1.09
2011-10-14,16.8,17.15,16.55,16.65,16.65,9068.0,1.52
2011-10-17,16.45,16.9,16.45,16.75,16.65,9187.0,1.54
2011-10-18,16.85,16.85,16.05,16.4,16.2,6781.0,1.11
2011-10-19,16.65,16.65,16.15,16.2,16.2,5939.0,0.98
2011-10-20,16.4,16.5,16.0,16.5,16.3,5703.0,0.93
2011-10-21,16.0,16.4,15.95,16.2,16.1,4554.0,0.73
2011-10-24,15.75,16.6,15.75,16.3,16.15,17497.0,2.81
2011-10-25,16.1,16.7,16.05,16.1,16.1,4179.0,0.68
2011-10-26,15.05,16.95,15.05,16.2,16.25,3680.0,0.6
2011-10-28,16.7,17.0,16.2,16.4,16.4,7338.0,1.22
2011-10-31,16.1,16.7,16.05,16.35,16.3,6705.0,1.1
2011-11-01,16.3,16.4,16.1,16.2,16.2,3831.0,0.62
2011-11-02,15.55,16.55,15.55,16.1,16.05,7233.0,1.16
2011-11-03,15.8,16.5,15.65,16.25,16.35,6064.0,0.99
2011-11-04,16.2,16.65,16.0,16.0,16.0,12442.0,2.01
2011-11-08,16.45,16.7,16.3,16.55,16.6,6507.0,1.08
2011-11-09,16.5,18.5,16.5,18.05,18.0,47171.0,8.4
2011-11-11,17.25,18.85,17.05,18.1,17.9,15105.0,2.65
2011-11-14,17.4,18.1,16.75,16.75,16.95,16805.0,2.94
