Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-02-06,251.0,261.0,227.1,229.35,231.4,7786138.0,18571.74
2006-02-07,232.0,234.9,212.4,218.65,219.3,2983060.0,6635.69
2006-02-08,219.0,232.9,215.25,224.3,222.6,3286707.0,7428.29
2006-02-10,225.5,226.65,217.15,218.15,219.5,792621.0,1756.13
2006-02-13,220.0,220.8,214.35,216.45,216.8,446561.0,969.99
2006-02-14,217.0,231.7,216.8,223.5,222.35,1763935.0,3989.79
2006-02-15,225.4,225.4,218.3,220.5,220.2,371612.0,822.05
2006-02-16,222.45,225.0,222.0,223.5,223.2,248496.0,554.15
2006-02-17,224.25,224.7,215.35,219.0,217.8,331133.0,734.72
2006-02-20,215.0,218.0,205.0,206.15,206.7,234590.0,489.07
2006-02-21,207.0,211.8,206.65,207.0,207.3,141270.0,294.97
2006-02-22,207.95,207.95,186.0,193.0,191.5,572655.0,1099.74
2006-02-23,192.2,192.2,184.5,191.3,189.95,236315.0,445.53
2006-02-24,190.5,197.0,189.05,194.0,193.85,198618.0,383.93
2006-02-27,194.0,195.6,188.0,190.1,189.9,90187.0,171.67
2006-02-28,191.0,193.0,189.05,191.1,190.85,102084.0,194.99
2006-03-01,190.6,201.7,190.0,196.5,196.55,188568.0,371.22
2006-03-02,194.4,203.0,188.3,189.75,190.3,187670.0,368.99
2006-03-03,191.9,197.0,190.15,194.0,193.5,132985.0,257.19
2006-03-06,194.0,194.75,189.1,190.0,190.95,65911.0,126.51
2006-03-07,191.0,191.75,187.0,188.0,188.05,54114.0,102.7
2006-03-08,189.7,190.9,179.35,181.9,182.45,118648.0,219.24
2006-03-09,183.95,184.5,177.6,180.0,180.15,69148.0,124.31
2006-03-10,182.5,191.5,181.0,190.9,189.8,113016.0,211.06
2006-03-13,193.0,202.0,187.5,201.0,200.3,198501.0,388.99
2006-03-14,202.05,203.5,195.0,196.6,197.75,121360.0,240.62
2006-03-16,197.0,199.0,196.0,197.9,197.0,68589.0,135.5
2006-03-17,192.0,198.0,191.5,197.5,197.2,87409.0,170.61
2006-03-20,195.75,202.0,195.75,197.1,198.5,89637.0,178.35
2006-03-21,199.0,199.8,191.1,195.0,194.1,76431.0,149.16
2006-03-22,197.0,218.85,191.6,199.0,200.0,93602.0,184.5
2006-03-23,199.0,203.0,195.0,195.5,196.65,48463.0,96.28
2006-03-24,198.0,198.0,192.1,193.9,194.2,26444.0,51.62
2006-03-27,195.0,198.5,188.05,189.0,190.55,36177.0,69.89
2006-03-28,191.0,197.5,189.5,190.15,190.05,80691.0,154.97
2006-03-29,196.9,197.0,189.5,195.25,195.25,80648.0,156.42
2006-03-30,195.0,201.0,193.0,200.0,199.6,71750.0,142.34
2006-03-31,196.0,208.35,195.0,205.0,205.55,94876.0,193.2
2006-04-03,205.0,218.95,205.0,217.0,215.95,199169.0,428.48
2006-04-04,219.4,220.0,208.0,214.3,215.0,54825.0,116.63
2006-04-05,212.0,215.0,205.25,205.5,208.6,27791.0,58.39
2006-04-07,210.0,211.0,202.0,204.0,203.95,47626.0,97.84
2006-04-10,205.0,205.0,196.5,202.0,201.1,28321.0,56.75
2006-04-12,202.5,203.9,196.2,203.0,200.2,74941.0,150.67
2006-04-13,200.0,203.0,198.0,202.0,201.8,40241.0,80.57
2006-04-17,200.15,205.8,200.1,205.0,205.0,26741.0,54.56
2006-04-18,204.1,205.45,200.0,201.9,200.4,17461.0,35.43
2006-04-19,205.0,205.0,198.5,200.0,200.1,13081.0,26.23
2006-04-20,199.55,202.0,197.0,198.2,199.35,32884.0,65.73
2006-04-21,200.0,200.0,192.8,192.8,194.85,38326.0,75.43
2006-04-24,196.1,198.5,192.0,192.1,192.8,9151.0,17.8
2006-04-25,193.2,194.6,190.1,192.5,191.05,62708.0,119.93
2006-04-26,193.0,195.75,190.0,190.0,190.95,17418.0,33.56
2006-04-27,195.25,195.25,188.1,189.0,188.9,22755.0,43.32
2006-04-28,188.9,191.85,180.25,190.0,189.0,14999.0,28.34
