Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-17,183.5,183.5,183.5,,,,
2001-01-29,127.0,140.0,127.0,140.0,140.0,6000.0,8.01
2002-05-28,132.0,132.0,132.0,132.0,132.0,10.0,0.01
2002-06-13,130.0,130.0,130.0,130.0,130.0,20.0,0.03
2002-07-04,125.0,125.0,125.0,125.0,125.0,50.0,0.06
2002-07-05,125.0,125.0,125.0,125.0,125.0,1.0,0.0
2003-09-11,71.3,71.3,71.3,71.3,71.3,19.0,0.01
2003-10-09,68.8,68.8,68.8,68.8,68.8,50.0,0.03
2003-11-06,127.0,127.0,124.95,124.95,124.95,50.0,0.06
2003-11-13,125.5,125.5,125.5,125.5,125.5,200.0,0.25
2003-12-01,110.0,110.0,108.0,108.0,109.85,108.0,0.12
2003-12-02,106.05,106.05,106.0,106.0,106.0,15.0,0.02
2003-12-03,110.0,110.0,110.0,110.0,110.0,100.0,0.11
2003-12-09,106.7,106.7,106.7,106.7,106.7,10.0,0.01
2003-12-11,102.05,102.05,102.05,102.05,102.05,100.0,0.1
2003-12-16,106.0,106.0,106.0,106.0,106.0,2.0,0.0
2003-12-31,95.65,102.0,95.65,102.0,102.0,173.0,0.17
2004-01-05,97.15,97.15,97.15,97.15,97.15,25.0,0.02
2004-01-27,77.0,77.0,77.0,77.0,77.0,25.0,0.02
2004-01-29,77.0,77.0,77.0,77.0,77.0,100.0,0.08
2004-02-18,85.0,85.0,85.0,85.0,85.0,20.0,0.02
2004-02-25,80.75,82.0,80.75,82.0,82.0,200.0,0.16
2004-03-01,82.0,82.0,82.0,82.0,82.0,55.0,0.05
2004-03-11,83.0,83.0,82.75,82.75,82.75,100.0,0.08
2004-03-15,85.0,85.0,85.0,85.0,85.0,100.0,0.08
2004-03-16,85.0,85.0,80.75,80.75,85.0,501.0,0.43
2004-03-18,85.0,85.0,85.0,85.0,85.0,500.0,0.42
2004-03-24,82.0,82.0,82.0,82.0,82.0,200.0,0.16
2004-03-25,82.0,82.0,82.0,82.0,82.0,100.0,0.08
2004-03-26,82.0,82.0,82.0,82.0,82.0,500.0,0.41
2004-03-29,82.0,82.0,80.0,80.0,80.0,1000.0,0.81
2004-03-31,78.25,78.25,78.0,78.0,78.0,50.0,0.04
2004-04-01,81.8,81.8,81.8,81.8,81.8,5.0,0.0
