Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,21.0,22.0,20.0,,,,
1998-03-23,21.5,21.5,21.5,21.5,21.5,100.0,0.02
1998-03-24,21.5,23.15,21.0,23.15,22.8,6500.0,1.46
1998-03-25,23.45,25.0,23.0,23.5,23.4,10700.0,2.49
1998-03-26,21.5,23.7,21.5,23.7,23.5,7600.0,1.77
1998-03-27,22.5,23.05,22.4,23.05,23.05,5600.0,1.28
1998-03-30,23.25,23.35,23.0,23.2,23.15,8200.0,1.9
1998-03-31,23.9,25.0,23.0,24.25,24.1,6600.0,1.59
1998-04-01,24.4,24.5,23.0,23.0,23.0,7000.0,1.69
1998-04-02,24.0,25.3,24.0,25.3,25.3,7700.0,1.93
1998-04-03,27.75,27.85,26.35,27.85,27.85,12000.0,3.24
1998-04-06,29.95,30.0,27.75,28.5,28.45,12400.0,3.56
1998-04-07,30.05,30.1,28.0,30.0,29.4,8600.0,2.47
1998-04-09,29.5,32.0,29.0,31.5,30.3,15000.0,4.56
1998-04-10,31.0,31.0,29.15,31.0,30.4,16200.0,4.87
1998-04-13,32.0,32.0,28.2,29.65,29.35,9100.0,2.68
1998-04-15,32.0,32.3,31.95,32.3,32.3,6700.0,2.16
1998-04-16,32.35,33.5,30.7,30.7,31.2,16800.0,5.4
1998-04-17,34.0,34.0,29.95,32.95,32.85,17600.0,5.59
1998-04-20,32.4,35.0,31.3,34.35,33.85,31200.0,10.37
1998-04-21,33.75,36.7,33.1,36.7,36.7,20900.0,7.2
1998-04-22,37.5,40.2,37.5,40.0,39.6,33900.0,13.41
1998-04-23,42.0,43.5,38.75,41.95,41.15,48900.0,19.58
1998-04-24,43.45,43.45,39.5,41.4,41.05,34900.0,14.31
1998-04-27,40.5,45.0,39.9,42.05,41.95,153600.0,61.8
1998-04-28,45.5,45.5,41.2,42.75,43.0,43100.0,18.25
1998-04-29,41.2,45.85,39.9,41.8,41.35,156700.0,63.42
1998-04-30,40.35,41.5,39.75,40.3,39.95,38400.0,15.6
1998-05-04,40.9,41.0,36.05,37.0,37.0,15500.0,5.79
1998-05-05,36.55,36.55,34.15,35.4,35.1,24000.0,8.38
1998-05-06,34.0,35.5,33.6,33.7,33.65,15400.0,5.26
1998-05-08,33.0,33.5,32.15,32.15,32.15,5800.0,1.89
1998-05-11,32.5,33.5,32.15,32.65,32.75,9200.0,3.0
1998-05-12,31.5,32.8,31.5,31.8,31.9,12200.0,3.87
1998-05-13,32.0,32.0,29.75,29.75,29.95,6400.0,1.96
1998-05-14,29.0,31.8,28.5,31.5,31.3,7800.0,2.4
1998-05-15,31.0,33.0,29.1,33.0,32.7,13900.0,4.45
1998-05-18,31.65,35.0,31.65,35.0,34.75,10700.0,3.67
1998-05-19,36.3,36.95,35.2,36.65,36.55,7500.0,2.72
1998-05-20,36.0,38.5,36.0,37.5,37.55,21800.0,8.27
1998-05-21,40.5,40.5,36.45,38.5,38.4,18500.0,6.98
1998-05-22,38.0,42.0,37.85,42.0,40.45,20600.0,8.21
1998-05-25,42.5,42.95,40.35,42.95,42.05,26800.0,11.1
1998-05-26,41.0,45.0,40.05,41.4,40.6,165200.0,70.21
1998-05-27,42.0,42.0,36.55,36.95,36.95,47700.0,18.76
1998-05-28,36.0,37.0,33.55,36.1,35.25,12000.0,4.25
1998-05-29,34.0,36.5,33.8,36.4,35.95,6600.0,2.33
1998-06-01,36.0,38.0,36.0,37.25,37.25,14300.0,5.31
1998-06-02,35.8,36.55,34.5,35.0,34.75,9100.0,3.22
1998-06-03,34.05,34.05,32.1,33.75,33.75,2800.0,0.93
1998-06-04,33.7,33.7,32.85,32.85,32.85,1800.0,0.6
1998-06-05,32.5,32.5,30.55,30.55,30.6,3800.0,1.19
1998-06-08,28.45,29.9,28.45,29.0,29.0,1600.0,0.47
1998-06-09,30.9,30.95,29.5,29.9,30.15,1800.0,0.55
1998-06-10,28.85,30.0,28.75,29.1,29.35,3000.0,0.88
1998-06-11,28.5,30.3,28.5,30.3,30.0,5000.0,1.45
1998-06-12,29.55,31.0,29.55,31.0,31.0,600.0,0.18
1998-06-15,28.15,29.5,28.15,29.0,29.0,4400.0,1.28
1998-06-16,28.1,29.5,28.05,29.5,29.5,1300.0,0.37
1998-06-17,30.45,31.45,29.6,30.0,30.3,2200.0,0.67
1998-06-18,30.0,30.15,29.75,29.75,29.75,1700.0,0.51
1998-06-19,28.05,29.55,28.05,29.35,29.2,2600.0,0.76
1998-06-22,26.5,28.5,26.5,27.5,27.5,2000.0,0.55
1998-06-23,26.05,26.05,25.1,25.1,25.1,2700.0,0.68
1998-06-24,25.9,27.0,25.9,26.5,26.5,3700.0,0.98
1998-06-25,27.05,27.25,26.7,27.25,27.25,1800.0,0.49
1998-06-26,26.15,26.2,26.15,26.2,26.2,900.0,0.24
1998-06-29,27.4,27.4,26.6,26.6,26.6,800.0,0.21
1998-06-30,26.05,26.8,26.0,26.3,26.3,2300.0,0.61
1998-07-01,27.75,27.9,27.1,27.1,27.1,1100.0,0.3
1998-07-02,26.95,27.0,26.95,27.0,26.95,500.0,0.13
1998-07-03,27.0,27.0,26.55,27.0,27.0,700.0,0.19
1998-07-06,25.65,27.9,25.65,27.9,27.9,1400.0,0.38
1998-07-07,27.15,28.0,27.15,28.0,27.95,2500.0,0.7
