Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-08-09,15.8,17.85,15.0,17.85,17.85,150062.0,26.08
2010-08-10,19.45,19.65,18.3,19.65,19.65,119728.0,23.13
2010-08-11,21.65,21.65,17.75,19.6,19.05,154301.0,30.06
2010-08-12,18.5,18.9,17.25,18.8,18.4,54801.0,9.81
2010-08-13,18.75,18.8,17.3,17.4,17.55,30438.0,5.49
2010-08-16,17.35,17.75,16.15,16.45,16.45,21399.0,3.6
2010-08-17,16.5,16.5,15.0,15.2,15.2,22171.0,3.43
2010-08-18,15.9,16.0,14.55,14.55,14.7,9311.0,1.41
2010-08-19,14.5,15.0,14.4,14.4,14.55,6096.0,0.89
2010-08-20,14.0,15.3,14.0,15.3,15.3,700.0,0.1
2010-08-23,14.55,14.95,14.55,14.55,14.55,1006.0,0.15
2010-08-24,14.4,14.4,14.1,14.35,14.35,1243.0,0.18
2010-08-25,14.95,15.0,14.3,14.3,14.45,2005.0,0.29
2010-08-26,14.85,15.2,14.0,15.2,15.2,3458.0,0.52
2010-08-27,15.45,15.45,14.45,14.45,14.45,101.0,0.01
2010-08-30,14.45,14.7,13.75,14.0,14.0,9555.0,1.34
2010-08-31,14.0,14.0,13.35,13.35,13.35,1214.0,0.17
2010-09-01,13.95,14.0,12.8,13.25,13.25,6590.0,0.87
2010-09-02,13.3,13.3,12.9,12.9,12.9,910.0,0.12
2010-09-03,13.55,13.55,13.15,13.3,13.3,2052.0,0.27
2010-09-06,14.0,14.0,13.05,13.3,13.2,956.0,0.13
2010-09-07,13.05,13.6,13.05,13.25,13.3,1245.0,0.17
2010-09-08,13.5,13.5,13.5,13.5,13.5,81.0,0.01
2010-09-09,13.0,14.2,12.85,13.0,13.0,2302.0,0.3
2010-09-13,13.4,13.4,13.0,13.0,13.0,2728.0,0.36
2010-09-14,13.05,13.65,13.0,13.65,13.65,3504.0,0.47
2010-09-15,14.25,14.35,14.25,14.35,14.35,9575.0,1.37
2010-09-16,14.0,15.1,14.0,15.0,15.0,4305.0,0.64
2010-09-17,15.2,15.2,14.35,14.5,14.5,3345.0,0.49
2010-09-20,15.0,15.25,14.5,15.25,15.25,5024.0,0.76
2010-09-21,15.35,16.05,15.05,15.1,15.65,27095.0,4.17
2010-09-22,15.85,15.85,14.9,14.9,14.9,910.0,0.14
2010-09-23,15.1,15.1,14.15,14.15,14.15,1900.0,0.27
2010-09-24,14.0,14.8,14.0,14.1,14.1,3810.0,0.55
2010-09-27,14.1,14.8,13.4,14.5,14.7,4000.0,0.57
2010-09-28,14.6,14.6,14.1,14.15,14.15,403.0,0.06
2010-09-29,14.6,14.6,13.6,14.0,14.0,1821.0,0.26
2010-09-30,13.7,14.0,13.6,14.0,13.9,3500.0,0.48
2010-10-01,13.4,14.45,13.2,13.3,13.3,3130.0,0.41
2010-10-04,13.4,13.45,13.35,13.45,13.45,1000.0,0.13
2010-10-05,13.4,14.05,13.1,13.9,13.9,1850.0,0.25
2010-10-06,13.35,14.45,13.35,14.45,14.45,7185.0,0.99
2010-10-07,14.0,14.5,13.75,14.1,14.1,5275.0,0.75
2010-10-08,14.5,14.8,14.25,14.8,14.8,2577.0,0.38
2010-10-11,15.5,15.5,15.1,15.1,15.1,10233.0,1.57
2010-10-12,15.1,15.5,14.9,15.15,15.15,500.0,0.08
2010-10-13,14.65,15.95,14.65,15.0,15.0,8869.0,1.37
2010-10-14,14.55,15.0,14.55,14.7,14.7,3630.0,0.54
2010-10-15,15.1,15.4,14.5,14.5,14.6,2386.0,0.35
2010-10-18,13.95,14.9,13.95,14.1,14.1,269.0,0.04
2010-10-19,14.1,14.85,13.65,14.6,14.6,4856.0,0.71
2010-10-20,14.6,15.1,14.35,15.0,15.0,871.0,0.13
2010-10-21,14.5,14.6,14.5,14.6,14.6,598.0,0.09
2010-10-22,14.3,15.0,14.3,14.5,14.85,1400.0,0.21
2010-10-25,15.0,15.3,15.0,15.0,15.0,2356.0,0.35
2010-10-26,15.0,15.0,14.25,14.9,14.85,6225.0,0.91
2010-10-27,14.3,14.9,14.2,14.8,14.45,1251.0,0.18
2010-10-28,14.75,15.2,14.5,14.7,14.6,3541.0,0.53
2010-10-29,14.7,14.75,13.9,14.75,14.75,1751.0,0.25
2010-11-01,15.45,15.45,14.05,14.5,14.5,3740.0,0.54
2010-11-02,14.95,15.25,14.3,14.3,14.5,2086.0,0.31
2010-11-03,14.5,14.85,14.2,14.2,14.5,859.0,0.12
2010-11-04,14.9,15.0,14.1,14.1,14.1,4000.0,0.59
2010-11-05,14.1,14.1,14.1,14.1,14.1,425.0,0.06
2010-11-08,14.1,14.5,14.1,14.2,14.2,950.0,0.14
2010-11-09,14.85,14.95,14.7,14.95,14.95,4925.0,0.73
2010-11-10,14.25,15.35,14.25,15.2,14.6,1712.0,0.25
2010-11-11,15.2,15.35,14.6,15.2,15.2,2504.0,0.38
2010-11-12,15.5,15.7,14.5,14.5,14.5,285.0,0.04
2010-11-15,15.25,15.25,13.8,14.05,14.0,1714.0,0.25
2010-11-16,13.95,14.6,13.9,13.9,13.9,4097.0,0.58
2010-11-18,13.95,13.95,13.95,13.95,13.95,1500.0,0.21
2010-11-19,13.9,14.2,13.55,13.55,13.7,540.0,0.08
2010-11-22,13.75,13.75,13.4,13.4,13.45,1350.0,0.18
2010-11-23,13.4,14.0,13.1,13.85,13.25,503.0,0.07
2010-11-24,13.95,13.95,13.25,13.25,13.25,1200.0,0.16
2010-11-25,13.2,13.2,12.75,12.75,12.8,498.0,0.07
2010-11-26,12.75,12.75,12.2,12.2,12.2,14382.0,1.76
2010-11-29,12.85,12.85,12.65,12.85,12.85,393.0,0.05
2010-11-30,13.0,13.5,13.0,13.0,13.0,302.0,0.04
2010-12-01,13.0,13.55,12.55,13.55,13.55,402.0,0.05
2010-12-02,14.25,14.25,12.9,14.15,14.15,282.0,0.04
2010-12-03,13.55,13.85,13.45,13.85,13.85,1206.0,0.16
2010-12-06,13.9,13.9,13.2,13.2,13.2,550.0,0.07
2010-12-07,12.6,13.9,12.6,13.9,13.9,210.0,0.03
2010-12-08,13.2,13.2,13.2,13.2,13.2,25.0,0.0
2010-12-09,12.65,13.9,12.55,13.85,13.85,1385.0,0.19
2010-12-10,13.2,13.2,13.2,13.2,13.2,100.0,0.01
2010-12-13,12.55,13.45,12.55,13.45,13.45,380.0,0.05
2010-12-14,13.2,13.2,12.8,12.8,12.8,415.0,0.05
2010-12-15,12.2,13.0,12.2,13.0,13.0,1660.0,0.2
2010-12-16,13.5,13.5,12.35,12.85,12.85,461.0,0.06
2010-12-20,12.5,13.35,12.5,13.35,12.85,738.0,0.09
2010-12-21,13.45,13.45,12.3,13.0,12.7,137.0,0.02
2010-12-22,12.5,13.35,12.2,13.35,13.35,1779.0,0.22
2010-12-23,12.7,12.95,12.7,12.7,12.7,1102.0,0.14
2010-12-24,13.0,13.0,12.15,12.75,12.75,261.0,0.03
2010-12-27,12.2,12.2,12.2,12.2,12.2,40.0,0.0
2010-12-28,12.5,12.5,12.0,12.1,12.0,1269.0,0.15
2010-12-29,12.5,12.5,11.55,12.5,12.5,1309.0,0.15
2010-12-30,12.9,12.9,11.95,12.9,12.0,1253.0,0.15
2010-12-31,12.0,12.6,11.65,12.6,12.6,1754.0,0.21
2011-01-03,12.6,12.6,12.1,12.1,12.1,301.0,0.04
2011-01-04,12.05,12.7,11.8,12.0,12.0,1555.0,0.19
2011-01-05,11.7,12.6,11.7,12.1,12.1,108.0,0.01
2011-01-06,12.5,12.5,12.5,12.5,12.5,5.0,0.0
2011-01-07,11.9,11.9,11.9,11.9,11.9,3345.0,0.4
2011-01-10,12.35,12.4,11.6,12.4,12.4,1505.0,0.17
2011-01-13,13.05,13.05,13.05,13.05,13.05,1.0,0.0
2011-01-20,12.4,12.4,12.4,12.4,12.4,10.0,0.0
2011-01-21,11.8,11.8,11.8,11.8,11.8,1050.0,0.12
2011-01-24,11.6,11.6,11.6,11.6,11.6,1.0,0.0
2011-01-25,11.05,11.7,11.05,11.7,11.7,40.0,0.0
2011-01-27,11.2,11.85,11.2,11.85,11.85,101.0,0.01
2011-01-28,11.3,11.3,11.3,11.3,11.3,2100.0,0.24
2011-02-01,11.4,11.4,11.3,11.3,11.3,510.0,0.06
2011-02-02,11.3,11.3,11.3,11.3,11.3,100.0,0.01
2011-02-03,10.8,10.8,10.8,10.8,10.8,40.0,0.0
2011-02-04,11.2,11.2,10.5,11.2,11.2,64.0,0.01
2011-02-07,10.65,10.65,10.65,10.65,10.65,184.0,0.02
2011-02-08,10.55,11.2,10.55,10.55,10.6,510.0,0.05
2011-02-09,10.15,10.15,10.1,10.1,10.1,140.0,0.01
2011-02-11,10.35,10.65,9.8,10.65,10.65,1201.0,0.12
2011-02-14,10.6,10.6,10.6,10.6,10.6,601.0,0.06
2011-02-15,10.7,10.7,10.3,10.7,10.7,1108.0,0.12
2011-02-16,10.95,10.95,10.2,10.9,10.9,177.0,0.02
2011-02-17,10.4,10.4,10.35,10.35,10.35,1130.0,0.12
2011-02-18,10.2,10.9,9.85,10.9,10.9,899.0,0.09
2011-02-21,10.45,10.45,10.45,10.45,10.45,500.0,0.05
2011-02-23,10.65,10.85,10.65,10.85,10.85,600.0,0.06
2011-02-24,10.35,10.35,10.35,10.35,10.35,250.0,0.03
2011-02-25,9.9,9.9,9.9,9.9,9.9,3.0,0.0
2011-02-28,9.4,9.4,9.4,9.4,9.4,100.0,0.01
2011-03-01,9.55,9.55,9.55,9.55,9.55,38.0,0.0
2011-03-03,9.35,9.35,9.35,9.35,9.35,1.0,0.0
2011-03-04,9.3,9.3,9.3,9.3,9.3,150.0,0.01
2011-03-07,9.2,9.8,9.2,9.8,9.8,11.0,0.0
2011-03-08,9.6,10.3,9.5,10.3,10.3,255.0,0.02
2011-03-09,10.5,10.85,9.9,10.45,10.45,286.0,0.03
2011-03-10,9.95,9.95,9.95,9.95,9.95,97.0,0.01
2011-03-11,9.9,10.2,9.5,10.15,10.15,1092.0,0.1
2011-03-14,9.65,9.65,9.65,9.65,9.65,50.0,0.0
2011-03-15,9.3,10.15,9.3,10.15,10.15,41.0,0.0
2011-03-16,10.5,10.5,10.5,10.5,10.5,100.0,0.01
2011-03-22,10.0,10.0,10.0,10.0,10.0,250.0,0.02
2011-03-23,9.55,10.0,9.55,10.0,10.0,41.0,0.0
2011-03-24,9.5,9.5,9.5,9.5,9.5,499.0,0.05
2011-03-25,9.4,9.9,9.15,9.9,9.9,501.0,0.05
2011-03-28,9.4,9.4,9.4,9.4,9.4,105.0,0.01
2011-03-29,9.1,9.1,9.1,9.1,9.1,1200.0,0.11
2011-03-30,9.6,9.6,9.0,9.6,9.6,2151.0,0.21
2011-03-31,9.3,9.3,9.15,9.15,9.15,550.0,0.05
2011-04-01,9.0,9.45,9.0,9.45,9.45,850.0,0.08
2011-04-04,9.6,9.6,9.6,9.6,9.6,400.0,0.04
2011-04-06,10.0,10.0,10.0,10.0,10.0,75.0,0.01
2011-04-07,10.0,10.0,10.0,10.0,10.0,48.0,0.0
2011-04-08,9.85,9.95,9.5,9.5,9.5,1751.0,0.17
2011-04-11,9.1,9.4,9.05,9.4,9.4,2300.0,0.21
2011-04-13,9.5,9.7,9.5,9.5,9.5,2065.0,0.2
2011-04-15,9.5,9.5,9.15,9.15,9.15,100.0,0.01
2011-04-18,9.25,9.25,9.25,9.25,9.25,250.0,0.02
2011-04-19,9.25,9.25,9.25,9.25,9.25,200.0,0.02
