Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2004-11-24,20.0,21.9,19.1,19.65,19.55,12659684.0,2548.29
2004-11-25,19.9,20.45,19.05,19.45,19.35,4519825.0,894.44
2004-11-29,19.3,19.8,18.55,18.75,18.75,3334956.0,630.75
2004-11-30,18.95,19.1,17.8,17.95,17.9,2175878.0,396.8
2004-12-01,17.9,18.2,17.15,18.0,17.95,1745370.0,309.51
2004-12-02,18.25,18.9,18.0,18.0,18.05,1487497.0,270.88
2004-12-03,18.5,18.5,17.45,17.9,17.85,1127507.0,201.33
2004-12-06,18.1,18.1,17.75,17.8,17.85,630145.0,112.73
2004-12-07,18.0,18.0,17.4,17.6,17.55,904456.0,160.25
2004-12-08,17.65,17.7,16.9,17.15,17.1,961598.0,166.19
2004-12-09,17.15,17.5,17.0,17.35,17.35,878673.0,152.0
2004-12-10,17.5,17.5,16.8,16.9,16.9,1191604.0,203.57
2004-12-13,17.0,19.65,17.0,19.5,19.25,5041896.0,942.01
2004-12-14,19.8,20.15,18.85,19.0,19.0,4164655.0,812.0
2004-12-15,19.3,19.3,18.7,18.9,18.8,1293492.0,244.51
2004-12-16,19.1,19.1,18.35,18.5,18.5,906732.0,168.45
2004-12-17,18.7,19.45,18.5,18.8,18.8,1353597.0,256.1
2004-12-20,19.0,19.0,18.7,18.85,18.85,887008.0,167.48
2004-12-21,19.0,19.55,18.8,19.0,18.95,1016068.0,193.22
2004-12-22,19.1,19.2,18.2,18.35,18.4,899053.0,167.83
2004-12-23,18.55,18.9,18.3,18.9,18.75,668396.0,124.92
2004-12-24,19.0,19.9,18.65,19.45,19.35,3141049.0,609.24
2004-12-27,19.35,20.25,19.0,20.1,20.05,3659474.0,725.45
2004-12-28,20.5,22.15,20.3,21.95,22.0,9919588.0,2129.11
2004-12-29,22.25,22.5,20.25,20.8,20.75,4345017.0,920.61
2004-12-30,20.8,21.3,20.0,20.45,20.25,2119213.0,436.84
2004-12-31,20.25,20.65,20.1,20.3,20.3,1647756.0,336.16
2005-01-03,20.65,21.25,20.6,20.85,20.85,1576961.0,329.25
2005-01-04,21.1,21.2,20.55,20.75,20.7,1465500.0,305.38
2005-01-05,20.5,20.65,18.05,19.0,19.25,2015152.0,391.98
2005-01-06,19.2,19.3,18.1,18.85,18.75,1248578.0,234.1
2005-01-07,18.1,19.65,18.1,19.3,19.25,1089616.0,209.45
2005-01-10,19.55,20.3,19.2,19.4,19.4,1067388.0,210.42
2005-01-11,19.5,19.85,18.5,18.5,18.65,729784.0,138.7
2005-01-12,18.65,19.95,17.6,17.8,17.8,886709.0,162.73
2005-01-13,17.9,18.5,17.9,18.3,18.3,645747.0,118.06
2005-01-14,18.6,18.8,18.05,18.15,18.2,621230.0,114.25
2005-01-17,18.4,18.5,17.65,18.05,17.95,458757.0,82.23
2005-01-18,18.2,18.4,17.5,17.9,17.9,403196.0,72.57
2005-01-19,18.15,18.3,17.7,17.8,17.8,311312.0,55.89
2005-01-20,17.7,17.9,17.3,17.55,17.6,538851.0,94.5
2005-01-24,17.75,18.1,17.55,17.6,17.6,286374.0,50.72
2005-01-25,17.6,18.2,17.25,18.1,18.05,566089.0,101.16
2005-01-27,18.3,18.5,18.05,18.15,18.15,447579.0,81.8
2005-01-28,18.3,19.1,18.15,18.8,18.75,889685.0,166.06
2005-01-31,19.0,19.2,18.3,18.9,18.9,912140.0,172.26
2005-02-01,19.15,19.15,18.5,18.5,18.6,499845.0,93.57
2005-02-02,18.75,18.95,18.65,18.8,18.75,490020.0,92.24
2005-02-03,18.75,19.6,18.0,19.4,19.4,1428976.0,275.97
2005-02-04,19.75,20.1,19.25,19.5,19.45,1078778.0,211.62
2005-02-07,19.8,20.4,19.4,20.25,20.15,2036771.0,408.21
2005-02-08,20.6,21.9,20.2,21.35,21.3,5440842.0,1157.37
2005-02-09,21.7,21.95,21.25,21.6,21.6,2730129.0,590.98
2005-02-10,21.75,22.8,19.8,21.9,21.95,5126057.0,1135.03
2005-02-11,22.5,22.7,21.0,21.2,21.25,1856347.0,399.92
2005-02-14,21.9,21.9,20.85,20.9,21.0,1507066.0,321.27
2005-02-15,20.85,20.95,20.05,20.15,20.15,868707.0,176.38
2005-02-16,20.4,20.8,20.0,20.05,20.1,1056526.0,215.1
2005-02-17,20.1,20.2,19.6,20.1,20.0,800044.0,159.13
2005-02-18,20.0,20.95,20.0,20.55,20.45,1073296.0,221.23
2005-02-21,20.65,20.8,19.95,20.05,20.05,679649.0,137.78
2005-02-22,20.1,20.45,19.9,20.0,20.0,539637.0,108.65
2005-02-23,20.15,20.45,19.8,19.85,19.85,421496.0,84.7
2005-02-24,20.0,20.2,19.7,19.75,19.75,581646.0,115.85
2005-02-25,19.9,20.1,19.4,19.6,19.5,539832.0,106.32
2005-02-28,19.6,20.4,19.5,19.8,19.9,944475.0,188.86
2005-03-01,20.05,20.1,19.6,19.65,19.65,464534.0,91.88
2005-03-02,19.6,21.2,19.6,20.8,20.95,2061204.0,423.96
2005-03-03,21.0,21.55,20.9,20.95,21.0,2159140.0,458.41
2005-03-04,21.2,21.4,20.55,20.75,20.7,1066198.0,222.46
2005-03-07,20.85,21.0,20.25,20.3,20.3,937590.0,192.78
2005-03-08,20.0,20.65,20.0,20.45,20.4,694009.0,141.37
2005-03-09,20.4,20.65,19.9,20.15,20.0,722609.0,146.23
2005-03-10,20.1,20.65,19.85,20.25,20.3,736464.0,149.89
2005-03-11,20.2,22.15,20.05,21.6,21.85,5392748.0,1152.65
2005-03-14,22.1,22.85,21.4,21.45,21.55,9049559.0,2007.74
2005-03-15,21.6,22.45,21.4,21.85,21.8,4443615.0,976.63
2005-03-16,22.35,23.65,21.9,23.3,23.3,14147475.0,3267.01
2005-03-17,23.55,24.55,22.05,22.4,22.3,10396486.0,2444.34
2005-03-18,22.6,22.7,20.9,22.5,22.4,5757745.0,1263.8
2005-03-21,22.75,22.9,22.05,22.1,22.2,2646111.0,595.0
2005-03-22,22.0,22.35,20.85,21.2,21.05,2323983.0,500.59
2005-03-23,21.0,21.8,20.4,20.65,20.6,1992444.0,421.38
2005-03-24,20.85,21.2,20.1,20.3,20.25,1783345.0,366.1
2005-03-28,20.6,21.2,20.35,20.9,20.75,1149399.0,238.54
2005-03-29,20.85,21.45,19.9,19.9,20.1,2052528.0,423.88
2005-03-30,20.3,20.8,19.95,20.7,20.55,1063729.0,216.5
2005-03-31,20.55,21.95,20.55,21.8,21.75,1239553.0,266.9
2005-04-01,22.0,22.45,21.65,22.15,22.15,1086660.0,240.42
2005-04-04,23.0,23.0,21.3,21.6,21.55,824095.0,179.81
2005-04-05,21.5,21.5,20.7,20.75,20.8,700829.0,147.01
2005-04-06,20.8,21.6,20.8,21.3,21.2,969160.0,205.82
2005-04-07,21.45,21.55,20.9,21.35,21.1,591816.0,125.33
2005-04-08,21.1,21.3,20.75,20.8,20.85,489911.0,102.72
2005-04-11,20.15,21.2,20.15,20.8,20.9,1234390.0,256.08
2005-04-12,20.9,21.05,20.65,20.8,20.9,601068.0,125.46
2005-04-13,20.8,21.15,20.45,20.55,20.55,431746.0,89.66
2005-04-15,20.8,20.8,20.0,20.2,20.15,611792.0,123.65
2005-04-18,20.15,20.15,18.25,19.75,19.65,467665.0,91.94
2005-04-19,19.9,20.5,19.55,19.65,19.6,385721.0,77.24
2005-04-20,20.15,20.15,19.25,19.55,19.65,524361.0,102.93
2005-04-21,19.0,19.95,19.0,19.85,19.7,451875.0,88.77
2005-04-22,20.2,20.2,19.55,19.8,19.7,321206.0,63.7
2005-04-25,20.0,20.05,19.6,19.8,19.8,254620.0,50.53
2005-04-26,20.15,20.15,19.5,19.5,19.55,177895.0,35.06
2005-04-27,19.8,19.8,19.25,19.3,19.35,161919.0,31.54
2005-04-28,19.25,19.45,19.05,19.1,19.15,169417.0,32.6
