Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2010-08-09,98.7,98.7,95.0,95.0,95.0,202.0,0.19
2010-08-10,83.0,97.55,83.0,97.55,97.55,11.0,0.01
2010-08-11,96.0,100.0,96.0,100.0,100.0,101.0,0.1
2010-08-12,91.55,100.0,91.55,94.0,94.55,32.0,0.03
2010-08-13,94.15,100.0,94.15,94.5,94.5,206.0,0.2
2010-08-16,107.95,112.0,100.45,101.25,101.05,2834.0,3.05
2010-08-17,97.0,110.0,97.0,110.0,108.1,176.0,0.19
2010-08-18,108.1,110.0,108.1,110.0,110.0,410.0,0.45
2010-08-19,110.0,112.0,107.25,111.0,111.0,1420.0,1.56
2010-08-23,105.0,113.0,105.0,112.9,112.9,1314.0,1.47
2010-08-24,109.0,124.0,109.0,124.0,122.05,3597.0,4.22
2010-08-25,124.05,132.0,124.05,131.0,128.25,7486.0,9.66
2010-08-26,133.8,133.8,121.1,123.5,123.5,835.0,1.05
2010-08-27,106.05,127.0,106.05,122.5,123.0,1357.0,1.68
2010-08-30,125.5,126.0,121.1,124.0,121.8,1593.0,1.98
2010-08-31,117.05,123.25,117.05,122.35,122.35,263.0,0.32
2010-09-01,117.0,122.0,117.0,118.0,118.0,519.0,0.62
2010-09-02,115.25,127.2,115.25,127.2,125.4,191.0,0.23
2010-09-03,117.7,125.15,112.1,118.6,118.6,934.0,1.09
2010-09-06,118.0,126.9,118.0,126.9,126.9,458.0,0.57
2010-09-07,125.2,131.5,122.15,124.5,125.4,1771.0,2.23
2010-09-08,125.7,128.0,123.0,128.0,125.35,3090.0,3.87
2010-09-09,126.9,129.0,122.3,122.3,122.3,251.0,0.31
2010-09-13,133.95,133.95,128.0,128.4,128.4,1211.0,1.57
2010-09-14,128.5,128.5,126.55,126.55,126.55,50.0,0.06
2010-09-15,125.25,128.9,125.2,128.9,127.5,2040.0,2.6
2010-09-16,128.25,131.7,124.25,125.5,125.5,770.0,0.99
2010-09-17,123.75,126.0,123.45,123.55,123.55,206.0,0.25
2010-09-20,124.0,128.85,122.0,123.7,123.8,1301.0,1.61
2010-09-21,122.0,126.8,121.55,126.8,124.3,405.0,0.5
2010-09-22,121.6,122.0,121.6,121.85,121.85,120.0,0.15
2010-09-23,127.5,128.9,125.0,125.5,125.4,880.0,1.12
2010-09-24,121.55,146.95,121.55,131.5,133.55,6818.0,9.16
2010-09-27,148.8,148.8,134.0,137.75,136.6,1838.0,2.52
2010-09-28,138.0,143.8,135.0,136.9,136.05,2382.0,3.3
2010-09-29,135.0,138.0,131.0,133.25,137.15,595.0,0.8
2010-09-30,132.0,139.75,129.0,132.7,131.1,2274.0,3.04
2010-10-01,138.9,140.0,135.0,136.8,135.7,1936.0,2.64
2010-10-04,125.25,137.95,125.25,135.5,135.5,1535.0,2.06
2010-10-05,139.85,139.85,131.7,135.3,132.75,827.0,1.1
2010-10-06,136.9,136.9,130.2,130.5,130.6,283.0,0.37
2010-10-07,132.0,135.0,132.0,132.1,132.85,1754.0,2.33
2010-10-08,134.0,134.0,131.05,131.5,132.65,1220.0,1.61
2010-10-11,131.5,135.0,131.0,133.5,134.25,825.0,1.1
2010-10-12,141.1,147.9,138.15,143.25,140.95,4516.0,6.5
2010-10-13,140.0,142.5,137.55,137.55,137.55,920.0,1.27
2010-10-14,140.0,140.95,127.5,136.1,136.55,415.0,0.57
2010-10-15,136.55,138.15,136.55,138.1,138.1,204.0,0.28
2010-10-18,135.0,141.5,133.0,140.0,140.0,1720.0,2.36
2010-10-19,140.05,145.0,136.3,136.3,139.65,3133.0,4.42
2010-10-20,140.0,140.0,137.45,137.45,137.45,1175.0,1.64
2010-10-21,140.0,143.85,140.0,143.85,141.15,1015.0,1.43
2010-10-22,142.05,142.6,138.25,140.2,140.6,650.0,0.92
2010-10-25,139.1,147.0,139.1,146.0,145.0,2932.0,4.24
2010-10-26,146.0,148.75,145.0,146.1,145.35,1265.0,1.86
2010-10-27,146.1,147.0,142.6,146.0,145.9,710.0,1.04
2010-10-28,147.0,149.9,145.0,145.0,145.05,2668.0,3.89
2010-10-29,145.0,145.05,140.1,140.6,144.45,2760.0,3.99
2010-11-01,171.0,171.0,149.0,149.55,150.3,6589.0,10.01
2010-11-02,159.0,159.0,145.0,148.5,147.35,1044.0,1.56
2010-11-03,150.0,150.0,145.5,145.5,146.0,555.0,0.81
2010-11-04,147.4,147.4,142.6,142.6,142.6,53.0,0.08
