Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-10-18,2.7,2.7,2.7,2.7,2.7,6000.0,0.16
2005-10-19,2.7,2.7,2.6,2.6,2.6,5900.0,0.15
2005-10-21,2.6,2.6,2.6,2.6,2.6,2000.0,0.05
2005-10-24,2.5,2.5,2.5,2.5,2.5,1000.0,0.02
2005-10-25,2.4,2.4,2.4,2.4,2.4,8450.0,0.2
2005-10-26,2.4,2.4,2.3,2.3,2.3,5000.0,0.12
2005-10-27,2.25,2.25,2.25,2.25,2.25,250.0,0.01
2005-10-28,2.15,2.25,2.15,2.15,2.15,17202.0,0.37
2005-10-31,2.05,2.1,2.05,2.1,2.05,25720.0,0.53
2005-11-01,2.15,2.15,2.15,2.15,2.15,1000.0,0.02
2005-11-02,2.05,2.3,2.05,2.15,2.15,405.0,0.01
2005-11-08,2.15,2.3,2.05,2.3,2.3,17181.0,0.37
2005-11-09,2.2,2.25,2.2,2.25,2.25,42805.0,0.94
2005-11-10,2.25,2.4,2.15,2.15,2.15,82503.0,1.81
2005-11-11,2.1,2.1,2.05,2.1,2.1,104050.0,2.15
2005-11-14,2.1,2.1,2.05,2.05,2.05,1500.0,0.03
2005-11-16,1.95,2.0,1.95,2.0,2.0,22220.0,0.43
2005-11-17,2.0,2.0,1.9,1.9,1.9,23910.0,0.45
2005-11-18,1.85,1.9,1.85,1.85,1.85,53982.0,1.0
2005-11-21,1.8,1.85,1.8,1.85,1.85,39750.0,0.72
2005-11-22,1.9,1.9,1.9,1.9,1.9,5000.0,0.1
2005-11-23,2.0,2.0,1.9,1.9,1.95,147100.0,2.92
2005-11-24,1.9,2.0,1.85,2.0,2.0,54300.0,1.03
2005-11-25,2.05,2.05,1.95,2.0,2.0,2501.0,0.05
2005-11-26,2.0,2.05,2.0,2.0,2.0,85000.0,1.71
2005-11-28,2.0,2.05,2.0,2.0,2.0,3000.0,0.06
2005-11-29,2.1,2.1,2.1,2.1,2.1,1001.0,0.02
2005-11-30,2.1,2.2,2.0,2.0,2.0,39002.0,0.8
2005-12-01,1.95,2.1,1.95,2.1,2.1,2302.0,0.05
2005-12-02,2.1,2.25,2.1,2.25,2.25,2500.0,0.05
2005-12-05,2.25,2.4,2.25,2.25,2.25,3820.0,0.09
2005-12-06,2.4,2.4,2.4,2.4,2.4,1050.0,0.03
2005-12-07,2.35,2.35,2.35,2.35,2.35,9648.0,0.23
2005-12-08,2.5,2.5,2.25,2.25,2.25,7060.0,0.16
2005-12-09,2.2,2.4,2.2,2.25,2.25,2600.0,0.06
2005-12-12,2.2,2.3,2.2,2.3,2.3,210.0,0.0
2005-12-13,2.3,2.3,2.2,2.2,2.2,5000.0,0.11
2005-12-14,2.25,2.25,2.25,2.25,2.25,1000.0,0.02
2005-12-15,2.2,2.2,2.2,2.2,2.2,1501.0,0.03
2005-12-16,2.1,2.1,2.1,2.1,2.1,2002.0,0.04
2005-12-19,2.15,2.2,2.1,2.1,2.15,104.0,0.0
2005-12-20,2.1,2.1,2.05,2.05,2.05,501.0,0.01
2005-12-21,2.0,2.0,1.95,1.95,1.95,9770.0,0.19
2005-12-22,1.85,1.85,1.85,1.85,1.85,3000.0,0.06
2005-12-23,1.8,1.8,1.8,1.8,1.8,100.0,0.0
2005-12-26,1.75,1.75,1.75,1.75,1.75,20.0,0.0
2005-12-27,1.7,1.7,1.7,1.7,1.7,1950.0,0.03
2005-12-29,1.7,1.7,1.65,1.65,1.65,3002.0,0.05
2005-12-30,1.7,1.75,1.7,1.75,1.75,2.0,0.0
2006-01-02,1.7,1.75,1.7,1.75,1.75,2600.0,0.04
2006-01-03,1.75,1.75,1.7,1.7,1.7,555.0,0.01
2006-01-04,1.8,1.8,1.7,1.8,1.8,3100.0,0.06
2006-01-05,1.9,1.9,1.8,1.8,1.8,3120.0,0.06
2006-01-06,1.9,1.9,1.9,1.9,1.9,420.0,0.01
2006-01-09,2.0,2.0,1.9,1.9,1.9,102.0,0.0
2006-01-10,1.9,1.95,1.9,1.95,1.95,1000.0,0.02
2006-01-17,1.95,1.95,1.95,1.95,1.95,100.0,0.0
2006-01-24,1.85,1.85,1.85,1.85,1.85,5000.0,0.09
2006-01-25,1.8,1.8,1.8,1.8,1.8,5100.0,0.09
2006-01-30,1.75,1.75,1.75,1.75,1.75,2000.0,0.04
2006-02-03,1.7,1.7,1.7,1.7,1.7,5.0,0.0
2006-02-06,1.65,1.65,1.65,1.65,1.65,2000.0,0.03
2006-02-14,1.6,1.6,1.6,1.6,1.6,4495.0,0.07
2006-02-15,1.55,1.55,1.55,1.55,1.55,50.0,0.0
2006-02-16,1.5,1.5,1.5,1.5,1.5,10.0,0.0
2006-02-17,1.45,1.45,1.45,1.45,1.45,4000.0,0.06
2006-02-20,1.45,1.45,1.45,1.45,1.45,200.0,0.0
2006-02-24,1.4,1.4,1.4,1.4,1.4,1000.0,0.01
2006-03-01,1.35,1.35,1.35,1.35,1.35,500.0,0.01
2006-03-07,1.3,1.3,1.3,1.3,1.3,1.0,0.0
2006-03-08,1.25,1.25,1.25,1.25,1.25,4300.0,0.05
2006-03-10,1.2,1.2,1.2,1.2,1.2,500.0,0.01
2006-03-13,1.15,1.15,1.15,1.15,1.15,1000.0,0.01
2006-03-14,1.1,1.2,1.1,1.1,1.1,2500.0,0.03
2006-03-20,1.2,1.2,1.15,1.15,1.15,1002.0,0.01
2006-03-21,1.2,1.2,1.15,1.15,1.15,501.0,0.01
2006-03-22,1.1,1.1,1.1,1.1,1.1,200.0,0.0
2006-03-23,1.05,1.05,1.05,1.05,1.05,12080.0,0.13
2006-03-24,1.05,1.05,1.05,1.05,1.05,1000.0,0.01
2006-03-27,1.05,1.05,1.0,1.0,1.0,75.0,0.0
2006-03-30,0.95,0.95,0.95,0.95,0.95,2250.0,0.02
2006-04-04,0.9,0.9,0.9,0.9,0.9,500.0,0.0
2006-04-05,0.9,0.95,0.9,0.95,0.95,4050.0,0.04
2006-04-10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2006-04-12,1.05,1.05,1.05,1.05,1.05,1.0,0.0
2006-04-20,1.0,1.05,1.0,1.05,1.05,4000.0,0.04
2006-04-21,1.1,1.1,1.1,1.1,1.1,1500.0,0.02
2006-04-24,1.2,1.2,1.2,1.2,1.2,50.0,0.0
2006-04-25,1.15,1.3,1.15,1.3,1.3,510.0,0.01
2006-04-26,1.4,1.4,1.4,1.4,1.4,3700.0,0.05
2006-04-27,1.5,1.5,1.5,1.5,1.5,11.0,0.0
2006-04-28,1.6,1.6,1.45,1.6,1.6,4634.0,0.07
2006-05-02,1.7,1.7,1.7,1.7,1.7,1000.0,0.02
2006-05-03,1.8,1.8,1.8,1.8,1.8,2001.0,0.04
2006-05-04,1.9,1.9,1.9,1.9,1.9,2500.0,0.05
2006-05-05,2.0,2.0,1.95,2.0,2.0,17600.0,0.35
2006-05-08,2.1,2.1,2.0,2.1,2.1,48200.0,1.0
2006-05-09,2.2,2.25,2.2,2.25,2.25,12311.0,0.27
2006-05-10,2.4,2.4,2.35,2.4,2.4,19105.0,0.46
2006-05-11,2.55,2.55,2.3,2.3,2.3,10275.0,0.26
2006-05-12,2.2,2.25,2.2,2.25,2.25,19751.0,0.44
2006-05-15,2.4,2.4,2.2,2.2,2.2,4400.0,0.1
2006-05-17,2.3,2.35,2.15,2.35,2.35,4363.0,0.1
2006-05-18,2.3,2.35,2.25,2.25,2.25,4450.0,0.1
2006-05-19,2.3,2.35,2.15,2.2,2.2,9950.0,0.23
2006-05-22,2.1,2.1,2.1,2.1,2.1,500.0,0.01
2006-05-23,2.05,2.2,2.05,2.2,2.2,1000.0,0.02
2006-05-25,2.3,2.3,2.3,2.3,2.3,200.0,0.0
2006-06-15,1.4,1.4,1.4,1.4,1.4,1.0,0.0
2006-06-19,1.35,1.35,1.35,1.35,1.35,1.0,0.0
2006-06-20,1.3,1.3,1.3,1.3,1.3,6100.0,0.08
2006-06-21,1.25,1.4,1.25,1.25,1.25,20155.0,0.25
2006-06-22,1.3,1.35,1.3,1.35,1.35,239.0,0.0
2006-06-23,1.45,1.45,1.45,1.45,1.45,500.0,0.01
2006-06-28,1.5,1.5,1.4,1.4,1.4,202.0,0.0
2006-06-29,1.35,1.35,1.35,1.35,1.35,21.0,0.0
2006-06-30,1.35,1.35,1.3,1.3,1.3,3900.0,0.05
2006-07-03,1.3,1.3,1.25,1.25,1.25,25399.0,0.32
2006-07-05,1.35,1.35,1.35,1.35,1.35,701.0,0.01
2006-07-06,1.45,1.45,1.45,1.45,1.45,650.0,0.01
2006-07-10,1.45,1.45,1.4,1.4,1.4,14300.0,0.2
2006-07-12,1.45,1.45,1.45,1.45,1.45,7780.0,0.11
2006-07-13,1.4,1.5,1.4,1.5,1.5,60502.0,0.85
2006-07-18,1.5,1.5,1.5,1.5,1.5,15000.0,0.22
2006-07-19,1.45,1.45,1.45,1.45,1.45,20501.0,0.3
2006-07-20,1.4,1.45,1.4,1.45,1.45,35500.0,0.5
2006-07-21,1.4,1.4,1.4,1.4,1.4,3100.0,0.04
2006-07-24,1.35,1.35,1.35,1.35,1.35,402.0,0.01
2006-07-25,1.3,1.3,1.3,1.3,1.3,70001.0,0.91
2006-07-26,1.35,1.35,1.3,1.3,1.3,11345.0,0.15
