Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-08-28,18.35,18.8,17.5,18.0,18.0,2010.0,0.36
2012-09-20,18.0,18.0,18.0,18.0,18.0,30.0,0.01
2012-10-01,18.0,18.0,18.0,18.0,18.0,500.0,0.09
2013-02-26,17.1,17.1,17.1,17.1,17.1,400.0,0.07
2013-02-27,16.25,16.25,16.25,16.25,16.25,152.0,0.02
2014-04-25,17.05,17.05,17.05,17.05,17.05,100.0,0.02
2014-05-02,17.9,17.9,17.9,17.9,17.9,5.0,0.0
2014-05-06,18.75,18.75,18.75,18.75,18.75,5.0,0.0
2014-05-07,19.65,19.65,19.65,19.65,19.65,15.0,0.0
2014-05-08,18.7,18.7,18.7,18.7,18.7,5.0,0.0
2014-05-21,17.8,17.8,17.8,17.8,17.8,100.0,0.02
2014-05-26,18.65,18.65,18.65,18.65,18.65,1.0,0.0
2014-05-28,19.55,19.55,19.55,19.55,19.55,1.0,0.0
2014-05-29,20.5,20.5,18.6,20.45,20.45,204.0,0.04
2014-05-30,21.45,21.45,21.45,21.45,21.45,1.0,0.0
2014-06-02,22.1,22.1,22.1,22.1,22.1,1.0,0.0
2014-06-12,22.1,22.1,21.0,21.0,21.0,552.0,0.12
2014-06-25,19.95,19.95,19.95,19.95,19.95,1.0,0.0
2014-06-26,19.0,19.0,19.0,19.0,19.0,15.0,0.0
2014-07-08,18.05,18.05,18.05,18.05,18.05,80.0,0.01
2014-07-18,17.15,17.15,17.15,17.15,17.15,100.0,0.02
2014-07-21,16.3,16.3,16.3,16.3,16.3,301.0,0.05
2014-07-22,15.5,15.5,15.5,15.5,15.5,100.0,0.02
2014-07-23,14.75,14.75,14.75,14.75,14.75,5400.0,0.8
2014-07-24,14.05,14.05,14.05,14.05,14.05,601.0,0.08
2014-07-28,14.5,14.5,13.35,13.35,13.35,316.0,0.05
2014-07-30,13.95,13.95,12.7,13.5,13.75,1821.0,0.25
2014-07-31,13.15,14.4,13.15,14.4,14.4,2021.0,0.29
2014-08-01,15.1,15.1,15.1,15.1,15.1,40.0,0.01
2014-08-04,15.1,16.6,15.1,16.0,16.05,1130.0,0.18
2014-08-05,17.6,17.65,14.75,17.65,17.65,2860.0,0.5
2014-08-06,19.4,19.4,18.95,19.0,19.0,2710.0,0.51
2014-08-07,19.95,19.95,18.1,18.2,18.2,511.0,0.1
2014-08-08,17.3,17.3,17.3,17.3,17.3,550.0,0.1
2014-08-11,16.45,16.45,16.45,16.45,16.45,261.0,0.04
2014-08-12,15.65,15.65,15.65,15.65,15.65,252.0,0.04
2014-08-13,16.0,16.0,16.0,16.0,16.0,502.0,0.08
2014-08-14,16.45,16.45,16.45,16.45,16.45,13.0,0.0
2014-08-18,17.15,17.15,17.1,17.1,17.1,12.0,0.0
2014-08-19,17.1,17.9,17.1,17.9,17.9,12.0,0.0
2014-08-21,18.7,18.7,17.05,17.05,17.05,626.0,0.11
2014-08-22,17.9,17.9,17.9,17.9,17.9,2787.0,0.5
2014-08-26,17.05,17.05,17.05,17.05,17.05,250.0,0.04
2014-09-01,17.05,17.9,17.05,17.9,17.9,1320.0,0.24
2014-09-04,18.7,18.7,17.05,17.05,17.05,420.0,0.08
2014-09-05,16.2,16.2,16.2,16.2,16.2,500.0,0.08
2014-09-08,16.2,16.2,16.2,16.2,16.2,1.0,0.0
2014-09-09,16.2,16.2,16.2,16.2,16.2,100.0,0.02
2014-09-10,17.0,17.0,17.0,17.0,17.0,3.0,0.0
2014-09-11,17.85,17.85,17.85,17.85,17.85,100.0,0.02
2014-09-30,18.7,18.7,18.7,18.7,18.7,301.0,0.06
2014-10-01,19.6,19.6,19.6,19.6,19.6,1.0,0.0
2014-10-07,18.65,18.65,18.65,18.65,18.65,1.0,0.0
2014-10-08,17.75,17.75,17.75,17.75,17.75,15.0,0.0
2014-10-13,16.9,16.9,16.9,16.9,16.9,100.0,0.02
2014-10-14,16.1,16.1,16.1,16.1,16.1,999.0,0.16
2014-10-16,15.3,15.3,15.3,15.3,15.3,1.0,0.0
2014-10-17,14.55,14.55,14.55,14.55,14.55,99.0,0.01
2014-10-20,13.85,13.85,13.85,13.85,13.85,215.0,0.03
2014-10-27,13.2,13.2,13.2,13.2,13.2,400.0,0.05
2014-11-03,12.65,12.65,12.65,12.65,12.65,8.0,0.0
2014-11-05,12.05,12.05,12.05,12.05,12.05,2.0,0.0
2014-11-07,12.65,12.65,12.65,12.65,12.65,300.0,0.04
2014-12-08,13.25,13.25,13.25,13.25,13.25,250.0,0.03
2014-12-09,13.25,13.25,13.25,13.25,13.25,100.0,0.01
