Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,40.8,40.8,40.8,,,,
1998-03-24,41.3,41.3,40.75,40.75,40.75,2600.0,1.07
1998-03-25,40.05,41.0,40.0,40.0,40.0,1700.0,0.69
1998-03-26,40.55,41.3,40.55,41.3,41.3,400.0,0.16
1998-03-27,41.0,41.0,41.0,41.0,41.0,200.0,0.08
1998-03-30,40.1,40.15,40.05,40.05,40.05,300.0,0.12
1998-03-31,41.0,41.0,40.1,40.1,40.15,700.0,0.28
1998-04-01,43.95,43.95,42.5,42.5,42.5,200.0,0.09
1998-04-02,42.3,42.3,41.0,41.0,41.0,1000.0,0.42
1998-04-03,40.75,41.0,40.75,41.0,40.9,700.0,0.29
1998-04-06,41.5,41.5,40.55,40.55,40.55,200.0,0.08
1998-04-07,42.0,42.75,41.6,41.6,41.6,1400.0,0.59
1998-04-09,41.0,45.0,41.0,45.0,45.0,3800.0,1.69
1998-04-10,44.5,49.5,44.5,49.5,49.1,5400.0,2.61
1998-04-13,47.0,49.5,47.0,48.1,48.1,1300.0,0.63
1998-04-15,52.9,52.9,52.5,52.9,52.9,1300.0,0.69
1998-04-16,50.0,51.5,49.1,49.1,49.65,2900.0,1.46
1998-04-17,48.75,50.5,48.75,50.5,49.75,600.0,0.3
1998-04-20,49.1,49.1,47.5,47.5,47.5,2500.0,1.2
1998-04-21,46.5,48.5,46.5,48.0,47.6,1900.0,0.9
1998-04-22,47.0,49.5,47.0,47.0,47.0,3200.0,1.53
1998-04-23,46.1,46.1,45.1,45.25,45.25,700.0,0.32
1998-04-24,44.25,47.5,44.25,45.1,45.1,1700.0,0.78
1998-04-27,45.5,48.65,45.25,48.0,47.65,3400.0,1.6
1998-04-28,45.0,47.45,43.55,46.0,46.0,2300.0,1.05
1998-04-29,46.55,49.75,46.15,46.15,46.8,3300.0,1.57
1998-04-30,45.25,45.25,44.25,44.25,44.25,400.0,0.18
1998-05-04,45.55,45.55,44.0,44.0,44.0,1200.0,0.53
1998-05-05,46.0,48.15,45.0,48.0,48.0,2300.0,1.09
1998-05-06,46.1,48.95,46.0,48.95,47.95,2200.0,1.05
1998-05-08,47.0,47.5,46.15,46.15,46.15,700.0,0.33
1998-05-11,47.5,49.9,45.5,49.9,47.35,20700.0,9.79
