Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-01-24,870.0,898.0,836.0,895.0,875.9,8387.0,72.47
2007-01-25,880.0,930.0,745.5,845.0,858.45,8165.0,71.05
2007-01-29,920.0,920.0,860.0,876.6,881.6,3720.0,32.79
2007-01-31,900.0,905.0,875.0,887.0,891.35,3969.0,35.31
2007-02-01,840.0,840.0,785.0,797.0,801.1,7690.0,61.98
2007-02-02,800.0,834.9,760.0,790.0,787.95,3403.0,26.47
2007-02-05,794.0,795.0,740.0,758.0,753.1,3334.0,25.53
2007-02-06,800.0,800.0,757.0,757.0,758.0,3039.0,23.2
2007-02-07,768.0,778.9,758.0,766.0,761.4,2693.0,20.61
2007-02-08,750.0,772.85,747.5,755.0,753.35,697.0,5.27
2007-02-09,755.0,769.5,743.0,743.0,745.7,1484.0,11.13
2007-02-12,715.0,746.0,655.5,710.0,709.55,745.0,5.3
2007-02-13,690.0,703.0,680.0,698.0,692.7,1369.0,9.56
2007-02-14,745.5,745.5,660.05,710.0,708.85,736.0,5.1
2007-02-15,799.0,799.0,705.05,725.5,725.5,334.0,2.43
2007-02-19,754.0,754.0,720.0,720.0,728.1,306.0,2.24
2007-02-20,749.0,749.0,720.0,720.0,720.0,359.0,2.6
2007-02-21,730.0,740.0,724.0,730.0,731.1,2416.0,17.66
2007-02-22,730.0,740.0,700.0,700.0,704.4,2620.0,19.28
2007-02-23,745.0,745.0,656.0,706.05,713.2,898.0,6.31
2007-02-26,706.1,736.95,700.0,730.0,719.8,779.0,5.64
2007-02-27,730.0,759.8,730.0,735.0,737.8,3183.0,23.9
2007-02-28,595.0,749.95,595.0,748.0,732.65,864.0,6.17
2007-03-01,749.0,749.0,710.25,725.0,725.0,1480.0,10.64
2007-03-02,777.0,777.0,700.0,700.0,708.95,2032.0,14.52
2007-03-05,690.0,764.9,680.1,690.0,690.05,916.0,6.37
2007-03-06,680.15,694.9,650.0,689.0,688.35,522.0,3.54
2007-03-07,690.0,697.0,651.0,660.0,660.85,491.0,3.34
2007-03-08,680.0,680.0,663.0,680.0,679.95,92.0,0.62
2007-03-09,679.9,680.0,660.1,665.0,665.0,157.0,1.07
2007-03-12,620.0,695.0,616.0,657.0,661.6,526.0,3.43
2007-03-13,680.0,680.0,680.0,680.0,680.0,30.0,0.2
2007-03-14,680.0,680.0,645.0,650.0,654.5,765.0,5.01
2007-03-15,679.95,680.0,652.0,652.5,655.65,131.0,0.87
2007-03-16,601.0,680.0,601.0,666.0,660.05,4682.0,30.0
2007-03-19,621.0,675.0,621.0,648.0,647.95,7779.0,50.37
2007-03-20,650.05,650.05,635.0,635.0,638.75,263.0,1.7
2007-03-21,630.0,650.0,627.0,650.0,650.0,1070.0,6.91
2007-03-22,655.0,660.0,650.0,655.0,655.0,241.0,1.58
2007-03-23,678.0,678.0,636.5,643.05,646.85,1453.0,9.51
2007-03-26,650.0,651.1,632.05,632.05,640.3,278.0,1.79
2007-03-28,633.0,650.0,605.0,630.0,639.75,3863.0,24.47
2007-03-29,625.0,657.1,625.0,645.0,645.15,4424.0,28.49
2007-03-30,645.0,660.0,645.0,660.0,654.15,2722.0,17.72
2007-04-02,629.0,655.0,629.0,631.0,631.0,186.0,1.18
2007-04-03,635.0,635.0,625.0,635.0,634.9,148.0,0.94
2007-04-04,649.5,649.5,630.15,630.2,630.2,62.0,0.39
2007-04-05,650.0,655.0,641.55,641.55,641.55,235.0,1.53
2007-04-09,650.0,670.0,650.0,666.0,658.75,3919.0,26.03
2007-04-10,659.8,660.0,632.0,636.2,642.65,2609.0,16.82
2007-04-11,650.0,706.0,644.0,681.0,698.3,5859.0,39.29
2007-04-12,700.0,725.0,685.0,696.15,704.15,3329.0,23.4
2007-04-13,715.0,720.0,685.0,700.0,695.6,360.0,2.52
2007-04-16,645.35,738.6,641.5,715.0,712.2,696.0,4.94
2007-04-17,715.0,720.0,680.15,718.9,713.7,283.0,2.0
