Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-09-09,460.0,624.0,448.65,463.55,464.6,17000416.0,81586.64
2005-09-12,469.0,469.0,421.65,446.0,439.5,6299905.0,27508.25
2005-09-13,441.25,473.7,425.0,470.0,465.25,7495786.0,34103.37
2005-09-14,463.0,472.05,447.0,447.05,452.6,2717404.0,12468.5
2005-09-15,449.4,461.7,445.05,452.5,451.95,1490425.0,6760.19
2005-09-16,453.0,457.7,448.5,449.25,450.5,480013.0,2174.82
2005-09-19,451.0,455.5,436.25,439.0,440.5,434186.0,1940.02
2005-09-20,441.0,458.9,433.2,447.0,448.2,923856.0,4145.79
2005-09-21,446.0,448.95,425.0,445.0,441.5,433106.0,1899.37
2005-09-22,445.25,445.25,398.3,401.0,403.5,297057.0,1255.02
2005-09-23,403.5,420.0,381.6,403.0,402.05,209874.0,847.48
2005-09-26,409.9,435.0,405.5,422.75,423.15,265436.0,1124.78
2005-09-27,425.0,434.0,409.1,410.7,412.0,207003.0,866.25
2005-09-28,423.0,423.0,408.0,408.5,409.3,164833.0,680.65
2005-09-29,411.0,415.7,395.1,400.1,398.8,185578.0,749.62
2005-09-30,401.0,411.05,377.0,404.0,405.9,612267.0,2408.42
2005-10-03,408.9,408.9,395.0,402.3,399.6,219044.0,878.25
2005-10-04,400.5,418.0,400.0,413.0,412.6,219078.0,900.42
2005-10-05,414.0,426.9,401.1,424.0,422.1,223746.0,935.91
2005-10-06,419.9,419.9,405.0,406.0,407.75,106233.0,437.88
2005-10-07,412.0,416.5,395.05,395.05,398.15,105341.0,427.19
2005-10-10,400.0,407.85,400.0,400.0,400.85,61881.0,249.48
2005-10-11,405.0,405.0,386.0,387.0,388.9,63308.0,249.06
2005-10-13,391.0,395.0,380.1,385.6,383.4,51164.0,199.25
2005-10-14,385.0,389.9,370.0,370.0,371.9,54598.0,206.87
2005-10-17,379.0,379.0,368.0,369.2,370.85,43693.0,162.06
2005-10-18,368.0,384.5,365.3,367.95,369.3,46235.0,173.67
2005-10-19,360.5,369.7,346.55,346.55,351.35,50042.0,178.93
2005-10-20,356.0,362.85,335.0,343.0,343.6,49387.0,172.67
2005-10-21,346.0,346.0,316.0,329.0,330.35,102656.0,333.59
2005-10-24,336.0,338.9,320.0,320.3,325.6,37242.0,123.25
2005-10-25,325.25,352.8,322.0,350.0,349.1,133974.0,461.63
2005-10-26,349.0,349.0,337.0,345.0,345.65,36136.0,124.58
2005-10-27,340.1,351.0,328.0,331.0,331.75,34769.0,117.98
