Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2009-05-28,1539.99,1539.99,1415.3,1466.99,1462.73,3270.0,47.2
2009-05-29,1466.99,1489.0,1425.12,1474.0,1474.81,1900.0,28.0
2009-06-01,1475.0,1547.0,1454.0,1470.0,1471.48,3929.0,58.1
2009-06-02,1471.0,1492.95,1460.01,1487.99,1480.37,892.0,13.19
2009-06-03,1481.0,1503.5,1481.0,1503.48,1502.1,648.0,9.68
2009-06-04,1499.7,1500.0,1485.0,1494.0,1493.7,392.0,5.85
2009-06-05,1493.7,1500.0,1490.15,1500.0,1499.4,593.0,8.88
2009-06-08,1498.75,1498.75,1450.0,1480.0,1484.11,647.0,9.56
2009-06-09,1460.0,1498.0,1460.0,1476.01,1476.64,853.0,12.63
2009-06-10,1497.0,1497.0,1475.0,1481.05,1486.22,557.0,8.26
2009-06-11,1480.0,1493.0,1475.05,1480.0,1479.99,690.0,10.2
2009-06-12,1694.0,1694.0,1475.0,1481.0,1481.09,427.0,6.34
2009-06-15,1481.0,1490.0,1464.0,1472.0,1467.88,584.0,8.6
2009-06-16,1478.0,1478.0,1464.0,1473.95,1471.28,313.0,4.6
2009-06-17,1401.0,1477.95,1401.0,1476.99,1460.38,499.0,7.34
2009-06-18,1460.0,1488.95,1460.0,1470.0,1471.8,442.0,6.5
2009-06-19,1480.0,1487.85,1450.0,1467.01,1470.94,362.0,5.32
2009-06-22,1470.0,1496.0,1467.24,1471.0,1472.47,250.0,3.7
2009-06-23,1465.0,1475.0,1355.0,1462.0,1462.0,537.0,7.78
2009-06-24,1480.0,1480.0,1455.0,1466.0,1472.08,277.0,4.07
2009-06-25,1495.0,1497.99,1461.0,1478.0,1484.51,463.0,6.86
2009-06-26,1490.0,1500.0,1481.2,1488.5,1488.44,787.0,11.72
2009-06-29,1480.0,1493.5,1470.5,1483.0,1478.05,269.0,3.99
2009-06-30,1489.99,1489.99,1470.0,1484.0,1478.82,392.0,5.8
2009-07-01,1485.1,1485.1,1461.21,1474.0,1473.24,1064.0,15.71
2009-07-02,1486.5,1486.5,1470.4,1473.0,1478.67,115.0,1.7
2009-07-03,1482.0,1482.0,1452.0,1465.0,1470.63,446.0,6.53
2009-07-06,1484.9,1484.9,1460.0,1478.0,1471.77,780.0,11.48
2009-07-07,1483.5,1650.0,1475.27,1476.0,1481.31,1104.0,16.54
2009-07-08,1500.0,1505.0,1462.0,1467.0,1468.17,1581.0,23.44
2009-07-09,1470.15,1479.98,1455.0,1462.0,1468.45,656.0,9.63
2009-07-10,1470.0,1473.99,1432.0,1458.0,1459.19,549.0,7.99
2009-07-13,1497.99,1497.99,1455.25,1494.0,1491.85,394.0,5.82
2009-07-14,1493.84,1493.84,1465.02,1471.0,1472.71,1114.0,16.44
2009-07-15,1484.0,1492.34,1476.0,1480.15,1480.7,1847.0,27.38
2009-07-16,1480.7,1500.0,1478.24,1500.0,1493.01,1129.0,16.85
2009-07-17,1498.84,1500.0,1480.0,1487.0,1490.39,1186.0,17.7
2009-07-20,1500.0,1507.54,1490.0,1497.35,1502.36,3904.0,58.52
2009-07-21,1500.0,1507.5,1465.55,1502.05,1494.97,2856.0,42.83
2009-07-22,1515.0,1515.0,1487.0,1504.0,1503.79,2627.0,39.48
2009-07-23,1496.24,1518.98,1496.24,1501.0,1504.77,5611.0,84.69
2009-07-24,1501.0,1514.99,1491.0,1501.0,1503.17,927.0,13.93
2009-07-27,1504.0,1519.0,1504.0,1516.0,1513.53,988.0,14.93
2009-07-28,1480.0,1574.0,1480.0,1507.0,1510.0,493.0,7.47
2009-07-29,1516.0,1516.0,1490.0,1500.0,1503.94,505.0,7.57
2009-07-30,1490.05,1500.0,1476.0,1485.0,1485.08,1342.0,19.89
2009-07-31,1517.54,1517.54,1485.08,1498.99,1495.75,958.0,14.38
2009-08-03,1500.0,1518.0,1490.0,1499.0,1495.65,961.0,14.46
2009-08-04,1514.0,1519.8,1490.1,1500.0,1499.28,918.0,13.82
2009-08-05,1500.0,1508.0,1492.0,1504.9,1503.07,4684.0,70.27
2009-08-06,1505.0,1509.15,1499.95,1500.0,1500.98,839.0,12.61
2009-08-07,1513.99,1513.99,1500.02,1505.0,1507.75,613.0,9.23
2009-08-10,1505.0,1509.75,1500.0,1503.0,1503.97,295.0,4.44
2009-08-11,1503.0,1507.0,1490.0,1503.0,1493.32,395.0,5.91
2009-08-12,1490.0,1504.88,1480.0,1493.0,1494.46,1091.0,16.27
2009-08-13,1494.05,1513.0,1491.05,1504.0,1502.05,1976.0,29.68
2009-08-14,1514.9,1515.0,1500.0,1510.0,1509.88,1109.0,16.72
2009-08-17,1512.0,1517.24,1500.0,1502.0,1508.51,495.0,7.46
2009-08-18,1510.0,1515.0,1490.05,1515.0,1512.0,495.0,7.44
2009-08-19,1515.0,1515.0,1498.1,1503.6,1504.34,418.0,6.29
2009-08-20,1500.0,1510.0,1500.0,1505.11,1505.61,351.0,5.29
2009-08-21,1476.0,1509.75,1476.0,1507.0,1503.09,412.0,6.18
2009-08-24,1509.0,1524.8,1502.85,1514.0,1514.37,503.0,7.6
2009-08-25,1496.05,1514.37,1496.05,1514.37,1511.29,2606.0,39.27
2009-08-26,1500.0,1517.0,1500.0,1517.0,1515.14,1769.0,26.77
2009-08-27,1510.25,1516.95,1510.0,1516.0,1514.39,2183.0,33.02
2009-08-28,1516.0,1525.0,1505.0,1517.25,1518.73,1817.0,27.62
2009-08-31,1521.0,1534.0,1510.0,1524.0,1522.38,1944.0,29.61
2009-09-01,1525.0,1539.75,1507.54,1539.75,1533.27,1127.0,17.18
2009-09-02,1532.0,1538.74,1526.05,1526.5,1530.49,1669.0,25.58
2009-09-03,1550.0,1590.0,1542.24,1590.0,1582.2,2457.0,38.4
2009-09-04,1590.0,1600.0,1562.24,1587.0,1590.68,692.0,10.97
2009-09-07,1587.0,1602.0,1575.0,1577.0,1580.0,2807.0,44.5
2009-09-08,1595.0,1600.0,1583.31,1599.98,1591.6,7594.0,120.99
2009-09-09,1597.24,1597.24,1580.99,1581.15,1584.07,7715.0,122.34
2009-09-10,1599.8,1599.8,1570.0,1571.0,1579.72,1645.0,25.99
2009-09-11,1597.24,1599.0,1580.13,1581.02,1582.71,2419.0,38.33
2009-09-14,1600.0,1614.0,1588.0,1597.0,1592.31,2642.0,42.16
2009-09-15,1614.0,1614.8,1584.9,1585.0,1586.46,2547.0,40.47
2009-09-16,1600.0,1620.0,1590.0,1606.0,1607.77,5374.0,86.07
2009-09-17,1610.0,1620.0,1605.0,1620.0,1612.18,2354.0,37.93
2009-09-18,1614.0,1617.24,1581.1,1590.55,1598.22,3353.0,53.57
2009-09-22,1605.0,1607.95,1586.0,1600.0,1594.0,172260.0,2745.85
2009-09-23,1599.99,1608.0,1592.0,1599.0,1599.98,914.0,14.64
2009-09-24,1600.0,1606.8,1590.0,1599.99,1599.1,1169.0,18.67
2009-09-25,1593.9,1593.9,1569.0,1570.0,1573.41,1885.0,29.72
2009-09-29,1550.0,1575.0,1550.0,1563.0,1565.53,957.0,15.01
2009-09-30,1563.0,1594.95,1563.0,1594.95,1579.79,898.0,14.11
2009-10-01,1592.84,1592.84,1571.36,1582.0,1576.28,867.0,13.72
2009-10-05,1565.3,1584.0,1557.0,1571.5,1562.51,1505.0,23.62
2009-10-06,1580.0,1583.9,1565.0,1572.1,1575.71,898.0,14.16
2009-10-07,1578.0,1605.0,1576.0,1595.5,1601.65,881.0,14.07
2009-10-08,1595.0,1610.0,1585.05,1605.0,1602.34,1149.0,18.38
2009-10-09,1599.89,1599.89,1588.0,1591.0,1591.71,2155.0,34.31
2009-10-12,1604.84,1604.84,1591.1,1597.5,1600.0,2273.0,36.37
2009-10-14,1602.1,1615.0,1600.0,1600.0,1607.44,2357.0,37.94
2009-10-15,1608.24,1609.74,1590.5,1593.05,1596.08,2946.0,47.07
2009-10-16,1598.0,1598.0,1581.0,1592.0,1586.65,2787.0,44.34
2009-10-17,1620.0,1620.0,1592.5,1600.0,1601.4,1267.0,20.34
2009-10-20,1615.99,1615.99,1596.1,1609.95,1608.37,1114.0,17.88
2009-10-21,1609.0,1609.0,1594.0,1604.99,1603.26,1438.0,22.99
2009-10-22,1601.01,1612.0,1601.01,1610.99,1609.65,1743.0,28.02
2009-10-23,1615.0,1615.0,1603.2,1611.0,1610.79,2058.0,33.12
2009-10-26,1615.0,1615.0,1590.0,1603.0,1602.98,993.0,15.9
2009-10-27,1600.0,1601.73,1590.27,1598.0,1599.77,1410.0,22.53
2009-10-28,1591.05,1605.97,1591.05,1595.66,1598.74,876.0,13.98
2009-10-29,1607.24,1607.24,1580.0,1580.0,1596.14,873.0,13.95
2009-10-30,1601.0,1605.0,1596.02,1597.0,1599.23,876.0,14.02
2009-11-03,1610.0,1630.0,1606.1,1630.0,1627.87,2590.0,42.03
2009-11-04,1637.1,1675.0,1637.1,1650.0,1655.63,3116.0,51.66
2009-11-05,1668.8,1672.0,1653.1,1665.0,1667.17,2067.0,34.44
2009-11-06,1688.0,1974.0,1661.64,1672.0,1675.89,2443.0,41.15
2009-11-09,1690.0,1698.0,1676.65,1686.05,1688.15,1335.0,22.5
2009-11-10,1686.05,1691.0,1666.85,1677.0,1676.2,1661.0,27.82
2009-11-11,1681.0,1695.0,1681.0,1685.1,1688.78,1192.0,20.1
2009-11-12,1670.0,1710.0,1670.0,1705.0,1703.92,1323.0,22.53
2009-11-13,1701.0,1701.0,1680.0,1690.0,1688.62,2312.0,39.01
2009-11-16,1700.0,1715.0,1699.0,1701.0,1701.52,2519.0,42.97
2009-11-17,1719.84,1725.0,1710.0,1725.0,1718.66,2064.0,35.45
2009-11-18,1734.0,1739.84,1718.5,1739.75,1732.56,1625.0,28.06
2009-11-19,1740.0,1745.0,1725.0,1740.25,1736.89,2912.0,50.57
2009-11-20,1750.0,1750.0,1738.7,1740.05,1743.76,1591.0,27.77
2009-11-23,1751.05,1780.0,1751.05,1774.0,1774.98,4016.0,71.15
2009-11-24,1794.0,1794.0,1775.0,1779.0,1780.45,3078.0,54.81
2009-11-25,1789.5,1795.0,1783.2,1794.0,1787.12,7549.0,134.92
2009-11-26,1799.0,1824.54,1796.0,1800.0,1802.49,3903.0,70.51
2009-11-27,1810.0,1850.0,1760.0,1770.24,1774.24,3508.0,62.91
2009-11-30,1810.0,1819.8,1770.2,1773.5,1772.84,2004.0,35.69
2009-12-01,1791.22,1819.0,1778.51,1808.1,1809.18,1406.0,25.28
2009-12-02,1811.05,1837.0,1811.05,1836.0,1834.55,2345.0,42.83
2009-12-03,1841.05,1864.0,1832.18,1840.0,1841.08,2567.0,47.31
2009-12-04,1839.8,1848.0,1806.05,1819.95,1818.0,3593.0,65.4
2009-12-07,1709.8,1801.0,1709.8,1745.99,1742.0,5753.0,100.88
2009-12-08,1784.0,1784.0,1756.0,1770.0,1771.11,3230.0,57.14
2009-12-09,1760.0,1760.0,1727.0,1732.0,1728.99,5169.0,89.58
2009-12-10,1729.0,1733.9,1710.65,1716.8,1717.58,3778.0,65.1
2009-12-11,1728.0,1731.49,1700.0,1711.0,1715.63,2607.0,44.89
2009-12-14,1708.8,1719.5,1702.0,1710.0,1713.47,1910.0,32.72
2009-12-15,1720.0,1727.55,1700.0,1706.85,1707.99,2644.0,45.23
2009-12-16,1715.0,1726.49,1711.15,1724.99,1722.83,735.0,12.63
2009-12-17,1725.5,1733.98,1715.1,1723.0,1722.97,1385.0,23.86
2009-12-18,1719.8,1719.8,1680.0,1691.0,1691.45,3113.0,52.7
2009-12-21,1700.0,1714.0,1695.0,1695.0,1700.52,697.0,11.87
2009-12-22,1690.0,1750.0,1673.0,1682.0,1697.62,3130.0,52.61
2009-12-23,1684.0,1684.0,1659.0,1659.0,1661.82,4712.0,78.45
2009-12-24,1683.2,1737.0,1671.0,1690.0,1691.98,3343.0,56.23
2009-12-29,1690.0,1710.0,1684.0,1710.0,1692.67,5266.0,88.92
2009-12-30,1689.0,1689.0,1666.0,1677.0,1673.31,5628.0,94.14
2009-12-31,1680.0,1685.0,1671.0,1676.0,1679.45,3696.0,62.02
2010-01-04,1689.0,1691.3,1665.1,1685.5,1687.15,3515.0,58.95
2010-01-05,1695.0,1704.99,1695.0,1701.4,1699.91,4206.0,71.45
2010-01-06,1701.4,1704.0,1689.0,1692.0,1692.26,1685.0,28.53
2010-01-07,1695.0,1699.9,1687.0,1690.0,1694.99,2284.0,38.7
2010-01-08,1694.0,1694.0,1677.1,1680.01,1682.15,2576.0,43.32
2010-01-11,1701.0,1718.0,1701.0,1718.0,1713.82,2220.0,37.93
2010-01-12,1712.0,1715.0,1701.15,1708.01,1709.19,941.0,16.08
2010-01-13,1698.9,1698.9,1680.0,1685.0,1685.35,4137.0,69.71
2010-01-14,1680.0,1708.8,1680.0,1690.0,1687.88,952.0,16.11
2010-01-15,1691.0,1699.89,1682.0,1686.1,1688.72,877.0,14.84
2010-01-18,1693.54,1703.0,1686.0,1691.0,1693.38,1904.0,32.22
2010-01-19,1696.0,1699.0,1690.58,1695.65,1694.24,980.0,16.6
2010-01-20,1691.0,1702.0,1685.0,1695.0,1691.36,799.0,13.54
2010-01-21,1675.0,1687.8,1662.0,1663.0,1665.18,2003.0,33.47
2010-01-22,1664.8,1673.8,1640.1,1669.99,1654.93,3915.0,64.68
2010-01-25,1669.8,1669.8,1652.24,1663.89,1659.71,2143.0,35.62
