Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2001-08-20,28.55,28.55,28.25,28.25,28.25,2.0,0.0
2001-08-21,27.95,28.0,27.95,28.0,28.0,150.0,0.04
2001-08-23,27.55,27.55,26.7,27.0,27.0,2200.0,0.6
2001-08-24,27.5,28.0,27.5,28.0,28.0,200.0,0.06
2001-08-27,28.5,29.0,27.8,27.8,27.85,300.0,0.08
2001-08-28,29.9,30.75,29.9,30.75,30.3,650.0,0.2
2001-08-29,31.95,33.35,31.0,33.0,32.8,16898.0,5.47
2001-08-30,32.5,32.5,30.5,30.5,30.5,2184.0,0.71
2001-08-31,29.15,29.15,29.1,29.1,29.1,300.0,0.09
2001-09-03,29.9,29.9,28.0,28.0,28.0,600.0,0.17
2001-09-04,28.05,29.15,27.65,28.55,28.55,6468.0,1.84
2001-09-05,27.35,27.35,27.3,27.3,27.3,250.0,0.07
2001-09-06,26.6,27.7,26.55,26.55,26.55,250.0,0.07
2001-09-07,25.0,25.0,24.25,24.25,24.25,1550.0,0.38
2001-09-10,25.45,25.9,25.45,25.9,25.9,349.0,0.09
2001-09-11,25.0,25.0,25.0,25.0,25.0,1.0,0.0
2001-09-12,24.0,25.0,22.5,22.5,22.5,221300.0,53.17
2001-09-13,24.7,24.7,22.5,22.5,22.5,402.0,0.09
2001-09-14,19.1,19.1,19.0,19.05,19.05,29771.0,5.66
2001-09-17,15.1,18.55,15.1,18.55,18.55,150.0,0.03
2001-09-18,19.2,19.2,19.15,19.15,19.15,400.0,0.08
2001-09-19,20.0,20.75,20.0,20.75,20.6,1139.0,0.23
2001-09-20,22.2,23.85,22.2,23.85,23.85,101.0,0.02
2001-09-21,25.8,26.0,25.1,25.1,25.1,1700.0,0.44
2001-09-24,26.2,27.25,26.2,27.25,27.25,1900.0,0.51
2001-09-25,26.55,27.0,26.05,26.05,26.05,601.0,0.16
2001-09-26,25.9,25.9,25.45,25.45,25.45,400.0,0.1
2001-09-27,25.6,27.0,25.6,27.0,27.0,300.0,0.08
2001-09-28,26.25,27.2,26.15,26.95,26.8,4535.0,1.2
2001-10-01,26.5,26.5,26.0,26.0,26.0,1150.0,0.3
2001-10-03,24.05,25.5,24.05,25.05,25.05,500.0,0.13
2001-10-04,24.8,24.95,24.8,24.9,24.9,2300.0,0.57
2001-10-05,24.2,25.0,24.2,24.4,24.4,350.0,0.09
2001-10-08,25.4,25.4,25.4,25.4,25.4,200.0,0.05
2001-10-09,24.8,24.8,24.8,24.8,24.8,100.0,0.02
2001-10-10,25.9,25.9,24.85,25.0,25.0,29200.0,7.56
2001-10-11,24.9,25.6,24.6,25.5,25.5,12000.0,3.06
2001-10-12,24.5,24.5,24.4,24.4,24.45,261.0,0.06
2001-10-15,24.95,24.95,24.1,24.1,24.1,350.0,0.09
2001-10-16,28.45,28.45,28.45,28.45,28.45,100.0,0.03
2001-10-17,33.0,33.0,33.0,33.0,33.0,90.0,0.03
2001-10-18,35.65,38.3,35.65,38.3,38.3,815.0,0.31
2001-10-19,41.4,44.45,41.4,44.45,44.45,123168.0,54.52
2001-10-22,48.0,51.6,41.3,50.9,51.3,204259.0,97.3
2001-10-23,52.4,59.45,52.4,59.45,59.45,42627.0,24.85
2001-10-24,64.0,69.0,64.0,67.0,68.8,43376.0,29.82
2001-10-25,73.0,80.05,63.5,78.0,77.8,279070.0,207.59
2001-10-29,82.9,89.5,71.25,89.45,87.1,178410.0,145.71
2001-10-30,86.0,97.0,84.5,95.75,95.65,121793.0,114.6
2001-10-31,98.0,99.5,81.25,87.0,85.1,135217.0,117.47
2001-11-01,85.0,90.0,84.0,85.2,84.75,84030.0,73.35
2001-11-02,85.0,90.75,79.05,81.6,83.9,136650.0,117.12
2001-11-05,79.0,88.0,77.8,82.0,79.95,51761.0,43.13
2001-11-06,83.45,85.5,83.0,83.5,83.75,49498.0,41.71
2001-11-07,83.0,97.3,82.55,93.0,92.95,96166.0,89.58
2001-11-08,95.0,98.5,90.5,95.0,94.6,36932.0,34.94
2001-11-09,91.7,94.75,88.0,89.95,90.05,20461.0,18.96
2001-11-12,93.1,96.8,92.55,93.2,93.1,32434.0,30.54
2001-11-13,94.0,94.0,88.25,89.75,89.8,7855.0,7.15
2001-11-14,89.0,90.55,87.5,88.3,88.05,9714.0,8.58
2001-11-15,89.0,89.0,84.0,84.0,85.25,24903.0,21.63
2001-11-19,90.5,94.5,85.2,89.0,89.6,73059.0,65.89
2001-11-20,87.5,87.5,84.3,84.3,84.8,26441.0,22.58
2001-11-21,87.0,87.6,83.0,83.5,83.45,45614.0,39.38
2001-11-22,82.5,84.55,82.0,83.0,83.75,34680.0,28.9
2001-11-23,84.5,96.0,83.25,90.85,89.55,64794.0,57.63
2001-11-26,95.0,96.4,91.6,92.95,93.1,130127.0,122.96
2001-11-27,94.0,94.95,88.55,89.25,91.0,16976.0,15.51
2001-11-28,90.05,91.95,86.7,88.0,87.45,15771.0,13.89
2001-11-29,86.0,87.2,83.0,84.1,84.4,28595.0,24.3
2001-12-03,88.5,88.5,85.65,86.1,86.15,13451.0,11.72
2001-12-04,86.45,86.75,84.65,85.5,85.5,5361.0,4.61
2001-12-05,83.55,83.55,80.05,81.0,81.7,33359.0,27.45
2001-12-06,81.9,84.0,77.35,77.35,78.55,29536.0,23.79
2001-12-07,79.0,82.0,76.25,76.25,77.05,9618.0,7.63
2001-12-10,81.6,81.6,79.6,80.0,80.05,9782.0,7.89
2001-12-11,80.5,83.85,78.5,78.75,78.95,5445.0,4.35
2001-12-12,79.9,80.9,77.0,77.15,77.5,16785.0,13.11
2001-12-13,79.0,79.0,71.55,74.3,75.25,82409.0,63.4
2001-12-14,75.0,80.0,73.15,79.0,78.05,4848.0,3.74
2001-12-18,80.35,82.0,77.35,79.2,79.9,8621.0,6.97
2001-12-19,79.1,81.2,75.0,75.05,75.8,11406.0,8.72
2001-12-20,73.15,76.45,71.3,71.85,71.9,3649.0,2.71
2001-12-21,71.0,73.9,68.0,70.0,70.5,9689.0,6.8
2001-12-24,69.0,81.8,68.55,81.8,81.6,37443.0,28.49
2001-12-26,85.0,85.0,78.5,80.0,80.1,12565.0,10.32
2001-12-27,84.95,84.95,75.1,75.2,75.45,98255.0,79.8
2001-12-28,73.55,84.75,73.55,82.0,82.0,23220.0,19.04
2001-12-31,85.9,86.0,81.25,82.8,82.0,102328.0,86.44
2002-01-01,83.2,90.9,80.25,82.85,83.1,170492.0,148.22
2002-01-02,84.4,87.75,81.55,83.0,82.95,109990.0,93.03
2002-01-03,85.95,85.95,82.7,83.6,84.5,194675.0,165.1
2002-01-04,85.9,93.4,85.3,91.0,90.05,399278.0,358.15
2002-01-07,94.5,99.4,90.0,95.0,94.6,410790.0,391.31
2002-01-08,97.0,99.0,94.7,98.6,97.55,355884.0,345.67
2002-01-09,98.5,117.1,98.5,116.95,116.8,907861.0,1010.16
2002-01-10,122.8,122.8,105.0,106.0,106.7,389483.0,440.4
2002-01-11,121.0,121.0,100.1,109.0,107.7,505086.0,551.27
2002-01-14,111.05,114.2,90.15,96.0,97.1,616255.0,614.05
2002-01-15,96.0,102.9,95.05,101.75,100.75,179710.0,180.16
2002-01-16,105.0,105.0,96.6,97.95,98.1,130461.0,131.16
2002-01-17,96.6,108.0,96.0,105.0,105.5,204198.0,213.18
2002-01-18,107.0,107.0,99.5,99.55,102.35,166453.0,170.63
