Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-09-26,85.0,85.0,80.65,82.5,82.05,13616.0,11.25
2006-09-27,81.6,86.0,79.05,80.0,80.0,25797.0,21.32
2006-09-28,80.0,81.8,76.05,77.4,77.0,10827.0,8.55
2006-09-29,76.0,80.85,76.0,79.65,79.55,9490.0,7.54
2006-10-03,82.9,82.9,76.55,77.7,78.05,4851.0,3.79
2006-10-04,81.0,82.2,77.25,77.3,78.15,12152.0,9.73
2006-10-05,79.85,80.7,78.2,78.75,79.0,7931.0,6.33
2006-10-06,77.9,79.25,76.05,76.05,76.7,3945.0,3.05
2006-10-09,77.0,77.5,75.2,75.25,75.95,6622.0,5.07
2006-10-10,78.5,78.5,75.25,75.25,75.75,4487.0,3.45
2006-10-11,75.25,75.6,73.5,74.3,74.25,4349.0,3.25
2006-10-12,73.05,74.2,62.6,73.5,73.45,5558.0,4.05
2006-10-13,63.0,79.9,63.0,75.0,74.95,13286.0,10.08
2006-10-16,77.25,77.3,70.15,71.6,71.5,7965.0,5.87
2006-10-17,71.1,76.9,71.1,74.85,74.55,13647.0,10.25
2006-10-18,75.45,76.35,70.2,73.3,73.35,5505.0,4.08
2006-10-19,75.25,75.3,72.0,72.5,72.1,4622.0,3.38
2006-10-20,75.1,78.0,70.1,73.6,73.8,8113.0,6.07
2006-10-21,76.85,80.0,74.0,77.3,76.95,9132.0,7.04
2006-10-23,84.9,84.9,74.0,74.5,74.35,5953.0,4.51
2006-10-26,75.8,76.8,74.05,74.95,74.45,7659.0,5.74
2006-10-27,77.8,77.8,73.0,74.0,73.75,9921.0,7.4
2006-10-30,83.0,83.0,74.6,78.85,78.45,46602.0,37.09
2006-10-31,77.1,80.9,75.1,80.0,79.2,19790.0,15.51
2006-11-01,79.9,79.9,77.05,77.1,77.75,6438.0,5.04
2006-11-02,77.0,78.5,75.3,75.35,75.85,4218.0,3.25
2006-11-03,77.0,82.5,76.1,80.15,80.85,21457.0,17.07
2006-11-06,81.0,84.55,77.3,81.6,81.6,46172.0,38.03
2006-11-07,80.1,85.45,80.1,82.5,82.45,51623.0,43.01
2006-11-08,83.0,83.9,79.0,79.45,79.9,26005.0,21.19
2006-11-09,80.2,82.4,76.1,76.4,76.9,10390.0,8.19
2006-11-10,79.9,79.9,76.1,76.5,76.5,6665.0,5.14
2006-11-13,76.95,77.95,76.0,76.0,76.0,4891.0,3.74
2006-11-14,76.6,79.4,75.15,78.0,77.95,19083.0,14.78
2006-11-15,79.0,83.15,79.0,80.0,80.75,69136.0,56.15
2006-11-16,81.9,81.9,77.0,79.4,77.25,13797.0,10.9
2006-11-17,78.0,78.9,75.0,76.0,75.75,15943.0,12.22
2006-11-20,76.15,76.15,72.0,74.0,74.05,10847.0,7.98
2006-11-21,75.95,75.95,73.05,74.2,74.35,6415.0,4.76
2006-11-22,76.5,76.5,72.65,73.0,72.9,6965.0,5.11
2006-11-23,74.45,74.5,72.4,72.5,72.5,5876.0,4.3
2006-11-24,86.0,86.0,72.5,74.3,73.35,7805.0,5.75
2006-11-27,74.0,80.0,73.05,74.2,75.3,38421.0,29.63
2006-11-28,75.9,76.0,73.25,74.5,74.95,6643.0,4.97
2006-11-29,75.4,78.0,75.3,76.15,76.4,10063.0,7.7
2006-11-30,77.5,77.5,74.1,75.5,75.0,1995.0,1.51
2006-12-01,78.0,79.8,76.0,76.1,76.85,36460.0,28.4
2006-12-04,79.0,82.5,78.25,79.0,78.8,31274.0,24.82
2006-12-05,79.75,80.0,76.1,77.0,76.75,17351.0,13.54
2006-12-06,78.0,79.5,75.5,76.0,75.9,10628.0,8.21
2006-12-07,75.95,76.9,74.1,74.15,74.65,7834.0,5.89
2006-12-08,74.5,75.9,73.0,75.2,74.95,7332.0,5.46
2006-12-11,76.95,76.95,71.7,71.7,72.5,18433.0,13.41
2006-12-12,71.0,73.5,66.15,67.15,66.95,17200.0,12.02
2006-12-13,64.0,71.5,64.0,69.0,68.8,11399.0,7.76
2006-12-14,82.0,82.0,69.5,71.9,71.05,11154.0,7.96
2006-12-15,69.0,74.8,69.0,71.0,72.4,6765.0,4.93
2006-12-18,73.0,73.6,70.05,71.35,71.3,3415.0,2.46
2006-12-19,71.3,71.9,69.1,70.3,69.95,6336.0,4.45
2006-12-20,69.5,70.9,69.4,69.65,69.9,3844.0,2.69
2006-12-21,69.1,71.05,69.0,70.0,70.35,3128.0,2.2
2006-12-22,69.9,72.8,69.9,72.15,71.9,3939.0,2.82
2006-12-26,72.15,77.5,69.5,75.6,76.1,35223.0,25.97
2006-12-27,75.1,78.7,75.0,75.5,75.45,28433.0,21.64
