Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2011-05-12,29.0,48.7,17.7,18.2,19.05,147017375.0,51165.27
2011-05-13,18.4,19.95,17.25,18.45,18.4,12121176.0,2252.85
2011-05-16,18.1,19.4,17.8,18.0,17.95,2911815.0,539.23
2011-05-17,18.05,18.4,16.05,16.45,16.4,1796689.0,306.37
2011-05-18,16.5,16.6,14.45,14.65,14.75,2255085.0,344.81
2011-05-19,14.75,14.75,13.6,14.1,13.9,2154858.0,303.6
2011-05-20,13.6,13.85,13.1,13.15,13.2,1090493.0,145.92
2011-05-23,13.0,13.0,11.6,11.65,11.8,933822.0,113.54
2011-05-24,11.6,12.35,11.25,11.7,11.8,1334312.0,158.15
2011-05-25,11.8,11.8,11.25,11.3,11.35,478356.0,54.92
2011-05-26,11.3,11.85,11.3,11.4,11.45,324183.0,37.35
2011-05-27,11.5,12.0,11.4,11.7,11.8,718310.0,84.39
2011-05-30,11.7,11.9,11.45,11.55,11.5,346751.0,40.36
2011-05-31,11.5,11.65,11.05,11.05,11.1,312595.0,35.19
2011-06-01,11.3,11.3,10.7,10.8,10.85,385280.0,41.66
2011-06-02,10.8,10.95,10.45,10.55,10.6,394644.0,42.0
2011-06-03,10.45,10.95,10.45,10.5,10.55,238879.0,25.55
2011-06-06,10.5,10.7,10.3,10.3,10.35,172307.0,17.98
2011-06-07,10.2,10.85,10.2,10.5,10.45,227287.0,23.97
2011-06-08,10.5,11.1,10.3,10.6,10.6,317455.0,34.02
2011-06-09,10.5,10.8,10.5,10.5,10.55,154431.0,16.37
2011-06-10,10.55,10.55,10.1,10.4,10.2,199871.0,20.55
2011-06-13,10.2,10.4,10.05,10.35,10.25,180900.0,18.61
2011-06-14,10.25,10.45,9.85,9.95,9.95,221209.0,22.38
2011-06-15,10.1,10.15,9.7,9.9,9.8,194822.0,19.35
2011-06-16,9.7,9.9,9.35,9.45,9.45,206803.0,19.73
2011-06-17,9.0,9.55,9.0,9.1,9.15,155871.0,14.31
2011-06-20,9.15,9.2,8.25,8.35,8.35,210522.0,18.05
2011-06-21,8.5,9.1,8.1,8.35,8.35,276707.0,23.72
2011-06-22,8.2,8.45,7.8,8.0,8.05,198750.0,15.96
2011-06-23,7.85,8.05,7.7,8.05,7.85,185727.0,14.6
2011-06-24,7.8,8.5,7.8,8.4,8.4,157064.0,12.95
2011-06-27,8.4,8.5,8.25,8.3,8.35,55387.0,4.65
2011-06-28,8.25,8.35,8.05,8.1,8.1,81232.0,6.63
2011-06-29,8.35,8.35,8.15,8.15,8.15,45576.0,3.75
2011-06-30,8.2,8.35,8.0,8.0,8.05,82617.0,6.74
2011-07-01,8.2,8.3,8.1,8.15,8.2,59377.0,4.87
2011-07-04,8.25,8.45,8.2,8.3,8.3,41880.0,3.49
2011-07-05,8.25,8.45,8.1,8.35,8.3,62495.0,5.16
2011-07-06,8.25,8.35,8.2,8.35,8.3,57199.0,4.72
2011-07-07,8.2,8.4,8.2,8.35,8.3,79889.0,6.63
2011-07-08,8.25,8.45,8.2,8.3,8.3,75627.0,6.29
2011-07-11,8.2,8.5,8.0,8.35,8.3,47156.0,3.93
2011-07-12,8.1,8.3,8.1,8.2,8.2,56133.0,4.6
2011-07-13,8.2,8.25,8.1,8.2,8.2,45801.0,3.75
2011-07-14,8.2,8.2,7.95,8.1,8.0,110923.0,8.91
2011-07-15,8.0,8.1,7.8,8.1,8.0,60864.0,4.85
2011-07-18,8.0,8.05,7.75,8.0,7.95,54930.0,4.35
2011-07-19,7.85,8.0,7.85,8.0,8.0,38734.0,3.07
2011-07-20,7.95,8.05,7.85,7.85,7.85,33751.0,2.67
2011-07-21,7.8,7.85,7.6,7.6,7.65,96712.0,7.44
