Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,23.0,23.9,23.0,,,,
1998-03-23,23.25,23.5,23.25,23.5,23.5,600.0,0.14
1998-03-24,25.25,25.25,22.5,22.5,22.5,3100.0,0.72
1998-03-25,24.05,24.75,24.0,24.75,24.75,1900.0,0.47
1998-03-26,27.0,27.0,25.0,25.5,25.5,3000.0,0.78
1998-03-27,24.95,26.0,24.95,25.9,25.9,1200.0,0.3
1998-03-30,26.9,26.9,25.05,25.05,25.05,900.0,0.23
1998-03-31,25.0,25.1,24.0,25.1,24.8,3700.0,0.92
1998-04-01,24.2,25.8,24.2,25.8,25.4,1600.0,0.4
1998-04-02,26.8,26.8,25.9,26.7,26.7,900.0,0.24
1998-04-03,26.0,26.25,25.5,26.25,26.25,2100.0,0.54
1998-04-06,26.45,26.45,26.0,26.0,26.0,2600.0,0.68
1998-04-07,26.0,26.0,23.5,23.5,23.5,10100.0,2.46
1998-04-09,25.5,25.8,24.5,25.8,25.7,2200.0,0.55
1998-04-10,25.25,28.0,25.25,26.5,26.65,3600.0,0.96
1998-04-13,25.5,25.7,24.0,24.5,24.5,5200.0,1.29
1998-04-15,25.0,26.9,25.0,26.9,26.9,5400.0,1.44
1998-04-16,26.9,27.25,26.2,26.2,26.3,6000.0,1.61
1998-04-17,25.5,27.1,25.5,26.75,26.95,8100.0,2.18
1998-04-20,26.25,27.5,26.0,27.0,27.0,6100.0,1.63
1998-04-21,26.3,27.5,26.25,27.5,27.5,7200.0,1.95
1998-04-22,26.75,27.25,26.75,26.75,26.75,3000.0,0.81
1998-04-23,25.95,26.25,25.95,26.0,26.0,600.0,0.16
1998-04-24,25.0,25.0,24.0,24.0,24.0,2300.0,0.55
1998-04-27,24.75,25.45,24.75,25.45,25.35,1900.0,0.47
1998-04-28,24.6,26.25,24.5,25.75,25.75,1600.0,0.4
1998-04-29,26.25,27.0,26.05,26.05,26.7,1300.0,0.34
1998-04-30,26.5,26.5,26.5,26.5,26.5,500.0,0.13
1998-05-04,26.0,26.0,26.0,26.0,26.0,100.0,0.03
1998-05-05,26.0,27.0,26.0,26.5,26.4,6000.0,1.58
1998-05-06,29.0,29.0,26.5,27.7,27.7,34400.0,9.87
1998-05-08,26.9,27.0,26.0,27.0,27.0,2100.0,0.55
1998-05-11,26.55,27.15,26.5,27.15,27.15,2200.0,0.59
1998-05-12,25.5,27.0,25.5,26.5,26.5,1100.0,0.29
1998-05-13,26.0,26.0,26.0,26.0,26.0,700.0,0.18
1998-05-15,25.5,25.5,25.5,25.5,25.5,400.0,0.1
1998-05-18,25.5,26.0,25.5,26.0,26.0,200.0,0.05
1998-05-19,25.55,25.55,25.5,25.5,25.5,1200.0,0.31
1998-05-21,26.0,26.25,25.5,26.0,26.0,500.0,0.13
1998-05-25,26.0,26.0,26.0,26.0,26.0,600.0,0.16
1998-05-26,26.0,26.9,25.5,25.75,26.35,800.0,0.21
1998-05-28,25.5,25.5,25.5,25.5,25.5,200.0,0.05
1998-06-01,26.0,28.0,26.0,28.0,28.0,3700.0,0.98
1998-06-02,29.6,30.8,29.6,30.8,30.8,15900.0,4.88
