Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-03-25,149.0,185.5,149.0,181.25,181.17,1110.0,1.83
2015-03-26,183.6,183.6,183.6,183.6,183.6,20.0,0.04
2015-03-27,178.8,181.75,177.25,177.25,177.25,147.0,0.26
2015-03-30,180.9,181.25,180.9,181.25,181.25,28.0,0.05
2015-03-31,183.0,183.0,183.0,183.0,183.0,25.0,0.05
2015-04-06,185.45,186.0,185.45,186.0,186.0,13.0,0.02
2015-04-07,185.35,185.35,185.3,185.3,185.32,56.0,0.1
2015-04-08,185.0,185.0,185.0,185.0,185.0,9.0,0.02
2015-04-09,221.0,221.0,183.4,185.7,185.33,111.0,0.21
2015-04-10,184.5,184.5,184.5,184.5,184.5,10.0,0.02
2015-04-13,188.35,188.35,187.25,187.25,187.25,40.0,0.08
2015-04-15,167.0,188.35,167.0,188.35,188.35,56.0,0.1
2015-04-16,187.45,187.95,187.45,187.95,187.95,55.0,0.1
2015-04-17,186.65,187.15,186.5,187.15,187.15,76.0,0.14
2015-04-20,183.75,184.25,183.75,184.25,184.25,51.0,0.09
2015-04-21,182.25,182.25,181.25,181.25,181.25,27.0,0.05
2015-04-22,181.35,181.35,181.35,181.35,181.35,25.0,0.05
2015-04-23,182.75,183.2,181.75,183.2,183.03,76.0,0.14
2015-04-24,182.0,182.0,182.0,182.0,182.0,10.0,0.02
2015-04-27,180.35,180.75,180.35,180.75,180.57,39.0,0.07
2015-04-28,178.0,179.15,178.0,179.15,179.15,79.0,0.14
2015-04-29,180.0,181.43,179.15,179.15,179.15,37.0,0.07
2015-04-30,182.0,182.0,182.0,182.0,182.0,24.0,0.04
2015-05-04,182.85,183.5,182.35,183.5,183.5,81.0,0.15
2015-05-07,182.0,182.0,181.0,182.0,182.0,43.0,0.08
2015-05-08,150.2,186.0,150.2,186.0,186.0,32.0,0.06
2015-05-11,151.0,178.0,151.0,171.6,174.74,537.0,0.91
2015-05-12,205.0,205.0,170.0,205.0,205.0,13.0,0.03
2015-05-13,204.0,205.0,180.05,199.9,199.9,400.0,0.79
2015-05-14,199.0,199.0,199.0,199.0,199.0,1.0,0.0
2015-05-15,189.9,189.9,173.5,188.0,188.0,303.0,0.55
2015-05-18,188.0,217.0,152.15,184.0,184.0,662.0,1.24
2015-05-19,180.65,216.95,160.38,172.5,172.5,560.0,0.99
2015-05-20,188.95,200.0,182.25,183.05,189.21,1900.0,3.52
2015-05-21,183.0,188.0,183.0,183.0,184.61,111.0,0.2
2015-05-22,182.8,189.9,182.8,184.55,184.55,346.0,0.64
2015-05-25,186.49,186.49,183.01,183.01,183.09,80.0,0.15
2015-05-26,185.0,185.52,185.0,185.52,185.52,26.0,0.05
2015-05-27,180.0,184.99,180.0,182.5,182.5,29.0,0.05
2015-05-28,187.0,187.0,186.78,186.78,186.78,2.0,0.0
2015-05-29,186.8,187.0,183.72,183.72,183.72,32.0,0.06
2015-06-01,185.25,188.0,182.01,182.01,182.01,105.0,0.19
2015-06-02,183.1,187.48,182.11,182.11,182.11,21.0,0.04
2015-06-03,181.05,188.0,181.05,184.0,184.0,76.0,0.14
2015-06-04,184.0,189.0,184.0,189.0,189.0,11.0,0.02
2015-06-05,185.0,185.0,184.5,184.5,184.5,5.0,0.01
2015-06-08,187.5,187.98,175.5,175.6,175.6,19.0,0.03
2015-06-09,174.0,175.1,174.0,175.1,175.1,32.0,0.06
2015-06-10,175.1,180.75,173.1,174.1,175.37,123.0,0.22
2015-06-11,175.5,175.9,175.5,175.5,175.5,3.0,0.01
2015-06-12,172.5,188.0,172.5,183.75,183.75,81.0,0.15
2015-06-15,183.75,183.75,183.5,183.5,183.5,41.0,0.08
2015-06-16,182.0,182.0,182.0,182.0,182.0,2.0,0.0
2015-06-17,179.5,179.75,175.52,175.52,176.12,30.0,0.05
2015-06-18,181.0,181.0,180.85,180.85,180.85,11.0,0.02
2015-06-19,181.0,182.0,181.0,181.0,181.0,87.0,0.16
2015-06-23,181.0,215.6,181.0,193.15,193.15,312.0,0.63
2015-06-24,193.58,196.0,184.0,193.99,193.99,50.0,0.09
2015-06-25,193.79,209.0,185.0,196.0,188.76,25.0,0.05
2015-06-29,183.0,183.0,182.2,182.2,182.2,6.0,0.01
2015-06-30,181.65,181.65,180.41,180.41,180.41,26.0,0.05
2015-07-01,184.3,186.3,184.3,186.3,186.3,8.0,0.01
2015-07-02,185.95,185.95,185.95,185.95,185.95,1.0,0.0
2015-07-03,186.95,187.25,185.85,185.85,185.85,28.0,0.05
2015-07-06,187.15,188.3,187.15,188.3,188.3,5.0,0.01
2015-07-07,190.65,190.65,188.95,188.95,188.95,304.0,0.58
2015-07-08,158.03,189.05,158.03,185.7,185.7,38.0,0.07
2015-07-09,185.85,187.2,185.7,187.2,187.2,80.0,0.15
2015-07-10,187.25,188.0,184.45,188.0,187.99,164.0,0.31
2015-07-13,190.0,190.0,188.15,189.0,189.0,152.0,0.29
2015-07-14,189.6,189.6,186.95,186.95,186.95,115.0,0.22
2015-07-16,191.75,191.75,191.75,191.75,191.75,26.0,0.05
2015-07-20,191.75,191.75,191.45,191.45,191.45,16.0,0.03
2015-07-21,191.1,191.1,190.01,190.01,190.01,12.0,0.02
2015-07-22,189.0,190.6,189.0,190.15,190.15,38.0,0.07
2015-07-23,191.0,191.0,191.0,191.0,191.0,53.0,0.1
2015-07-24,190.35,191.0,190.0,190.0,190.0,211.0,0.4
2015-07-27,186.95,188.25,184.5,185.6,184.91,171.0,0.32
2015-07-28,185.25,186.5,181.7,186.5,186.5,128.0,0.23
2015-07-29,184.3,185.65,183.05,185.65,185.65,110.0,0.2
2015-07-31,187.75,190.25,187.75,190.25,190.25,68.0,0.13
2015-08-03,189.8,192.75,188.85,190.0,190.0,109.0,0.21
2015-08-04,191.45,192.3,189.85,192.05,192.05,20.0,0.04
2015-08-05,191.25,192.8,189.85,192.8,192.8,120.0,0.23
2015-08-06,191.45,191.95,191.2,191.2,191.2,42.0,0.08
2015-08-07,191.2,192.05,190.5,191.65,191.65,41.0,0.08
2015-08-10,192.8,192.8,190.5,190.9,190.88,90.0,0.17
2015-08-11,189.5,200.95,186.95,186.95,186.95,634.0,1.24
2015-08-12,186.85,189.65,181.9,181.9,181.9,531.0,0.98
2015-08-13,185.6,186.8,182.75,185.0,185.0,589.0,1.09
2015-08-14,187.9,187.9,187.9,187.9,187.9,5.0,0.01
2015-08-17,190.0,190.85,188.9,188.9,188.9,21.0,0.04
2015-08-18,188.9,190.0,188.9,189.4,189.4,142.0,0.27
2015-08-19,188.05,189.45,187.6,189.45,189.45,22.0,0.04
2015-08-20,188.8,188.8,185.75,186.2,186.2,49.0,0.09
2015-08-21,181.85,182.0,180.0,182.0,182.0,56.0,0.1
2015-08-24,182.0,182.0,172.0,172.0,172.0,258.0,0.45
2015-08-25,172.0,174.95,169.5,174.95,174.67,101.0,0.17
2015-08-26,171.6,173.65,171.6,172.0,172.0,96.0,0.17
2015-08-27,173.05,174.1,172.1,172.1,172.1,42.0,0.07
2015-08-28,176.7,179.3,170.6,170.6,170.6,216.0,0.38
2015-08-31,175.15,175.25,173.25,173.25,173.25,43.0,0.08
