Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-03-01,65.15,67.0,65.0,67.0,66.95,1100.0,0.72
2013-03-04,64.0,66.2,64.0,66.2,65.75,92.0,0.06
2013-03-05,66.0,67.0,66.0,66.7,66.7,1570.0,1.05
2013-03-06,69.85,69.85,63.5,64.75,65.85,2302.0,1.52
2013-03-07,66.0,68.5,66.0,68.5,68.45,1514.0,1.01
2013-03-08,65.0,72.45,65.0,72.45,72.35,686.0,0.49
2013-03-11,70.0,78.75,70.0,73.25,73.25,319.0,0.23
2013-03-12,72.0,72.0,71.55,71.55,71.55,232.0,0.17
2013-03-13,68.0,72.95,67.5,68.1,68.1,511.0,0.35
2013-03-14,67.0,68.45,63.8,66.0,66.0,1035.0,0.69
2013-03-15,63.0,64.95,63.0,64.9,64.9,1260.0,0.8
2013-03-18,63.7,63.7,59.45,60.0,60.0,1573.0,0.97
2013-03-19,57.0,61.0,57.0,58.3,58.25,1685.0,0.98
2013-03-20,56.0,58.5,53.25,54.5,54.55,5052.0,2.79
2013-03-21,53.0,55.15,52.05,53.0,53.7,1841.0,0.99
2013-03-22,51.0,54.0,51.0,54.0,54.0,553.0,0.29
2013-03-25,52.0,58.45,50.05,52.5,52.7,255476.0,135.15
2013-03-26,51.0,57.3,50.0,57.3,56.0,138369.0,73.69
2013-03-28,59.95,59.95,55.0,56.9,56.65,1434.0,0.81
2013-04-01,58.6,58.65,57.0,57.0,57.0,261.0,0.15
2013-04-02,59.0,60.0,57.95,60.0,59.0,130640.0,77.08
2013-04-03,64.9,64.9,63.05,64.9,64.9,384.0,0.25
2013-04-04,70.0,70.0,63.4,70.0,67.8,1261.0,0.84
2013-04-05,65.0,72.0,65.0,67.95,67.95,1359.0,0.91
2013-04-08,65.0,69.75,62.55,67.8,68.35,1699.0,1.14
2013-04-09,65.0,69.5,61.9,61.95,62.4,1443.0,0.9
2013-04-10,60.0,62.95,60.0,62.5,62.25,1263.0,0.78
2013-04-11,60.1,63.0,60.0,60.0,60.45,484.0,0.29
2013-06-14,58.0,61.8,58.0,61.5,61.65,319.0,0.19
2013-06-17,61.5,63.0,60.0,61.95,61.85,864.0,0.53
2013-06-18,58.8,62.4,58.8,62.0,62.0,194.0,0.12
2013-06-19,60.0,60.0,59.0,59.0,59.0,100.0,0.06
2013-06-20,57.05,61.0,57.05,57.15,60.45,432.0,0.26
2013-06-21,58.0,58.0,58.0,58.0,58.0,61.0,0.04
2013-06-24,58.05,60.9,55.1,60.9,58.65,820.0,0.47
2013-06-25,56.0,59.55,55.75,55.75,55.75,623.0,0.36
2013-06-26,53.0,58.5,53.0,58.5,58.5,666.0,0.36
2013-06-27,58.5,61.0,58.5,61.0,60.9,1000.0,0.61
2013-06-28,57.9,60.75,57.9,60.2,60.2,3911.0,2.33
2013-07-01,57.2,57.2,57.2,57.2,57.2,300.0,0.17
2013-07-02,57.0,57.0,57.0,57.0,57.0,301.0,0.17
2013-07-03,57.0,58.4,55.25,58.4,58.4,310.0,0.18
2013-07-04,56.0,61.3,55.5,61.3,58.1,3190.0,1.85
2013-07-05,57.8,58.4,54.9,54.9,54.95,1610.0,0.91
