Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2004-01-22,13.05,13.25,13.05,13.05,13.15,2000.0,0.26
2004-01-29,14.3,14.4,14.3,14.3,14.3,1400.0,0.2
2004-01-30,14.15,14.15,13.5,13.55,13.55,1500.0,0.21
2004-02-03,14.1,14.1,14.1,14.1,14.1,800.0,0.11
2004-02-04,12.7,13.0,12.7,12.95,12.95,1000.0,0.13
2004-02-05,12.5,12.5,11.75,11.75,11.8,410.0,0.05
2004-02-06,11.5,11.5,11.5,11.5,11.5,330.0,0.04
2004-02-09,12.55,12.6,12.55,12.6,12.55,830.0,0.1
2004-02-10,13.55,13.55,12.5,12.5,12.5,1250.0,0.16
2004-02-12,12.0,13.7,11.8,13.7,13.7,805.0,0.1
2004-02-13,12.35,13.7,12.35,13.7,13.7,1210.0,0.16
2004-02-16,12.55,13.8,12.5,13.8,13.8,700.0,0.09
2004-02-17,12.55,13.9,12.55,13.9,13.9,505.0,0.06
2004-02-18,12.7,13.7,12.7,13.65,12.9,2310.0,0.31
2004-02-19,12.5,12.5,12.1,12.1,12.1,1100.0,0.13
2004-02-20,12.0,12.0,12.0,12.0,12.0,200.0,0.02
2004-02-23,11.25,11.25,11.25,11.25,11.25,100.0,0.01
2004-02-24,11.5,12.25,11.0,12.25,12.25,4910.0,0.55
2004-02-25,12.0,12.45,11.65,12.45,12.45,115.0,0.01
2004-02-26,11.5,12.35,11.25,12.35,11.6,1600.0,0.19
2004-02-27,11.45,11.45,10.75,10.75,10.75,188.0,0.02
2004-03-03,10.2,10.2,10.0,10.0,10.0,3500.0,0.35
2004-03-04,10.0,10.0,9.9,9.9,9.9,1000.0,0.1
2004-03-09,4.15,4.15,4.15,4.15,4.15,50.0,0.0
2004-03-10,4.6,4.6,4.6,4.6,4.6,3398.0,0.16
2004-03-18,5.1,5.1,5.1,5.1,5.1,100.0,0.01
2004-03-30,9.7,9.7,9.25,9.7,9.7,750.0,0.07
2004-03-31,9.55,10.2,9.5,10.2,10.2,884.0,0.09
2004-04-01,11.25,11.25,10.2,10.2,10.2,200.0,0.02
2004-04-02,10.95,11.0,10.5,10.6,10.6,505.0,0.06
2004-04-05,11.55,11.55,11.45,11.5,11.5,1300.0,0.15
2004-04-06,12.45,12.65,11.55,11.55,11.55,1068.0,0.13
2004-04-07,12.5,12.5,11.5,11.5,11.5,2850.0,0.33
2004-04-08,12.0,12.0,11.3,11.3,11.3,2605.0,0.3
2004-04-12,12.4,12.4,10.5,11.65,11.65,2950.0,0.33
2004-04-13,11.65,12.35,11.65,12.35,12.35,615.0,0.07
