Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
1998-03-20,15.3,16.0,15.2,,,,
1998-03-24,16.3,16.7,15.05,15.05,15.5,29050.0,4.69
1998-03-25,17.0,17.0,16.2,16.9,16.9,18300.0,3.06
1998-03-26,17.05,18.0,16.7,16.8,16.8,8500.0,1.46
1998-03-27,16.15,16.8,16.15,16.8,16.8,1800.0,0.3
1998-03-30,16.65,17.2,16.65,16.65,16.65,10000.0,1.69
1998-03-31,16.5,16.8,16.0,16.0,16.1,11300.0,1.83
1998-04-01,16.7,16.8,16.25,16.5,16.5,4650.0,0.77
1998-04-02,16.5,17.25,16.3,16.5,16.85,9900.0,1.66
1998-04-03,17.0,18.0,17.0,18.0,17.85,20300.0,3.54
1998-04-06,18.0,19.5,18.0,18.5,18.5,11200.0,2.09
1998-04-07,18.5,18.9,18.0,18.3,18.45,9850.0,1.81
1998-04-09,18.55,19.35,18.3,19.2,19.2,10950.0,2.05
1998-04-10,19.9,19.95,19.1,19.25,19.55,7600.0,1.48
1998-04-13,20.1,21.55,18.95,21.5,21.45,22750.0,4.75
1998-04-15,23.0,23.6,23.0,23.6,23.6,13000.0,3.06
1998-04-16,25.5,26.0,22.0,22.75,22.9,29650.0,7.06
1998-04-17,22.1,23.0,21.0,22.25,22.45,16150.0,3.53
1998-04-20,21.9,22.0,20.5,20.5,20.5,13500.0,2.84
1998-04-21,20.75,22.0,20.7,22.0,21.7,11750.0,2.51
1998-04-22,21.75,23.8,21.5,21.5,21.5,16250.0,3.64
1998-04-23,20.25,21.4,20.25,21.0,21.0,20850.0,4.38
1998-04-24,21.1,21.2,20.0,21.2,21.2,12450.0,2.59
1998-04-27,21.75,22.0,19.7,21.05,20.75,5700.0,1.18
1998-04-28,20.0,20.5,19.65,19.75,19.9,6750.0,1.34
1998-04-29,20.25,20.5,19.5,20.1,20.05,8000.0,1.61
1998-04-30,19.05,20.4,19.0,20.4,20.35,2650.0,0.52
1998-05-04,21.0,22.4,20.55,22.25,22.3,15550.0,3.42
1998-05-05,22.3,24.55,22.3,24.55,24.55,22050.0,5.22
1998-05-06,24.6,24.6,23.0,24.25,23.95,33800.0,8.04
1998-05-08,23.3,25.0,22.75,25.0,23.75,35050.0,8.21
1998-05-11,23.6,24.25,23.15,24.2,23.95,13400.0,3.19
1998-05-12,23.3,23.3,21.8,22.35,22.3,18600.0,4.2
1998-05-13,21.5,22.5,21.5,21.8,21.8,11800.0,2.59
1998-05-14,21.2,22.5,20.45,22.0,22.0,12850.0,2.79
1998-05-15,22.0,22.95,21.75,22.5,22.6,9900.0,2.22
1998-05-18,23.5,24.75,23.0,23.25,23.35,10000.0,2.37
