Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-02-03,10.7,10.7,10.7,10.7,10.7,49.0,0.01
2014-02-04,10.25,11.2,10.25,10.5,10.5,394.0,0.04
2014-02-05,10.5,10.5,10.0,10.5,10.5,805.0,0.08
2014-02-06,11.0,11.0,10.1,10.1,10.5,110.0,0.01
2014-02-07,11.0,11.0,11.0,11.0,11.0,503.0,0.06
2014-02-10,11.0,11.0,10.6,10.6,10.6,1182.0,0.13
2014-02-11,10.65,11.1,10.65,10.75,10.75,2137.0,0.23
2014-02-12,10.7,10.7,10.4,10.4,10.4,1508.0,0.16
2014-02-13,10.3,10.9,10.25,10.25,10.25,8436.0,0.87
2014-02-14,10.25,10.75,10.05,10.75,10.75,680.0,0.07
2014-02-18,10.5,10.5,10.5,10.5,10.5,5.0,0.0
2014-02-20,10.9,10.9,10.9,10.9,10.9,10.0,0.0
2014-02-21,11.0,11.15,10.45,11.15,11.15,1525.0,0.17
2014-02-24,10.6,10.8,10.6,10.8,10.8,835.0,0.09
2014-02-25,10.45,10.5,10.45,10.45,10.45,162.0,0.02
2014-02-26,10.2,10.2,10.2,10.2,10.2,200.0,0.02
2014-02-28,10.2,10.7,10.2,10.3,10.3,2464.0,0.26
2014-03-03,9.9,10.8,9.9,10.8,10.8,1350.0,0.14
2014-03-04,10.35,10.95,10.35,10.95,10.95,676.0,0.07
2014-03-05,10.9,10.9,10.45,10.45,10.45,570.0,0.06
2014-03-06,10.5,10.5,10.0,10.0,10.0,1466.0,0.15
2014-03-07,9.35,10.0,9.35,9.4,9.95,1993.0,0.19
2014-03-10,9.95,10.0,9.0,9.0,9.05,3338.0,0.31
2014-03-11,8.2,9.0,8.2,8.65,8.65,860.0,0.07
2014-03-12,8.35,9.4,8.35,8.7,8.65,1611.0,0.14
2014-03-13,8.8,9.0,8.5,8.5,9.0,2962.0,0.27
2014-03-14,8.25,9.9,8.25,9.9,8.4,710.0,0.06
2014-03-18,8.8,9.1,8.1,9.1,9.1,1071.0,0.09
2014-03-19,9.05,9.05,9.05,9.05,9.05,67.0,0.01
2014-03-20,8.35,8.85,8.2,8.85,8.75,785.0,0.07
2014-03-21,8.85,8.85,8.1,8.15,8.15,5797.0,0.5
2014-03-22,7.55,7.55,7.55,7.55,7.55,25.0,0.0
2014-03-24,7.85,8.3,7.85,8.3,8.3,368.0,0.03
2014-03-25,8.2,9.1,7.6,8.2,8.2,2610.0,0.22
2014-03-26,7.55,8.95,7.55,7.8,7.8,603.0,0.05
2014-03-27,8.5,8.5,7.1,7.65,7.65,3694.0,0.29
2014-03-28,7.65,8.2,7.2,8.2,7.25,7239.0,0.53
2014-03-31,7.05,7.95,7.05,7.95,7.9,2468.0,0.19
2014-04-01,7.75,8.4,7.5,8.35,8.35,6706.0,0.55
2014-04-02,8.35,9.15,7.8,9.15,9.15,2480.0,0.22
2014-04-03,9.45,9.5,8.25,8.25,8.7,1340.0,0.12
2014-04-04,8.95,8.95,8.05,8.6,8.25,218.0,0.02
2014-04-07,8.05,9.0,8.05,8.8,8.8,652.0,0.06
2014-04-09,9.0,9.65,9.0,9.5,9.5,2330.0,0.22
2014-04-10,8.8,10.45,8.8,10.45,10.45,4308.0,0.44
2014-04-11,10.0,11.25,9.8,10.5,10.45,8973.0,0.95
2014-04-15,9.6,9.85,9.45,9.45,9.55,2210.0,0.21
2014-04-16,9.55,10.1,9.55,10.0,10.0,2271.0,0.22
2014-04-17,9.15,10.6,9.15,9.9,9.9,8871.0,0.85
2014-04-21,9.05,9.2,8.95,8.95,8.95,16442.0,1.48
2014-04-22,9.1,9.1,8.5,8.5,8.5,8107.0,0.7
2014-04-23,8.6,8.95,8.0,8.25,8.25,2106.0,0.18
2014-04-25,8.2,8.7,8.2,8.35,8.35,2420.0,0.2
2014-04-28,8.0,8.5,8.0,8.5,8.2,110.0,0.01
2014-04-29,8.6,8.6,7.55,7.55,7.75,2882.0,0.23
2014-04-30,8.05,8.5,7.5,8.4,8.4,1458.0,0.12
2014-05-02,8.0,8.4,7.6,7.75,7.75,1908.0,0.15
2014-05-05,7.6,7.6,7.55,7.55,7.55,50.0,0.0
2014-05-06,7.4,8.3,6.85,8.2,8.2,2746.0,0.22
2014-05-07,7.6,9.0,7.6,8.9,8.3,3887.0,0.33
2014-05-08,8.6,8.6,7.5,8.55,8.45,1661.0,0.13
2014-05-09,8.3,8.3,7.5,7.8,7.75,2341.0,0.19
2014-05-12,8.0,8.7,7.5,8.4,7.8,2468.0,0.2
2014-05-13,7.55,7.95,7.5,7.95,7.65,2325.0,0.18
2014-05-14,7.05,9.0,7.0,8.5,8.05,11453.0,0.9
2014-05-15,8.0,8.4,8.0,8.25,8.25,2146.0,0.18
2014-05-16,7.7,7.8,7.35,7.65,7.65,1674.0,0.13
2014-05-19,7.25,8.75,7.25,8.0,8.1,5190.0,0.42
2014-05-20,8.2,9.0,7.25,9.0,8.95,7488.0,0.65
2014-05-21,8.7,8.95,8.25,8.35,8.4,424.0,0.04
2014-05-22,9.1,10.05,9.05,10.05,10.0,11190.0,1.07
2014-05-23,10.05,10.1,9.3,9.9,9.8,7037.0,0.69
2014-05-26,9.6,11.75,7.85,8.6,8.8,46279.0,4.03
2014-05-27,8.65,9.75,8.65,9.75,9.6,3940.0,0.35
2014-05-28,8.8,9.45,8.3,9.45,8.75,628.0,0.05
2014-05-29,8.1,9.9,8.1,9.65,9.65,10579.0,0.99
2014-05-30,9.65,10.0,9.5,9.5,9.5,1375.0,0.14
2014-06-02,8.9,11.4,8.9,11.4,11.4,20499.0,2.27
2014-06-03,12.0,13.65,12.0,13.65,13.65,38415.0,5.21
2014-06-04,13.75,15.0,13.75,14.65,14.8,45466.0,6.7
2014-06-05,15.95,15.95,14.1,14.6,14.2,14781.0,2.24
2014-06-06,14.8,14.8,13.5,13.5,13.5,4855.0,0.67
2014-06-09,14.1,14.1,12.85,12.85,12.85,2791.0,0.37
2014-06-10,12.25,12.25,12.25,12.25,12.25,620.0,0.08
2014-06-11,11.75,11.75,11.65,11.65,11.65,1602.0,0.19
2014-06-12,11.6,11.6,11.1,11.1,11.1,3910.0,0.44
2014-06-13,10.55,11.65,10.55,11.05,11.5,11141.0,1.29
2014-06-16,12.0,12.05,11.05,11.1,11.1,3573.0,0.41
2014-06-17,10.95,10.95,10.55,10.95,10.95,3705.0,0.4
2014-06-18,11.45,11.45,10.65,10.65,10.7,1880.0,0.21
2014-06-19,10.35,10.5,10.35,10.35,10.35,2451.0,0.25
2014-06-20,10.25,10.7,10.0,10.7,10.7,1850.0,0.19
2014-06-23,10.25,10.75,10.2,10.3,10.7,5533.0,0.57
2014-06-24,10.5,10.8,10.5,10.5,10.5,4114.0,0.44
2014-06-25,10.05,10.95,10.05,10.9,10.9,2241.0,0.24
2014-06-26,10.4,11.3,10.4,10.6,10.6,3276.0,0.35
2014-06-27,10.25,11.0,10.25,10.95,10.95,2940.0,0.31
2014-06-30,10.95,10.95,10.45,10.5,10.5,3167.0,0.33
2014-07-01,10.5,10.9,10.0,10.85,10.75,1693.0,0.18
2014-07-02,10.95,11.25,10.75,11.0,11.0,12563.0,1.37
2014-07-03,11.0,11.5,11.0,11.45,11.45,902.0,0.1
2014-07-04,11.5,11.5,11.0,11.0,11.0,2338.0,0.26
2014-07-07,10.7,11.1,10.7,10.75,10.8,2025.0,0.22
2014-07-08,10.8,11.3,10.5,10.5,10.5,6490.0,0.73
2014-07-09,10.4,10.4,10.4,10.4,10.4,137.0,0.01
2014-07-10,10.4,10.8,10.4,10.8,10.8,547.0,0.06
2014-07-11,10.45,11.3,10.3,10.3,10.3,2380.0,0.25
2014-07-14,10.8,10.8,9.85,10.05,10.05,1336.0,0.14
2014-07-15,9.55,10.55,9.55,10.55,10.55,1350.0,0.14
2014-07-16,10.4,10.4,10.4,10.4,10.4,25.0,0.0
2014-07-17,10.25,10.8,10.0,10.0,10.05,2815.0,0.29
2014-07-18,9.6,10.55,9.6,10.05,10.05,1553.0,0.16
2014-07-21,10.55,10.55,10.25,10.25,10.25,449.0,0.05
2014-07-22,10.6,10.75,10.05,10.1,10.1,1275.0,0.13
2014-07-23,9.9,10.1,9.65,10.1,10.1,4503.0,0.44
2014-07-24,9.9,10.3,9.65,9.75,9.75,4092.0,0.4
2014-07-25,9.7,9.9,9.5,9.5,9.5,1800.0,0.18
2014-07-28,9.4,9.9,9.35,9.9,9.9,360.0,0.04
2014-07-30,9.55,10.25,9.55,10.25,10.25,1930.0,0.19
2014-07-31,9.75,9.75,9.75,9.75,9.75,1361.0,0.13
2014-08-01,9.5,10.15,9.5,10.15,10.15,1425.0,0.14
2014-08-04,9.65,9.75,9.65,9.75,9.75,890.0,0.09
2014-08-05,10.2,10.2,10.2,10.2,10.2,241.0,0.02
2014-08-06,9.7,10.0,9.7,9.85,9.9,2900.0,0.29
2014-08-07,10.3,10.3,10.3,10.3,10.3,100.0,0.01
2014-08-08,9.8,10.45,9.8,10.45,10.4,19.0,0.0
2014-08-12,10.0,10.35,10.0,10.3,10.3,221.0,0.02
2014-08-13,9.8,9.8,9.8,9.8,9.8,1110.0,0.11
2014-08-14,9.6,10.2,9.5,10.2,10.2,55.0,0.01
2014-08-18,9.8,10.25,9.7,9.7,9.7,2401.0,0.23
2014-08-19,9.35,9.8,9.25,9.25,9.25,7975.0,0.74
2014-08-20,9.0,9.1,8.95,9.05,9.05,1085.0,0.1
2014-08-21,8.7,9.15,8.7,9.15,9.15,1021.0,0.09
2014-08-22,8.95,9.45,8.75,9.45,9.25,3955.0,0.36
2014-08-25,8.9,9.6,8.8,8.8,8.8,3180.0,0.28
2014-08-26,8.4,8.8,8.4,8.7,8.45,3404.0,0.29
2014-08-27,8.55,8.8,8.2,8.4,8.4,2373.0,0.2
2014-08-28,8.0,8.4,8.0,8.35,8.35,1389.0,0.11
2014-09-01,8.0,8.75,8.0,8.4,8.65,2650.0,0.23
2014-09-02,8.4,8.95,8.35,8.95,8.5,780.0,0.07
