Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2006-11-06,76.0,146.95,76.0,138.55,137.4,13667934.0,16962.62
2006-11-07,144.0,164.9,140.0,157.2,159.75,5588118.0,8852.55
2006-11-08,159.0,173.4,153.9,167.7,166.8,8694601.0,14419.01
2006-11-09,172.4,174.0,162.55,163.9,166.6,3903181.0,6546.24
2006-11-10,165.35,167.9,138.6,147.0,146.25,3413455.0,5071.03
2006-11-13,146.0,171.8,134.1,165.6,167.05,10034549.0,16070.63
2006-11-14,169.0,180.8,167.55,168.35,169.5,5209378.0,9016.59
2006-11-15,170.4,175.75,162.2,165.0,163.75,2249745.0,3741.48
2006-11-16,166.0,171.0,152.65,161.8,161.7,2464778.0,4056.62
2006-11-17,162.45,165.9,147.0,153.45,152.8,1744543.0,2771.85
2006-11-20,148.1,155.8,146.1,152.05,152.5,1512672.0,2294.74
2006-11-21,153.0,161.4,151.7,155.1,155.4,1192121.0,1873.18
2006-11-22,157.0,158.1,149.15,149.4,151.15,471605.0,728.66
2006-11-23,151.9,154.0,146.6,147.0,148.0,432211.0,649.41
2006-11-24,148.95,148.95,142.0,142.65,142.9,319380.0,462.7
2006-11-27,143.7,151.4,139.1,141.5,142.4,488135.0,708.1
2006-11-28,140.1,142.0,137.4,138.0,138.8,269688.0,376.47
2006-11-29,140.0,142.85,136.05,137.0,137.1,213353.0,297.88
2006-11-30,138.5,147.0,136.0,138.6,139.05,363229.0,511.45
2006-12-01,140.0,141.9,133.0,134.05,136.05,180921.0,250.94
2006-12-04,136.7,139.9,134.0,134.25,135.3,247546.0,338.35
2006-12-05,136.5,141.9,135.5,138.4,138.0,457706.0,637.24
2006-12-06,147.0,147.0,133.1,133.25,133.75,229197.0,311.58
2006-12-07,134.4,134.4,130.1,130.55,131.15,98299.0,130.07
2006-12-08,132.0,132.6,125.4,126.95,126.6,144589.0,186.57
2006-12-11,127.8,127.8,113.95,113.95,113.95,199515.0,235.36
2006-12-12,110.0,113.5,102.55,103.25,103.1,291610.0,309.88
2006-12-13,103.0,106.0,98.0,101.95,101.2,187443.0,187.64
2006-12-14,103.9,106.0,102.0,105.1,105.0,125994.0,131.91
2006-12-15,106.6,109.5,105.0,105.35,106.35,129713.0,139.84
2006-12-18,107.0,107.7,102.0,105.1,105.4,90867.0,95.33
2006-12-19,105.0,105.0,100.5,101.0,100.85,67492.0,69.35
2006-12-20,102.0,104.2,97.0,98.0,97.75,78483.0,78.08
2006-12-21,98.0,100.0,97.5,99.15,98.45,81905.0,80.88
2006-12-22,99.5,103.4,97.5,100.85,100.6,113319.0,114.41
2006-12-26,100.9,103.4,100.1,101.25,101.55,49222.0,49.96
2006-12-27,102.2,105.25,100.4,103.0,103.0,136016.0,140.18
2006-12-28,104.0,104.8,100.5,101.8,101.2,48012.0,49.26
2006-12-29,101.0,102.0,98.5,98.8,99.1,46992.0,47.23
2007-01-02,101.0,102.1,100.0,100.4,100.95,44009.0,44.56
2007-01-03,101.0,102.0,99.5,100.75,100.25,35651.0,35.77
2007-01-04,101.35,101.75,99.5,99.6,99.7,39569.0,39.75
2007-01-05,100.9,101.7,98.0,99.2,99.0,30827.0,30.89
2007-01-08,99.0,100.45,97.5,98.55,98.15,30957.0,30.46
2007-01-09,100.0,103.1,98.5,103.1,103.05,132876.0,136.16
2007-01-10,104.9,108.2,104.65,108.2,108.2,77142.0,82.84
2007-01-11,110.1,113.65,110.1,113.65,113.65,34648.0,39.25
2007-01-12,119.35,119.35,119.35,119.35,119.35,12627.0,15.07
2007-01-15,125.35,125.35,125.35,125.35,125.35,11885.0,14.9
2007-01-16,131.65,131.65,121.25,124.0,125.65,414628.0,523.82
2007-01-17,122.0,127.8,120.1,121.0,121.75,125660.0,156.67
2007-01-18,122.05,124.6,115.7,116.0,116.05,93811.0,112.01
2007-01-19,116.95,121.5,111.4,116.65,117.25,107172.0,124.78
2007-01-22,119.0,121.0,112.0,116.15,117.05,63290.0,74.19
2007-01-23,118.0,118.0,113.0,113.0,113.55,30672.0,35.23
