Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-04-07,35.0,46.7,33.95,44.2,43.7,35354825.0,15324.65
2008-04-08,43.4,43.5,37.2,37.7,37.85,8514759.0,3289.14
2008-04-09,35.0,45.45,35.0,43.45,44.55,17039168.0,7192.94
2008-04-10,43.9,48.5,39.75,40.8,40.3,18372588.0,7950.38
2008-04-11,41.0,44.2,37.0,44.1,42.95,12055087.0,4923.09
2008-04-15,43.0,51.55,42.3,51.55,51.5,14833335.0,7256.29
2008-04-16,52.0,56.5,43.6,49.0,49.0,15472827.0,7962.52
2008-04-17,50.5,53.4,46.6,53.05,51.55,10272882.0,5139.3
2008-04-21,54.5,61.9,53.0,61.5,61.75,13697734.0,7985.05
2008-04-22,61.5,61.7,57.1,58.7,59.0,5607787.0,3325.59
2008-04-23,58.1,61.65,56.1,56.6,56.55,5123613.0,3011.08
2008-04-24,56.4,59.6,54.6,55.05,55.05,4254629.0,2422.01
2008-04-25,56.0,56.7,53.3,54.85,54.75,1930054.0,1054.29
2008-04-28,55.3,60.25,54.5,60.25,60.15,4852946.0,2844.33
2008-04-29,61.9,63.2,60.0,60.5,60.95,5409734.0,3328.91
2008-04-30,61.8,66.35,54.85,54.85,56.45,8601869.0,5300.32
2008-05-02,57.7,57.7,51.55,51.8,52.2,5995223.0,3226.2
2008-05-05,52.0,54.3,51.65,52.9,52.95,3365406.0,1783.71
2008-05-06,53.0,54.0,49.25,49.5,49.55,3842045.0,1944.38
2008-05-07,49.5,49.5,47.1,47.55,47.4,1336774.0,639.85
2008-05-08,45.75,46.25,44.0,44.7,44.75,1490743.0,670.03
2008-05-09,44.4,47.3,43.15,45.65,45.8,3172244.0,1449.08
2008-05-12,45.35,48.9,45.35,46.65,47.1,2377095.0,1135.8
2008-05-13,48.0,49.4,45.75,46.0,46.55,1313942.0,630.69
2008-05-14,46.0,47.8,45.25,45.8,46.0,786319.0,365.25
2008-05-15,46.5,46.95,45.1,45.65,45.5,543528.0,250.14
2008-05-16,46.0,46.7,43.25,45.2,45.05,1158708.0,526.0
2008-05-20,45.2,45.6,44.2,44.6,44.55,495147.0,222.68
2008-05-21,44.1,45.3,44.0,44.2,44.15,392287.0,174.3
2008-05-22,44.0,49.0,43.4,45.1,45.3,2279237.0,1049.06
2008-05-23,45.95,51.35,45.1,48.85,48.95,5960990.0,2932.28
2008-05-26,48.0,51.5,41.65,42.05,42.25,5719334.0,2646.28
2008-05-27,43.0,45.35,43.0,43.7,43.45,2785761.0,1229.43
2008-05-28,43.45,44.9,39.65,40.4,40.3,4378210.0,1840.69
2008-05-29,41.0,42.5,39.1,40.1,39.85,1929211.0,780.92
2008-05-30,40.0,40.95,37.1,37.95,37.5,1200879.0,458.06
2008-06-02,37.5,38.25,34.1,34.5,34.45,853613.0,306.69
2008-06-03,34.0,34.5,32.0,34.4,33.8,913705.0,307.44
2008-06-04,33.6,34.0,32.1,32.4,32.3,748546.0,247.02
2008-06-05,32.2,32.9,29.1,30.4,30.4,832637.0,255.52
2008-06-06,32.9,32.9,29.35,29.8,29.8,593644.0,180.84
2008-06-09,29.75,29.75,25.0,26.45,26.45,631867.0,166.29
2008-06-10,25.1,27.5,25.0,26.45,26.3,638117.0,168.38
2008-06-11,26.0,27.3,26.0,26.75,26.45,296765.0,78.92
2008-06-12,25.75,25.95,24.15,25.95,25.6,288580.0,73.09
2008-06-13,26.0,28.8,25.4,27.8,27.5,1419040.0,395.06
2008-06-16,28.5,29.2,27.6,27.8,27.9,411643.0,116.85
2008-06-17,27.4,27.9,27.05,27.8,27.7,305318.0,84.23
2008-06-18,27.5,28.6,27.2,27.5,27.55,358999.0,100.78
2008-06-19,27.0,27.1,26.25,26.4,26.5,225255.0,60.13
2008-06-20,26.5,27.5,24.9,25.35,25.15,342860.0,87.72
2008-06-23,25.0,25.0,21.7,22.75,22.7,344747.0,78.85
2008-06-24,23.0,23.65,21.2,21.5,21.8,351558.0,78.62
