Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-10-03,23.35,23.4,22.1,22.5,22.9,672092.0,154.4
2012-10-04,22.5,23.3,21.8,22.6,22.3,892809.0,200.44
2012-10-05,22.9,22.9,21.2,22.1,22.15,566602.0,123.53
2012-10-08,22.1,22.5,21.25,21.7,21.35,233784.0,50.77
2012-10-09,21.8,22.0,21.3,21.4,21.45,168733.0,36.32
2012-10-10,21.2,22.35,20.5,22.35,21.75,483320.0,103.39
2012-10-11,22.0,22.45,21.1,21.5,21.8,391602.0,84.67
2012-10-12,21.55,22.85,21.4,21.5,21.6,610004.0,134.6
2012-10-15,21.6,22.0,20.9,21.05,21.2,283023.0,60.59
2012-10-16,21.0,21.6,20.7,21.2,21.5,266459.0,56.47
2012-10-17,21.1,22.15,20.85,22.0,21.95,583877.0,126.66
2012-10-18,22.0,23.0,21.6,22.85,23.0,1734267.0,393.49
2012-10-19,22.6,22.75,21.85,21.85,21.85,384444.0,84.95
2012-10-22,21.7,21.7,20.8,21.5,21.4,230581.0,48.89
2012-10-23,21.5,21.5,20.8,20.85,20.85,178893.0,37.56
2012-10-25,21.0,21.85,20.15,21.85,21.85,361621.0,78.61
2012-10-26,22.4,22.9,21.05,21.4,21.6,557991.0,122.96
2012-10-29,21.6,22.0,20.55,20.55,20.55,250251.0,52.18
2012-10-30,20.5,21.55,19.55,21.0,21.2,877750.0,183.17
2012-10-31,21.0,21.45,20.5,20.7,20.8,113603.0,23.62
2012-11-01,20.6,21.8,20.2,21.75,21.6,999955.0,211.4
2012-11-02,21.4,21.9,21.05,21.4,21.3,1424903.0,304.38
2012-11-05,21.55,22.15,21.4,21.6,21.6,268257.0,58.08
2012-11-06,21.0,21.75,21.0,21.45,21.5,189570.0,40.76
2012-11-07,21.4,22.55,21.0,22.55,22.5,943383.0,209.69
2012-11-08,22.0,22.95,21.9,22.2,22.0,316554.0,70.72
2012-11-09,21.3,22.85,21.3,22.6,22.65,557814.0,126.07
2012-11-12,22.0,23.15,22.0,22.6,22.75,458774.0,105.0
2012-11-13,22.95,23.85,22.25,22.55,22.9,324659.0,74.73
2012-11-15,22.95,24.0,22.5,24.0,24.0,1634226.0,389.73
2012-11-16,24.6,25.2,24.0,25.2,25.2,1218164.0,305.43
2012-11-19,25.7,26.2,23.95,23.95,23.95,1672755.0,408.26
2012-11-20,23.3,23.9,22.8,22.8,22.8,588855.0,135.13
2012-11-21,22.1,23.4,22.1,22.65,22.8,681069.0,156.15
2012-11-22,22.85,23.1,22.5,22.7,22.75,146628.0,33.37
2012-11-23,22.55,23.4,22.55,22.9,22.9,1421526.0,325.92
2012-11-26,22.6,23.2,22.6,22.9,22.75,953064.0,218.39
2012-11-27,23.4,23.5,22.65,22.8,22.85,1219510.0,279.26
2012-11-29,23.0,23.1,21.75,22.35,22.3,730803.0,162.11
2012-11-30,22.3,23.4,21.8,22.85,23.25,1516846.0,348.75
