Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-09-26,91.3,92.5,81.7,90.8,90.45,2691725.0,2360.69
2014-09-29,91.2,94.4,90.05,91.5,91.25,1631701.0,1508.29
2014-09-30,91.4,92.4,86.7,87.75,88.15,1442733.0,1287.12
2014-10-01,88.0,88.9,85.15,86.5,86.6,610600.0,530.55
2014-10-07,87.0,87.95,84.05,85.0,84.7,664691.0,572.46
2014-10-08,84.9,85.85,82.5,83.5,83.15,589029.0,494.56
2014-10-09,84.0,90.8,84.0,87.3,87.05,1749071.0,1541.69
2014-10-10,85.75,88.35,84.5,86.0,85.75,910783.0,785.42
2014-10-13,86.0,86.0,83.9,84.1,84.3,461201.0,390.57
2014-10-14,85.4,85.6,81.8,82.7,83.0,579121.0,483.35
2014-10-16,83.7,84.35,76.35,80.05,78.7,1152262.0,932.86
2014-10-17,79.95,83.0,78.85,82.1,81.8,615030.0,498.83
2014-10-20,83.45,85.65,83.1,85.0,84.85,1167564.0,988.65
2014-10-21,85.85,88.5,83.55,87.0,87.0,1162617.0,1004.77
2014-10-22,87.95,101.7,87.15,99.75,99.85,7669716.0,7369.18
2014-10-23,101.1,104.8,100.05,102.15,101.6,3095500.0,3175.64
2014-10-27,102.35,102.65,96.4,97.15,97.0,2137772.0,2122.46
2014-10-28,97.5,107.8,96.85,107.05,105.8,5200982.0,5383.85
2014-10-29,108.1,108.7,102.8,104.05,104.45,3533145.0,3739.38
2014-10-30,105.05,110.4,102.3,108.55,109.3,3878894.0,4168.46
2014-10-31,101.95,105.05,100.15,101.4,101.75,3463875.0,3554.42
2014-11-03,102.0,103.0,98.75,99.2,99.55,1879327.0,1894.3
2014-11-05,100.0,101.8,98.0,98.2,98.45,1135967.0,1130.15
2014-11-07,98.05,99.0,95.0,95.85,96.15,1172744.0,1131.24
2014-11-10,96.85,99.2,95.35,95.9,95.95,1114594.0,1084.58
2014-11-11,96.4,99.8,94.5,98.2,98.05,1863055.0,1821.98
2014-11-12,98.55,106.5,98.5,104.4,105.15,4588970.0,4735.37
2014-11-13,105.5,111.0,103.1,110.0,109.45,5355627.0,5779.8
2014-11-14,110.4,111.75,106.25,106.85,107.25,2208327.0,2402.91
2014-11-17,107.4,125.2,106.15,123.45,123.7,9245490.0,10842.33
2014-11-18,124.95,134.65,121.85,129.6,129.85,11017082.0,14292.0
2014-11-19,130.25,131.2,118.65,119.8,120.0,3520941.0,4379.71
2014-11-20,119.5,124.55,117.0,120.0,119.75,3175013.0,3841.3
2014-11-21,120.45,120.75,112.5,113.8,113.9,1976803.0,2293.16
2014-11-24,114.95,120.8,114.5,116.25,116.4,3332812.0,3911.37
2014-11-25,116.95,117.25,106.5,109.75,109.95,2274789.0,2518.84
2014-11-26,109.9,113.6,107.55,110.3,110.4,1765375.0,1963.48
2014-11-27,110.95,111.9,108.75,110.0,109.85,942205.0,1040.04
2014-11-28,110.7,115.0,110.1,111.15,111.0,1873220.0,2112.03
2014-12-01,111.65,112.4,107.25,107.9,107.85,1061781.0,1165.6
2014-12-02,107.45,110.5,107.0,107.6,107.65,855466.0,926.99
2014-12-03,108.0,108.7,106.2,106.6,106.95,1186192.0,1277.23
2014-12-04,107.15,112.6,105.0,105.95,106.5,1563650.0,1697.07
2014-12-05,107.0,107.75,102.05,103.3,102.9,1510383.0,1597.21
2014-12-08,103.4,105.95,101.0,102.3,102.0,1003948.0,1037.35
2014-12-09,102.25,105.5,100.7,102.75,102.5,1278755.0,1320.15
2014-12-10,102.5,104.0,101.1,102.15,102.3,1176546.0,1209.33
2014-12-11,102.8,107.7,101.05,105.5,105.9,4368092.0,4579.62
2014-12-12,106.15,108.25,100.75,102.0,101.65,2439303.0,2554.15
