Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2000-05-24,108.4,108.4,94.9,102.25,102.25,1700.0,1.75
2000-05-25,109.0,110.4,106.0,106.5,107.5,4900.0,5.34
2000-05-26,111.0,111.0,103.1,103.5,103.5,1000.0,1.05
2000-05-29,96.1,100.0,96.0,98.3,98.4,2800.0,2.73
2000-05-30,95.05,105.95,95.05,105.95,104.3,2800.0,2.82
2000-05-31,112.65,112.65,112.65,112.65,112.65,1100.0,1.24
2000-06-01,120.95,121.0,114.05,117.05,117.15,16200.0,19.17
2000-06-02,123.5,126.55,123.5,126.55,126.55,14200.0,17.91
2000-06-05,135.1,136.7,126.0,130.0,134.35,12700.0,17.08
2000-06-06,129.0,145.1,128.5,142.65,143.75,28700.0,39.44
2000-06-07,148.95,154.0,142.0,145.7,146.6,41500.0,61.39
2000-06-08,158.0,158.0,146.05,149.25,150.7,28700.0,43.33
2000-06-09,149.8,150.0,140.0,148.8,147.1,25500.0,36.87
2000-06-12,145.05,145.05,140.0,140.3,141.2,13700.0,19.59
2000-06-13,143.0,147.0,137.0,145.0,144.65,22700.0,31.98
2000-06-14,145.0,149.5,138.0,140.0,141.3,19400.0,27.81
2000-06-15,137.0,147.0,137.0,147.0,144.65,30200.0,42.45
2000-06-16,145.5,153.0,142.05,151.55,150.85,23500.0,34.9
2000-06-19,159.9,162.95,159.9,162.95,162.95,8500.0,13.84
2000-06-20,175.0,176.0,156.45,176.0,173.65,73700.0,127.72
2000-06-21,180.0,180.0,163.55,164.5,165.15,38000.0,64.86
2000-06-22,168.0,168.0,160.0,162.7,161.95,15600.0,25.42
2000-06-23,158.8,159.75,150.5,150.5,151.55,16500.0,25.43
2000-06-26,141.0,146.5,140.05,143.05,144.05,19600.0,27.9
2000-06-27,146.95,146.95,140.3,141.0,141.7,16300.0,23.46
2000-06-28,142.1,146.65,138.15,146.65,145.5,11400.0,16.31
2000-06-29,148.95,150.0,145.15,145.15,145.8,20300.0,30.02
2000-06-30,141.25,157.3,141.25,156.0,153.8,18800.0,28.1
2000-07-03,157.5,166.1,152.0,166.1,166.1,25300.0,40.9
2000-07-04,167.0,170.9,164.0,170.0,169.6,23300.0,39.09
2000-07-05,160.0,168.4,157.0,158.5,158.45,21200.0,33.96
2000-07-06,151.2,168.0,151.2,164.5,164.85,29700.0,48.13
2000-07-07,162.55,170.05,162.55,170.0,168.6,33100.0,55.13
2000-07-10,166.05,169.0,155.15,155.15,155.15,23500.0,37.86
2000-07-11,151.1,151.75,144.0,148.95,148.2,16200.0,23.94
2000-07-12,149.5,154.75,146.15,153.5,153.4,14500.0,21.76
2000-07-13,158.0,158.95,146.35,147.0,148.4,24500.0,37.35
2000-07-14,148.95,149.9,145.0,147.85,147.1,12200.0,17.94
2000-07-17,145.5,146.45,138.1,144.15,143.05,222700.0,310.73
2000-07-18,142.15,147.0,135.0,146.0,140.15,46300.0,65.08
2000-07-19,150.0,151.4,148.0,151.4,151.4,20997.0,31.42
2000-07-20,155.1,163.0,148.45,163.0,161.55,25649.0,40.02
2000-07-21,162.0,174.0,161.5,172.1,172.5,29418.0,49.45
2000-07-24,165.5,185.0,159.0,183.0,178.4,41145.0,69.52
2000-07-25,175.0,192.7,174.5,188.25,189.75,49357.0,90.92
2000-07-26,188.0,197.25,174.75,177.0,178.4,104730.0,197.55
2000-07-27,175.0,178.0,166.1,173.5,172.5,14438.0,25.02
