Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2004-05-28,455.0,459.95,430.05,431.0,430.85,270.0,1.21
2004-05-31,418.0,430.0,418.0,428.0,428.0,424.0,1.8
2004-06-01,445.0,453.0,431.05,448.15,447.4,638.0,2.81
2004-06-02,445.1,448.15,436.0,436.0,438.7,979.0,4.31
2004-06-03,435.0,440.4,430.0,430.0,430.1,609.0,2.64
2004-06-04,432.1,433.9,430.0,430.0,430.0,1704.0,7.33
2004-06-07,435.0,436.0,430.0,432.0,431.15,32124.0,139.7
2004-06-08,435.0,435.0,424.0,429.45,429.45,535.0,2.3
2004-06-09,435.0,468.0,432.0,468.0,449.25,1146.0,5.09
2004-06-10,483.9,483.9,451.0,451.0,452.3,1355.0,6.22
2004-06-11,472.0,472.0,447.25,447.25,447.8,1153.0,5.21
2004-06-14,450.4,450.4,415.0,416.0,420.05,2345.0,10.08
2004-06-15,411.0,435.0,411.0,435.0,424.95,1342.0,5.64
2004-06-16,420.05,424.35,408.0,420.0,419.45,1976.0,8.17
2004-06-17,420.0,423.95,411.5,423.95,419.6,1493.0,6.19
2004-06-18,425.0,425.0,420.0,425.0,421.35,2127.0,9.0
2004-06-21,440.0,440.0,411.1,432.0,422.15,1378.0,5.77
2004-06-22,418.45,435.0,418.45,435.0,434.55,7961.0,34.24
2004-06-23,431.05,433.0,430.0,431.0,431.0,2239.0,9.65
2004-06-24,429.9,435.95,429.9,431.0,431.0,9590.0,41.34
2004-06-25,439.95,460.0,436.9,440.05,441.55,2892.0,12.98
2004-06-28,441.0,445.45,438.0,438.0,439.35,2000.0,8.81
2004-06-29,430.4,440.0,430.4,435.0,435.15,415.0,1.8
2004-06-30,435.0,445.0,431.15,445.0,440.1,1134.0,4.98
2004-07-01,440.0,440.0,433.0,433.0,434.05,484.0,2.11
2004-07-02,440.0,444.95,440.0,442.05,442.1,2900.0,12.83
2004-07-05,442.25,454.9,442.0,453.4,450.55,1927.0,8.63
2004-07-06,443.9,470.0,443.0,464.0,460.15,4743.0,21.46
2004-07-07,468.85,494.65,461.0,488.0,484.0,11876.0,57.12
2004-07-08,490.0,497.9,460.0,460.0,466.45,16587.0,79.74
2004-07-09,470.0,480.0,461.0,479.0,478.9,1685.0,8.03
2004-07-12,475.0,475.0,460.0,462.0,462.95,1540.0,7.18
2004-07-13,466.0,470.9,460.0,460.0,460.0,3170.0,14.62
2004-07-14,466.0,474.0,465.95,471.0,470.85,2139.0,10.08
2004-07-15,475.0,475.0,465.05,473.0,469.75,2521.0,11.85
2004-07-16,475.0,484.0,461.0,461.0,465.7,3519.0,16.56
2004-07-19,468.0,470.0,462.0,470.0,469.9,1311.0,6.14
2004-07-20,472.0,472.0,460.3,467.95,465.6,2139.0,9.93
2004-07-21,467.0,468.0,460.05,465.0,462.55,798.0,3.7
2004-07-22,469.6,469.6,455.0,455.0,457.2,1885.0,8.66
2004-07-23,380.0,460.0,380.0,453.9,450.95,2821.0,12.88
2004-07-26,476.8,476.8,442.0,450.0,450.0,4909.0,22.0
2004-07-27,436.1,445.0,432.0,440.6,442.3,9560.0,42.07
2004-07-28,463.0,470.0,440.0,448.05,447.35,7311.0,32.48
2004-07-29,442.0,450.0,442.0,450.0,449.2,2581.0,11.58
